ticker,date,open,high,low,close
GSD,2021-09-28,9.8,9.8,9.8,9.8
GSD,2021-09-29,9.98,9.98,9.86,9.86
GSD,2021-09-30,9.86,9.86,9.86,9.86
GSD,2021-10-01,9.89,9.89,9.89,9.89
GSD,2021-10-04,9.95,10.06,9.91,10.01
GSD,2021-10-05,10.1,10.1,9.92,9.99
GSD,2021-10-06,9.9,9.95,9.9,9.94
GSD,2021-10-07,10.0,10.0,10.0,10.0
GSD,2021-10-08,10.0,10.0,9.9,9.92
GSD,2021-10-11,9.9,10.0,9.9,9.99
GSD,2021-10-12,9.99,10.0,9.98,9.99
GSD,2021-10-13,10.0,10.01,9.99,9.99
GSD,2021-10-14,9.99,9.99,9.97,9.97
GSD,2021-10-15,9.97,9.97,9.95,9.95
GSD,2021-10-18,9.99,10.0,9.99,9.99
GSD,2021-10-19,9.99,9.99,9.99,9.99
GSD,2021-10-20,9.99,9.99,9.98,9.98
GSD,2021-10-21,9.98,9.98,9.98,9.98
GSD,2021-10-22,9.98,9.98,9.98,9.98
GSD,2021-10-25,10.03,10.03,10.03,10.03
GSD,2021-10-26,10.0,10.0,9.98,9.98
GSD,2021-10-27,9.98,9.98,9.98,9.98
GSD,2021-10-28,10.68,10.92,9.93,9.97
GSD,2021-10-29,9.97,9.97,9.97,9.97
GSD,2021-11-01,9.97,9.97,9.97,9.97
GSD,2021-11-02,9.99,10.0,9.99,10.0
GSD,2021-11-03,10.0,10.0,10.0,10.0
GSD,2021-11-04,9.99,9.99,9.99,9.99
GSD,2021-11-05,10.0,10.03,10.0,10.0
GSD,2021-11-08,9.97,9.99,9.96,9.97
GSD,2021-11-09,9.99,10.0,9.95,9.95
GSD,2021-11-10,9.96,9.97,9.93,9.96
GSD,2021-11-11,9.97,9.97,9.95,9.97
GSD,2021-11-12,9.96,9.97,9.94,9.96
GSD,2021-11-15,9.96,9.96,9.96,9.96
GSD,2021-11-16,9.96,10.4,9.93,9.95
GSD,2021-11-17,9.94,9.94,9.94,9.94
GSD,2021-11-18,9.97,9.97,9.95,9.96
GSD,2021-11-19,9.96,9.96,9.96,9.96
GSD,2021-11-22,9.96,9.98,9.95,9.98
GSD,2021-11-23,9.95,9.97,9.95,9.95
GSD,2021-11-24,9.97,9.97,9.95,9.97
GSD,2021-11-26,9.97,9.97,9.97,9.97
GSD,2021-11-29,9.97,9.97,9.97,9.97
GSD,2021-11-30,9.95,9.96,9.95,9.96
GSD,2021-12-01,9.95,9.95,9.95,9.95
GSD,2021-12-02,9.94,9.95,9.94,9.94
GSD,2021-12-03,9.93,9.94,9.93,9.93
GSD,2021-12-06,9.93,9.95,9.93,9.95
GSD,2021-12-07,9.95,9.95,9.95,9.95
GSD,2021-12-08,9.95,9.95,9.95,9.95
GSD,2021-12-09,9.94,9.95,9.94,9.95
GSD,2021-12-10,9.92,9.96,9.92,9.96
GSD,2021-12-13,9.93,9.96,9.93,9.95
GSD,2021-12-14,9.93,9.93,9.93,9.93
GSD,2021-12-15,9.92,9.95,9.92,9.95
GSD,2021-12-16,9.94,9.95,9.94,9.95
