ticker,date,open,high,low,close
GTES,2018-01-25,19.05,19.41,18.25,18.5
GTES,2018-01-26,18.5,18.96,18.45,18.9
GTES,2018-01-29,18.94,19.29,18.8,19.1
GTES,2018-01-30,19.0,19.28,18.99,19.19
GTES,2018-01-31,19.28,19.74,19.19,19.6
GTES,2018-02-01,19.6,20.0,19.5,19.72
GTES,2018-02-02,19.63,19.69,18.99,18.99
GTES,2018-02-05,18.78,18.92,17.87,18.35
GTES,2018-02-06,18.17,18.49,18.07,18.34
GTES,2018-02-07,18.36,18.78,18.02,18.44
GTES,2018-02-08,18.54,18.98,18.14,18.14
GTES,2018-02-09,18.15,18.19,17.55,17.94
GTES,2018-02-12,18.0,18.12,17.94,18.0
GTES,2018-02-13,17.84,18.43,17.76,18.38
GTES,2018-02-14,18.42,18.89,18.28,18.61
GTES,2018-02-15,18.53,18.6,17.86,18.38
GTES,2018-02-16,18.5,18.59,18.1,18.29
GTES,2018-02-20,18.11,18.49,18.0,18.08
GTES,2018-02-21,18.09,18.26,17.66,17.75
GTES,2018-02-22,17.79,17.94,17.5,17.64
GTES,2018-02-23,17.73,17.74,16.6,17.06
GTES,2018-02-26,17.12,17.23,16.89,16.94
GTES,2018-02-27,16.96,17.55,16.9,17.44
GTES,2018-02-28,17.42,17.44,17.16,17.36
GTES,2018-03-01,17.21,17.46,17.03,17.17
GTES,2018-03-02,17.04,17.25,16.95,17.09
GTES,2018-03-05,17.08,17.79,17.02,17.69
GTES,2018-03-06,17.83,18.05,17.48,17.87
GTES,2018-03-07,17.75,18.01,17.62,17.75
GTES,2018-03-08,17.88,17.88,17.57,17.7
GTES,2018-03-09,17.7,17.87,17.51,17.72
GTES,2018-03-12,17.7,18.31,17.7,18.12
GTES,2018-03-13,18.29,18.33,17.06,17.95
GTES,2018-03-14,18.72,18.72,17.76,18.01
GTES,2018-03-15,17.87,18.1,17.7,18.08
GTES,2018-03-16,18.38,18.5,17.96,18.22
GTES,2018-03-19,18.26,18.44,17.89,18.34
GTES,2018-03-20,18.42,18.52,18.23,18.33
GTES,2018-03-21,18.28,18.55,17.96,17.96
GTES,2018-03-22,17.86,18.02,17.54,17.57
GTES,2018-03-23,17.55,17.61,16.85,17.03
GTES,2018-03-26,17.27,17.59,17.13,17.5
GTES,2018-03-27,17.53,17.53,16.96,17.0
GTES,2018-03-28,17.02,17.13,16.91,17.02
GTES,2018-03-29,17.1,17.62,17.05,17.51
GTES,2018-04-02,17.49,17.58,16.6,16.84
GTES,2018-04-03,16.95,17.12,16.74,17.09
GTES,2018-04-04,16.96,17.09,16.65,17.07
GTES,2018-04-05,17.12,17.44,16.97,17.26
GTES,2018-04-06,17.1,17.26,16.66,16.98
GTES,2018-04-09,17.04,17.27,16.38,16.54
GTES,2018-04-10,16.68,16.81,16.34,16.47
GTES,2018-04-11,16.39,16.57,16.08,16.11
GTES,2018-04-12,16.18,16.36,16.15,16.3
GTES,2018-04-13,16.24,16.28,15.69,15.76
GTES,2018-04-16,15.86,16.01,15.74,15.86
GTES,2018-04-17,15.91,16.06,15.81,15.96
GTES,2018-04-18,15.98,16.57,15.85,16.28
GTES,2018-04-19,16.26,16.44,16.02,16.25
GTES,2018-04-20,16.14,16.41,16.02,16.1
GTES,2018-04-23,16.1,16.19,15.89,16.18
GTES,2018-04-24,16.28,16.4,15.61,15.76
GTES,2018-04-25,15.63,16.02,15.63,15.89
GTES,2018-04-26,15.88,16.1,15.76,15.94
GTES,2018-04-27,16.0,16.26,15.8,15.91
GTES,2018-04-30,15.99,16.01,15.63,15.66
GTES,2018-05-01,15.57,15.64,15.23,15.5
GTES,2018-05-02,15.44,15.56,15.29,15.38
GTES,2018-05-03,15.9,16.15,14.77,14.97
GTES,2018-05-04,14.98,15.3,14.79,15.02
GTES,2018-05-07,15.04,15.2,14.9,14.96
GTES,2018-05-08,14.95,15.19,14.88,15.13
