ticker,date,open,high,low,close
HA,1995-06-21,1.62,3.75,1.62,3.75
HA,1995-06-22,5.0,8.38,5.0,7.38
HA,1995-06-23,8.0,13.5,8.0,13.5
HA,1995-06-26,9.0,11.5,8.5,8.88
HA,1995-06-27,9.0,9.25,7.5,7.88
HA,1995-06-28,7.38,7.38,6.62,7.0
HA,1995-06-29,6.75,6.75,5.75,5.88
HA,1995-06-30,6.0,6.5,5.88,5.94
HA,1995-07-03,6.0,6.5,6.0,6.44
HA,1995-07-05,6.44,6.44,5.81,5.88
HA,1995-07-06,5.81,5.94,5.75,5.88
HA,1995-07-07,5.94,5.94,5.5,5.62
HA,1995-07-10,5.5,5.5,5.12,5.31
HA,1995-07-11,5.19,5.31,5.0,5.25
HA,1995-07-12,5.38,5.62,5.31,5.31
HA,1995-07-13,5.25,5.25,4.88,4.88
HA,1995-07-14,4.75,4.88,4.75,4.88
HA,1995-07-17,4.88,5.0,4.5,4.56
HA,1995-07-18,4.44,4.44,3.94,4.25
HA,1995-07-19,4.25,4.38,4.06,4.06
HA,1995-07-20,4.0,4.12,3.94,4.0
HA,1995-07-21,3.88,4.0,3.75,3.88
HA,1995-07-24,3.75,3.94,3.75,3.81
HA,1995-07-25,3.81,3.88,3.81,3.81
HA,1995-07-26,4.0,4.56,4.0,4.5
HA,1995-07-27,4.38,4.5,4.12,4.19
HA,1995-07-28,4.25,4.25,4.0,4.19
HA,1995-07-31,4.06,4.12,4.0,4.0
HA,1995-08-01,3.94,4.06,3.81,3.88
HA,1995-08-02,4.0,4.0,3.88,3.94
HA,1995-08-03,3.81,3.88,3.81,3.81
HA,1995-08-04,3.75,4.19,3.75,4.06
HA,1995-08-07,4.06,4.12,4.0,4.06
HA,1995-08-08,4.06,4.06,3.88,4.0
HA,1995-08-09,4.0,4.06,3.88,3.94
HA,1995-08-10,3.94,4.12,3.94,3.94
HA,1995-08-11,4.0,4.0,3.81,3.88
HA,1995-08-14,3.88,4.06,3.88,3.94
HA,1995-08-15,4.0,4.06,3.88,3.94
HA,1995-08-16,3.88,4.0,3.88,3.94
HA,1995-08-17,4.0,4.0,3.75,3.75
HA,1995-08-18,3.94,4.38,3.88,4.25
HA,1995-08-21,4.25,4.81,4.19,4.5
HA,1995-08-22,4.62,4.69,4.56,4.56
HA,1995-08-23,4.5,4.5,3.88,4.0
HA,1995-08-24,4.0,4.0,3.94,3.94
HA,1995-08-25,4.0,4.12,3.94,3.94
HA,1995-08-28,4.0,4.0,3.81,3.81
HA,1995-08-29,3.88,3.88,3.56,3.69
HA,1995-08-30,3.69,3.81,3.69,3.75
HA,1995-08-31,3.75,3.88,3.75,3.75
HA,1995-09-01,3.88,3.88,3.81,3.81
HA,1995-09-05,3.88,3.88,3.81,3.88
HA,1995-09-06,3.81,3.94,3.75,3.81
HA,1995-09-07,3.88,3.88,3.75,3.81
HA,1995-09-08,3.75,3.81,3.69,3.69
HA,1995-09-11,3.69,3.81,3.5,3.5
HA,1995-09-12,3.56,3.56,3.31,3.44
HA,1995-09-13,3.44,3.44,3.25,3.38
HA,1995-09-14,3.38,3.44,3.31,3.44
HA,1995-09-15,3.31,3.38,3.31,3.31
HA,1995-09-18,3.44,3.44,3.25,3.38
HA,1995-09-19,3.31,3.44,3.31,3.44
HA,1995-09-20,3.44,3.44,3.31,3.31
HA,1995-09-21,3.38,3.44,3.38,3.44
HA,1995-09-22,3.25,3.25,3.0,3.0
HA,1995-09-25,3.0,3.12,3.0,3.12
HA,1995-09-26,3.06,3.12,3.0,3.0
HA,1995-09-27,3.0,3.0,2.75,2.88
HA,1995-09-28,2.94,3.0,2.94,3.0
HA,1995-09-29,3.0,4.0,3.0,4.0
HA,1995-10-02,3.88,3.88,3.38,3.69
HA,1995-10-03,3.75,3.81,3.38,3.38
HA,1995-10-04,3.38,3.44,3.38,3.38
HA,1995-10-05,3.25,3.38,3.06,3.06
HA,1995-10-06,3.12,3.19,3.0,3.06
HA,1995-10-09,3.0,3.06,2.94,3.06
HA,1995-10-10,3.0,3.0,2.94,3.0
HA,1995-10-11,3.0,3.25,2.94,3.06
HA,1995-10-12,3.12,3.44,3.12,3.31
HA,1995-10-13,3.44,3.44,3.25,3.44
HA,1995-10-16,3.44,3.44,3.25,3.25
HA,1995-10-17,3.31,3.31,3.12,3.12
HA,1995-10-18,3.12,3.12,3.06,3.06
HA,1995-10-19,3.12,3.12,3.06,3.06
HA,1995-10-20,3.12,3.31,3.12,3.19
HA,1995-10-23,3.12,3.12,3.0,3.06
HA,1995-10-24,3.06,3.06,3.0,3.06
HA,1995-10-25,3.06,3.06,3.0,3.0
HA,1995-10-26,3.0,3.0,2.88,2.88
HA,1995-10-27,2.88,2.94,2.81,2.88
HA,1995-10-30,2.81,2.94,2.81,2.81
HA,1995-10-31,2.81,2.94,2.81,2.94
HA,1995-11-01,2.94,3.19,2.94,3.19
HA,1995-11-02,3.19,3.19,3.12,3.19
HA,1995-11-03,3.19,3.19,3.12,3.12
HA,1995-11-06,3.19,3.44,3.19,3.38
HA,1995-11-07,3.0,3.06,2.69,2.75
HA,1995-11-08,3.0,3.12,2.88,3.0
HA,1995-11-09,3.12,3.19,2.94,3.12
HA,1995-11-10,3.25,3.38,3.12,3.31
HA,1995-11-13,3.31,3.38,3.31,3.31
HA,1995-11-14,3.31,3.31,3.19,3.19
HA,1995-11-15,3.31,3.38,3.25,3.25
HA,1995-11-16,3.31,3.38,3.25,3.31
HA,1995-11-17,3.31,3.38,3.25,3.25
HA,1995-11-20,3.31,3.38,3.25,3.25
HA,1995-11-21,3.25,3.25,3.0,3.0
HA,1995-11-22,3.0,3.0,2.81,2.94
HA,1995-11-24,3.0,3.0,2.94,2.94
HA,1995-11-27,3.0,3.0,2.81,2.81
HA,1995-11-28,2.88,2.88,2.75,2.75
HA,1995-11-29,2.81,3.0,2.81,2.81
HA,1995-11-30,2.88,3.12,2.88,3.0
HA,1995-12-01,3.0,3.0,2.88,2.94
HA,1995-12-04,2.94,2.94,2.81,2.88
HA,1995-12-05,2.88,2.94,2.81,2.81
HA,1995-12-06,2.75,2.88,2.75,2.75
HA,1995-12-07,2.75,2.81,2.69,2.75
HA,1995-12-08,2.75,2.75,2.62,2.69
HA,1995-12-11,2.81,2.81,2.62,2.62
HA,1995-12-12,2.75,2.75,2.56,2.56
HA,1995-12-13,2.56,2.56,2.31,2.31
HA,1995-12-14,2.44,2.44,2.38,2.38
HA,1995-12-15,2.38,2.56,2.25,2.5
HA,1995-12-18,2.62,2.75,2.62,2.62
HA,1995-12-19,2.62,2.62,2.44,2.5
HA,1995-12-20,2.5,2.56,2.5,2.5
HA,1995-12-21,2.5,2.56,2.5,2.56
HA,1995-12-22,2.62,2.62,2.44,2.5
HA,1995-12-26,2.56,2.56,2.38,2.38
HA,1995-12-27,2.44,2.5,2.31,2.38
HA,1995-12-28,2.38,2.38,2.19,2.19
HA,1995-12-29,2.25,2.38,2.19,2.31
HA,1996-01-02,2.38,2.44,2.31,2.31
HA,1996-01-03,2.38,2.38,2.25,2.31
HA,1996-01-04,2.31,2.31,2.25,2.31
HA,1996-01-05,2.44,2.44,2.25,2.31
HA,1996-01-08,2.31,2.38,2.25,2.25
HA,1996-01-09,2.38,2.44,2.31,2.44
HA,1996-01-10,2.25,2.44,2.25,2.31
HA,1996-01-11,2.25,2.25,1.62,2.12
HA,1996-01-12,2.31,2.38,2.25,2.38
HA,1996-01-15,2.5,2.81,2.44,2.75
HA,1996-01-16,3.5,3.5,2.88,3.06
HA,1996-01-17,3.25,3.25,3.0,3.12
HA,1996-01-18,3.19,3.19,3.0,3.0
HA,1996-01-19,3.0,3.0,2.62,2.88
HA,1996-01-22,3.0,3.06,2.94,3.0
HA,1996-01-23,3.06,3.12,2.94,2.94
HA,1996-01-24,2.94,3.0,2.81,2.94
HA,1996-01-25,2.88,2.94,2.88,2.88
HA,1996-01-26,2.94,3.06,2.88,2.88
HA,1996-01-29,2.81,3.0,2.81,3.0
HA,1996-01-30,3.0,3.0,2.94,3.0
HA,1996-01-31,3.0,3.06,2.94,2.94
HA,1996-02-01,3.0,3.31,3.0,3.25
HA,1996-02-02,3.25,3.5,3.25,3.38
HA,1996-02-05,3.38,3.44,3.12,3.25
HA,1996-02-06,3.25,3.31,3.0,3.0
HA,1996-02-07,3.06,3.19,2.44,3.12
HA,1996-02-08,3.06,3.19,3.06,3.06
HA,1996-02-09,3.06,3.06,3.0,3.0
HA,1996-02-12,2.94,3.12,2.94,3.12
HA,1996-02-13,3.12,3.12,3.0,3.06
HA,1996-02-14,3.0,3.0,2.94,2.94
HA,1996-02-15,2.88,3.0,2.81,2.94
HA,1996-02-16,3.0,3.06,3.0,3.0
HA,1996-02-20,2.88,2.88,2.75,2.81
HA,1996-02-21,2.88,2.88,2.75,2.75
HA,1996-02-22,2.88,2.88,2.5,2.75
HA,1996-02-23,2.81,2.81,2.69,2.75
HA,1996-02-26,2.75,2.94,2.69,2.94
HA,1996-02-27,3.0,3.12,2.94,3.12
HA,1996-02-28,3.12,3.12,2.94,2.94
HA,1996-02-29,3.0,3.0,2.81,2.88
HA,1996-03-01,2.94,2.94,2.88,2.88
HA,1996-03-04,2.94,3.0,2.88,3.0
HA,1996-03-05,2.94,2.94,2.94,2.94
HA,1996-03-06,2.94,2.94,2.88,2.94
HA,1996-03-07,2.94,2.94,2.88,2.94
HA,1996-03-08,2.88,2.88,2.81,2.88
HA,1996-03-11,2.88,2.88,2.75,2.88
HA,1996-03-12,2.88,2.88,2.75,2.75
HA,1996-03-13,2.88,2.88,2.81,2.81
HA,1996-03-14,2.88,2.88,2.88,2.88
HA,1996-03-15,2.88,2.88,2.81,2.88
HA,1996-03-18,2.88,2.94,2.81,2.94
HA,1996-03-19,3.0,3.06,2.94,3.0
HA,1996-03-20,3.06,3.06,2.94,3.0
HA,1996-03-21,3.0,3.0,2.94,2.94
HA,1996-03-22,3.0,3.0,2.94,3.0
HA,1996-03-25,3.0,3.06,2.94,3.0
HA,1996-03-26,3.06,3.06,3.0,3.0
HA,1996-03-27,3.0,3.0,2.94,3.0
HA,1996-03-28,2.94,3.0,2.94,3.0
HA,1996-03-29,3.0,3.0,2.94,2.94
HA,1996-04-01,2.88,2.94,2.88,2.94
HA,1996-04-02,2.88,2.94,2.88,2.94
HA,1996-04-03,2.94,2.94,2.88,2.88
HA,1996-04-04,2.94,3.0,2.88,3.0
HA,1996-04-08,3.0,3.0,2.94,3.0
HA,1996-04-09,3.0,3.0,2.94,3.0
HA,1996-04-10,3.0,3.06,2.94,3.0
HA,1996-04-11,3.0,3.06,2.88,3.06
HA,1996-04-12,3.06,3.06,3.0,3.06
HA,1996-04-15,3.06,3.94,3.06,3.69
HA,1996-04-16,3.62,3.62,3.5,3.56
HA,1996-04-17,3.56,3.56,3.31,3.38
HA,1996-04-18,3.44,3.5,3.31,3.31
HA,1996-04-19,3.38,3.38,3.31,3.38
HA,1996-04-22,3.38,3.5,3.38,3.44
HA,1996-04-23,3.44,3.44,3.19,3.19
HA,1996-04-24,3.25,3.31,3.25,3.31
HA,1996-04-25,3.44,3.44,3.31,3.38
HA,1996-04-26,3.44,3.5,3.12,3.31
HA,1996-04-29,3.25,3.38,3.25,3.31
HA,1996-04-30,3.31,3.31,3.25,3.25
HA,1996-05-01,3.31,3.31,3.25,3.25
HA,1996-05-02,3.38,3.44,3.25,3.38
HA,1996-05-03,3.44,3.69,3.44,3.62
HA,1996-05-06,3.56,3.62,3.5,3.5
HA,1996-05-07,3.5,3.56,3.5,3.56
HA,1996-05-08,3.44,3.44,3.31,3.38
