ticker,date,open,high,low,close
HASI,2013-04-18,11.6,11.89,11.03,11.4
HASI,2013-04-19,11.4,11.5,11.07,11.25
HASI,2013-04-22,11.3,11.5,11.25,11.37
HASI,2013-04-23,11.35,11.35,9.15,11.19
HASI,2013-04-24,11.7,11.7,11.25,11.26
HASI,2013-04-25,11.25,11.44,11.25,11.38
HASI,2013-04-26,11.47,11.5,11.39,11.5
HASI,2013-04-29,11.39,11.41,11.25,11.35
HASI,2013-04-30,11.3,11.38,11.26,11.38
HASI,2013-05-01,11.29,11.44,11.25,11.44
HASI,2013-05-02,11.45,11.5,11.36,11.5
HASI,2013-05-03,11.45,11.53,11.38,11.52
HASI,2013-05-06,11.51,11.69,11.41,11.69
HASI,2013-05-07,11.67,12.07,11.59,12.0
HASI,2013-05-08,12.05,12.06,11.83,11.98
HASI,2013-05-09,11.66,12.0,11.58,11.91
HASI,2013-05-10,11.91,11.98,11.9,11.97
HASI,2013-05-13,11.98,12.05,11.9,12.0
HASI,2013-05-14,11.9,12.1,11.85,12.07
HASI,2013-05-15,12.09,12.25,12.05,12.21
HASI,2013-05-16,12.21,12.35,12.2,12.34
HASI,2013-05-17,12.28,12.51,12.14,12.5
HASI,2013-05-20,12.26,12.51,12.26,12.44
HASI,2013-05-21,12.31,12.47,12.17,12.39
HASI,2013-05-22,12.13,12.33,11.79,11.8
HASI,2013-05-23,11.65,12.05,11.46,12.05
HASI,2013-05-24,12.05,12.05,11.62,11.91
HASI,2013-05-28,11.99,12.07,11.84,11.98
HASI,2013-05-29,11.87,11.94,11.46,11.53
HASI,2013-05-30,11.46,11.69,11.41,11.64
HASI,2013-05-31,11.64,11.72,11.48,11.51
HASI,2013-06-03,11.7,11.7,11.0,11.42
HASI,2013-06-04,11.5,11.57,11.3,11.49
HASI,2013-06-05,11.5,11.5,11.08,11.1
HASI,2013-06-06,11.03,11.29,11.01,11.27
HASI,2013-06-07,11.35,11.4,11.05,11.08
HASI,2013-06-10,11.2,11.36,11.12,11.3
HASI,2013-06-11,11.17,11.29,11.06,11.12
HASI,2013-06-12,11.25,11.25,10.99,11.12
HASI,2013-06-13,11.03,11.1,10.83,10.87
HASI,2013-06-14,10.75,11.29,10.7,11.29
HASI,2013-06-17,11.42,11.65,11.41,11.59
HASI,2013-06-18,11.64,11.65,11.48,11.56
HASI,2013-06-19,11.47,11.66,11.46,11.64
HASI,2013-06-20,11.74,11.76,11.59,11.64
HASI,2013-06-21,11.73,11.8,11.45,11.76
HASI,2013-06-24,11.7,11.7,11.51,11.6
HASI,2013-06-25,11.67,11.67,11.32,11.35
HASI,2013-06-26,11.4,11.59,11.4,11.54
HASI,2013-06-27,11.56,11.65,11.45,11.55
HASI,2013-06-28,11.53,12.08,11.53,11.88
HASI,2013-07-01,12.06,12.49,11.95,12.44
HASI,2013-07-02,12.44,12.44,12.15,12.38
HASI,2013-07-03,12.36,12.49,12.26,12.4
HASI,2013-07-05,12.41,12.45,12.12,12.41
HASI,2013-07-08,12.42,12.44,12.3,12.36
HASI,2013-07-09,12.36,12.38,11.99,12.03
HASI,2013-07-10,12.0,12.04,11.8,11.94
HASI,2013-07-11,12.06,12.16,11.97,12.16
HASI,2013-07-12,12.08,12.4,12.05,12.26
HASI,2013-07-15,12.21,12.33,11.92,12.06
HASI,2013-07-16,12.04,12.16,11.93,12.0
HASI,2013-07-17,11.93,12.02,11.73,11.81
HASI,2013-07-18,11.8,11.92,11.75,11.83
HASI,2013-07-19,11.8,11.8,11.47,11.5
HASI,2013-07-22,11.53,11.75,11.46,11.5
HASI,2013-07-23,11.55,11.77,11.48,11.75
HASI,2013-07-24,11.75,11.8,11.37,11.42
HASI,2013-07-25,11.45,11.46,11.34,11.4
HASI,2013-07-26,11.31,11.41,11.16,11.33
HASI,2013-07-29,11.39,11.73,11.39,11.73
HASI,2013-07-30,11.82,11.88,11.62,11.8
HASI,2013-07-31,11.82,11.99,11.67,11.87
HASI,2013-08-01,12.0,12.01,11.51,11.55
HASI,2013-08-02,11.64,11.79,11.5,11.53
HASI,2013-08-05,11.57,11.63,11.33,11.42
HASI,2013-08-06,11.27,11.49,11.19,11.38
HASI,2013-08-07,11.35,11.51,11.05,11.37
HASI,2013-08-08,11.42,11.48,11.22,11.44
HASI,2013-08-09,11.5,11.57,11.32,11.46
HASI,2013-08-12,11.39,11.84,11.39,11.72
HASI,2013-08-13,11.75,11.91,11.62,11.78
HASI,2013-08-14,11.73,11.89,11.35,11.51
HASI,2013-08-15,11.41,11.63,11.41,11.48
HASI,2013-08-16,11.49,11.85,11.49,11.73
HASI,2013-08-19,11.69,12.11,11.6,12.05
HASI,2013-08-20,12.0,12.2,11.98,12.14
HASI,2013-08-21,12.08,12.19,12.05,12.15
HASI,2013-08-22,12.17,12.2,12.08,12.15
HASI,2013-08-23,12.15,12.29,12.13,12.24
HASI,2013-08-26,12.25,12.27,12.08,12.25
HASI,2013-08-27,12.14,12.23,11.74,11.8
HASI,2013-08-28,11.8,11.86,11.75,11.79
HASI,2013-08-29,11.72,11.91,11.72,11.9
HASI,2013-08-30,11.86,11.93,11.67,11.74
HASI,2013-09-03,11.84,11.93,11.76,11.84
HASI,2013-09-04,11.8,11.83,11.63,11.71
HASI,2013-09-05,11.7,11.86,11.56,11.66
HASI,2013-09-06,11.73,11.73,11.5,11.56
HASI,2013-09-09,12.46,12.51,11.58,11.71
HASI,2013-09-10,11.76,11.76,11.56,11.6
HASI,2013-09-11,11.71,11.88,11.64,11.74
HASI,2013-09-12,11.78,11.83,11.62,11.65
HASI,2013-09-13,11.7,11.8,11.66,11.73
HASI,2013-09-16,11.87,11.9,11.5,11.74
HASI,2013-09-17,11.79,11.97,11.68,11.94
HASI,2013-09-18,12.01,12.25,11.95,12.09
HASI,2013-09-19,12.09,12.13,11.85,11.92
HASI,2013-09-20,11.99,11.99,11.6,11.68
HASI,2013-09-23,11.66,11.71,11.55,11.68
HASI,2013-09-24,11.62,11.86,11.58,11.67
HASI,2013-09-25,11.7,11.83,11.54,11.6
HASI,2013-09-26,11.6,11.75,11.5,11.58
HASI,2013-09-27,11.55,11.71,11.35,11.4
HASI,2013-09-30,11.37,11.66,11.31,11.4
HASI,2013-10-01,11.35,11.63,11.25,11.4
HASI,2013-10-02,11.38,11.48,11.28,11.35
HASI,2013-10-03,11.31,11.42,11.09,11.12
HASI,2013-10-04,11.06,11.36,11.06,11.29
HASI,2013-10-07,11.25,11.33,11.18,11.18
HASI,2013-10-08,11.17,11.33,11.09,11.18
HASI,2013-10-09,11.17,11.25,11.03,11.06
HASI,2013-10-10,11.15,11.36,11.08,11.19
HASI,2013-10-11,11.13,11.45,11.03,11.44
HASI,2013-10-14,11.43,11.52,11.34,11.49
HASI,2013-10-15,11.49,11.54,11.11,11.27
HASI,2013-10-16,11.3,11.49,11.08,11.41
HASI,2013-10-17,11.4,11.72,11.29,11.68
HASI,2013-10-18,11.78,11.97,11.59,11.91
HASI,2013-10-21,11.95,11.96,11.79,11.85
HASI,2013-10-22,11.83,11.9,11.6,11.75
HASI,2013-10-23,11.73,11.87,11.56,11.73
HASI,2013-10-24,11.76,11.88,11.65,11.82
HASI,2013-10-25,11.73,12.0,11.6,11.98
HASI,2013-10-28,11.91,12.1,11.8,12.01
HASI,2013-10-29,12.06,12.09,11.84,12.04
HASI,2013-10-30,12.18,12.29,12.09,12.17
HASI,2013-10-31,12.17,12.4,12.04,12.25
HASI,2013-11-01,12.29,12.4,12.17,12.34
HASI,2013-11-04,12.4,12.49,12.3,12.45
HASI,2013-11-05,12.43,12.51,12.22,12.29
HASI,2013-11-06,12.33,12.46,12.13,12.39
HASI,2013-11-07,12.38,12.4,12.2,12.3
HASI,2013-11-08,12.24,12.39,11.64,11.69
HASI,2013-11-11,11.71,12.05,11.71,12.01
HASI,2013-11-12,12.02,12.03,11.61,11.66
HASI,2013-11-13,11.65,12.25,11.65,12.05
HASI,2013-11-14,11.89,12.07,11.87,11.98
HASI,2013-11-15,11.96,12.04,11.9,11.99
HASI,2013-11-18,11.98,12.04,11.82,11.85
HASI,2013-11-19,11.82,11.99,11.82,11.9
HASI,2013-11-20,11.96,11.96,11.7,11.75
HASI,2013-11-21,11.78,12.03,11.77,11.9
HASI,2013-11-22,11.94,12.05,11.89,12.01
HASI,2013-11-25,12.03,12.05,11.87,12.02
HASI,2013-11-26,12.01,12.29,11.96,12.29
HASI,2013-11-27,12.26,12.39,12.15,12.36
HASI,2013-11-29,12.35,12.4,12.34,12.4
HASI,2013-12-02,12.37,12.39,12.25,12.35
HASI,2013-12-03,12.29,12.36,12.2,12.33
HASI,2013-12-04,12.27,12.35,12.22,12.31
HASI,2013-12-05,12.31,12.48,12.26,12.33
HASI,2013-12-06,12.43,12.43,12.31,12.43
HASI,2013-12-09,12.4,12.51,12.3,12.42
HASI,2013-12-10,12.45,12.54,12.43,12.49
HASI,2013-12-11,12.48,12.54,12.35,12.44
HASI,2013-12-12,12.39,12.51,12.39,12.49
HASI,2013-12-13,12.51,12.55,12.2,12.51
HASI,2013-12-16,12.55,12.55,12.4,12.5
HASI,2013-12-17,12.51,12.58,12.46,12.49
HASI,2013-12-18,12.59,12.94,12.53,12.93
HASI,2013-12-19,12.9,12.93,12.57,12.89
HASI,2013-12-20,13.0,13.72,12.97,13.27
HASI,2013-12-23,13.4,13.81,13.27,13.74
