ticker,date,open,high,low,close
HBB,2017-09-26,35.0,35.0,31.0,31.0
HBB,2017-09-27,31.0,31.0,29.0,29.34
HBB,2017-09-28,29.62,33.01,29.62,31.25
HBB,2017-09-29,30.1,33.1,30.1,33.1
HBB,2017-10-02,32.86,34.6,29.5,30.23
HBB,2017-10-03,31.11,34.2,30.63,33.9
HBB,2017-10-04,33.9,36.67,33.0,34.59
HBB,2017-10-05,35.32,36.5,35.0,35.51
HBB,2017-10-06,36.0,37.99,36.0,37.6
HBB,2017-10-09,37.63,41.0,36.58,38.63
HBB,2017-10-10,38.63,38.63,36.5,37.0
HBB,2017-10-11,36.33,38.76,35.63,38.12
HBB,2017-10-12,38.1,38.1,37.26,37.95
HBB,2017-10-13,38.36,38.61,37.31,38.22
HBB,2017-10-16,38.45,39.2,37.96,38.93
HBB,2017-10-17,38.96,39.37,38.53,39.33
HBB,2017-10-18,39.46,39.77,39.0,39.5
HBB,2017-10-19,39.28,40.03,38.89,39.55
HBB,2017-10-20,39.83,40.5,39.18,39.67
HBB,2017-10-23,39.86,39.86,39.25,39.67
HBB,2017-10-24,39.67,40.28,39.54,39.87
HBB,2017-10-25,39.91,40.0,38.91,39.29
HBB,2017-10-26,39.28,39.5,38.53,38.85
HBB,2017-10-27,38.7,39.97,38.41,39.89
HBB,2017-10-30,39.11,39.78,39.11,39.5
HBB,2017-10-31,39.7,39.7,38.38,38.77
HBB,2017-11-01,38.94,38.94,37.8,38.59
HBB,2017-11-02,37.6,38.26,36.85,37.24
HBB,2017-11-03,37.29,37.33,35.84,36.25
HBB,2017-11-06,35.9,35.9,30.53,32.77
HBB,2017-11-07,32.77,32.77,31.13,32.09
HBB,2017-11-08,31.9,32.03,31.58,31.84
HBB,2017-11-09,31.34,31.34,30.0,30.5
HBB,2017-11-10,30.17,31.07,30.11,30.8
HBB,2017-11-13,31.02,32.45,30.86,31.88
HBB,2017-11-14,31.77,32.65,31.74,32.38
HBB,2017-11-15,32.2,32.84,32.05,32.84
HBB,2017-11-16,32.95,33.25,32.49,32.69
HBB,2017-11-17,32.49,32.85,30.35,31.84
HBB,2017-11-20,31.86,32.45,31.8,31.89
HBB,2017-11-21,31.97,32.87,31.05,31.35
HBB,2017-11-22,31.33,31.51,29.58,30.12
HBB,2017-11-24,30.03,30.61,27.09,27.89
HBB,2017-11-27,27.84,28.25,25.46,25.76
HBB,2017-11-28,25.55,26.38,24.56,25.61
HBB,2017-11-29,25.89,27.79,25.41,27.75
HBB,2017-11-30,27.53,29.29,27.05,28.58
HBB,2017-12-01,27.92,28.7,27.56,28.31
HBB,2017-12-04,28.57,28.91,27.0,27.12
HBB,2017-12-05,27.08,27.6,26.1,27.15
HBB,2017-12-06,26.88,28.1,26.66,27.07
HBB,2017-12-07,27.29,27.4,26.85,27.03
HBB,2017-12-08,26.93,27.12,26.21,26.81
HBB,2017-12-11,26.81,26.81,25.82,26.06
HBB,2017-12-12,26.26,27.04,25.58,26.49
HBB,2017-12-13,27.02,27.43,25.8,26.64
HBB,2017-12-14,26.46,26.76,24.85,24.97
HBB,2017-12-15,24.91,26.57,24.65,26.5
HBB,2017-12-18,26.68,26.95,25.58,26.14
HBB,2017-12-19,26.06,26.55,25.64,25.9
HBB,2017-12-20,26.03,26.52,25.04,25.27
HBB,2017-12-21,25.14,26.32,25.14,25.8
HBB,2017-12-22,25.8,25.99,25.51,25.91
HBB,2017-12-26,25.76,26.45,25.53,25.97
HBB,2017-12-27,25.95,26.33,25.45,25.67
HBB,2017-12-28,25.71,26.34,25.53,26.02
HBB,2017-12-29,26.05,26.5,24.81,25.69
HBB,2018-01-02,25.63,26.35,25.62,26.15
HBB,2018-01-03,26.2,27.95,24.8,24.93
HBB,2018-01-04,25.02,26.12,25.02,25.79
HBB,2018-01-05,26.02,26.3,25.18,25.44
HBB,2018-01-08,25.42,26.45,24.81,25.93
HBB,2018-01-09,26.05,26.48,25.39,26.19
HBB,2018-01-10,25.99,27.79,25.22,26.36
HBB,2018-01-11,26.47,27.62,25.5,25.9
HBB,2018-01-12,25.91,28.57,25.55,26.77
HBB,2018-01-16,26.98,27.47,26.06,26.19
HBB,2018-01-17,26.16,26.68,25.06,25.77
HBB,2018-01-18,25.24,26.26,25.24,25.66
HBB,2018-01-19,25.76,26.35,25.49,26.02
HBB,2018-01-22,26.16,26.47,25.93,26.37
HBB,2018-01-23,26.4,26.78,25.81,26.1
HBB,2018-01-24,26.24,26.71,26.03,26.21
HBB,2018-01-25,26.03,26.56,26.02,26.35
HBB,2018-01-26,26.29,26.44,25.74,26.1
HBB,2018-01-29,26.1,26.2,25.51,25.7
HBB,2018-01-30,25.44,26.49,25.06,25.71
HBB,2018-01-31,25.75,25.97,25.33,25.71
HBB,2018-02-01,25.55,25.89,25.16,25.47
HBB,2018-02-02,25.11,25.49,24.92,25.0
HBB,2018-02-05,24.81,25.43,24.49,25.09
HBB,2018-02-06,24.75,25.11,24.08,25.02
HBB,2018-02-07,24.48,25.95,24.48,25.66
HBB,2018-02-08,25.66,25.67,24.64,24.86
HBB,2018-02-09,24.97,25.43,24.6,25.21
HBB,2018-02-12,25.2,25.65,24.94,25.54
HBB,2018-02-13,25.36,25.8,25.05,25.27
HBB,2018-02-14,25.04,25.79,24.86,25.44
HBB,2018-02-15,25.44,25.88,25.01,25.59
HBB,2018-02-16,25.51,25.51,25.04,25.15
HBB,2018-02-20,25.27,25.77,24.87,24.95
HBB,2018-02-21,24.73,25.55,24.51,24.74
HBB,2018-02-22,24.75,24.99,24.21,24.56
HBB,2018-02-23,24.67,24.8,24.3,24.62
HBB,2018-02-26,24.7,25.19,24.45,24.82
HBB,2018-02-27,24.8,25.25,24.62,24.62
HBB,2018-02-28,24.65,25.16,24.21,24.77
HBB,2018-03-01,24.81,25.06,24.11,24.93
HBB,2018-03-02,24.72,25.21,24.69,25.01
HBB,2018-03-05,24.83,25.86,24.61,25.35
HBB,2018-03-06,25.37,25.62,24.88,24.99
