ticker,date,open,high,low,close
HCTI,2021-10-13,3.17,4.35,3.16,3.59
HCTI,2021-10-14,3.6,3.7,3.3,3.5
HCTI,2021-10-15,3.4,3.67,3.4,3.49
HCTI,2021-10-18,3.39,3.54,3.35,3.505
HCTI,2021-10-19,3.51,3.54,2.87,3.05
HCTI,2021-10-20,3.03,3.032,2.75,2.9
HCTI,2021-10-21,2.92,3.11,2.86,2.96
HCTI,2021-10-22,2.85,2.93,2.48,2.85
HCTI,2021-10-25,2.84,2.95,2.73,2.87
HCTI,2021-10-26,2.99,3.07,2.63,2.68
HCTI,2021-10-27,2.69,2.75,2.43,2.66
HCTI,2021-10-28,2.63,2.75,2.607,2.7
HCTI,2021-10-29,2.7,3.07,2.687,2.75
HCTI,2021-11-01,2.75,2.888,2.73,2.85
HCTI,2021-11-02,2.977,3.19,2.91,3.09
HCTI,2021-11-03,3.05,3.09,2.92,2.93
HCTI,2021-11-04,2.95,3.56,2.95,3.415
HCTI,2021-11-05,3.35,3.69,2.812,2.91
HCTI,2021-11-08,2.89,2.985,2.78,2.86
HCTI,2021-11-09,2.83,2.9,2.72,2.81
HCTI,2021-11-10,2.8,2.882,2.68,2.75
HCTI,2021-11-11,2.69,2.85,2.681,2.74
HCTI,2021-11-12,2.74,2.827,2.56,2.69
HCTI,2021-11-15,2.67,2.74,2.53,2.57
HCTI,2021-11-16,2.55,2.63,2.52,2.61
HCTI,2021-11-17,2.62,2.62,2.52,2.55
HCTI,2021-11-18,2.55,2.61,2.22,2.31
HCTI,2021-11-19,2.31,2.513,2.296,2.44
HCTI,2021-11-22,2.43,2.5,2.22,2.26
HCTI,2021-11-23,2.262,2.43,2.15,2.19
HCTI,2021-11-24,2.3,2.5,2.26,2.415
HCTI,2021-11-26,2.45,2.48,2.31,2.41
HCTI,2021-11-29,2.39,2.48,2.301,2.47
HCTI,2021-11-30,2.42,2.54,2.29,2.4
HCTI,2021-12-01,2.47,2.564,2.25,2.32
HCTI,2021-12-02,2.3,2.381,2.12,2.28
HCTI,2021-12-03,2.15,2.38,2.13,2.25
HCTI,2021-12-06,2.34,2.35,2.06,2.14
HCTI,2021-12-07,2.19,2.61,2.17,2.455
HCTI,2021-12-08,2.49,2.58,2.34,2.42
HCTI,2021-12-09,2.42,2.495,2.26,2.31
HCTI,2021-12-10,2.29,2.329,2.15,2.2
HCTI,2021-12-13,2.42,2.78,2.13,2.2
HCTI,2021-12-14,2.11,2.204,2.0,2.08
HCTI,2021-12-15,2.08,2.28,1.9,1.99
HCTI,2021-12-16,1.99,2.06,1.91,1.93
HCTI,2021-12-17,1.91,1.99,1.75,1.75
HCTI,2021-12-20,1.72,1.83,1.66,1.67
HCTI,2021-12-21,1.66,1.78,1.66,1.68
HCTI,2021-12-22,1.65,1.77,1.65,1.7
HCTI,2021-12-23,1.74,1.842,1.725,1.81
HCTI,2021-12-27,1.76,1.83,1.74,1.82
HCTI,2021-12-28,1.75,1.83,1.56,1.75
HCTI,2021-12-29,1.68,1.76,1.62,1.745
HCTI,2021-12-30,1.63,1.86,1.63,1.815
HCTI,2021-12-31,1.81,1.877,1.76,1.81
HCTI,2022-01-03,1.87,1.87,1.77,1.84
HCTI,2022-01-04,1.87,1.87,1.754,1.78
