ticker,date,open,high,low,close
HTGC,2005-06-08,4.15129,4.15129,4.15129,4.15129
HTGC,2005-06-09,13.02,13.19,12.8,12.96
HTGC,2005-06-10,13.0,13.0,12.52,12.58
HTGC,2005-06-13,12.7,12.7,12.45,12.53
HTGC,2005-06-14,12.52,12.53,12.5,12.51
HTGC,2005-06-15,12.6,12.8,12.5,12.75
HTGC,2005-06-16,12.84,12.84,12.71,12.74
HTGC,2005-06-17,12.75,13.0,12.75,12.95
HTGC,2005-06-20,13.11,13.11,12.9,12.95
HTGC,2005-06-21,12.95,13.1,12.8,12.9
HTGC,2005-06-22,12.95,13.0,12.9,12.95
HTGC,2005-06-23,12.95,12.95,12.85,12.85
HTGC,2005-06-24,12.85,13.0,12.85,12.9
HTGC,2005-06-27,12.85,12.98,12.75,12.98
HTGC,2005-06-28,12.99,12.99,12.9,12.95
HTGC,2005-06-29,12.95,13.1,12.94,12.96
HTGC,2005-06-30,12.96,12.99,12.45,12.9
HTGC,2005-07-01,12.85,12.9,12.82,12.85
HTGC,2005-07-05,13.0,13.0,12.9,12.9
HTGC,2005-07-06,12.9,12.9,12.88,12.9
HTGC,2005-07-07,12.85,12.93,12.8,12.88
HTGC,2005-07-08,12.9,12.95,12.9,12.95
HTGC,2005-07-11,12.95,12.95,12.7,12.7
HTGC,2005-07-12,12.9,12.9,12.83,12.85
HTGC,2005-07-13,12.85,12.89,12.75,12.8
HTGC,2005-07-14,12.8,12.9,12.76,12.8
HTGC,2005-07-15,12.8,12.9,12.78,12.8
HTGC,2005-07-18,12.8,12.8,12.65,12.65
HTGC,2005-07-19,12.8,12.83,12.6,12.77
HTGC,2005-07-20,12.72,12.75,12.5,12.75
HTGC,2005-07-21,12.76,12.76,12.65,12.65
HTGC,2005-07-22,12.8,12.8,12.7,12.7
HTGC,2005-07-25,13.17,14.41,12.9,13.14
HTGC,2005-07-26,13.55,13.55,13.0,13.1
HTGC,2005-07-27,13.25,13.25,13.01,13.2
HTGC,2005-07-28,13.15,13.2,12.95,12.99
HTGC,2005-07-29,13.05,13.18,13.0,13.0
HTGC,2005-08-01,13.0,13.8,13.0,13.1
HTGC,2005-08-02,13.25,13.4,13.1,13.2
HTGC,2005-08-03,13.2,13.5,13.15,13.29
HTGC,2005-08-04,13.45,13.75,13.41,13.5
HTGC,2005-08-05,13.7,13.77,13.62,13.75
HTGC,2005-08-08,13.8,13.9,13.61,13.71
HTGC,2005-08-09,13.7,13.89,13.7,13.8
HTGC,2005-08-10,13.8,13.8,13.2,13.43
HTGC,2005-08-11,13.43,13.85,13.4,13.85
HTGC,2005-08-12,14.08,14.08,13.55,14.0
HTGC,2005-08-15,14.0,14.0,14.0,14.0
HTGC,2005-08-16,13.65,13.78,13.65,13.78
HTGC,2005-08-17,13.8,13.8,13.21,13.5
HTGC,2005-08-18,13.75,13.85,13.5,13.51
HTGC,2005-08-19,13.5,13.5,13.5,13.5
HTGC,2005-08-22,13.95,13.95,13.4,13.59
HTGC,2005-08-23,13.3,13.78,13.3,13.78
HTGC,2005-08-24,13.86,13.86,13.73,13.8
HTGC,2005-08-25,14.18,14.18,13.2,13.65
HTGC,2005-08-26,13.38,13.4,12.95,13.3
HTGC,2005-08-29,13.44,13.58,13.25,13.39
HTGC,2005-08-30,13.32,13.32,12.95,13.02
HTGC,2005-08-31,12.99,13.58,12.99,13.29
HTGC,2005-09-01,13.19,13.19,13.19,13.19
HTGC,2005-09-02,13.19,13.19,13.0,13.11
HTGC,2005-09-06,13.05,13.08,12.65,12.98
HTGC,2005-09-07,13.07,13.07,12.95,12.96
HTGC,2005-09-08,12.76,12.89,12.56,12.89
HTGC,2005-09-09,12.9,13.0,12.46,12.59
HTGC,2005-09-12,12.66,12.88,12.6,12.78
HTGC,2005-09-13,12.79,12.95,12.62,12.62
HTGC,2005-09-14,12.6,12.61,12.52,12.52
HTGC,2005-09-15,12.6,12.6,12.52,12.55
HTGC,2005-09-16,12.55,12.8,12.55,12.8
HTGC,2005-09-19,12.93,12.94,12.6,12.6
HTGC,2005-09-20,12.63,12.63,12.6,12.6
HTGC,2005-09-21,12.7,12.88,12.6,12.78
HTGC,2005-09-22,12.71,12.71,12.6,12.6
HTGC,2005-09-23,12.6,12.61,12.55,12.61
