ticker,date,open,high,low,close
IH,2020-10-09,12.12,16.29,12.12,16.0
IH,2020-10-12,15.82,25.0,15.68,22.44
IH,2020-10-13,21.11,28.74,21.11,27.15
IH,2020-10-14,27.3,29.0,25.0,26.09
IH,2020-10-15,25.19,26.0,23.0,23.14
IH,2020-10-16,24.44,26.95,24.21,24.78
IH,2020-10-19,25.0,25.0,21.8,23.75
IH,2020-10-20,22.85,23.0,20.581,21.02
IH,2020-10-21,20.32,20.4,16.065,16.63
IH,2020-10-22,17.41,19.96,17.4,19.88
IH,2020-10-23,19.2,20.88,18.295,19.0
IH,2020-10-26,18.37,18.826,18.06,18.19
IH,2020-10-27,18.21,18.97,18.05,18.08
IH,2020-10-28,17.98,18.88,17.6,18.8
IH,2020-10-29,19.07,19.45,18.323,18.57
IH,2020-10-30,18.2,18.525,17.8,17.96
IH,2020-11-02,17.985,18.9,17.93,18.9
IH,2020-11-03,18.8,20.9,18.7,20.35
IH,2020-11-04,20.96,21.6,20.51,21.55
IH,2020-11-05,21.99,22.4,20.0,20.53
IH,2020-11-06,20.41,21.7,20.2,21.68
IH,2020-11-09,21.5,22.5,20.22,20.39
IH,2020-11-10,20.39,21.31,20.3,20.79
IH,2020-11-11,20.94,24.0,20.94,23.64
IH,2020-11-12,22.86,24.73,22.68,24.08
IH,2020-11-13,23.95,24.5,23.85,24.14
IH,2020-11-16,24.2,24.77,24.2,24.3
IH,2020-11-17,24.3,24.3,22.8,23.1
IH,2020-11-18,23.61,23.847,22.7,23.2
IH,2020-11-19,23.56,24.0,23.0,23.55
IH,2020-11-20,24.07,25.8,23.16,25.8
IH,2020-11-23,26.5,30.49,26.375,29.86
IH,2020-11-24,30.99,31.583,24.21,26.3
IH,2020-11-25,26.47,29.231,26.47,28.65
IH,2020-11-27,28.74,30.0,28.35,28.91
IH,2020-11-30,29.58,29.58,26.4,28.0
IH,2020-12-01,27.88,28.49,26.71,27.89
IH,2020-12-02,24.9,26.0,22.74,25.3
IH,2020-12-03,25.0,25.3,22.0,22.59
IH,2020-12-04,22.27,24.0,21.452,23.23
IH,2020-12-07,23.15,23.86,22.88,22.9
IH,2020-12-08,22.9,24.55,22.85,24.21
IH,2020-12-09,24.49,25.48,24.04,24.27
IH,2020-12-10,24.27,24.27,23.01,23.42
IH,2020-12-11,23.41,23.599,22.56,22.77
IH,2020-12-14,22.77,23.0,21.0,21.21
IH,2020-12-15,21.25,21.89,19.62,21.06
IH,2020-12-16,21.23,21.744,20.01,20.38
IH,2020-12-17,20.45,21.56,20.45,21.24
IH,2020-12-18,21.14,22.953,21.14,22.3
IH,2020-12-21,22.3,23.5,21.35,23.16
IH,2020-12-22,23.0,23.0,20.49,21.15
IH,2020-12-23,21.9,22.4,21.55,21.88
IH,2020-12-24,21.83,21.97,20.0,20.31
IH,2020-12-28,20.5,20.94,18.2,18.83
IH,2020-12-29,19.29,19.47,18.83,19.0
IH,2020-12-30,19.0,19.347,18.31,18.48
IH,2020-12-31,18.7,19.34,17.56,18.12
IH,2021-01-04,18.96,18.96,17.5,17.9
IH,2021-01-05,17.9,18.799,17.48,18.61
IH,2021-01-06,18.99,20.4,18.43,19.47
IH,2021-01-07,19.47,21.09,19.09,20.62
IH,2021-01-08,21.19,21.19,19.51,20.18
IH,2021-01-11,19.27,20.2,18.34,18.83
IH,2021-01-12,18.95,19.393,18.06,18.32
IH,2021-01-13,18.26,18.88,18.01,18.24
IH,2021-01-14,18.2,18.99,18.2,18.8
IH,2021-01-15,18.61,18.995,18.01,18.38
IH,2021-01-19,18.87,19.45,18.0,18.0
IH,2021-01-20,18.37,19.79,18.37,19.45
IH,2021-01-21,20.67,20.97,20.0,20.58
IH,2021-01-22,20.27,23.95,20.0,22.84
IH,2021-01-25,22.91,24.5,21.1,21.51
IH,2021-01-26,21.37,21.89,20.3,20.87
IH,2021-01-27,20.74,20.86,19.241,19.84
IH,2021-01-28,19.0,19.75,18.88,19.04
IH,2021-01-29,19.12,19.84,18.0,18.44
IH,2021-02-01,18.84,19.99,18.2,19.2
IH,2021-02-02,19.58,19.85,18.5,19.0
IH,2021-02-03,18.98,19.04,18.56,18.71
IH,2021-02-04,18.85,19.34,18.2,18.93
IH,2021-02-05,19.5,19.52,18.72,19.13
IH,2021-02-08,19.5,19.5,18.48,19.2
IH,2021-02-09,19.3,19.45,18.76,19.15
IH,2021-02-10,19.32,19.45,18.5,18.88
IH,2021-02-11,19.14,22.25,18.67,21.97
IH,2021-02-12,21.7,21.82,21.1,21.36
IH,2021-02-16,21.51,22.036,20.3,21.4
IH,2021-02-17,21.19,21.56,19.25,20.17
IH,2021-02-18,19.77,20.08,19.23,19.76
IH,2021-02-19,19.99,20.25,19.1,19.79
IH,2021-02-22,19.39,19.39,17.92,18.1
IH,2021-02-23,17.8,17.97,17.0,17.79
IH,2021-02-24,18.0,18.39,17.52,18.1
IH,2021-02-25,18.18,19.18,18.0,18.5
IH,2021-02-26,18.0,18.77,17.41,18.5
IH,2021-03-01,19.0,19.21,17.6,18.3
IH,2021-03-02,18.59,18.59,17.58,17.84
IH,2021-03-03,18.04,18.04,17.27,17.56
IH,2021-03-04,17.5,17.555,15.19,16.2
IH,2021-03-05,15.74,16.496,14.66,15.09
IH,2021-03-08,15.09,15.3,13.53,13.75
IH,2021-03-09,14.32,14.965,13.88,14.75
IH,2021-03-10,14.75,15.99,14.75,14.87
IH,2021-03-11,14.88,15.63,14.8,15.02
IH,2021-03-12,15.0,16.457,14.8,15.92
IH,2021-03-15,16.5,16.88,15.06,15.14
IH,2021-03-16,15.26,16.28,14.55,15.45
IH,2021-03-17,15.12,15.3,14.8,15.1
IH,2021-03-18,14.78,15.156,14.3,14.6
IH,2021-03-19,14.59,15.4,14.59,15.36
IH,2021-03-22,15.42,15.586,14.43,14.43
IH,2021-03-23,14.8,15.28,14.26,14.54
IH,2021-03-24,14.79,15.09,13.6,13.86
IH,2021-03-25,13.85,14.2,12.51,13.58
IH,2021-03-26,13.68,13.98,12.13,12.8
IH,2021-03-29,12.54,12.65,11.08,11.11
IH,2021-03-30,11.44,11.56,10.53,11.37
IH,2021-03-31,11.42,12.73,11.3,12.51
IH,2021-04-01,13.08,13.49,12.41,13.42
IH,2021-04-05,13.49,13.49,12.52,12.52
IH,2021-04-06,12.4,12.93,12.133,12.79
IH,2021-04-07,12.69,12.76,12.19,12.19
IH,2021-04-08,12.19,12.51,12.155,12.37
IH,2021-04-09,12.34,12.415,11.72,12.18
IH,2021-04-12,12.1,12.61,11.9,11.95
IH,2021-04-13,12.02,12.22,11.57,11.9
IH,2021-04-14,11.98,12.3,11.85,12.2
IH,2021-04-15,12.26,12.415,11.82,12.13
IH,2021-04-16,12.06,12.33,12.02,12.13
IH,2021-04-19,12.08,12.69,12.08,12.3
IH,2021-04-20,12.26,12.51,11.876,12.16
IH,2021-04-21,12.14,13.77,11.975,12.98
IH,2021-04-22,13.4,13.4,12.13,12.51
IH,2021-04-23,12.35,12.735,11.97,12.1
IH,2021-04-26,12.1,15.0,12.04,14.05
IH,2021-04-27,14.0,14.0,12.344,12.46
IH,2021-04-28,12.8,13.3,12.5,12.78
IH,2021-04-29,12.88,13.49,12.0,13.4
IH,2021-04-30,12.9,13.38,12.52,12.8
IH,2021-05-03,12.85,12.85,12.51,12.59
IH,2021-05-04,12.51,12.6,12.0,12.59
IH,2021-05-05,12.5,12.5,11.68,11.68
IH,2021-05-06,11.66,11.79,10.99,11.23
IH,2021-05-07,11.29,11.76,11.21,11.41
IH,2021-05-10,11.36,11.7,10.79,11.57
IH,2021-05-11,10.97,11.57,10.97,11.49
IH,2021-05-12,11.25,11.26,10.61,10.79
IH,2021-05-13,10.75,11.18,9.69,10.04
IH,2021-05-14,10.0,10.82,9.5,9.6
IH,2021-05-17,9.86,10.0,9.54,9.56
IH,2021-05-18,9.73,10.0,9.633,9.76
IH,2021-05-19,9.85,10.0,9.8,10.0
IH,2021-05-20,9.86,10.43,9.7,10.43
IH,2021-05-21,10.5,10.5,10.0,10.17
IH,2021-05-24,10.0,10.0,9.11,9.16
IH,2021-05-25,9.34,9.5,9.18,9.27
IH,2021-05-26,9.4,9.5,8.94,9.43
IH,2021-05-27,9.3,9.5,9.15,9.49
IH,2021-05-28,9.39,9.5,8.95,8.96
IH,2021-06-01,9.19,9.49,9.05,9.22
IH,2021-06-02,9.14,9.28,9.0,9.16
IH,2021-06-03,9.01,9.28,8.98,9.0
IH,2021-06-04,9.0,9.83,8.98,9.6
IH,2021-06-07,9.68,10.8,9.47,10.67
IH,2021-06-08,10.28,10.5,9.8,10.5
IH,2021-06-09,10.29,11.77,10.16,11.27
IH,2021-06-10,11.465,11.685,10.05,10.19
IH,2021-06-11,10.17,10.415,10.02,10.24
IH,2021-06-14,10.19,10.88,10.19,10.79
IH,2021-06-15,10.83,10.83,9.7,9.8
IH,2021-06-16,9.8,9.96,9.5,9.81
IH,2021-06-17,9.7,10.78,9.7,10.18
IH,2021-06-18,10.18,10.65,9.85,10.36
IH,2021-06-21,10.01,10.33,9.75,10.28
IH,2021-06-22,10.15,10.4,9.8,9.81
IH,2021-06-23,10.13,10.15,9.74,10.04
IH,2021-06-24,10.0,10.48,9.62,10.27
IH,2021-06-25,10.47,10.47,9.66,9.85
IH,2021-06-28,9.85,10.16,9.66,9.9
IH,2021-06-29,9.81,10.5,9.72,10.4
IH,2021-06-30,10.25,10.49,9.969,10.34
IH,2021-07-01,10.34,10.85,10.23,10.7
IH,2021-07-02,10.6,10.7,10.114,10.26
IH,2021-07-06,10.31,10.5,10.1,10.47
IH,2021-07-07,10.66,10.66,9.91,10.3
IH,2021-07-08,10.1,10.3,9.9,9.98
IH,2021-07-09,9.91,10.65,9.91,10.41
IH,2021-07-12,10.38,11.5,10.2,11.15
IH,2021-07-13,11.15,11.15,10.22,10.74
IH,2021-07-14,10.475,10.475,9.7,10.0
IH,2021-07-15,10.0,10.28,10.0,10.28
IH,2021-07-16,10.36,10.73,10.03,10.13
IH,2021-07-19,10.03,10.072,9.85,9.95
IH,2021-07-20,9.85,10.12,9.85,10.06
IH,2021-07-21,9.94,10.49,9.94,10.49
IH,2021-07-22,10.1,10.49,10.1,10.49
IH,2021-07-23,7.89,8.46,7.1,8.25
IH,2021-07-26,7.27,7.5,6.31,6.8
IH,2021-07-27,6.82,6.945,6.28,6.41
IH,2021-07-28,6.84,7.18,6.47,6.75
IH,2021-07-29,6.94,6.94,6.7,6.76
IH,2021-07-30,6.618,6.99,6.618,6.84
IH,2021-08-02,7.0,7.68,6.56,7.17
IH,2021-08-03,7.25,7.658,6.942,7.42
IH,2021-08-04,7.5,7.82,7.5,7.62
IH,2021-08-05,7.61,7.97,7.61,7.9
IH,2021-08-06,7.93,7.96,7.535,7.95
IH,2021-08-09,8.0,8.11,7.89,7.91
IH,2021-08-10,7.98,8.16,7.87,8.0
IH,2021-08-11,7.94,7.95,7.845,7.884
IH,2021-08-12,7.85,7.94,7.26,7.26
IH,2021-08-13,7.39,7.67,7.156,7.43
IH,2021-08-16,7.29,7.375,6.9,7.35
IH,2021-08-17,7.0,7.25,6.66,6.91
IH,2021-08-18,6.93,7.08,6.24,6.24
IH,2021-08-19,6.21,6.55,5.71,5.98
IH,2021-08-20,5.6,6.68,5.6,6.61
IH,2021-08-23,6.76,6.96,6.51,6.59
IH,2021-08-24,6.89,7.0,6.66,7.0
IH,2021-08-25,7.125,7.13,6.94,7.13
IH,2021-08-26,7.13,7.14,6.91,7.06
IH,2021-08-27,7.07,7.12,6.73,6.73
IH,2021-08-30,6.84,6.94,6.62,6.82
IH,2021-08-31,6.87,6.94,6.701,6.86
IH,2021-09-01,6.86,7.03,6.86,6.95
IH,2021-09-02,6.93,7.14,6.92,7.06
IH,2021-09-03,7.08,7.277,6.61,6.61
IH,2021-09-07,6.75,7.05,6.75,7.02
IH,2021-09-08,6.85,6.95,6.701,6.79
IH,2021-09-09,6.66,6.93,6.66,6.795
IH,2021-09-10,6.712,6.84,6.61,6.723
IH,2021-09-13,6.614,6.71,6.51,6.67
IH,2021-09-14,6.6,7.18,6.51,6.53
