ticker,date,open,high,low,close
INFY,1999-03-11,0.58,0.78,0.58,0.73
INFY,1999-03-12,0.73,0.76,0.67,0.73
INFY,1999-03-15,0.73,0.73,0.66,0.66
INFY,1999-03-16,0.67,0.69,0.66,0.66
INFY,1999-03-17,0.66,0.7,0.65,0.66
INFY,1999-03-18,0.66,0.69,0.65,0.67
INFY,1999-03-19,0.68,0.68,0.66,0.66
INFY,1999-03-22,0.66,0.69,0.66,0.66
INFY,1999-03-23,0.66,0.66,0.63,0.63
INFY,1999-03-24,0.64,0.65,0.62,0.64
INFY,1999-03-25,0.64,0.66,0.63,0.66
INFY,1999-03-26,0.67,0.73,0.67,0.71
INFY,1999-03-29,0.72,0.72,0.71,0.72
INFY,1999-03-30,0.72,0.72,0.71,0.71
INFY,1999-03-31,0.71,0.71,0.66,0.67
INFY,1999-04-01,0.67,0.67,0.65,0.65
INFY,1999-04-05,0.67,0.7,0.65,0.68
INFY,1999-04-06,0.67,0.68,0.65,0.65
INFY,1999-04-07,0.67,0.69,0.67,0.67
INFY,1999-04-08,0.67,0.72,0.67,0.7
INFY,1999-04-09,0.69,0.69,0.65,0.69
INFY,1999-04-12,0.68,0.7,0.68,0.68
INFY,1999-04-13,0.68,0.69,0.65,0.65
INFY,1999-04-14,0.66,0.66,0.65,0.65
INFY,1999-04-15,0.66,0.66,0.65,0.65
INFY,1999-04-16,0.66,0.68,0.65,0.68
INFY,1999-04-19,0.66,0.66,0.66,0.66
INFY,1999-04-20,0.66,0.66,0.62,0.63
INFY,1999-04-21,0.62,0.63,0.61,0.62
INFY,1999-04-22,0.63,0.68,0.63,0.68
INFY,1999-04-23,0.68,0.68,0.66,0.67
INFY,1999-04-26,0.68,0.68,0.65,0.66
INFY,1999-04-27,0.67,0.67,0.62,0.62
INFY,1999-04-28,0.62,0.64,0.62,0.62
INFY,1999-04-29,0.62,0.63,0.62,0.63
INFY,1999-04-30,0.63,0.65,0.63,0.65
INFY,1999-05-03,0.66,0.66,0.65,0.66
INFY,1999-05-04,0.66,0.66,0.65,0.65
INFY,1999-05-05,0.66,0.67,0.66,0.66
INFY,1999-05-06,0.66,0.68,0.66,0.67
INFY,1999-05-07,0.66,0.69,0.65,0.69
INFY,1999-05-10,0.69,0.69,0.66,0.67
INFY,1999-05-11,0.66,0.68,0.66,0.67
INFY,1999-05-12,0.67,0.68,0.67,0.67
INFY,1999-05-13,0.68,0.69,0.67,0.69
INFY,1999-05-14,0.68,0.69,0.68,0.68
INFY,1999-05-17,0.68,0.69,0.68,0.68
INFY,1999-05-18,0.68,0.69,0.66,0.66
INFY,1999-05-19,0.66,0.67,0.66,0.67
INFY,1999-05-20,0.67,0.72,0.66,0.71
INFY,1999-05-21,0.7,0.73,0.7,0.72
INFY,1999-05-24,0.72,0.74,0.71,0.74
INFY,1999-05-25,0.74,0.81,0.74,0.78
INFY,1999-05-26,0.79,0.79,0.72,0.79
INFY,1999-05-27,0.77,0.79,0.75,0.77
INFY,1999-05-28,0.77,0.78,0.76,0.78
INFY,1999-06-01,0.78,0.78,0.77,0.78
INFY,1999-06-02,0.78,0.78,0.77,0.78
INFY,1999-06-03,0.78,0.78,0.77,0.77
INFY,1999-06-04,0.78,0.78,0.78,0.78
INFY,1999-06-07,0.78,0.81,0.78,0.81
INFY,1999-06-08,0.85,0.96,0.85,0.88
INFY,1999-06-09,0.88,0.88,0.76,0.77
INFY,1999-06-10,0.78,0.84,0.78,0.83
INFY,1999-06-11,0.84,0.86,0.83,0.83
INFY,1999-06-14,0.84,0.85,0.83,0.84
INFY,1999-06-15,0.83,0.85,0.81,0.81
INFY,1999-06-16,0.83,0.84,0.82,0.84
INFY,1999-06-17,0.82,0.88,0.82,0.87
INFY,1999-06-18,0.86,0.94,0.86,0.94
INFY,1999-06-21,0.93,0.93,0.92,0.93
INFY,1999-06-22,0.92,0.94,0.87,0.87
INFY,1999-06-23,0.87,0.93,0.87,0.92
INFY,1999-06-24,0.91,0.93,0.9,0.91
INFY,1999-06-25,0.91,0.95,0.91,0.93
INFY,1999-06-28,0.92,0.92,0.89,0.91
INFY,1999-06-29,0.89,0.94,0.89,0.91
INFY,1999-06-30,0.91,0.92,0.9,0.91
INFY,1999-07-01,0.92,0.93,0.9,0.91
INFY,1999-07-02,0.91,0.92,0.9,0.9
INFY,1999-07-06,0.92,0.93,0.91,0.92
INFY,1999-07-07,0.92,0.93,0.91,0.93
INFY,1999-07-08,0.93,1.06,0.93,1.03
INFY,1999-07-09,1.05,1.14,1.04,1.06
INFY,1999-07-12,1.07,1.12,1.07,1.11
INFY,1999-07-13,1.11,1.2,1.09,1.19
