ticker,date,open,high,low,close
INTA,2021-06-30,25.25,30.0,24.94,28.0
INTA,2021-07-01,27.09,28.0,26.05,27.4
INTA,2021-07-02,26.5,27.75,26.36,26.77
INTA,2021-07-06,26.77,28.6,26.68,28.07
INTA,2021-07-07,28.07,29.24,27.74,28.69
INTA,2021-07-08,28.0,28.8,26.97,27.71
INTA,2021-07-09,27.74,28.39,27.67,27.83
INTA,2021-07-12,27.97,28.07,27.35,27.6
INTA,2021-07-13,27.85,28.56,27.6,27.84
INTA,2021-07-14,27.76,28.87,27.6,28.0
INTA,2021-07-15,27.81,28.3,27.07,27.87
INTA,2021-07-16,27.81,28.43,26.81,27.98
INTA,2021-07-19,27.71,28.48,27.12,28.02
INTA,2021-07-20,28.21,28.3,27.67,27.99
INTA,2021-07-21,27.85,29.23,27.55,28.86
INTA,2021-07-22,28.85,30.16,28.01,29.85
INTA,2021-07-23,30.61,33.26,30.5,31.86
INTA,2021-07-26,32.01,33.24,32.01,32.91
INTA,2021-07-27,32.92,34.25,32.46,33.13
INTA,2021-07-28,33.63,33.63,30.8,32.58
INTA,2021-07-29,32.59,33.29,31.45,32.82
INTA,2021-07-30,32.74,34.19,31.85,33.9
INTA,2021-08-02,34.22,35.88,33.23,35.14
INTA,2021-08-03,35.33,35.6,34.24,34.44
INTA,2021-08-04,34.19,34.91,33.19,33.68
INTA,2021-08-05,33.85,34.36,31.97,33.18
INTA,2021-08-06,33.24,34.48,32.98,33.99
INTA,2021-08-09,34.52,34.52,33.2,34.0
INTA,2021-08-10,34.45,34.45,32.39,32.45
INTA,2021-08-11,32.75,33.96,32.0,32.86
INTA,2021-08-12,32.73,33.93,31.88,32.2
INTA,2021-08-13,32.48,34.17,31.12,34.0
INTA,2021-08-16,33.99,34.55,33.5,34.2
INTA,2021-08-17,34.0,34.0,32.41,32.57
INTA,2021-08-18,32.63,33.92,31.39,32.47
INTA,2021-08-19,32.4,37.47,32.4,35.82
INTA,2021-08-20,36.48,40.76,36.26,38.25
INTA,2021-08-23,38.11,40.91,37.99,39.08
INTA,2021-08-24,39.13,40.36,38.05,40.05
INTA,2021-08-25,40.11,40.11,37.52,37.78
INTA,2021-08-26,38.0,40.1,38.0,39.99
INTA,2021-08-27,40.03,40.1,38.51,38.98
INTA,2021-08-30,38.99,38.99,33.68,35.08
INTA,2021-08-31,35.75,37.58,34.17,36.5
INTA,2021-09-01,36.51,37.37,35.5,37.11
INTA,2021-09-02,37.02,38.61,36.51,38.18
INTA,2021-09-03,38.32,39.79,37.72,38.7
INTA,2021-09-07,38.9,40.06,36.77,37.26
INTA,2021-09-08,37.27,37.98,36.35,37.22
