ticker,date,open,high,low,close
IPI,2008-04-21,320.0,320.0,320.0,320.0
IPI,2008-04-22,462.5,512.0,444.4,504.0
IPI,2008-04-23,516.2,535.0,475.0,490.9
IPI,2008-04-24,502.5,502.5,459.5,485.9
IPI,2008-04-25,485.0,519.4,472.9,519.4
IPI,2008-04-28,514.7,518.0,481.1,482.8
IPI,2008-04-29,473.9,473.9,450.2,456.2
IPI,2008-04-30,463.6,486.4,453.0,474.9
IPI,2008-05-01,473.6,480.0,433.6,450.8
IPI,2008-05-02,452.8,460.0,436.8,447.6
IPI,2008-05-05,456.0,485.0,456.0,485.0
IPI,2008-05-06,483.8,507.5,474.1,497.9
IPI,2008-05-07,505.5,520.6,494.3,495.6
IPI,2008-05-08,502.0,510.9,487.0,509.0
IPI,2008-05-09,504.8,516.6,500.0,500.6
IPI,2008-05-12,504.1,505.4,481.6,495.0
IPI,2008-05-13,499.5,499.5,479.1,480.7
IPI,2008-05-14,472.4,490.0,460.9,475.8
IPI,2008-05-15,478.3,487.8,467.1,467.7
IPI,2008-05-16,471.5,495.0,468.4,494.9
IPI,2008-05-19,500.1,500.1,482.9,493.4
IPI,2008-05-20,490.0,492.6,480.0,488.8
IPI,2008-05-21,482.6,488.2,463.1,471.2
IPI,2008-05-22,477.7,479.4,465.8,468.3
IPI,2008-05-23,463.1,467.7,457.2,465.6
IPI,2008-05-27,465.0,467.3,448.8,452.2
IPI,2008-05-28,455.0,465.0,444.6,461.7
IPI,2008-05-29,459.0,465.0,452.0,464.0
IPI,2008-05-30,469.9,491.8,464.0,491.6
IPI,2008-06-02,479.2,496.5,474.0,481.0
IPI,2008-06-03,491.0,497.5,474.0,487.5
IPI,2008-06-04,482.5,487.6,475.2,483.4
IPI,2008-06-05,487.0,518.0,479.3,514.4
IPI,2008-06-06,507.3,554.4,506.0,536.4
IPI,2008-06-09,555.9,585.0,548.4,572.5
IPI,2008-06-10,564.9,579.5,550.5,558.9
IPI,2008-06-11,583.8,613.7,569.0,584.7
IPI,2008-06-12,593.0,595.0,560.1,578.5
IPI,2008-06-13,572.1,602.5,572.1,600.0
IPI,2008-06-16,612.0,638.5,601.1,624.0
IPI,2008-06-17,636.7,649.7,628.3,644.1
IPI,2008-06-18,654.3,664.3,630.5,652.4
IPI,2008-06-19,670.3,670.3,633.5,640.9
IPI,2008-06-20,652.9,688.5,638.1,676.6
IPI,2008-06-23,699.8,733.0,675.1,732.3
IPI,2008-06-24,744.2,762.4,669.9,682.1
IPI,2008-06-25,665.1,689.7,615.6,676.3
IPI,2008-06-26,676.4,688.9,645.3,655.0
IPI,2008-06-27,640.6,674.6,608.0,631.3
IPI,2008-06-30,634.2,663.9,628.0,657.8
IPI,2008-07-01,646.9,653.5,621.6,634.8
IPI,2008-07-02,648.6,648.7,574.4,582.7
IPI,2008-07-03,566.2,572.7,523.0,559.4
IPI,2008-07-07,569.5,577.5,517.6,531.4
IPI,2008-07-08,519.6,556.8,472.1,550.0
IPI,2008-07-09,563.8,591.2,542.6,564.7
IPI,2008-07-10,583.0,584.6,533.7,549.2
IPI,2008-07-11,529.0,567.5,521.9,562.0
IPI,2008-07-14,582.4,606.5,570.5,602.1
IPI,2008-07-15,594.9,599.9,554.7,581.1
IPI,2008-07-16,578.0,611.5,568.2,601.2
IPI,2008-07-17,601.8,622.3,555.2,573.2
IPI,2008-07-18,568.2,583.3,555.5,561.4
IPI,2008-07-21,569.5,599.5,565.5,598.2
IPI,2008-07-22,595.0,599.0,569.1,584.2
IPI,2008-07-23,577.8,578.5,535.1,542.2
IPI,2008-07-24,554.8,563.5,508.7,515.2
IPI,2008-07-25,529.9,533.7,510.7,521.4
IPI,2008-07-28,517.6,529.0,497.5,500.0
IPI,2008-07-29,494.1,527.7,489.9,524.5
IPI,2008-07-30,540.0,585.0,526.7,584.8
IPI,2008-07-31,570.8,588.2,550.0,553.0
IPI,2008-08-01,557.6,568.7,524.7,530.1
IPI,2008-08-04,516.7,527.4,472.4,479.7
IPI,2008-08-05,470.5,476.5,431.3,450.5
IPI,2008-08-06,460.7,486.9,453.4,474.6
IPI,2008-08-07,486.2,486.4,460.0,464.1
IPI,2008-08-08,451.2,470.0,437.5,440.7
IPI,2008-08-11,445.0,450.0,402.5,418.8
IPI,2008-08-12,416.0,435.5,412.6,424.1
IPI,2008-08-13,427.2,469.0,423.3,467.3
IPI,2008-08-14,443.3,469.0,426.4,428.6
IPI,2008-08-15,424.8,424.8,408.4,416.4
IPI,2008-08-18,429.7,436.9,421.3,428.6
IPI,2008-08-19,426.0,446.8,420.2,438.3
IPI,2008-08-20,448.9,460.0,441.5,460.0
IPI,2008-08-21,474.7,479.2,460.2,467.8
IPI,2008-08-22,458.2,464.8,445.0,463.7
IPI,2008-08-25,470.0,478.8,452.8,455.6
IPI,2008-08-26,456.0,463.9,449.0,453.7
IPI,2008-08-27,465.1,470.4,458.1,470.4
IPI,2008-08-28,473.7,475.3,457.5,466.0
IPI,2008-08-29,470.0,480.5,469.8,473.6
IPI,2008-09-02,456.7,456.7,430.5,434.8
IPI,2008-09-03,430.2,435.7,401.2,402.8
IPI,2008-09-04,403.8,405.0,365.9,368.1
IPI,2008-09-05,368.0,390.7,354.8,387.9
IPI,2008-09-08,397.9,400.0,365.6,376.8
IPI,2008-09-09,364.5,370.2,310.9,319.3
IPI,2008-09-10,323.1,342.5,313.4,337.0
IPI,2008-09-11,326.6,352.1,320.6,346.5
IPI,2008-09-12,354.6,372.4,349.8,364.3
IPI,2008-09-15,346.8,369.7,303.0,320.5
IPI,2008-09-16,299.3,343.2,284.6,340.0
IPI,2008-09-17,339.9,342.1,298.1,305.1
IPI,2008-09-18,310.9,326.4,288.8,319.7
IPI,2008-09-19,341.9,356.0,321.5,354.1
IPI,2008-09-22,353.7,374.9,353.0,355.9
IPI,2008-09-23,349.5,363.2,322.5,324.4
IPI,2008-09-24,334.5,339.5,320.0,321.1
IPI,2008-09-25,322.0,327.4,314.0,316.0
IPI,2008-09-26,298.1,302.2,282.7,295.4
IPI,2008-09-29,281.3,316.1,262.2,285.9
IPI,2008-09-30,292.4,310.0,291.0,301.4
IPI,2008-10-01,300.0,303.8,286.9,296.5
IPI,2008-10-02,259.3,276.6,209.9,233.3
IPI,2008-10-03,244.4,271.6,235.6,237.5
IPI,2008-10-06,218.5,223.9,190.2,218.7
IPI,2008-10-07,228.5,238.3,202.5,205.8
IPI,2008-10-08,191.4,228.3,191.2,217.2
IPI,2008-10-09,225.7,245.8,204.3,211.5
IPI,2008-10-10,192.4,240.0,192.4,210.0
IPI,2008-10-13,234.3,245.1,220.6,245.1
IPI,2008-10-14,262.1,265.2,235.6,242.5
IPI,2008-10-15,239.3,239.3,195.2,196.6
IPI,2008-10-16,204.1,207.5,162.5,187.5
IPI,2008-10-17,183.9,194.3,175.5,180.2
IPI,2008-10-20,191.0,207.0,185.0,206.0
IPI,2008-10-21,199.0,201.5,190.8,191.1
IPI,2008-10-22,181.2,186.5,161.9,167.7
IPI,2008-10-23,183.3,185.0,165.0,173.1
IPI,2008-10-24,150.0,172.8,150.0,165.7
IPI,2008-10-27,165.7,180.0,160.8,160.8
IPI,2008-10-28,175.0,175.0,158.1,170.4
IPI,2008-10-29,174.2,193.7,171.1,182.7
IPI,2008-10-30,193.2,217.5,182.5,210.2
IPI,2008-10-31,200.7,218.8,200.7,217.4
IPI,2008-11-03,220.6,226.0,205.4,207.3
IPI,2008-11-04,224.8,242.5,221.2,236.0
IPI,2008-11-05,228.6,239.3,208.6,209.1
IPI,2008-11-06,200.0,204.3,191.5,194.6
IPI,2008-11-07,201.0,215.5,198.8,203.8
IPI,2008-11-10,214.9,219.8,195.0,204.9
IPI,2008-11-11,194.3,198.9,187.0,194.6
IPI,2008-11-12,174.7,184.6,152.5,153.8
IPI,2008-11-13,157.3,192.9,151.2,191.1
IPI,2008-11-14,182.8,208.8,175.1,198.2
IPI,2008-11-17,187.9,187.9,167.5,174.9
IPI,2008-11-18,175.1,183.6,170.8,178.5
IPI,2008-11-19,176.8,179.2,164.9,165.1
IPI,2008-11-20,159.1,164.3,142.5,143.4
IPI,2008-11-21,150.0,161.5,145.5,159.8
IPI,2008-11-24,168.7,180.9,162.5,175.6
IPI,2008-11-25,182.4,185.7,174.3,179.0
IPI,2008-11-26,176.7,192.9,169.2,192.6
IPI,2008-11-28,185.4,192.8,184.2,192.0
IPI,2008-12-01,185.0,186.1,165.2,165.3
IPI,2008-12-02,165.1,165.3,145.0,154.4
IPI,2008-12-03,146.2,156.7,145.4,156.6
IPI,2008-12-04,153.4,164.6,147.1,148.9
IPI,2008-12-05,143.5,156.6,138.0,156.6
IPI,2008-12-08,165.3,175.8,164.8,171.4
IPI,2008-12-09,169.0,182.0,165.4,168.3
IPI,2008-12-10,173.9,187.4,171.3,182.4
IPI,2008-12-11,180.1,192.5,173.0,175.8
IPI,2008-12-12,169.9,191.3,163.5,188.5
IPI,2008-12-15,190.8,196.4,180.3,186.7
IPI,2008-12-16,199.8,200.0,195.5,198.0
IPI,2008-12-17,196.0,211.7,194.0,207.7
IPI,2008-12-18,212.5,215.1,201.1,202.1
IPI,2008-12-19,176.2,195.3,165.5,187.7
IPI,2008-12-22,184.9,189.7,171.1,174.1
IPI,2008-12-23,178.1,182.2,167.5,170.1
IPI,2008-12-24,174.3,174.3,168.0,170.5
IPI,2008-12-26,170.8,181.4,169.3,180.7
IPI,2008-12-29,184.6,204.2,181.7,200.0
IPI,2008-12-30,200.2,202.6,195.4,199.2
IPI,2008-12-31,192.6,208.5,192.6,207.7
IPI,2009-01-02,207.4,217.9,206.4,214.1
IPI,2009-01-05,210.1,225.6,206.6,216.9
IPI,2009-01-06,222.4,225.3,214.2,219.1
IPI,2009-01-07,218.5,226.0,212.0,217.9
IPI,2009-01-08,214.8,215.5,204.4,214.2
IPI,2009-01-09,218.1,219.8,209.0,214.8
IPI,2009-01-12,206.1,214.6,188.5,194.3
IPI,2009-01-13,191.1,200.6,188.6,196.7
IPI,2009-01-14,193.3,193.3,183.1,185.6
IPI,2009-01-15,181.7,199.7,177.5,196.4
IPI,2009-01-16,204.4,211.4,197.2,200.0
IPI,2009-01-20,192.5,199.6,185.6,190.2
IPI,2009-01-21,198.3,201.8,188.1,201.1
IPI,2009-01-22,195.0,212.7,193.3,211.9
IPI,2009-01-23,201.8,222.9,197.0,220.0
IPI,2009-01-26,224.7,237.0,221.5,223.6
IPI,2009-01-27,226.3,229.7,211.4,218.1
IPI,2009-01-28,226.2,227.2,213.3,219.0
IPI,2009-01-29,212.1,216.1,210.0,210.8
IPI,2009-01-30,212.7,215.0,201.6,203.8
IPI,2009-02-02,197.4,206.5,196.7,198.5
IPI,2009-02-03,200.3,212.5,197.0,211.1
IPI,2009-02-04,215.0,229.4,215.0,220.4
IPI,2009-02-05,218.3,227.5,216.2,224.5
IPI,2009-02-06,226.5,233.0,226.0,228.1
IPI,2009-02-09,234.5,256.4,234.5,243.5
IPI,2009-02-10,245.8,252.5,232.9,235.2
IPI,2009-02-11,230.5,234.5,215.5,220.0
IPI,2009-02-12,216.5,237.2,212.8,233.8
IPI,2009-02-13,233.2,243.3,230.0,239.9
IPI,2009-02-17,226.1,230.1,216.2,217.0
IPI,2009-02-18,220.0,228.4,215.0,223.3
IPI,2009-02-19,228.9,234.9,225.0,226.8
IPI,2009-02-20,223.3,229.3,219.0,228.3
IPI,2009-02-23,232.5,234.3,197.1,198.2
IPI,2009-02-24,198.1,214.2,197.9,213.1
IPI,2009-02-25,223.7,230.2,205.2,208.0
IPI,2009-02-26,209.1,219.0,209.1,210.6
IPI,2009-02-27,204.4,230.0,203.0,224.4
IPI,2009-03-02,215.6,219.2,195.7,198.1
IPI,2009-03-03,201.6,206.4,197.6,200.7
IPI,2009-03-04,208.0,211.4,166.3,177.3
IPI,2009-03-05,174.3,178.7,163.2,170.4
IPI,2009-03-06,167.1,176.9,139.9,144.9
IPI,2009-03-09,149.8,156.5,147.4,154.4
IPI,2009-03-10,157.8,170.6,157.0,169.3
IPI,2009-03-11,175.9,180.2,153.3,167.6
IPI,2009-03-12,164.5,164.7,151.0,156.6
IPI,2009-03-13,159.3,161.5,155.0,158.5
IPI,2009-03-16,160.9,166.5,158.0,159.1
IPI,2009-03-17,160.7,160.7,151.1,157.3
IPI,2009-03-18,156.4,159.8,153.0,159.0
IPI,2009-03-19,163.0,179.6,159.2,172.8
IPI,2009-03-20,177.0,178.7,160.1,165.8
IPI,2009-03-23,172.5,185.5,171.0,185.5
IPI,2009-03-24,180.1,192.7,178.3,188.3
IPI,2009-03-25,189.4,199.5,185.1,193.1
IPI,2009-03-26,197.0,205.0,194.5,203.1
IPI,2009-03-27,201.4,215.5,198.5,205.4
IPI,2009-03-30,198.2,198.2,175.3,178.2
IPI,2009-03-31,181.0,188.5,181.0,184.5
IPI,2009-04-01,181.0,192.5,178.7,191.4
IPI,2009-04-02,198.8,206.3,196.2,200.5
IPI,2009-04-03,199.9,207.2,190.8,207.2
IPI,2009-04-06,207.6,207.6,197.8,203.5
IPI,2009-04-07,198.3,198.3,186.0,193.6
IPI,2009-04-08,190.0,208.2,188.0,207.8
IPI,2009-04-09,215.0,215.0,208.2,212.0
IPI,2009-04-13,210.1,214.1,204.8,211.6
IPI,2009-04-14,210.0,223.1,208.0,220.3
IPI,2009-04-15,219.9,223.0,212.7,222.9
IPI,2009-04-16,221.6,228.5,216.7,224.1
IPI,2009-04-17,223.2,224.7,216.8,219.4
IPI,2009-04-20,217.5,218.9,200.6,201.9
IPI,2009-04-21,200.4,214.1,198.7,212.0
IPI,2009-04-22,200.8,208.6,190.0,196.5
IPI,2009-04-23,195.8,200.1,188.5,194.9
IPI,2009-04-24,200.0,212.1,195.6,210.6
IPI,2009-04-27,204.5,247.5,201.6,242.1
IPI,2009-04-28,238.5,238.5,218.3,230.2
IPI,2009-04-29,231.2,250.0,231.2,244.2
IPI,2009-04-30,252.4,255.9,244.1,246.9
IPI,2009-05-01,248.6,263.9,245.0,261.5
IPI,2009-05-04,259.9,280.5,257.5,272.5
IPI,2009-05-05,270.4,278.7,262.6,277.5
IPI,2009-05-06,282.1,286.1,262.0,268.1
IPI,2009-05-07,270.6,278.0,255.0,261.4
IPI,2009-05-08,276.9,280.0,267.0,279.5
IPI,2009-05-11,264.8,273.3,256.9,265.3
IPI,2009-05-12,268.4,278.8,261.6,266.0
IPI,2009-05-13,260.1,274.1,257.2,258.4
IPI,2009-05-14,260.0,288.0,257.5,284.2
IPI,2009-05-15,288.6,304.7,277.4,284.9
IPI,2009-05-18,294.6,307.3,290.5,307.2
IPI,2009-05-19,310.9,325.1,303.1,324.0
IPI,2009-05-20,332.8,341.8,325.7,333.2
IPI,2009-05-21,321.1,325.8,301.0,308.6
IPI,2009-05-22,314.9,324.6,308.9,319.8
IPI,2009-05-26,317.2,335.9,308.9,334.1
IPI,2009-05-27,332.1,334.1,317.9,319.0
IPI,2009-05-28,324.0,330.0,319.0,329.1
IPI,2009-05-29,333.7,339.1,320.1,326.0
IPI,2009-06-01,335.0,345.6,331.7,336.5
IPI,2009-06-02,336.7,341.0,325.2,326.4
IPI,2009-06-03,321.9,324.0,301.0,312.0
IPI,2009-06-04,319.7,333.0,313.8,332.5
IPI,2009-06-05,334.9,341.4,321.0,329.5
IPI,2009-06-08,328.9,328.9,309.1,319.0
IPI,2009-06-09,321.0,327.1,315.1,323.7
IPI,2009-06-10,329.3,329.9,315.2,318.8
IPI,2009-06-11,318.3,333.2,315.8,329.3
IPI,2009-06-12,324.8,339.8,318.8,322.6
IPI,2009-06-15,317.3,319.9,301.0,305.9
IPI,2009-06-16,310.4,313.0,288.0,289.5
IPI,2009-06-17,280.5,280.5,250.0,263.3
IPI,2009-06-18,257.9,272.4,255.7,268.1
IPI,2009-06-19,272.9,273.4,266.3,270.5
IPI,2009-06-22,265.2,265.2,242.0,246.4
IPI,2009-06-23,250.4,265.8,247.2,262.9
IPI,2009-06-24,269.8,278.2,263.1,266.2
IPI,2009-06-25,264.2,275.0,262.6,273.2
IPI,2009-06-26,262.0,280.9,261.0,278.6
IPI,2009-06-29,282.6,289.8,282.2,286.8
IPI,2009-06-30,289.1,290.0,272.3,280.8
IPI,2009-07-01,284.2,289.2,266.5,271.9
IPI,2009-07-02,265.3,289.9,265.0,276.3
IPI,2009-07-06,272.8,272.8,251.5,264.0
IPI,2009-07-07,262.4,263.3,249.0,251.2
IPI,2009-07-08,253.2,255.9,240.9,247.3
IPI,2009-07-09,253.8,262.7,249.0,255.3
IPI,2009-07-10,249.8,263.9,230.0,234.8
IPI,2009-07-13,223.5,231.2,212.0,229.8
IPI,2009-07-14,227.7,237.3,219.0,233.5
IPI,2009-07-15,237.2,245.0,237.1,241.8
IPI,2009-07-16,249.9,263.4,247.9,259.8
IPI,2009-07-17,262.1,262.8,246.3,248.2
