ticker,date,open,high,low,close
IRAA,2021-05-26,10.5,10.5,10.03,10.03
IRAA,2021-05-27,9.9,9.9,9.9,9.9
IRAA,2021-05-28,9.9,9.9,9.9,9.9
IRAA,2021-06-01,9.95,9.95,9.95,9.95
IRAA,2021-06-02,9.95,9.95,9.95,9.95
IRAA,2021-06-03,10.0,10.0,9.95,9.95
IRAA,2021-06-04,9.95,9.95,9.95,9.95
IRAA,2021-06-07,9.84,9.86,9.84,9.86
IRAA,2021-06-08,9.86,9.86,9.86,9.86
IRAA,2021-06-09,9.95,9.95,9.9,9.92
IRAA,2021-06-10,9.92,9.92,9.92,9.92
IRAA,2021-06-11,9.94,9.94,9.94,9.94
IRAA,2021-06-14,9.8,9.8,9.66,9.75
IRAA,2021-06-15,9.75,9.89,9.75,9.85
IRAA,2021-06-16,9.85,9.85,9.85,9.85
IRAA,2021-06-17,9.88,9.89,9.78,9.85
IRAA,2021-06-18,9.85,9.85,9.83,9.85
IRAA,2021-06-21,9.93,9.93,9.9,9.9
IRAA,2021-06-22,9.99,10.02,9.92,10.01
IRAA,2021-06-23,10.01,10.01,10.01,10.01
IRAA,2021-06-24,9.73,9.94,9.73,9.94
IRAA,2021-06-25,9.95,10.02,9.72,10.02
IRAA,2021-06-28,10.0,10.0,9.76,9.8
IRAA,2021-06-29,9.91,9.95,9.7,9.75
IRAA,2021-06-30,9.75,9.75,9.7,9.7
IRAA,2021-07-01,9.68,9.74,9.68,9.7
IRAA,2021-07-02,9.7,9.7,9.68,9.7
IRAA,2021-07-06,9.72,9.79,9.7,9.74
IRAA,2021-07-07,9.8,9.8,9.72,9.73
IRAA,2021-07-08,9.68,9.68,9.68,9.68
IRAA,2021-07-09,9.7,9.7,9.67,9.67
IRAA,2021-07-12,9.76,9.76,9.71,9.75
IRAA,2021-07-13,9.75,9.75,9.75,9.75
IRAA,2021-07-14,9.72,9.72,9.72,9.72
IRAA,2021-07-15,9.68,9.68,9.68,9.68
IRAA,2021-07-16,9.73,9.73,9.73,9.73
IRAA,2021-07-19,9.68,9.68,9.68,9.68
IRAA,2021-07-20,9.68,9.68,9.68,9.68
IRAA,2021-07-21,9.72,9.72,9.7,9.7
IRAA,2021-07-22,9.7,9.7,9.7,9.7
IRAA,2021-07-23,9.71,9.71,9.7,9.7
IRAA,2021-07-26,9.7,9.7,9.7,9.7
IRAA,2021-07-27,9.67,9.74,9.67,9.74
IRAA,2021-07-28,9.74,9.74,9.74,9.74
IRAA,2021-07-29,9.74,9.74,9.74,9.74
IRAA,2021-07-30,9.75,9.75,9.75,9.75
IRAA,2021-08-02,9.75,9.75,9.75,9.75
IRAA,2021-08-03,9.75,9.75,9.75,9.75
IRAA,2021-08-04,9.75,9.75,9.75,9.75
IRAA,2021-08-05,9.75,9.75,9.75,9.75
IRAA,2021-08-06,9.7,9.7,9.7,9.7
IRAA,2021-08-09,9.75,9.75,9.75,9.75
IRAA,2021-08-10,9.75,9.75,9.75,9.75
IRAA,2021-08-11,9.75,9.75,9.75,9.75
IRAA,2021-08-12,9.78,9.78,9.69,9.69
IRAA,2021-08-13,9.69,9.69,9.69,9.69
IRAA,2021-08-16,9.77,9.77,9.75,9.76
IRAA,2021-08-17,9.76,9.76,9.76,9.76
IRAA,2021-08-18,9.76,9.76,9.73,9.73
IRAA,2021-08-19,9.71,9.74,9.7,9.7
IRAA,2021-08-20,9.74,9.74,9.64,9.64
IRAA,2021-08-23,9.67,9.67,9.63,9.64
IRAA,2021-08-24,9.66,9.66,9.66,9.66
IRAA,2021-08-25,9.66,9.66,9.66,9.66
IRAA,2021-08-26,9.62,9.63,9.62,9.63
IRAA,2021-08-27,9.65,9.65,9.63,9.63
IRAA,2021-08-30,9.64,9.64,9.64,9.64
IRAA,2021-08-31,9.64,9.64,9.64,9.64
IRAA,2021-09-01,9.63,9.7,9.63,9.69
IRAA,2021-09-02,9.69,9.69,9.69,9.69
IRAA,2021-09-03,9.69,9.69,9.69,9.69
IRAA,2021-09-07,9.69,9.69,9.69,9.69
IRAA,2021-09-08,9.69,9.69,9.69,9.69
IRAA,2021-09-09,9.69,9.69,9.69,9.69
IRAA,2021-09-10,9.7,9.7,9.68,9.68
IRAA,2021-09-13,9.69,9.69,9.69,9.69
IRAA,2021-09-14,9.69,9.71,9.69,9.71
IRAA,2021-09-15,9.71,9.71,9.71,9.71
IRAA,2021-09-16,9.71,9.71,9.7,9.71
IRAA,2021-09-17,9.71,9.71,9.71,9.71
IRAA,2021-09-20,9.7,9.73,9.7,9.73
IRAA,2021-09-21,9.69,9.69,9.69,9.69
IRAA,2021-09-22,9.71,9.73,9.7,9.7
IRAA,2021-09-23,9.68,9.7,9.67,9.7
IRAA,2021-09-24,9.7,9.7,9.7,9.7
IRAA,2021-09-27,9.69,9.71,9.69,9.69
IRAA,2021-09-28,9.69,9.69,9.69,9.69
IRAA,2021-09-29,9.71,9.71,9.71,9.71
IRAA,2021-09-30,9.71,9.71,9.71,9.71
