ticker,date,open,high,low,close
IRON,2020-08-12,307.8,314.4,304.8,309.0
IRON,2020-08-13,309.0,318.75,307.5,316.2
IRON,2020-08-14,327.6,329.7,312.9,313.2
IRON,2020-08-17,311.1,327.0,311.1,315.0
IRON,2020-08-18,317.25,322.5,309.0,309.0
IRON,2020-08-19,311.4,324.6,309.0,310.2
IRON,2020-08-20,311.1,320.7,311.1,311.7
IRON,2020-08-21,313.5,315.0,309.0,309.0
IRON,2020-08-24,309.0,322.05,309.0,310.8
IRON,2020-08-25,314.7,317.25,309.3,309.3
IRON,2020-08-26,309.6,318.6,309.3,316.5
IRON,2020-08-27,312.0,330.0,312.0,330.0
IRON,2020-08-28,330.0,330.0,330.0,330.0
IRON,2020-08-31,330.0,330.0,330.0,330.0
IRON,2020-09-01,316.5,317.1,316.5,317.1
IRON,2020-09-02,318.0,321.0,318.0,321.0
IRON,2020-09-03,316.5,316.5,316.5,316.5
IRON,2020-09-04,328.5,328.5,326.7,326.7
IRON,2020-09-08,303.0,313.5,303.0,313.5
IRON,2020-09-09,313.5,313.5,313.5,313.5
IRON,2020-09-10,315.0,315.0,315.0,315.0
IRON,2020-09-11,326.7,326.7,326.7,326.7
IRON,2020-09-14,328.5,328.5,322.5,322.5
IRON,2020-09-15,315.0,318.0,315.0,316.5
IRON,2020-09-16,315.0,320.1,315.0,320.1
IRON,2020-09-17,334.2,339.0,317.7,317.7
IRON,2020-09-18,324.39,333.63,321.6,325.5
IRON,2020-09-21,338.4,348.9,338.4,340.08
IRON,2020-09-22,340.2,340.2,318.0,320.01
IRON,2020-09-23,344.1,378.0,344.1,345.6
IRON,2020-09-24,315.3,315.3,315.3,315.3
IRON,2020-09-25,351.72,351.72,351.72,351.72
IRON,2020-09-28,327.0,335.85,327.0,335.85
IRON,2020-09-29,335.85,335.85,335.85,335.85
IRON,2020-09-30,334.5,336.0,334.2,335.94
IRON,2020-10-01,335.7,335.7,335.7,335.7
IRON,2020-10-02,336.0,336.0,325.5,325.5
IRON,2020-10-05,332.7,332.7,330.0,330.0
IRON,2020-10-06,331.35,331.35,330.0,330.0
IRON,2020-10-07,330.0,330.0,330.0,330.0
IRON,2020-10-08,328.2,329.1,328.2,329.1
IRON,2020-10-09,328.5,328.5,322.5,324.0
IRON,2020-10-12,325.5,325.5,325.5,325.5
IRON,2020-10-13,322.5,331.5,322.5,330.0
IRON,2020-10-14,334.2,334.2,334.2,334.2
IRON,2020-10-15,321.6,330.0,306.3,321.0
IRON,2020-10-16,321.6,322.5,309.0,309.0
IRON,2020-10-19,314.25,314.25,312.0,312.0
IRON,2020-10-20,315.3,315.3,300.0,303.9
IRON,2020-10-21,306.0,306.0,300.0,300.0
IRON,2020-10-22,303.33,303.33,301.5,301.5
IRON,2020-10-23,304.5,304.5,304.5,304.5
IRON,2020-10-26,303.15,303.15,303.0,303.0
IRON,2020-10-27,304.8,304.8,304.65,304.8
IRON,2020-10-28,315.0,315.0,304.2,304.2
IRON,2020-10-29,305.55,305.55,303.0,303.0
IRON,2020-10-30,305.4,305.4,300.0,300.0
IRON,2020-11-02,301.5,301.8,300.0,300.3
IRON,2020-11-03,300.3,300.3,300.3,300.3
IRON,2020-11-04,301.5,301.5,300.3,300.3
IRON,2020-11-05,300.6,302.4,300.6,302.4
IRON,2020-11-06,301.5,301.5,301.5,301.5
IRON,2020-11-09,304.5,304.5,304.2,304.5
IRON,2020-11-10,300.3,300.3,300.0,300.0
IRON,2020-11-11,300.0,301.35,300.0,300.3
IRON,2020-11-12,300.75,300.75,300.75,300.75
IRON,2020-11-13,302.7,304.5,300.0,304.5
IRON,2020-11-16,304.5,304.8,302.01,303.0
IRON,2020-11-17,303.3,304.8,301.5,301.5
IRON,2020-11-18,302.61,305.1,302.61,304.2
IRON,2020-11-19,305.1,305.1,305.1,305.1
IRON,2020-11-20,304.5,304.5,301.5,301.5
IRON,2020-11-23,303.0,304.5,301.5,301.5
IRON,2020-11-24,301.5,310.2,294.0,300.24
IRON,2020-11-25,300.0,304.5,300.0,301.5
IRON,2020-11-27,301.5,305.4,299.7,303.0
IRON,2020-11-30,306.0,306.0,300.0,300.9
IRON,2020-12-01,300.9,301.65,300.0,300.6
IRON,2020-12-02,301.65,302.4,300.0,302.4
IRON,2020-12-03,301.2,301.8,301.2,301.5
IRON,2020-12-04,304.5,305.1,302.1,302.4
IRON,2020-12-07,304.2,306.9,303.69,304.5
IRON,2020-12-08,304.5,315.15,304.02,309.0
IRON,2020-12-09,310.2,310.5,306.57,308.7
IRON,2020-12-10,308.4,308.7,306.0,308.1
IRON,2020-12-11,309.0,310.5,306.3,308.1
IRON,2020-12-14,310.5,312.0,306.0,312.0
IRON,2020-12-15,309.6,309.6,307.2,307.65
IRON,2020-12-16,309.9,315.0,303.78,310.8
IRON,2020-12-17,314.7,316.5,312.0,314.25
IRON,2020-12-18,312.81,315.0,309.3,309.3
IRON,2020-12-21,309.0,314.4,308.4,309.0
IRON,2020-12-22,314.1,316.8,313.65,315.0
IRON,2020-12-23,315.0,315.45,310.5,313.2
IRON,2020-12-24,315.0,315.0,313.2,315.0
IRON,2020-12-28,315.0,317.7,313.98,315.0
IRON,2020-12-29,315.0,317.7,314.7,314.7
IRON,2020-12-30,313.8,315.0,310.8,312.0
IRON,2020-12-31,313.5,351.6,312.3,330.0
IRON,2021-01-04,336.0,358.2,333.0,339.6
IRON,2021-01-05,334.2,350.4,334.2,343.5
IRON,2021-01-06,343.5,351.0,336.3,341.4
IRON,2021-01-07,344.7,377.7,342.0,349.8
IRON,2021-01-08,357.0,363.6,348.9,363.3
IRON,2021-01-11,389.4,397.5,375.0,388.5
IRON,2021-01-12,389.7,395.7,387.0,390.3
IRON,2021-01-13,394.5,407.1,387.3,388.5
IRON,2021-01-14,390.0,401.4,384.3,393.6
IRON,2021-01-15,397.8,398.16,374.37,383.7
IRON,2021-01-19,387.3,389.7,366.3,377.7
IRON,2021-01-20,389.1,397.2,379.5,382.5
IRON,2021-01-21,378.6,381.0,364.2,376.5
IRON,2021-01-22,374.1,390.0,357.0,390.0
IRON,2021-01-25,390.0,393.0,370.5,380.7
IRON,2021-01-26,376.2,377.13,363.0,371.7
IRON,2021-01-27,360.0,367.2,345.3,356.7
IRON,2021-01-28,350.1,357.0,345.0,352.2
IRON,2021-01-29,346.8,366.0,338.1,354.0
IRON,2021-02-01,367.5,408.0,365.4,390.0
IRON,2021-02-02,385.2,412.5,384.3,394.5
IRON,2021-02-03,391.8,411.3,387.48,405.0
IRON,2021-02-04,397.8,402.0,375.0,388.2
IRON,2021-02-05,388.2,396.9,372.9,379.8
IRON,2021-02-08,393.0,393.0,339.3,363.0
IRON,2021-02-09,364.5,405.0,331.68,386.7
IRON,2021-02-10,401.4,401.4,360.9,383.7
IRON,2021-02-11,389.1,389.7,363.6,382.5
IRON,2021-02-12,384.0,384.0,361.8,376.8
IRON,2021-02-16,379.2,389.4,363.6,377.4
IRON,2021-02-17,375.0,384.0,352.8,378.3
IRON,2021-02-18,370.8,390.0,360.0,388.5
IRON,2021-02-19,384.0,405.0,375.3,397.2
IRON,2021-02-22,397.2,422.1,390.0,419.7
IRON,2021-02-23,390.0,445.2,348.0,426.3
IRON,2021-02-24,425.4,465.0,420.6,441.3
IRON,2021-02-25,441.3,455.85,411.9,450.0
IRON,2021-02-26,443.4,457.5,415.8,456.0
IRON,2021-03-01,459.3,471.0,450.0,468.0
IRON,2021-03-02,499.2,499.2,456.6,480.3
IRON,2021-03-03,494.1,499.2,464.1,478.2
IRON,2021-03-04,477.0,477.0,390.0,424.5
IRON,2021-03-05,432.3,432.3,384.45,415.8
IRON,2021-03-08,412.5,443.85,399.3,403.5
IRON,2021-03-09,410.7,428.7,406.2,415.2
IRON,2021-03-10,416.4,465.0,411.3,445.2
IRON,2021-03-11,457.5,489.0,448.44,486.3
IRON,2021-03-12,487.2,541.53,465.6,510.0
IRON,2021-03-15,528.3,572.55,510.9,540.0
IRON,2021-03-16,536.1,549.0,519.9,539.4
IRON,2021-03-17,531.0,541.2,498.6,533.4
IRON,2021-03-18,523.2,559.5,505.2,529.2
IRON,2021-03-19,534.6,540.0,488.7,516.6
IRON,2021-03-22,499.5,532.5,497.55,509.7
IRON,2021-03-23,498.6,518.7,495.15,499.5
IRON,2021-03-24,495.3,534.9,447.84,456.6
IRON,2021-03-25,450.0,486.3,426.9,474.6
IRON,2021-03-26,475.2,480.0,427.5,443.7
IRON,2021-03-29,436.5,465.0,431.1,454.5
IRON,2021-03-30,443.1,466.2,418.05,445.8
IRON,2021-03-31,444.6,490.2,402.0,406.5
IRON,2021-04-01,411.0,418.2,391.8,397.8
IRON,2021-04-05,402.3,412.2,389.7,400.65
IRON,2021-04-06,398.4,410.4,389.7,399.9
IRON,2021-04-07,399.9,423.75,390.0,405.6
