ticker,date,open,high,low,close
IT,1993-10-05,3.19,3.28,3.12,3.22
IT,1993-10-06,3.25,3.25,3.16,3.19
IT,1993-10-07,3.16,3.22,3.16,3.19
IT,1993-10-08,3.19,3.22,3.12,3.19
IT,1993-10-11,3.12,3.19,3.09,3.12
IT,1993-10-12,3.09,3.16,3.09,3.09
IT,1993-10-13,3.09,3.16,3.09,3.12
IT,1993-10-14,3.12,3.19,3.12,3.12
IT,1993-10-15,3.16,3.22,3.16,3.16
IT,1993-10-18,3.16,3.34,3.16,3.28
IT,1993-10-19,3.28,3.44,3.28,3.39
IT,1993-10-20,3.44,3.44,3.28,3.28
IT,1993-10-21,3.28,3.31,3.28,3.28
IT,1993-10-22,3.28,3.31,3.28,3.28
IT,1993-10-25,3.31,3.31,3.28,3.31
IT,1993-10-26,3.28,3.34,3.28,3.28
IT,1993-10-27,3.28,3.41,3.28,3.34
IT,1993-10-28,3.34,3.41,3.34,3.34
IT,1993-10-29,3.34,3.41,3.28,3.28
IT,1993-11-01,3.38,3.53,3.38,3.44
IT,1993-11-02,3.47,3.47,3.31,3.39
IT,1993-11-03,3.41,3.59,3.34,3.53
IT,1993-11-04,3.59,3.66,3.53,3.56
IT,1993-11-05,3.59,3.59,3.53,3.56
IT,1993-11-08,3.56,3.59,3.53,3.59
IT,1993-11-09,3.53,3.69,3.5,3.5
IT,1993-11-10,3.56,3.59,3.53,3.58
IT,1993-11-11,3.59,3.88,3.53,3.84
IT,1993-11-12,3.78,4.03,3.78,3.95
IT,1993-11-15,4.0,4.0,3.94,3.94
IT,1993-11-16,3.94,4.09,3.94,4.08
IT,1993-11-17,4.12,4.12,4.06,4.12
IT,1993-11-18,4.12,4.12,3.97,3.97
IT,1993-11-19,3.94,3.94,3.81,3.81
IT,1993-11-22,3.81,3.81,3.72,3.72
IT,1993-11-23,3.72,3.78,3.72,3.73
IT,1993-11-24,3.72,3.75,3.72,3.72
IT,1993-11-26,3.72,3.78,3.72,3.78
IT,1993-11-29,3.75,3.78,3.75,3.78
IT,1993-11-30,3.78,3.84,3.66,3.84
IT,1993-12-01,3.88,3.91,3.84,3.88
IT,1993-12-02,3.84,3.91,3.84,3.84
IT,1993-12-03,3.91,3.97,3.88,3.92
IT,1993-12-06,3.92,3.97,3.91,3.91
IT,1993-12-07,3.91,3.97,3.91,3.97
IT,1993-12-08,3.91,3.97,3.91,3.91
IT,1993-12-09,3.94,3.97,3.91,3.91
IT,1993-12-10,3.91,3.94,3.84,3.91
IT,1993-12-13,3.84,3.91,3.84,3.84
IT,1993-12-14,3.84,3.91,3.84,3.91
IT,1993-12-15,3.84,3.94,3.81,3.94
IT,1993-12-16,3.84,4.09,3.84,4.09
IT,1993-12-17,4.09,4.12,4.06,4.06
IT,1993-12-20,4.06,4.28,4.06,4.22
IT,1993-12-21,4.25,4.38,4.25,4.34
IT,1993-12-22,4.38,4.38,4.31,4.38
IT,1993-12-23,4.38,4.66,4.38,4.41
IT,1993-12-27,4.41,4.44,4.41,4.41
IT,1993-12-28,4.41,4.47,4.41,4.41
IT,1993-12-29,4.47,4.47,4.41,4.41
IT,1993-12-30,4.41,4.47,4.28,4.28
IT,1993-12-31,4.25,4.31,4.25,4.31
IT,1994-01-03,4.25,4.38,4.25,4.34
IT,1994-01-04,4.38,4.56,4.36,4.56
IT,1994-01-05,4.56,4.81,4.56,4.69
IT,1994-01-06,4.69,4.78,4.69,4.78
IT,1994-01-07,4.72,4.78,4.72,4.78
IT,1994-01-10,4.72,4.84,4.72,4.81
IT,1994-01-11,4.84,4.84,4.78,4.83
IT,1994-01-12,4.84,4.84,4.69,4.69
IT,1994-01-13,4.69,4.75,4.69,4.75
IT,1994-01-14,4.75,4.75,4.47,4.56
IT,1994-01-17,4.5,4.66,4.5,4.62
IT,1994-01-18,4.56,4.66,4.53,4.53
IT,1994-01-19,4.53,4.59,4.53,4.59
IT,1994-01-20,4.53,4.59,4.47,4.47
IT,1994-01-21,4.47,4.72,4.47,4.62
IT,1994-01-24,4.75,4.78,4.69,4.78
IT,1994-01-25,4.72,4.75,4.59,4.67
IT,1994-01-26,4.59,4.72,4.59,4.72
IT,1994-01-27,4.81,5.06,4.75,5.0
IT,1994-01-28,5.09,5.09,4.94,4.97
IT,1994-01-31,5.0,5.22,4.94,5.19
IT,1994-02-01,5.16,5.25,5.14,5.25
IT,1994-02-02,5.25,5.25,5.12,5.12
IT,1994-02-03,5.12,5.19,5.06,5.06
IT,1994-02-04,5.06,5.06,4.72,4.78
IT,1994-02-07,4.72,4.94,4.72,4.94
IT,1994-02-08,5.0,5.06,4.97,5.03
IT,1994-02-09,4.97,5.12,4.97,5.06
IT,1994-02-10,5.12,5.12,5.0,5.03
IT,1994-02-11,5.03,5.03,4.88,4.91
IT,1994-02-14,4.91,5.0,4.81,5.0
IT,1994-02-15,4.94,5.16,4.94,5.06
IT,1994-02-16,5.19,5.25,5.16,5.22
IT,1994-02-17,5.16,5.22,5.14,5.16
IT,1994-02-18,5.16,5.19,5.12,5.19
IT,1994-02-22,5.12,5.12,4.91,5.0
IT,1994-02-23,5.0,5.03,4.94,5.0
IT,1994-02-24,4.94,5.0,4.81,4.89
IT,1994-02-25,4.94,5.03,4.91,5.03
IT,1994-02-28,5.03,5.31,4.94,5.25
IT,1994-03-01,5.34,5.34,5.09,5.19
IT,1994-03-02,5.09,5.09,4.97,4.97
IT,1994-03-03,5.06,5.16,5.06,5.11
IT,1994-03-04,5.06,5.19,5.06,5.12
IT,1994-03-07,5.17,5.22,5.09,5.16
IT,1994-03-08,5.19,5.22,5.09,5.19
IT,1994-03-09,5.22,5.22,5.16,5.16
IT,1994-03-10,5.17,5.17,4.97,5.03
IT,1994-03-11,4.97,5.03,4.94,4.94
IT,1994-03-14,5.03,5.03,4.94,4.94
