ticker,date,open,high,low,close
ITW,1973-03-13,0.0,1.12,1.11,1.11
ITW,1973-03-14,0.0,1.11,1.11,1.11
ITW,1973-03-15,0.0,1.11,1.11,1.11
ITW,1973-03-16,0.0,1.12,1.11,1.12
ITW,1973-03-19,0.0,1.11,1.09,1.09
ITW,1973-03-20,0.0,1.09,1.09,1.09
ITW,1973-03-21,0.0,1.09,1.09,1.09
ITW,1973-03-22,0.0,1.08,1.05,1.05
ITW,1973-03-23,0.0,1.06,1.02,1.02
ITW,1973-03-26,0.0,1.02,1.01,1.01
ITW,1973-03-27,0.0,1.02,1.01,1.01
ITW,1973-03-28,0.0,1.01,1.01,1.01
ITW,1973-03-29,0.0,1.01,1.01,1.01
ITW,1973-03-30,0.0,1.0,0.99,0.99
ITW,1973-04-02,0.0,0.99,0.98,0.99
ITW,1973-04-03,0.99,0.99,0.99,0.99
ITW,1973-04-04,0.0,0.98,0.97,0.97
ITW,1973-04-05,0.0,0.96,0.95,0.95
ITW,1973-04-06,0.0,0.94,0.89,0.89
ITW,1973-04-09,0.0,0.91,0.89,0.9
ITW,1973-04-10,0.0,0.97,0.91,0.96
ITW,1973-04-11,0.0,0.98,0.97,0.97
ITW,1973-04-12,0.0,0.98,0.97,0.98
ITW,1973-04-13,0.0,0.98,0.98,0.98
ITW,1973-04-16,0.0,1.0,0.98,1.0
ITW,1973-04-17,0.0,1.0,0.99,1.0
ITW,1973-04-18,0.0,0.99,0.95,0.97
ITW,1973-04-19,0.0,0.98,0.98,0.98
ITW,1973-04-23,0.0,0.98,0.96,0.96
ITW,1973-04-24,0.0,0.97,0.96,0.96
ITW,1973-04-25,0.0,0.95,0.92,0.92
ITW,1973-04-26,0.0,0.93,0.92,0.92
ITW,1973-04-27,0.0,0.94,0.93,0.93
ITW,1973-04-30,0.0,0.95,0.93,0.95
ITW,1973-05-01,0.0,0.96,0.95,0.95
ITW,1973-05-02,0.0,0.98,0.95,0.98
ITW,1973-05-03,0.0,0.97,0.96,0.96
ITW,1973-05-04,0.0,0.95,0.95,0.95
ITW,1973-05-07,0.0,0.95,0.95,0.95
ITW,1973-05-08,0.0,0.96,0.95,0.95
ITW,1973-05-09,0.0,0.96,0.94,0.94
ITW,1973-05-10,0.0,0.94,0.94,0.94
ITW,1973-05-11,0.0,0.93,0.93,0.93
ITW,1973-05-14,0.0,0.92,0.91,0.92
ITW,1973-05-15,0.0,0.93,0.92,0.92
ITW,1973-05-16,0.0,0.92,0.91,0.91
ITW,1973-05-17,0.0,0.91,0.9,0.9
ITW,1973-05-18,0.0,0.9,0.9,0.9
ITW,1973-05-21,0.0,0.87,0.81,0.81
ITW,1973-05-22,0.0,0.83,0.78,0.78
ITW,1973-05-23,0.0,0.78,0.78,0.78
ITW,1973-05-24,0.0,0.77,0.76,0.77
ITW,1973-05-25,0.0,0.78,0.77,0.78
ITW,1973-05-29,0.0,0.81,0.79,0.81
ITW,1973-05-30,0.0,0.81,0.8,0.81
ITW,1973-05-31,0.0,0.8,0.78,0.78
ITW,1973-06-01,0.0,0.78,0.76,0.77
ITW,1973-06-04,0.0,0.76,0.74,0.74
ITW,1973-06-05,0.0,0.75,0.71,0.73
ITW,1973-06-06,0.0,0.73,0.7,0.71
ITW,1973-06-07,0.0,0.77,0.72,0.77
ITW,1973-06-08,0.0,0.79,0.76,0.77
ITW,1973-06-11,0.0,0.77,0.75,0.77
ITW,1973-06-12,0.0,0.79,0.77,0.79
ITW,1973-06-13,0.0,0.8,0.8,0.8
ITW,1973-06-14,0.0,0.81,0.8,0.81
ITW,1973-06-15,0.0,0.8,0.79,0.79
ITW,1973-06-18,0.0,0.8,0.8,0.8
ITW,1973-06-19,0.0,0.8,0.8,0.8
ITW,1973-06-20,0.0,0.78,0.78,0.78
ITW,1973-06-21,0.0,0.8,0.8,0.8
ITW,1973-06-22,0.0,0.81,0.8,0.81
ITW,1973-06-25,0.0,0.8,0.8,0.8
ITW,1973-06-26,0.0,0.81,0.8,0.8
ITW,1973-06-27,0.0,0.81,0.81,0.81
ITW,1973-06-28,0.0,0.82,0.81,0.82
