ticker,date,open,high,low,close
JBT,2008-07-18,13.1076,13.1076,12.655,12.655
JBT,2008-07-21,12.655,12.655,12.2033,12.2033
JBT,2008-07-22,13.5,13.5,13.5,13.5
JBT,2008-07-23,13.5,13.5,13.5,13.5
JBT,2008-07-24,13.1,13.1,13.1,13.1
JBT,2008-07-25,13.5,13.5,13.5,13.5
JBT,2008-07-28,12.5,13.0,12.5,13.0
JBT,2008-07-29,13.0,13.0,12.5,12.5
JBT,2008-07-30,12.5,12.5,12.5,12.5
JBT,2008-07-31,12.15,15.18,12.1,14.5
JBT,2008-08-01,14.45,14.45,12.5,13.15
JBT,2008-08-04,13.15,13.34,12.01,12.32
JBT,2008-08-05,11.06,13.3,11.06,12.98
JBT,2008-08-06,12.19,13.39,12.05,13.19
JBT,2008-08-07,12.21,12.73,11.94,11.99
JBT,2008-08-08,12.92,12.92,11.68,11.99
JBT,2008-08-11,11.17,12.19,11.17,11.75
JBT,2008-08-12,10.8,11.95,10.25,11.41
JBT,2008-08-13,11.4,11.45,10.97,11.05
JBT,2008-08-14,11.05,11.25,10.94,11.06
JBT,2008-08-15,10.91,11.19,10.82,11.16
JBT,2008-08-18,11.26,11.89,11.01,11.87
JBT,2008-08-19,12.0,12.9,11.79,12.44
JBT,2008-08-20,12.4,13.08,11.99,12.75
JBT,2008-08-21,12.17,12.8,12.17,12.66
JBT,2008-08-22,12.67,13.4,12.39,13.3
JBT,2008-08-25,13.0,13.15,12.37,12.49
JBT,2008-08-26,12.19,12.41,11.39,12.0
JBT,2008-08-27,11.53,12.16,11.5,12.05
JBT,2008-08-28,12.0,13.07,11.96,12.99
JBT,2008-08-29,12.41,13.29,12.4,13.0
JBT,2008-09-02,12.56,13.33,12.56,13.1
JBT,2008-09-03,13.34,13.34,12.95,13.08
JBT,2008-09-04,12.99,13.08,12.57,12.84
JBT,2008-09-05,12.51,13.32,12.51,13.13
JBT,2008-09-08,13.35,13.83,13.19,13.35
JBT,2008-09-09,12.86,13.5,12.6,13.31
JBT,2008-09-10,13.48,13.91,13.15,13.91
JBT,2008-09-11,14.0,14.0,13.02,13.6
JBT,2008-09-12,13.27,13.9,13.27,13.81
JBT,2008-09-15,13.99,14.28,12.9,13.57
JBT,2008-09-16,13.99,13.99,12.75,13.66
JBT,2008-09-17,13.99,13.99,13.25,13.53
JBT,2008-09-18,13.97,14.2,13.27,13.67
JBT,2008-09-19,13.67,14.37,13.5,14.05
JBT,2008-09-22,13.36,14.47,13.36,14.0
