ticker,date,open,high,low,close
JZ,2022-08-26,126.0,186.01,14.8,18.75
JZ,2022-08-29,13.16,14.9,7.65,8.37
JZ,2022-08-30,7.66,8.09,5.9,6.47
JZ,2022-08-31,6.18,7.65,5.22,5.79
JZ,2022-09-01,6.6,7.18,5.12,5.5
JZ,2022-09-02,5.73,6.12,5.22,5.32
JZ,2022-09-06,5.37,5.37,3.9,4.17
JZ,2022-09-07,3.95,4.48,3.92,4.2
JZ,2022-09-08,4.16,4.21,3.97,3.99
JZ,2022-09-09,3.99,4.3,3.71,3.87
JZ,2022-09-12,3.85,4.13,3.54,3.92
JZ,2022-09-13,3.78,3.87,3.6,3.71
JZ,2022-09-14,3.63,4.9,3.51,4.0
JZ,2022-09-15,4.13,4.38,3.61,3.61
JZ,2022-09-16,3.61,3.77,3.33,3.38
JZ,2022-09-19,3.42,3.63,3.31,3.52
JZ,2022-09-20,3.37,3.51,3.25,3.28
JZ,2022-09-21,3.29,3.37,2.8,2.99
JZ,2022-09-22,3.0,3.0,2.71,2.71
JZ,2022-09-23,2.68,3.37,2.58,2.82
JZ,2022-09-26,2.66,2.83,2.51,2.51
JZ,2022-09-27,2.6,2.78,2.6,2.64
JZ,2022-09-28,2.63,2.73,2.61,2.69
JZ,2022-09-29,2.62,2.88,2.56,2.72
JZ,2022-09-30,2.61,2.71,2.54,2.56
JZ,2022-10-03,2.51,2.55,2.3,2.38
JZ,2022-10-04,2.46,2.5,2.4,2.47
JZ,2022-10-05,2.42,2.499,2.35,2.46
JZ,2022-10-06,2.42,2.75,2.39,2.61
JZ,2022-10-07,2.53,2.59,2.46,2.46
JZ,2022-10-10,2.45,2.57,2.28,2.37
JZ,2022-10-11,2.36,2.46,2.216,2.41
JZ,2022-10-12,2.35,2.49,2.3,2.42
JZ,2022-10-13,2.27,2.4,2.24,2.29
JZ,2022-10-14,2.39,2.59,2.25,2.27
JZ,2022-10-17,2.34,2.42,2.273,2.3
JZ,2022-10-18,2.34,2.41,2.27,2.31
JZ,2022-10-19,2.27,2.3,2.1,2.11
JZ,2022-10-20,2.1,2.19,2.05,2.1
JZ,2022-10-21,2.05,2.17,2.0,2.02
JZ,2022-10-24,1.9,1.94,1.69,1.71
JZ,2022-10-25,1.75,1.799,1.64,1.77
JZ,2022-10-26,1.83,1.94,1.82,1.85
JZ,2022-10-27,1.82,1.92,1.65,1.72
JZ,2022-10-28,1.66,1.8,1.65,1.71
JZ,2022-10-31,1.65,1.77,1.64,1.65
JZ,2022-11-01,1.7,1.78,1.6,1.65
JZ,2022-11-02,1.68,1.68,1.43,1.43
JZ,2022-11-03,1.44,1.49,1.33,1.45
JZ,2022-11-04,1.75,2.2,1.28,1.46
JZ,2022-11-07,1.5,1.83,1.48,1.82
JZ,2022-11-08,1.8,2.21,1.3,1.857
JZ,2022-11-09,1.81,1.85,1.49,1.52
JZ,2022-11-10,1.64,1.65,1.5,1.57
JZ,2022-11-11,1.61,1.66,1.48,1.58
JZ,2022-11-14,1.66,1.7,1.561,1.69
JZ,2022-11-15,1.76,1.76,1.48,1.62
JZ,2022-11-16,1.59,1.6,1.485,1.51
JZ,2022-11-17,1.52,1.562,1.43,1.445
JZ,2022-11-18,1.48,1.5,1.41,1.41
JZ,2022-11-21,1.38,1.429,1.32,1.32
JZ,2022-11-22,1.32,1.39,1.31,1.34
JZ,2022-11-23,1.36,1.43,1.31,1.35
JZ,2022-11-25,1.35,1.4,1.34,1.396
JZ,2022-11-28,1.365,1.385,1.28,1.31
JZ,2022-11-29,1.36,1.36,1.225,1.23
JZ,2022-11-30,1.255,1.28,1.21,1.23
JZ,2022-12-01,1.25,1.3,1.24,1.28
JZ,2022-12-02,1.25,1.27,1.2,1.24
JZ,2022-12-05,1.24,1.27,1.19,1.2
JZ,2022-12-06,1.2,1.208,1.12,1.12
JZ,2022-12-07,1.12,1.15,1.06,1.12
JZ,2022-12-08,1.14,1.15,1.08,1.12
JZ,2022-12-09,1.08,1.25,1.07,1.162
JZ,2022-12-12,1.14,1.15,1.06,1.11
JZ,2022-12-13,1.14,1.15,1.06,1.06
JZ,2022-12-14,1.08,1.12,1.06,1.07
JZ,2022-12-15,1.06,1.08,1.01,1.01
JZ,2022-12-16,1.01,1.04,0.97,0.98
JZ,2022-12-19,1.03,1.08,0.99,1.03
JZ,2022-12-20,0.999,1.06,0.911,0.942
JZ,2022-12-21,0.945,1.0,0.88,0.89
JZ,2022-12-22,0.9,0.92,0.8,0.804
JZ,2022-12-23,0.88,0.88,0.78,0.799
JZ,2022-12-27,0.81,0.83,0.72,0.728
JZ,2022-12-28,0.76,0.773,0.73,0.732
JZ,2022-12-29,0.75,0.764,0.7,0.73
JZ,2022-12-30,0.713,0.75,0.69,0.741
JZ,2023-01-03,0.745,0.745,0.7,0.71
JZ,2023-01-04,0.73,0.8,0.728,0.75
JZ,2023-01-05,0.799,1.13,0.791,1.13
JZ,2023-01-06,1.2,1.434,1.08,1.31
JZ,2023-01-09,1.39,1.4,1.15,1.2
JZ,2023-01-10,1.24,1.9,1.2,1.69
JZ,2023-01-11,1.69,2.35,1.64,1.72
JZ,2023-01-12,1.74,2.14,1.74,2.08
JZ,2023-01-13,2.25,2.28,2.06,2.22
JZ,2023-01-17,2.0,2.2,1.96,2.11
JZ,2023-01-18,2.1,2.22,1.9,1.96
