ticker,date,open,high,low,close
KGS,2023-06-29,15.56,15.91,15.51,15.7
KGS,2023-06-30,15.51,16.24,15.36,16.24
KGS,2023-07-03,16.14,16.23,15.871,15.9
KGS,2023-07-05,16.09,16.15,15.05,15.3
KGS,2023-07-06,15.52,16.1,15.34,16.04
KGS,2023-07-07,16.1,16.1394,15.82,16.0
KGS,2023-07-10,16.0,16.15,15.75,16.09
KGS,2023-07-11,16.19,16.22,15.96,16.18
KGS,2023-07-12,16.25,16.25,15.825,16.07
KGS,2023-07-13,16.0,16.3,15.85,16.3
KGS,2023-07-14,16.25,16.39,16.0,16.24
KGS,2023-07-17,16.25,16.44,16.135,16.28
KGS,2023-07-18,16.45,16.57,16.28,16.43
KGS,2023-07-19,16.44,16.56,16.215,16.55
KGS,2023-07-20,16.7,16.88,16.3,16.83
KGS,2023-07-21,16.94,17.3,16.7801,17.14
KGS,2023-07-24,17.02,17.31,17.02,17.18
KGS,2023-07-25,17.28,18.365,17.225,18.02
KGS,2023-07-26,18.1,18.2693,17.45,17.8
KGS,2023-07-27,17.88,18.5,17.66,18.23
KGS,2023-07-28,18.36,19.17,18.23,18.97
KGS,2023-07-31,19.38,19.38,18.25,18.7
KGS,2023-08-01,18.59,19.3,18.59,18.69
KGS,2023-08-02,18.65,18.8395,18.43,18.63
KGS,2023-08-03,18.87,19.11,18.65,19.02
KGS,2023-08-04,19.2,19.32,18.8845,19.16
KGS,2023-08-07,19.44,19.45,18.68,18.68
KGS,2023-08-08,18.5,18.89,18.25,18.61
KGS,2023-08-09,18.6,19.13,18.52,19.11
KGS,2023-08-10,19.21,19.51,18.07,18.84
KGS,2023-08-11,18.85,19.62,18.85,19.35
KGS,2023-08-14,19.55,19.79,19.495,19.62
KGS,2023-08-15,19.73,19.73,18.87,18.88
KGS,2023-08-16,19.0,19.29,18.91,19.08
KGS,2023-08-17,19.19,19.44,19.07,19.19
KGS,2023-08-18,19.09,19.19,18.89,19.1
KGS,2023-08-21,19.2,19.2,18.24,18.64
KGS,2023-08-22,18.65,18.78,18.21,18.31
KGS,2023-08-23,18.43,18.43,17.57,18.04
KGS,2023-08-24,18.0,18.1166,17.865,18.05
KGS,2023-08-25,18.11,18.26,17.74,18.17
KGS,2023-08-28,18.5,18.92,18.27,18.27
KGS,2023-08-29,18.24,18.29,17.89,17.9
KGS,2023-08-30,17.97,18.72,17.92,18.22
KGS,2023-08-31,18.3,18.48,17.99,18.29
KGS,2023-09-01,18.34,18.61,18.34,18.48
KGS,2023-09-05,18.5,18.8815,17.69,17.96
KGS,2023-09-06,18.1,18.43,17.89,17.94
KGS,2023-09-07,17.86,18.08,17.74,17.94
KGS,2023-09-08,17.96,17.96,17.71,17.78
KGS,2023-09-11,17.84,17.98,17.22,17.4
KGS,2023-09-12,17.42,18.27,17.42,18.14
KGS,2023-09-13,18.39,18.55,17.66,17.71
KGS,2023-09-14,17.75,18.22,17.75,18.04
KGS,2023-09-15,18.0,18.25,17.52,17.82
KGS,2023-09-18,17.89,18.55,17.89,18.22
KGS,2023-09-19,18.22,18.44,17.6,17.6
KGS,2023-09-20,17.55,17.905,17.46,17.49
KGS,2023-09-21,17.45,17.7,17.18,17.23
KGS,2023-09-22,17.29,17.7,17.25,17.64
KGS,2023-09-25,17.55,17.96,17.51,17.77
KGS,2023-09-26,17.7,17.84,17.54,17.63
KGS,2023-09-27,17.8,18.42,17.8,18.36
KGS,2023-09-28,18.35,18.55,18.08,18.34
KGS,2023-09-29,18.31,18.42,17.87,17.88
KGS,2023-10-02,17.85,17.9492,17.42,17.46
KGS,2023-10-03,17.59,17.77,17.5,17.68
KGS,2023-10-04,17.56,17.68,16.925,17.19
KGS,2023-10-05,17.12,17.36,16.93,17.25
