ticker,date,open,high,low,close
KNF,2023-06-01,36.0,38.615,33.6712,35.02
KNF,2023-06-02,35.0,39.41,34.76,38.55
KNF,2023-06-05,37.98,39.32,37.1049,38.2
KNF,2023-06-06,37.1,38.5,36.48,36.89
KNF,2023-06-07,37.09,40.57,37.06,39.34
KNF,2023-06-08,38.0,41.98,38.0,40.98
KNF,2023-06-09,41.0,43.96,40.16,43.67
KNF,2023-06-12,43.14,46.3,43.14,44.0
KNF,2023-06-13,44.0,46.2,44.0,44.92
KNF,2023-06-14,44.9,47.99,44.48,46.39
KNF,2023-06-15,46.13,47.63,46.0758,47.6
KNF,2023-06-16,47.32,49.19,45.74,45.91
KNF,2023-06-20,45.57,45.89,44.4738,45.09
KNF,2023-06-21,44.54,47.47,44.54,46.86
KNF,2023-06-22,46.53,47.175,45.23,45.46
KNF,2023-06-23,45.09,46.4099,44.01,45.57
KNF,2023-06-26,44.8,46.87,44.7201,46.86
KNF,2023-06-27,46.1,47.46,45.765,47.2
KNF,2023-06-28,46.88,47.47,45.64,45.77
KNF,2023-06-29,45.24,46.25,43.64,43.79
KNF,2023-06-30,43.86,44.6799,43.46,43.5
KNF,2023-07-03,43.49,45.33,42.81,45.01
KNF,2023-07-05,43.39,44.27,43.22,43.37
KNF,2023-07-06,42.73,42.73,41.53,42.2
KNF,2023-07-07,42.07,43.5,42.07,42.94
KNF,2023-07-10,42.88,43.82,42.795,43.5
KNF,2023-07-11,42.78,43.22,42.13,43.15
KNF,2023-07-12,43.5,44.14,42.89,43.0
KNF,2023-07-13,43.28,43.98,42.8398,43.8
KNF,2023-07-14,43.53,43.78,42.72,43.75
KNF,2023-07-17,43.5,43.73,42.87,42.94
KNF,2023-07-18,43.01,44.63,42.815,44.32
KNF,2023-07-19,44.32,44.93,42.54,43.69
KNF,2023-07-20,43.08,43.33,42.35,42.87
KNF,2023-07-21,42.87,43.16,42.43,43.01
KNF,2023-07-24,42.86,44.18,42.63,43.93
KNF,2023-07-25,43.32,44.38,42.74,43.78
KNF,2023-07-26,43.43,44.46,43.2304,44.3
KNF,2023-07-27,44.25,45.24,43.4,43.58
KNF,2023-07-28,43.94,44.935,43.64,43.91
KNF,2023-07-31,44.0,45.75,43.29,43.47
KNF,2023-08-01,43.34,44.0499,42.72,43.77
KNF,2023-08-02,43.2,44.2675,43.0001,44.18
KNF,2023-08-03,43.83,45.34,43.77,45.24
KNF,2023-08-04,45.25,47.26,45.25,46.29
KNF,2023-08-07,46.41,47.72,46.02,47.55
KNF,2023-08-08,48.0,52.395,47.47,51.5
KNF,2023-08-09,51.41,52.2299,49.51,49.94
KNF,2023-08-10,49.85,50.9299,49.08,50.33
KNF,2023-08-11,50.65,50.94,49.86,50.62
KNF,2023-08-14,50.42,51.34,50.3101,50.55
KNF,2023-08-15,51.07,52.7,50.7001,52.07
KNF,2023-08-16,51.27,51.9999,49.57,49.61
KNF,2023-08-17,49.24,50.0,48.66,48.73
KNF,2023-08-18,48.4,49.28,47.49,48.57
KNF,2023-08-21,48.71,49.78,47.78,49.7
KNF,2023-08-22,49.71,50.5,48.16,48.36
KNF,2023-08-23,48.59,48.795,47.76,47.83
KNF,2023-08-24,47.55,48.34,47.15,47.75
KNF,2023-08-25,47.81,48.39,46.82,48.14
KNF,2023-08-28,48.22,50.02,48.1932,49.81
KNF,2023-08-29,49.38,50.51,48.74,50.51
KNF,2023-08-30,50.36,51.1699,50.36,50.67
KNF,2023-08-31,50.72,51.54,50.44,51.46
KNF,2023-09-01,52.07,53.095,51.95,52.58
KNF,2023-09-05,52.19,52.39,48.96,49.4
KNF,2023-09-06,49.54,49.78,47.625,48.58
KNF,2023-09-07,48.3,49.89,47.765,49.6
KNF,2023-09-08,49.13,51.24,48.35,50.61
KNF,2023-09-11,50.7,52.71,50.62,52.7
KNF,2023-09-12,52.7,53.26,51.93,51.99
KNF,2023-09-13,51.92,52.41,51.28,51.71
KNF,2023-09-14,52.23,53.26,50.99,51.61
KNF,2023-09-15,51.65,52.34,49.49,50.16
KNF,2023-09-18,50.29,50.46,49.17,49.36
KNF,2023-09-19,49.46,49.88,48.35,49.24
KNF,2023-09-20,49.46,50.73,48.8501,50.3
KNF,2023-09-21,50.12,50.4399,47.67,47.68
KNF,2023-09-22,47.55,48.76,47.53,48.1
KNF,2023-09-25,47.92,48.82,47.53,48.7
KNF,2023-09-26,48.57,48.91,47.64,47.87
KNF,2023-09-27,48.22,48.445,47.2,48.39
KNF,2023-09-28,48.51,49.96,48.51,49.65
KNF,2023-09-29,49.88,50.03,48.59,48.83
KNF,2023-10-02,48.6,49.28,47.59,48.06
KNF,2023-10-03,47.7,48.61,47.395,47.74
KNF,2023-10-04,47.69,49.22,47.52,48.9
KNF,2023-10-05,48.71,49.7299,48.675,49.01
