ticker,date,open,high,low,close
KZR,2018-06-21,20.0,20.48,16.74,17.75
KZR,2018-06-22,17.81,18.3,17.61,17.79
KZR,2018-06-25,17.44,17.7,16.75,17.15
KZR,2018-06-26,17.2,18.0,17.08,17.71
KZR,2018-06-27,17.93,17.93,16.0,17.23
KZR,2018-06-28,17.73,17.73,16.23,17.2
KZR,2018-06-29,17.4,17.79,17.05,17.3
KZR,2018-07-02,17.21,17.78,17.06,17.26
KZR,2018-07-03,17.3,18.5,17.14,17.21
KZR,2018-07-05,17.3,17.76,17.05,17.25
KZR,2018-07-06,17.7,17.7,17.2,17.2
KZR,2018-07-09,17.45,17.5,17.2,17.21
KZR,2018-07-10,17.05,17.45,17.05,17.44
KZR,2018-07-11,17.38,17.49,17.02,17.13
KZR,2018-07-12,17.49,17.49,16.15,16.5
KZR,2018-07-13,16.27,16.7,14.77,15.8
KZR,2018-07-16,16.03,16.38,15.11,16.15
KZR,2018-07-17,16.42,16.42,15.36,15.92
KZR,2018-07-18,16.4,17.5,16.02,16.66
KZR,2018-07-19,16.54,17.2,15.94,16.5
KZR,2018-07-20,16.39,16.77,15.94,16.13
KZR,2018-07-23,16.39,16.55,16.0,16.05
KZR,2018-07-24,16.1,16.34,16.0,16.0
KZR,2018-07-25,16.06,16.54,15.38,16.0
KZR,2018-07-26,16.11,16.62,15.27,15.56
KZR,2018-07-27,15.84,16.22,15.3,15.5
KZR,2018-07-30,15.61,16.5,15.35,15.5
KZR,2018-07-31,15.35,16.67,15.25,16.31
KZR,2018-08-01,16.74,16.74,15.6,15.62
KZR,2018-08-02,15.85,16.75,15.42,16.22
KZR,2018-08-03,16.22,16.65,15.8,16.3
KZR,2018-08-06,16.41,16.41,15.71,16.29
KZR,2018-08-07,16.41,16.5,15.88,15.99
KZR,2018-08-08,16.35,16.5,15.9,16.49
KZR,2018-08-09,16.25,16.7,15.72,16.4
KZR,2018-08-10,15.81,16.99,15.6,16.7
KZR,2018-08-13,16.51,16.7,16.02,16.11
KZR,2018-08-14,16.11,16.9,16.11,16.7
KZR,2018-08-15,17.0,17.16,16.55,16.55
KZR,2018-08-16,16.72,17.3,16.11,16.7
KZR,2018-08-17,17.0,17.28,16.62,16.8
KZR,2018-08-20,16.75,17.21,16.25,16.5
KZR,2018-08-21,16.7,16.97,16.64,16.85
KZR,2018-08-22,16.76,16.95,16.11,16.27
KZR,2018-08-23,16.27,16.96,16.27,16.7
KZR,2018-08-24,16.8,17.3,16.52,17.3
KZR,2018-08-27,17.4,17.65,16.81,17.2
KZR,2018-08-28,17.25,17.56,16.95,17.15
KZR,2018-08-29,17.11,17.56,17.08,17.18
KZR,2018-08-30,17.15,17.6,16.64,17.55
KZR,2018-08-31,17.53,18.5,16.87,17.27
KZR,2018-09-04,17.24,18.0,16.75,17.04
KZR,2018-09-05,17.1,18.0,16.75,17.0
KZR,2018-09-06,16.91,18.37,16.91,18.3
KZR,2018-09-07,18.3,19.5,17.67,18.76
KZR,2018-09-10,19.07,19.34,18.02,18.41
KZR,2018-09-11,18.48,19.73,18.06,19.25
KZR,2018-09-12,19.36,21.34,18.55,20.66
KZR,2018-09-13,20.93,21.21,18.56,19.8
KZR,2018-09-14,19.7,20.79,19.0,20.49
KZR,2018-09-17,20.63,20.7,19.33,19.84
KZR,2018-09-18,19.73,20.36,18.36,20.03
KZR,2018-09-19,19.89,20.83,19.01,19.34
KZR,2018-09-20,19.39,20.7,19.07,20.03
KZR,2018-09-21,20.22,20.35,19.2,19.64
KZR,2018-09-24,19.77,20.58,19.77,20.41
