ticker,date,open,high,low,close
LICY,2020-11-16,9.75,9.75,9.66,9.72
LICY,2020-11-17,9.7,9.72,9.65,9.72
LICY,2020-11-18,9.62,9.69,9.62,9.65
LICY,2020-11-19,9.66,9.87,9.6,9.65
LICY,2020-11-20,9.63,9.69,9.62,9.68
LICY,2020-11-23,9.75,9.8,9.63,9.72
LICY,2020-11-24,9.8,9.8,9.68,9.76
LICY,2020-11-25,9.79,9.8,9.74,9.8
LICY,2020-11-27,9.77,10.88,9.77,9.94
LICY,2020-11-30,10.06,10.06,9.76,9.81
LICY,2020-12-01,9.96,9.96,9.79,9.79
LICY,2020-12-02,9.79,9.81,9.65,9.77
LICY,2020-12-03,9.76,9.84,9.73,9.75
LICY,2020-12-04,9.87,9.87,9.7,9.86
LICY,2020-12-07,9.9,10.15,9.9,10.05
LICY,2020-12-08,10.38,10.38,9.9,9.95
LICY,2020-12-09,9.99,10.02,9.8,9.94
LICY,2020-12-10,10.29,10.4,9.79,10.12
LICY,2020-12-11,10.2,10.25,9.96,10.25
LICY,2020-12-14,10.35,10.35,10.0,10.22
LICY,2020-12-15,10.3,10.3,10.05,10.17
LICY,2020-12-16,10.27,10.29,10.07,10.17
LICY,2020-12-17,10.12,10.16,10.08,10.11
LICY,2020-12-18,10.12,10.15,10.08,10.14
LICY,2020-12-21,10.15,10.23,10.09,10.2
LICY,2020-12-22,10.25,10.35,10.19,10.27
LICY,2020-12-23,10.35,10.39,10.27,10.33
LICY,2020-12-24,10.4,10.4,10.11,10.25
LICY,2020-12-28,10.4,10.42,10.21,10.37
LICY,2020-12-29,10.55,10.65,10.33,10.5
LICY,2020-12-30,10.55,10.55,10.38,10.49
LICY,2020-12-31,10.5,10.53,10.35,10.36
LICY,2021-01-04,10.4,10.49,10.3,10.33
LICY,2021-01-05,10.4,10.5,10.32,10.48
LICY,2021-01-06,10.53,10.64,10.35,10.49
LICY,2021-01-07,10.55,10.63,10.45,10.52
LICY,2021-01-08,10.65,11.16,10.55,11.01
LICY,2021-01-11,10.88,11.0,10.63,10.98
LICY,2021-01-12,11.0,11.52,10.95,11.16
LICY,2021-01-13,11.28,11.97,11.15,11.56
LICY,2021-01-14,11.62,12.4,11.45,11.58
LICY,2021-01-15,11.56,11.79,11.4,11.5
LICY,2021-01-19,11.7,11.75,11.33,11.47
