ticker,date,open,high,low,close
LIFW,2020-10-21,9.676,9.676,9.56,9.576
LIFW,2020-10-22,9.6,9.768,9.59,9.72
LIFW,2020-10-23,9.62,9.62,9.62,9.62
LIFW,2020-10-26,9.73,9.74,9.65,9.65
LIFW,2020-10-27,9.71,9.71,9.66,9.66
LIFW,2020-10-28,9.66,9.66,9.66,9.66
LIFW,2020-10-29,9.81,9.81,9.7,9.7
LIFW,2020-10-30,9.63,9.7,9.62,9.68
LIFW,2020-11-02,9.65,9.7,9.65,9.7
LIFW,2020-11-03,9.65,9.7,9.65,9.68
LIFW,2020-11-04,9.69,9.73,9.69,9.71
LIFW,2020-11-05,9.73,9.75,9.72,9.73
LIFW,2020-11-06,9.72,9.72,9.72,9.72
LIFW,2020-11-09,9.72,9.72,9.71,9.71
LIFW,2020-11-10,9.73,9.75,9.72,9.72
LIFW,2020-11-11,9.71,9.725,9.71,9.725
LIFW,2020-11-12,9.69,9.75,9.69,9.75
LIFW,2020-11-13,9.73,9.75,9.73,9.75
LIFW,2020-11-16,9.75,9.75,9.75,9.75
LIFW,2020-11-17,9.75,9.75,9.738,9.75
LIFW,2020-11-18,9.76,9.77,9.75,9.77
LIFW,2020-11-19,9.78,9.82,9.78,9.81
LIFW,2020-11-20,9.8,9.84,9.8,9.84
LIFW,2020-11-23,9.84,9.84,9.8,9.8
LIFW,2020-11-24,9.88,9.99,9.8,9.82
LIFW,2020-11-25,9.8,9.8,9.8,9.8
LIFW,2020-11-27,9.9,9.9,9.88,9.9
LIFW,2020-11-30,9.98,9.98,9.8,9.95
LIFW,2020-12-01,9.93,9.93,9.76,9.89
LIFW,2020-12-02,9.89,9.99,9.8,9.89
LIFW,2020-12-03,9.82,9.89,9.81,9.858
LIFW,2020-12-04,9.82,9.96,9.8,9.96
LIFW,2020-12-07,9.98,9.98,9.838,9.93
LIFW,2020-12-08,9.92,9.94,9.85,9.85
LIFW,2020-12-09,9.85,9.942,9.85,9.92
LIFW,2020-12-10,9.92,9.95,9.88,9.88
LIFW,2020-12-11,10.02,10.3,9.94,10.1
LIFW,2020-12-14,10.07,10.49,9.94,10.05
LIFW,2020-12-15,9.96,10.03,9.96,10.0
LIFW,2020-12-16,10.0,10.184,9.97,10.01
LIFW,2020-12-17,10.05,10.05,10.05,10.05
