ticker,date,open,high,low,close
LNTH,2015-06-25,6.12,7.19,5.97,6.77
LNTH,2015-06-26,6.6,6.77,6.18,6.43
LNTH,2015-06-29,6.12,6.35,6.02,6.15
LNTH,2015-06-30,6.24,6.39,6.13,6.19
LNTH,2015-07-01,6.36,6.38,6.13,6.32
LNTH,2015-07-02,6.49,6.73,6.47,6.67
LNTH,2015-07-06,6.57,7.21,6.4,6.87
LNTH,2015-07-07,7.12,7.5,6.76,6.89
LNTH,2015-07-08,7.38,7.38,6.52,7.15
LNTH,2015-07-09,7.15,7.15,6.5,7.0
LNTH,2015-07-10,6.97,7.0,6.8,6.91
LNTH,2015-07-13,6.87,6.95,6.69,6.88
LNTH,2015-07-14,6.8,7.08,6.75,7.0
LNTH,2015-07-15,6.89,7.1,6.74,6.99
LNTH,2015-07-16,7.25,7.25,6.73,7.13
LNTH,2015-07-17,7.2,7.5,7.0,7.47
LNTH,2015-07-20,6.98,7.66,6.76,6.91
LNTH,2015-07-21,7.16,7.68,7.01,7.33
LNTH,2015-07-22,7.26,7.3,7.0,7.19
LNTH,2015-07-23,7.3,7.3,6.96,7.17
LNTH,2015-07-24,7.01,7.45,7.01,7.18
LNTH,2015-07-27,7.11,7.45,6.08,6.53
LNTH,2015-07-28,6.4,6.74,6.4,6.71
LNTH,2015-07-29,6.8,7.2,6.49,7.2
LNTH,2015-07-30,7.27,7.49,7.09,7.27
LNTH,2015-07-31,7.45,7.45,7.15,7.37
LNTH,2015-08-03,7.45,7.5,6.7,7.16
LNTH,2015-08-04,7.35,7.38,6.4,6.72
LNTH,2015-08-05,7.01,7.13,6.5,6.77
LNTH,2015-08-06,6.7,7.17,6.45,6.63
LNTH,2015-08-07,6.95,6.95,6.4,6.46
LNTH,2015-08-10,6.36,6.79,6.36,6.68
LNTH,2015-08-11,6.75,6.76,6.31,6.33
LNTH,2015-08-12,6.3,6.56,6.12,6.55
LNTH,2015-08-13,6.57,7.1,6.57,7.07
LNTH,2015-08-14,6.89,7.47,6.86,7.43
LNTH,2015-08-17,8.16,8.58,7.44,8.56
LNTH,2015-08-18,8.42,8.58,8.24,8.39
LNTH,2015-08-19,8.28,8.28,7.81,7.97
LNTH,2015-08-20,7.89,8.25,7.49,7.95
LNTH,2015-08-21,7.84,7.84,7.2,7.35
LNTH,2015-08-24,6.87,7.35,6.07,6.12
LNTH,2015-08-25,6.52,7.37,6.48,6.59
LNTH,2015-08-26,6.45,7.16,6.45,6.89
LNTH,2015-08-27,6.76,7.8,6.76,7.42
LNTH,2015-08-28,7.41,7.42,6.65,6.75
LNTH,2015-08-31,6.2,6.63,6.13,6.21
LNTH,2015-09-01,6.23,6.25,5.81,6.0
LNTH,2015-09-02,6.1,6.18,6.01,6.1
LNTH,2015-09-03,6.17,6.93,6.17,6.82
LNTH,2015-09-04,7.14,7.14,6.62,6.84
LNTH,2015-09-08,7.0,7.18,6.46,6.99
LNTH,2015-09-09,6.98,7.37,6.98,7.31
LNTH,2015-09-10,7.19,7.24,6.82,6.94
LNTH,2015-09-11,7.24,7.24,6.98,6.98
LNTH,2015-09-14,6.97,7.01,6.21,7.0
LNTH,2015-09-15,6.98,7.2,6.42,6.54
LNTH,2015-09-16,6.5,7.01,6.38,6.4
LNTH,2015-09-17,6.59,6.59,6.38,6.47
LNTH,2015-09-18,6.44,6.99,5.38,5.38
LNTH,2015-09-21,5.79,6.23,5.7,5.94
LNTH,2015-09-22,5.92,5.99,5.66,5.76
LNTH,2015-09-23,5.69,6.04,5.69,5.98
LNTH,2015-09-24,5.96,5.96,5.72,5.84
LNTH,2015-09-25,5.8,5.9,5.72,5.75
LNTH,2015-09-28,5.51,5.64,4.78,4.98
LNTH,2015-09-29,5.0,5.29,4.86,4.98
LNTH,2015-09-30,4.74,4.74,3.82,4.3
LNTH,2015-10-01,4.38,4.79,4.26,4.76
LNTH,2015-10-02,4.73,4.73,4.01,4.07
LNTH,2015-10-05,4.06,4.1,3.72,3.72
LNTH,2015-10-06,4.23,4.23,3.5,3.53
LNTH,2015-10-07,3.5,3.9,3.48,3.75
LNTH,2015-10-08,3.71,3.77,3.53,3.73
LNTH,2015-10-09,3.72,3.82,3.55,3.63
LNTH,2015-10-12,3.6,3.89,3.48,3.87
LNTH,2015-10-13,3.85,3.9,3.68,3.7
LNTH,2015-10-14,3.66,3.8,3.57,3.72
LNTH,2015-10-15,3.75,3.89,3.57,3.86
LNTH,2015-10-16,3.88,3.93,3.56,3.63
LNTH,2015-10-19,3.58,3.84,3.54,3.72
LNTH,2015-10-20,3.7,3.73,3.42,3.48
LNTH,2015-10-21,3.5,3.5,3.08,3.25
LNTH,2015-10-22,3.24,3.47,3.13,3.3
LNTH,2015-10-23,3.36,3.45,3.06,3.39
LNTH,2015-10-26,3.18,3.35,3.15,3.27
LNTH,2015-10-27,3.27,3.27,2.87,2.93
LNTH,2015-10-28,3.0,3.17,2.78,3.0
LNTH,2015-10-29,2.97,3.05,2.56,2.97
LNTH,2015-10-30,2.96,3.01,2.9,3.0
LNTH,2015-11-02,3.14,3.76,3.03,3.31
LNTH,2015-11-03,3.75,3.75,3.28,3.33
LNTH,2015-11-04,3.51,3.69,3.21,3.31
LNTH,2015-11-05,3.75,4.26,3.65,4.25
LNTH,2015-11-06,4.25,4.52,4.24,4.45
LNTH,2015-11-09,4.5,4.8,4.28,4.41
LNTH,2015-11-10,4.6,4.6,4.29,4.41
LNTH,2015-11-11,4.38,4.39,4.1,4.18
LNTH,2015-11-12,4.13,4.2,3.77,3.79
LNTH,2015-11-13,3.78,4.15,3.38,3.41
LNTH,2015-11-16,3.43,3.58,2.76,3.02
LNTH,2015-11-17,3.02,3.13,2.99,3.12
LNTH,2015-11-18,3.15,3.33,2.98,3.29
LNTH,2015-11-19,3.31,3.43,3.27,3.42
LNTH,2015-11-20,3.49,3.59,3.2,3.55
LNTH,2015-11-23,3.73,3.74,3.54,3.73
LNTH,2015-11-24,3.53,3.61,3.37,3.41
LNTH,2015-11-25,3.47,3.49,3.33,3.46
LNTH,2015-11-27,3.46,3.58,3.46,3.57
LNTH,2015-11-30,3.54,3.55,3.5,3.54
LNTH,2015-12-01,3.57,3.86,3.54,3.83
LNTH,2015-12-02,3.93,3.93,3.73,3.84
LNTH,2015-12-03,3.82,3.86,3.62,3.82
LNTH,2015-12-04,3.81,4.0,3.81,3.87
LNTH,2015-12-07,3.74,4.0,3.55,3.68
LNTH,2015-12-08,3.53,3.72,3.53,3.59
LNTH,2015-12-09,3.56,3.66,3.56,3.63
LNTH,2015-12-10,3.65,4.11,3.65,4.06
LNTH,2015-12-11,3.55,3.56,3.2,3.24
LNTH,2015-12-14,3.24,3.46,3.24,3.36
LNTH,2015-12-15,3.41,3.61,3.3,3.55
LNTH,2015-12-16,3.6,3.69,3.41,3.6
LNTH,2015-12-17,3.63,3.73,3.4,3.55
LNTH,2015-12-18,3.52,3.67,3.4,3.53
LNTH,2015-12-21,3.5,3.5,3.3,3.44
LNTH,2015-12-22,3.45,3.47,3.32,3.46
LNTH,2015-12-23,3.47,3.72,3.34,3.58
LNTH,2015-12-24,3.55,3.65,3.55,3.64
LNTH,2015-12-28,3.55,3.7,3.44,3.5
LNTH,2015-12-29,3.57,3.62,3.41,3.52
LNTH,2015-12-30,3.45,3.48,3.41,3.43
LNTH,2015-12-31,3.45,3.46,3.32,3.38
LNTH,2016-01-04,3.3,3.38,3.22,3.28
LNTH,2016-01-05,3.23,3.33,3.13,3.21
LNTH,2016-01-06,3.15,3.24,3.02,3.14
LNTH,2016-01-07,3.08,3.26,3.01,3.07
LNTH,2016-01-08,3.08,3.15,2.92,2.93
LNTH,2016-01-11,2.94,3.25,2.63,2.86
LNTH,2016-01-12,2.87,2.87,2.44,2.72
LNTH,2016-01-13,2.72,2.76,2.46,2.55
LNTH,2016-01-14,2.55,2.59,2.35,2.49
LNTH,2016-01-15,2.41,2.41,2.21,2.36
LNTH,2016-01-19,2.44,2.45,2.28,2.37
LNTH,2016-01-20,2.34,2.5,2.13,2.43
LNTH,2016-01-21,2.33,2.46,2.31,2.44
LNTH,2016-01-22,2.48,2.63,2.39,2.6
LNTH,2016-01-25,2.61,2.69,2.4,2.55
LNTH,2016-01-26,2.59,2.59,2.31,2.38
LNTH,2016-01-27,2.36,2.36,2.13,2.19
LNTH,2016-01-28,2.24,3.15,2.02,2.08
LNTH,2016-01-29,2.07,2.48,2.07,2.17
LNTH,2016-02-01,2.16,2.22,2.11,2.16
LNTH,2016-02-02,2.11,2.36,2.11,2.21
LNTH,2016-02-03,2.23,2.29,2.02,2.21
LNTH,2016-02-04,2.24,2.3,2.05,2.07
LNTH,2016-02-05,2.08,2.08,1.89,1.89
LNTH,2016-02-08,1.93,1.98,1.8,1.83
LNTH,2016-02-09,1.8,1.95,1.78,1.89
LNTH,2016-02-10,1.89,1.93,1.76,1.84
LNTH,2016-02-11,1.8,1.95,1.8,1.87
LNTH,2016-02-12,1.9,2.59,1.78,1.93
LNTH,2016-02-16,1.94,1.94,1.85,1.92
LNTH,2016-02-17,1.93,2.03,1.89,1.96
LNTH,2016-02-18,1.95,2.2,1.93,2.03
LNTH,2016-02-19,2.05,2.05,1.95,1.99
LNTH,2016-02-22,2.04,2.06,2.0,2.04
LNTH,2016-02-23,2.96,2.96,2.27,2.33
LNTH,2016-02-24,2.3,2.33,2.02,2.14
LNTH,2016-02-25,2.14,2.26,2.03,2.21
LNTH,2016-02-26,2.25,2.39,2.2,2.29
LNTH,2016-02-29,2.23,2.31,2.1,2.12
LNTH,2016-03-01,2.11,2.14,2.02,2.06
LNTH,2016-03-02,2.03,2.12,2.03,2.07
LNTH,2016-03-03,2.06,2.1,2.03,2.05
LNTH,2016-03-04,2.05,2.08,2.03,2.04
LNTH,2016-03-07,2.05,2.28,2.0,2.26
LNTH,2016-03-08,2.23,2.24,2.15,2.15
LNTH,2016-03-09,2.17,2.26,2.04,2.15
LNTH,2016-03-10,2.17,2.17,2.06,2.15
LNTH,2016-03-11,2.18,2.18,2.08,2.13
LNTH,2016-03-14,2.13,2.15,1.94,1.96
LNTH,2016-03-15,1.97,2.03,1.97,1.99
LNTH,2016-03-16,1.99,2.02,1.96,2.0
LNTH,2016-03-17,2.01,2.01,1.96,2.0
LNTH,2016-03-18,2.02,2.05,1.95,1.96
LNTH,2016-03-21,1.99,2.02,1.97,1.98
LNTH,2016-03-22,1.99,2.02,1.96,1.99
LNTH,2016-03-23,1.99,1.99,1.94,1.94
LNTH,2016-03-24,1.94,1.98,1.91,1.94
LNTH,2016-03-28,1.94,1.96,1.92,1.92
LNTH,2016-03-29,1.94,2.0,1.88,1.89
LNTH,2016-03-30,1.92,2.0,1.87,1.89
LNTH,2016-03-31,1.91,1.95,1.88,1.89
LNTH,2016-04-01,1.89,1.92,1.89,1.89
LNTH,2016-04-04,1.88,1.9,1.88,1.89
LNTH,2016-04-05,1.89,1.93,1.88,1.88
LNTH,2016-04-06,1.88,1.9,1.87,1.9
LNTH,2016-04-07,1.9,1.98,1.88,1.88
LNTH,2016-04-08,1.9,1.9,1.87,1.88
LNTH,2016-04-11,1.9,1.9,1.85,1.85
LNTH,2016-04-12,1.83,1.88,1.83,1.88
LNTH,2016-04-13,1.88,1.9,1.88,1.9
LNTH,2016-04-14,1.9,1.9,1.88,1.88
LNTH,2016-04-15,1.88,1.9,1.88,1.88
LNTH,2016-04-18,1.92,1.92,1.87,1.9
LNTH,2016-04-19,1.88,1.98,1.86,1.89
LNTH,2016-04-20,1.89,1.97,1.85,1.85
LNTH,2016-04-21,1.82,1.88,1.82,1.85
LNTH,2016-04-22,1.87,1.94,1.86,1.93
LNTH,2016-04-25,1.95,1.99,1.89,1.9
LNTH,2016-04-26,2.01,2.01,1.92,1.96
LNTH,2016-04-27,1.98,2.05,1.95,2.04
LNTH,2016-04-28,2.05,2.17,2.04,2.05
LNTH,2016-04-29,2.09,2.11,2.04,2.06
LNTH,2016-05-02,2.1,2.12,2.06,2.1
LNTH,2016-05-03,2.1,2.15,1.92,1.94
LNTH,2016-05-04,2.4,2.42,1.94,1.97
LNTH,2016-05-05,2.09,2.12,2.0,2.11
LNTH,2016-05-06,2.12,2.28,2.07,2.1
LNTH,2016-05-09,2.11,2.16,2.09,2.12
LNTH,2016-05-10,2.16,2.26,2.16,2.2
LNTH,2016-05-11,2.21,2.25,2.19,2.19
LNTH,2016-05-12,2.2,2.28,2.18,2.23
LNTH,2016-05-13,2.24,2.26,2.21,2.23
LNTH,2016-05-16,2.25,2.31,2.22,2.3
LNTH,2016-05-17,2.28,2.31,2.2,2.21
LNTH,2016-05-18,2.21,2.28,2.15,2.2
LNTH,2016-05-19,2.2,2.25,2.16,2.19
LNTH,2016-05-20,2.2,2.2,2.14,2.2
LNTH,2016-05-23,2.18,2.22,2.18,2.18
LNTH,2016-05-24,2.17,2.28,2.14,2.27
LNTH,2016-05-25,2.27,2.3,2.22,2.25
LNTH,2016-05-26,2.27,2.32,2.05,2.1
LNTH,2016-05-27,2.11,2.23,2.01,2.06
