ticker,date,open,high,low,close
LVTX,2021-03-25,12.0,15.29,11.17,14.3
LVTX,2021-03-26,14.29,14.5,12.08,12.5
LVTX,2021-03-29,12.46,13.6,9.76,12.7
LVTX,2021-03-30,12.5,14.1,11.19,14.0
LVTX,2021-03-31,14.0,17.2,13.4,15.19
LVTX,2021-04-01,14.96,15.654,12.68,13.0
LVTX,2021-04-05,13.35,15.25,13.13,14.75
LVTX,2021-04-06,14.8,15.98,14.05,15.75
LVTX,2021-04-07,15.51,16.93,14.98,14.98
LVTX,2021-04-08,15.0,15.89,15.0,15.11
LVTX,2021-04-09,15.35,15.87,15.0,15.36
LVTX,2021-04-12,15.14,15.5,15.0,15.01
LVTX,2021-04-13,14.79,16.2,14.57,16.0
LVTX,2021-04-14,16.35,16.35,15.38,15.5
LVTX,2021-04-15,16.03,16.4,15.5,15.62
LVTX,2021-04-16,15.51,16.41,14.82,15.0
LVTX,2021-04-19,15.33,16.15,14.98,14.98
LVTX,2021-04-20,15.4,15.4,13.61,13.61
LVTX,2021-04-21,13.61,13.61,12.0,12.3
LVTX,2021-04-22,12.4,13.0,12.21,12.33
LVTX,2021-04-23,12.43,12.545,11.51,12.12
LVTX,2021-04-26,11.91,12.095,11.7,11.85
LVTX,2021-04-27,12.0,12.0,11.48,11.55
LVTX,2021-04-28,12.0,12.28,11.55,12.04
LVTX,2021-04-29,12.5,12.5,11.81,12.0
LVTX,2021-04-30,11.93,12.132,11.86,11.9
LVTX,2021-05-03,11.88,12.4,11.88,12.13
LVTX,2021-05-04,12.1,12.293,11.86,12.05
LVTX,2021-05-05,12.1,12.11,11.95,11.95
LVTX,2021-05-06,11.9,12.304,11.9,12.24
LVTX,2021-05-07,12.06,12.325,11.8,11.8
LVTX,2021-05-10,11.91,13.5,11.87,13.24
LVTX,2021-05-11,15.0,15.91,14.0,14.66
LVTX,2021-05-12,15.11,16.2,14.009,14.35
LVTX,2021-05-13,14.01,14.35,13.95,13.95
LVTX,2021-05-14,13.84,14.227,12.55,12.93
LVTX,2021-05-17,12.94,13.13,11.9,11.9
LVTX,2021-05-18,11.85,11.95,11.4,11.63
LVTX,2021-05-19,11.366,12.36,11.35,12.36
LVTX,2021-05-20,12.8,12.92,11.51,12.0
