ticker,date,open,high,low,close
MCHP,1993-03-19,0.33,0.36,0.32,0.33
MCHP,1993-03-22,0.32,0.32,0.31,0.31
MCHP,1993-03-23,0.31,0.32,0.31,0.31
MCHP,1993-03-24,0.32,0.32,0.31,0.32
MCHP,1993-03-25,0.32,0.33,0.32,0.33
MCHP,1993-03-26,0.33,0.35,0.33,0.34
MCHP,1993-03-29,0.35,0.35,0.34,0.35
MCHP,1993-03-30,0.35,0.35,0.34,0.35
MCHP,1993-03-31,0.36,0.36,0.35,0.35
MCHP,1993-04-01,0.35,0.36,0.35,0.35
MCHP,1993-04-02,0.36,0.36,0.35,0.36
MCHP,1993-04-05,0.36,0.36,0.35,0.35
MCHP,1993-04-06,0.35,0.35,0.35,0.35
MCHP,1993-04-07,0.35,0.35,0.35,0.35
MCHP,1993-04-08,0.35,0.36,0.35,0.36
MCHP,1993-04-12,0.36,0.36,0.35,0.35
MCHP,1993-04-13,0.36,0.37,0.35,0.36
MCHP,1993-04-14,0.36,0.39,0.36,0.38
MCHP,1993-04-15,0.38,0.38,0.36,0.36
MCHP,1993-04-16,0.37,0.37,0.36,0.37
MCHP,1993-04-19,0.37,0.37,0.35,0.36
MCHP,1993-04-20,0.36,0.36,0.35,0.36
MCHP,1993-04-21,0.35,0.38,0.35,0.37
MCHP,1993-04-22,0.37,0.4,0.37,0.39
MCHP,1993-04-23,0.4,0.41,0.39,0.41
MCHP,1993-04-26,0.41,0.42,0.4,0.41
MCHP,1993-04-27,0.41,0.43,0.41,0.43
MCHP,1993-04-28,0.43,0.47,0.43,0.46
MCHP,1993-04-29,0.46,0.47,0.42,0.44
MCHP,1993-04-30,0.45,0.47,0.44,0.47
MCHP,1993-05-03,0.46,0.47,0.46,0.47
MCHP,1993-05-04,0.47,0.47,0.45,0.45
MCHP,1993-05-05,0.45,0.47,0.45,0.46
MCHP,1993-05-06,0.47,0.47,0.46,0.47
MCHP,1993-05-07,0.47,0.49,0.47,0.49
MCHP,1993-05-10,0.49,0.52,0.49,0.52
MCHP,1993-05-11,0.52,0.52,0.5,0.52
MCHP,1993-05-12,0.52,0.52,0.5,0.52
MCHP,1993-05-13,0.52,0.52,0.49,0.49
MCHP,1993-05-14,0.49,0.5,0.49,0.49
MCHP,1993-05-17,0.49,0.52,0.49,0.51
MCHP,1993-05-18,0.52,0.53,0.52,0.53
MCHP,1993-05-19,0.53,0.53,0.52,0.52
MCHP,1993-05-20,0.54,0.54,0.52,0.53
MCHP,1993-05-21,0.54,0.54,0.52,0.54
MCHP,1993-05-24,0.53,0.53,0.49,0.5
MCHP,1993-05-25,0.5,0.5,0.5,0.5
MCHP,1993-05-26,0.5,0.52,0.5,0.52
MCHP,1993-05-27,0.51,0.52,0.5,0.51
MCHP,1993-05-28,0.5,0.51,0.5,0.51
MCHP,1993-06-01,0.5,0.51,0.5,0.5
MCHP,1993-06-02,0.51,0.51,0.5,0.5
MCHP,1993-06-03,0.5,0.51,0.5,0.5
MCHP,1993-06-04,0.5,0.51,0.46,0.47
MCHP,1993-06-07,0.47,0.48,0.47,0.48
MCHP,1993-06-08,0.47,0.47,0.43,0.44
MCHP,1993-06-09,0.46,0.47,0.44,0.46
MCHP,1993-06-10,0.46,0.48,0.46,0.47
MCHP,1993-06-11,0.49,0.52,0.48,0.52
MCHP,1993-06-14,0.52,0.54,0.5,0.53
MCHP,1993-06-15,0.54,0.54,0.53,0.54
MCHP,1993-06-16,0.54,0.59,0.54,0.58
MCHP,1993-06-17,0.58,0.58,0.57,0.58
MCHP,1993-06-18,0.57,0.58,0.57,0.58
MCHP,1993-06-21,0.59,0.63,0.58,0.61
MCHP,1993-06-22,0.63,0.67,0.6,0.61
MCHP,1993-06-23,0.64,0.64,0.62,0.64
MCHP,1993-06-24,0.64,0.67,0.61,0.66
MCHP,1993-06-25,0.67,0.67,0.65,0.65
MCHP,1993-06-28,0.66,0.66,0.65,0.65
MCHP,1993-06-29,0.66,0.66,0.64,0.64
