ticker,date,open,high,low,close
MCY,1985-11-20,0.0,4.88,4.81,4.81
MCY,1985-11-21,0.0,4.94,4.91,4.91
MCY,1985-11-22,0.0,5.03,5.0,5.0
MCY,1985-11-25,0.0,4.97,4.94,4.94
MCY,1985-11-26,0.0,4.97,4.94,4.94
MCY,1985-11-27,0.0,4.94,4.88,4.88
MCY,1985-11-29,0.0,4.94,4.88,4.88
MCY,1985-12-02,0.0,4.75,4.69,4.69
MCY,1985-12-03,0.0,4.78,4.72,4.72
MCY,1985-12-04,0.0,4.72,4.66,4.66
MCY,1985-12-05,0.0,4.75,4.72,4.72
MCY,1985-12-06,0.0,4.62,4.59,4.59
MCY,1985-12-09,0.0,4.62,4.53,4.53
MCY,1985-12-10,0.0,4.5,4.47,4.47
MCY,1985-12-11,0.0,4.56,4.53,4.53
MCY,1985-12-12,0.0,4.69,4.66,4.66
MCY,1985-12-13,0.0,4.75,4.72,4.72
MCY,1985-12-16,0.0,4.84,4.81,4.81
MCY,1985-12-17,0.0,4.81,4.78,4.78
MCY,1985-12-18,0.0,4.84,4.81,4.81
MCY,1985-12-19,0.0,4.88,4.81,4.81
MCY,1985-12-20,0.0,4.88,4.84,4.84
MCY,1985-12-23,0.0,4.91,4.88,4.88
MCY,1985-12-24,0.0,4.91,4.88,4.88
MCY,1985-12-26,0.0,4.91,4.88,4.88
MCY,1985-12-27,0.0,4.91,4.88,4.88
MCY,1985-12-30,0.0,5.0,4.97,4.97
MCY,1985-12-31,0.0,5.0,4.94,4.94
MCY,1986-01-02,0.0,5.0,4.94,4.94
MCY,1986-01-03,0.0,5.0,4.94,4.94
MCY,1986-01-06,0.0,5.16,5.09,5.09
MCY,1986-01-07,0.0,5.31,5.12,5.25
MCY,1986-01-08,0.0,5.41,5.19,5.19
MCY,1986-01-09,0.0,5.25,5.06,5.06
MCY,1986-01-10,0.0,5.19,5.06,5.12
MCY,1986-01-13,0.0,5.19,5.12,5.12
MCY,1986-01-14,0.0,5.19,5.12,5.12
MCY,1986-01-15,0.0,5.25,5.12,5.22
MCY,1986-01-16,0.0,5.28,5.19,5.28
MCY,1986-01-17,0.0,5.28,5.22,5.22
MCY,1986-01-20,0.0,5.22,5.12,5.12
MCY,1986-01-21,0.0,5.19,5.06,5.12
MCY,1986-01-22,0.0,5.12,5.03,5.06
MCY,1986-01-23,0.0,5.06,4.94,5.06
MCY,1986-01-24,0.0,5.06,5.0,5.0
MCY,1986-01-27,0.0,5.09,5.0,5.09
MCY,1986-01-28,0.0,5.53,5.03,5.5
MCY,1986-01-29,0.0,5.78,5.5,5.75
MCY,1986-01-30,0.0,5.81,5.66,5.75
MCY,1986-01-31,0.0,6.22,5.75,6.12
MCY,1986-02-03,0.0,6.25,6.09,6.22
MCY,1986-02-04,0.0,6.38,6.03,6.19
MCY,1986-02-05,0.0,6.16,6.06,6.16
MCY,1986-02-06,0.0,6.25,6.12,6.12
MCY,1986-02-07,0.0,6.12,5.97,6.09
MCY,1986-02-10,0.0,6.12,6.03,6.06
MCY,1986-02-11,0.0,6.09,6.03,6.03
MCY,1986-02-12,0.0,6.12,6.03,6.12
MCY,1986-02-13,0.0,6.31,6.09,6.25
MCY,1986-02-14,0.0,6.22,5.88,6.06
MCY,1986-02-18,0.0,6.06,6.0,6.0
MCY,1986-02-19,0.0,6.03,5.69,5.84
MCY,1986-02-20,0.0,5.88,5.81,5.88
MCY,1986-02-21,0.0,6.03,5.94,6.0
MCY,1986-02-24,0.0,6.22,5.94,6.16
MCY,1986-02-25,0.0,6.19,5.94,6.0
MCY,1986-02-26,0.0,5.97,5.88,5.91
MCY,1986-02-27,0.0,5.97,5.88,5.91
MCY,1986-02-28,0.0,6.0,5.94,5.97
MCY,1986-03-03,0.0,6.0,5.94,5.94
MCY,1986-03-04,0.0,6.0,5.81,5.81
MCY,1986-03-05,0.0,5.75,5.66,5.66
MCY,1986-03-06,0.0,5.81,5.69,5.75
MCY,1986-03-07,0.0,5.81,5.72,5.78
MCY,1986-03-10,0.0,5.81,5.72,5.81
MCY,1986-03-11,0.0,5.78,5.72,5.78
MCY,1986-03-12,0.0,5.84,5.72,5.84
MCY,1986-03-13,0.0,5.88,5.81,5.81
MCY,1986-03-14,0.0,5.94,5.84,5.84
MCY,1986-03-17,0.0,5.91,5.84,5.88
MCY,1986-03-18,0.0,5.91,5.84,5.88
MCY,1986-03-19,0.0,5.91,5.81,5.84
MCY,1986-03-20,0.0,5.84,5.72,5.72
MCY,1986-03-21,0.0,5.78,5.69,5.69
MCY,1986-03-24,0.0,5.75,5.47,5.53
MCY,1986-03-25,0.0,5.53,5.41,5.44
