ticker,date,open,high,low,close
MFIN,1996-05-23,11.75,13.25,11.75,12.88
MFIN,1996-05-24,12.88,13.38,12.88,13.12
MFIN,1996-05-28,13.5,13.5,13.0,13.38
MFIN,1996-05-29,13.38,13.38,12.81,12.88
MFIN,1996-05-30,13.12,13.12,12.88,13.0
MFIN,1996-05-31,13.12,13.12,12.75,12.75
MFIN,1996-06-03,12.75,13.12,12.75,12.75
MFIN,1996-06-04,12.75,13.12,12.75,12.75
MFIN,1996-06-05,13.12,13.12,12.5,12.5
MFIN,1996-06-06,12.75,12.75,12.5,12.62
MFIN,1996-06-07,12.38,12.62,12.38,12.5
MFIN,1996-06-10,12.62,13.0,12.38,12.62
MFIN,1996-06-11,13.0,13.12,12.62,12.75
MFIN,1996-06-12,13.0,13.25,12.75,12.88
MFIN,1996-06-13,13.25,13.25,12.75,12.75
MFIN,1996-06-14,13.0,13.0,12.62,12.62
MFIN,1996-06-17,12.88,13.0,12.62,12.62
MFIN,1996-06-18,12.88,12.88,12.25,12.38
MFIN,1996-06-19,12.62,13.0,12.38,12.88
MFIN,1996-06-20,12.5,12.88,12.5,12.88
MFIN,1996-06-21,12.5,12.88,12.5,12.88
MFIN,1996-06-24,12.69,12.88,12.5,12.5
MFIN,1996-06-25,12.88,12.88,12.5,12.62
MFIN,1996-06-26,12.5,12.69,12.25,12.38
MFIN,1996-06-27,12.25,12.5,12.25,12.25
MFIN,1996-06-28,12.31,12.5,12.0,12.5
MFIN,1996-07-01,12.5,13.12,12.0,13.0
MFIN,1996-07-02,13.0,13.25,12.75,12.75
MFIN,1996-07-03,12.75,13.0,12.75,12.75
MFIN,1996-07-05,12.75,13.0,12.38,12.38
MFIN,1996-07-08,12.12,12.25,11.88,12.0
MFIN,1996-07-09,12.0,12.38,12.0,12.12
MFIN,1996-07-10,12.0,12.25,12.0,12.25
MFIN,1996-07-11,11.88,12.12,11.88,11.88
MFIN,1996-07-12,12.19,12.25,11.88,12.0
MFIN,1996-07-15,12.0,12.25,11.88,12.0
MFIN,1996-07-16,11.88,12.25,11.75,11.88
MFIN,1996-07-17,11.88,12.25,11.75,11.75
MFIN,1996-07-18,12.0,12.0,11.75,11.75
MFIN,1996-07-19,12.0,12.0,11.5,11.5
MFIN,1996-07-22,11.5,11.5,11.12,11.12
MFIN,1996-07-23,11.25,11.25,10.0,10.38
MFIN,1996-07-24,10.0,10.62,10.0,10.62
MFIN,1996-07-25,10.62,10.62,10.38,10.38
MFIN,1996-07-26,10.62,10.75,10.38,10.56
MFIN,1996-07-29,10.75,10.75,10.5,10.62
