ticker,date,open,high,low,close
MGRM,2023-05-18,10.15,13.86,10.15,11.75
MGRM,2023-05-19,38.0,48.99,12.69,13.5
MGRM,2023-05-22,11.74,12.03,8.25,8.61
MGRM,2023-05-23,7.89,9.21,7.31,7.75
MGRM,2023-05-24,7.66,8.25,7.32,7.59
MGRM,2023-05-25,7.59,7.5953,5.31,5.47
MGRM,2023-05-26,5.0,5.3499,4.4,4.8
MGRM,2023-05-30,5.22,5.5,4.6501,4.83
MGRM,2023-05-31,4.66,4.7824,4.02,4.27
MGRM,2023-06-01,4.26,4.77,4.16,4.77
MGRM,2023-06-02,4.88,4.98,4.62,4.93
MGRM,2023-06-05,4.96,4.96,4.66,4.77
MGRM,2023-06-06,4.69,4.98,4.54,4.8
MGRM,2023-06-07,4.75,4.96,4.32,4.39
MGRM,2023-06-08,4.34,4.7,4.1,4.175
MGRM,2023-06-09,4.14,4.2935,3.72,3.8
MGRM,2023-06-12,3.81,4.0,3.71,3.74
MGRM,2023-06-13,3.78,4.06,3.7605,3.975
MGRM,2023-06-14,4.08,4.09,3.87,3.89
MGRM,2023-06-15,4.0,4.43,3.85,4.21
MGRM,2023-06-16,4.28,4.3172,3.8,3.96
MGRM,2023-06-20,4.0,4.1,3.88,4.08
MGRM,2023-06-21,4.11,4.11,3.8601,3.99
MGRM,2023-06-22,4.02,4.05,3.85,3.86
MGRM,2023-06-23,3.9,3.9397,3.7,3.8
MGRM,2023-06-26,3.84,3.97,3.77,3.85
MGRM,2023-06-27,3.96,3.96,3.75,3.8
MGRM,2023-06-28,3.87,3.9,3.7205,3.87
MGRM,2023-06-29,3.8,3.99,3.76,3.98
MGRM,2023-06-30,3.95,3.99,3.8801,3.98
MGRM,2023-07-03,4.0,4.0,3.89,3.9
MGRM,2023-07-05,3.86,4.1,3.81,4.0999
MGRM,2023-07-06,4.0,4.15,3.874,4.115
MGRM,2023-07-07,4.12,4.15,3.97,4.0
MGRM,2023-07-10,4.0,4.0,3.85,3.92
MGRM,2023-07-11,3.87,3.99,3.85,3.9
MGRM,2023-07-12,3.9,3.95,3.7901,3.83
MGRM,2023-07-13,3.82,4.05,3.82,3.98
MGRM,2023-07-14,4.16,4.87,3.98,4.83
MGRM,2023-07-17,4.6,4.99,4.23,4.55
MGRM,2023-07-18,4.51,5.55,4.51,5.48
MGRM,2023-07-19,5.55,6.3,5.5,6.07
MGRM,2023-07-20,6.12,6.44,5.91,6.13
MGRM,2023-07-21,6.51,6.55,6.01,6.2
MGRM,2023-07-24,5.9,5.9099,5.2068,5.43
MGRM,2023-07-25,5.3,5.3,5.05,5.08
MGRM,2023-07-26,5.2,5.2,4.9,4.96
MGRM,2023-07-27,4.91,5.05,4.65,4.72
MGRM,2023-07-28,4.81,4.9,4.6,4.65
MGRM,2023-07-31,4.6,4.61,4.4,4.41
MGRM,2023-08-01,4.35,4.41,4.18,4.29
MGRM,2023-08-02,4.32,4.32,4.01,4.14
MGRM,2023-08-03,4.27,4.33,4.02,4.16
MGRM,2023-08-04,4.1,4.27,4.01,4.14
MGRM,2023-08-07,4.05,4.14,3.83,3.98
MGRM,2023-08-08,3.91,4.52,3.91,4.26
MGRM,2023-08-09,4.04,4.625,4.04,4.47
MGRM,2023-08-10,4.54,4.94,4.4201,4.92
MGRM,2023-08-11,4.87,4.87,4.6,4.87
MGRM,2023-08-14,4.87,4.87,4.53,4.71
MGRM,2023-08-15,4.68,4.92,4.5001,4.92
MGRM,2023-08-16,4.9,5.13,4.69,4.91
MGRM,2023-08-17,5.01,5.01,4.66,4.88
MGRM,2023-08-18,4.9,4.9,4.56,4.7
MGRM,2023-08-21,4.78,4.79,4.5201,4.68
MGRM,2023-08-22,4.84,4.925,4.57,4.82
MGRM,2023-08-23,4.7,4.86,4.66,4.66
MGRM,2023-08-24,4.64,4.89,4.52,4.76
MGRM,2023-08-25,4.58,4.74,4.53,4.69
MGRM,2023-08-28,4.64,4.81,4.33,4.47
MGRM,2023-08-29,4.31,4.735,4.31,4.54
MGRM,2023-08-30,4.5001,4.79,4.5001,4.65
MGRM,2023-08-31,4.5148,4.65,4.5148,4.56
MGRM,2023-09-01,4.55,4.85,4.55,4.85
MGRM,2023-09-05,4.71,5.15,4.37,4.39
MGRM,2023-09-06,4.51,4.61,4.25,4.25
MGRM,2023-09-07,4.27,4.3978,4.05,4.05
MGRM,2023-09-08,4.25,4.25,4.0,4.03
MGRM,2023-09-11,4.09,4.09,3.25,3.26
MGRM,2023-09-12,3.26,3.4067,2.95,2.98
MGRM,2023-09-13,3.1,3.27,3.0,3.01
MGRM,2023-09-14,3.0,3.21,3.0,3.1
MGRM,2023-09-15,3.11,3.25,2.95,2.98
MGRM,2023-09-18,2.93,3.0594,2.93,2.95
MGRM,2023-09-19,2.9,3.065,2.9,3.01
MGRM,2023-09-20,2.99,3.1299,2.99,3.07
MGRM,2023-09-21,3.0,3.2499,2.97,3.0
MGRM,2023-09-22,3.08,3.08,2.9,2.9
MGRM,2023-09-25,2.9,2.9799,2.87,2.92
MGRM,2023-09-26,2.93,2.9899,2.82,2.82
MGRM,2023-09-27,2.939,2.95,2.68,2.78
MGRM,2023-09-28,2.77,2.9,2.7201,2.75
MGRM,2023-09-29,2.67,2.9275,2.6,2.6
MGRM,2023-10-02,2.56,2.7399,2.56,2.6
MGRM,2023-10-03,2.57,2.82,2.57,2.72
MGRM,2023-10-04,2.8,2.8,2.6,2.6
MGRM,2023-10-05,2.65,2.74,2.605,2.74
