ticker,date,open,high,low,close
MIRM,2019-07-18,13.0,13.62,12.72,13.21
MIRM,2019-07-19,14.0,14.0,13.0,13.5
MIRM,2019-07-22,13.58,14.0,13.48,13.94
MIRM,2019-07-23,14.0,14.69,13.75,14.01
MIRM,2019-07-24,14.14,14.45,13.85,14.0
MIRM,2019-07-25,14.12,14.16,13.57,13.78
MIRM,2019-07-26,13.99,14.0,13.4,13.56
MIRM,2019-07-29,13.51,13.87,13.02,13.59
MIRM,2019-07-30,13.6,13.75,13.33,13.5
MIRM,2019-07-31,13.52,13.68,13.02,13.51
MIRM,2019-08-01,13.53,14.13,13.15,13.63
MIRM,2019-08-02,13.61,13.96,13.41,13.82
MIRM,2019-08-05,13.68,13.85,13.0,13.29
MIRM,2019-08-06,13.23,13.94,12.05,13.81
MIRM,2019-08-07,13.93,14.8,12.53,13.71
MIRM,2019-08-08,14.5,15.46,14.48,14.65
MIRM,2019-08-09,15.0,15.1,14.17,14.77
MIRM,2019-08-12,15.13,15.5,14.7,14.74
MIRM,2019-08-13,14.7,15.03,14.52,14.53
MIRM,2019-08-14,14.52,14.84,12.6,14.09
MIRM,2019-08-15,14.22,14.47,13.32,13.45
MIRM,2019-08-16,13.4,13.87,12.8,13.05
MIRM,2019-08-19,13.19,13.65,12.9,13.19
MIRM,2019-08-20,13.18,13.65,12.88,13.45
MIRM,2019-08-21,13.48,14.41,13.48,14.14
MIRM,2019-08-22,14.11,14.34,13.9,14.23
MIRM,2019-08-23,14.1,14.34,13.78,14.18
MIRM,2019-08-26,14.09,14.34,12.9,14.04
MIRM,2019-08-27,14.0,14.32,13.56,14.15
MIRM,2019-08-28,13.76,14.21,13.44,13.53
MIRM,2019-08-29,13.33,13.71,12.07,12.88
MIRM,2019-08-30,12.53,12.95,12.12,12.69
MIRM,2019-09-03,12.51,12.85,9.88,10.06
MIRM,2019-09-04,9.91,10.2,9.52,10.0
MIRM,2019-09-05,10.02,10.76,9.25,10.73
MIRM,2019-09-06,10.78,12.1,10.27,10.84
MIRM,2019-09-09,11.02,11.52,9.96,10.34
MIRM,2019-09-10,11.22,11.26,9.91,10.18
MIRM,2019-09-11,10.39,10.42,9.75,9.86
MIRM,2019-09-12,9.81,10.35,9.75,9.88
MIRM,2019-09-13,10.54,10.77,9.85,10.02
MIRM,2019-09-16,10.06,10.25,9.33,9.45
MIRM,2019-09-17,9.45,10.45,9.25,9.36
MIRM,2019-09-18,9.43,10.0,9.04,9.31
MIRM,2019-09-19,9.39,9.74,9.1,9.16
MIRM,2019-09-20,9.15,10.26,9.08,9.25
MIRM,2019-09-23,9.31,10.42,9.22,9.86
MIRM,2019-09-24,9.79,10.0,9.21,9.52
MIRM,2019-09-25,9.54,10.21,9.35,10.0
MIRM,2019-09-26,9.88,9.97,9.55,9.61
MIRM,2019-09-27,9.77,9.9,9.44,9.69
MIRM,2019-09-30,9.74,10.19,9.36,10.06
MIRM,2019-10-01,9.99,10.25,9.65,10.09
MIRM,2019-10-02,10.01,10.64,9.26,10.19
MIRM,2019-10-03,10.38,10.85,9.53,10.76
MIRM,2019-10-04,10.86,10.86,10.11,10.49
MIRM,2019-10-07,10.39,10.39,9.79,9.89
MIRM,2019-10-08,9.78,10.13,9.45,9.84
MIRM,2019-10-09,9.57,10.45,9.45,9.6
MIRM,2019-10-10,9.53,9.83,9.34,9.43
MIRM,2019-10-11,9.41,9.41,8.85,8.85
MIRM,2019-10-14,8.82,9.15,8.79,8.88
MIRM,2019-10-15,8.88,9.22,8.5,8.71
MIRM,2019-10-16,8.72,8.93,8.35,8.49
MIRM,2019-10-17,8.48,8.79,7.65,7.98
MIRM,2019-10-18,8.04,8.26,7.65,7.97
MIRM,2019-10-21,8.05,8.15,7.65,7.82
MIRM,2019-10-22,8.37,8.37,7.36,7.43
MIRM,2019-10-23,7.45,8.2,7.45,7.84
MIRM,2019-10-24,7.91,7.91,7.55,7.7
MIRM,2019-10-25,7.63,7.72,7.44,7.53
MIRM,2019-10-28,7.55,7.7,7.33,7.49
MIRM,2019-10-29,7.41,7.6,7.4,7.42
MIRM,2019-10-30,7.5,7.53,7.33,7.42
MIRM,2019-10-31,7.34,7.34,7.1,7.18
MIRM,2019-11-01,7.3,7.63,7.18,7.36
MIRM,2019-11-04,7.4,7.44,7.26,7.33
MIRM,2019-11-05,7.39,7.39,7.05,7.19
MIRM,2019-11-06,7.2,7.4,7.07,7.08
MIRM,2019-11-07,7.14,7.2,6.8,6.88
MIRM,2019-11-08,6.82,7.19,6.82,7.07
MIRM,2019-11-11,7.0,7.39,7.0,7.34
MIRM,2019-11-12,7.34,7.49,7.15,7.36
MIRM,2019-11-13,7.17,7.51,7.17,7.5
MIRM,2019-11-14,7.56,7.6,7.01,7.19
MIRM,2019-11-15,7.37,7.63,7.18,7.41
MIRM,2019-11-18,7.51,7.62,7.26,7.48
MIRM,2019-11-19,7.61,7.85,7.24,7.4
MIRM,2019-11-20,7.33,7.59,6.51,6.84
MIRM,2019-11-21,7.02,7.46,6.62,7.2
MIRM,2019-11-22,7.17,7.57,6.93,7.08
MIRM,2019-11-25,7.1,7.3,6.9,6.95
MIRM,2019-11-26,6.98,7.1,6.91,7.1
MIRM,2019-11-27,7.09,7.54,7.01,7.42
MIRM,2019-11-29,7.5,7.5,7.11,7.21
MIRM,2019-12-02,7.31,7.69,7.31,7.69
MIRM,2019-12-03,7.57,8.42,7.51,8.18
MIRM,2019-12-04,8.11,8.44,7.92,8.17
MIRM,2019-12-05,8.49,8.5,8.23,8.41
MIRM,2019-12-06,8.44,8.87,8.0,8.68
MIRM,2019-12-09,8.75,9.84,8.74,9.65
MIRM,2019-12-10,9.8,9.83,9.05,9.57
MIRM,2019-12-11,9.64,9.64,9.16,9.17
MIRM,2019-12-12,9.15,9.23,8.32,8.4
MIRM,2019-12-13,8.45,8.76,8.16,8.19
MIRM,2019-12-16,11.4,22.43,11.22,17.28
MIRM,2019-12-17,17.34,18.03,15.7,16.49
MIRM,2019-12-18,16.75,27.28,16.75,23.76
MIRM,2019-12-19,23.22,28.31,22.11,23.99
MIRM,2019-12-20,23.62,24.59,22.0,23.57
MIRM,2019-12-23,23.29,24.96,22.32,23.82
MIRM,2019-12-24,23.4,24.0,22.5,23.4
MIRM,2019-12-26,23.43,26.02,23.16,25.18
MIRM,2019-12-27,25.25,26.25,25.25,25.9
MIRM,2019-12-30,25.27,26.01,23.34,24.95
MIRM,2019-12-31,25.0,25.0,23.5,24.52
MIRM,2020-01-02,24.36,24.5,23.51,23.79
MIRM,2020-01-03,23.65,23.65,22.78,23.03
MIRM,2020-01-06,23.0,23.11,22.77,22.95
MIRM,2020-01-07,22.41,23.47,21.0,22.65
MIRM,2020-01-08,21.78,22.44,20.25,20.99
MIRM,2020-01-09,20.7,21.5,19.55,19.85
MIRM,2020-01-10,19.95,20.05,18.77,19.24
MIRM,2020-01-13,19.07,19.21,18.75,18.97
MIRM,2020-01-14,19.1,19.1,17.07,18.0
MIRM,2020-01-15,17.93,18.94,17.83,18.74
MIRM,2020-01-16,18.9,22.26,18.75,21.58
MIRM,2020-01-17,21.58,22.24,19.83,20.23
MIRM,2020-01-21,20.33,21.42,17.68,19.22
MIRM,2020-01-22,19.37,19.95,19.0,19.21
MIRM,2020-01-23,18.68,19.97,18.36,19.26
MIRM,2020-01-24,19.34,19.4,17.49,17.54
MIRM,2020-01-27,17.11,17.57,16.59,17.17
MIRM,2020-01-28,17.2,18.44,17.2,18.09
MIRM,2020-01-29,18.09,18.9,17.87,18.01
MIRM,2020-01-30,17.85,18.08,16.67,16.87
MIRM,2020-01-31,16.81,17.41,15.7,15.73
MIRM,2020-02-03,15.82,16.31,15.35,15.41
MIRM,2020-02-04,15.56,16.34,15.47,16.32
MIRM,2020-02-05,16.35,18.39,15.54,17.57
MIRM,2020-02-06,17.73,17.82,16.21,16.33
MIRM,2020-02-07,16.15,16.2,15.15,16.08
MIRM,2020-02-10,16.0,16.9,16.0,16.53
MIRM,2020-02-11,16.58,17.37,16.03,17.19
MIRM,2020-02-12,17.33,17.38,16.37,16.4
MIRM,2020-02-13,16.32,17.48,15.91,17.06
