ticker,date,open,high,low,close
MODD,2022-02-10,4.15,4.25,3.65,3.71
MODD,2022-02-11,5.8,6.05,4.02,4.26
MODD,2022-02-14,3.793,4.0,3.5,3.85
MODD,2022-02-15,3.84,3.88,3.61,3.65
MODD,2022-02-16,3.65,3.74,3.45,3.5
MODD,2022-02-17,3.54,3.542,3.2,3.34
MODD,2022-02-18,3.48,3.48,2.74,3.01
MODD,2022-02-22,2.77,2.9,2.55,2.85
MODD,2022-02-23,2.86,3.02,2.68,2.96
MODD,2022-02-24,2.85,2.95,2.85,2.95
MODD,2022-02-25,2.92,3.335,2.87,3.29
MODD,2022-02-28,3.12,3.49,3.07,3.47
MODD,2022-03-01,3.45,3.63,3.21,3.63
MODD,2022-03-02,3.74,3.96,3.42,3.95
MODD,2022-03-03,4.04,4.1,3.905,4.03
MODD,2022-03-04,4.07,4.07,3.85,3.99
MODD,2022-03-07,3.99,4.68,3.95,4.42
MODD,2022-03-08,4.4,4.42,4.08,4.15
MODD,2022-03-09,4.25,4.46,4.067,4.35
MODD,2022-03-10,4.3,4.5,4.195,4.39
MODD,2022-03-11,4.39,4.5,4.315,4.45
MODD,2022-03-14,4.38,4.424,3.86,3.95
MODD,2022-03-15,4.1,4.5,4.08,4.35
MODD,2022-03-16,4.27,4.47,4.18,4.4
MODD,2022-03-17,4.26,4.44,4.24,4.38
MODD,2022-03-18,4.46,4.46,3.8,3.8
MODD,2022-03-21,4.11,4.11,4.0,4.0
MODD,2022-03-22,4.05,4.14,3.95,4.0
MODD,2022-03-23,3.99,4.139,3.95,3.95
MODD,2022-03-24,3.83,4.251,3.82,4.0
MODD,2022-03-25,4.46,4.46,4.17,4.25
MODD,2022-03-28,4.19,4.39,4.005,4.15
MODD,2022-03-29,4.04,4.76,4.04,4.52
MODD,2022-03-30,4.45,4.688,4.18,4.18
MODD,2022-03-31,4.3,4.559,4.19,4.4
MODD,2022-04-01,4.5,4.5,4.25,4.25
MODD,2022-04-04,4.25,4.621,4.25,4.51
MODD,2022-04-05,4.37,4.694,4.35,4.35
MODD,2022-04-06,4.08,4.66,4.04,4.32
MODD,2022-04-07,4.507,4.507,4.15,4.23
MODD,2022-04-08,4.23,4.42,4.004,4.18
MODD,2022-04-11,4.12,4.232,3.89,3.89
MODD,2022-04-12,4.01,4.138,3.82,4.03
MODD,2022-04-13,4.46,4.46,3.9,4.11
MODD,2022-04-14,4.5,4.72,4.2,4.24
MODD,2022-04-18,4.41,4.41,4.21,4.23
MODD,2022-04-19,4.21,4.344,4.21,4.28
MODD,2022-04-20,4.31,4.325,4.02,4.147
MODD,2022-04-21,4.27,4.29,4.2,4.22
MODD,2022-04-22,4.4,4.44,4.2,4.4
MODD,2022-04-25,4.408,4.968,4.34,4.8
MODD,2022-04-26,4.67,4.875,4.34,4.75
MODD,2022-04-27,4.62,5.07,4.44,4.9
MODD,2022-04-28,5.0,5.0,4.42,4.53
MODD,2022-04-29,4.42,4.53,4.272,4.53
MODD,2022-05-02,4.32,4.4,4.14,4.32
MODD,2022-05-03,4.28,4.28,4.11,4.22
MODD,2022-05-04,4.16,4.204,4.101,4.16
MODD,2022-05-05,4.17,4.3,4.17,4.23
MODD,2022-05-06,4.62,4.62,4.2,4.39
MODD,2022-05-09,4.57,4.57,4.171,4.35
MODD,2022-05-10,4.44,4.497,4.17,4.17
MODD,2022-05-11,4.28,4.35,3.95,3.95
MODD,2022-05-12,4.11,4.14,3.95,4.14
MODD,2022-05-13,4.24,4.35,4.035,4.337
MODD,2022-05-16,4.39,4.81,4.2,4.71
MODD,2022-05-17,4.6,4.6,4.51,4.59
MODD,2022-05-18,4.66,4.91,4.619,4.68
MODD,2022-05-19,4.76,4.76,4.5,4.76
