ticker,date,open,high,low,close
MOR,2018-04-19,26.16,26.47,25.75,26.31
MOR,2018-04-20,25.8,26.18,25.67,25.82
MOR,2018-04-23,25.94,26.19,25.8,25.8
MOR,2018-04-24,25.77,25.79,24.9,25.15
MOR,2018-04-25,25.08,25.88,24.97,25.34
MOR,2018-04-26,25.5,26.68,25.32,26.47
MOR,2018-04-27,26.23,26.91,26.045,26.7
MOR,2018-04-30,26.65,26.65,26.108,26.18
MOR,2018-05-01,26.18,26.905,25.97,26.35
MOR,2018-05-02,26.55,27.24,26.38,26.95
MOR,2018-05-03,26.54,27.79,26.27,26.43
MOR,2018-05-04,26.29,26.88,26.11,26.51
MOR,2018-05-07,26.63,27.08,26.63,26.92
MOR,2018-05-08,26.66,26.72,26.3,26.7
MOR,2018-05-09,26.33,26.6,26.33,26.6
MOR,2018-05-10,27.18,27.64,27.0,27.12
MOR,2018-05-11,26.86,27.4,26.306,27.4
MOR,2018-05-14,27.22,27.22,26.83,27.05
MOR,2018-05-15,26.66,27.58,26.27,27.15
MOR,2018-05-16,27.01,27.01,26.02,26.59
MOR,2018-05-17,26.65,26.92,26.375,26.63
MOR,2018-05-18,27.02,27.15,26.06,26.495
MOR,2018-05-21,26.91,27.1,25.74,26.08
MOR,2018-05-22,26.92,27.48,26.9,26.92
MOR,2018-05-23,26.75,27.5,26.5,27.5
MOR,2018-05-24,26.84,27.3,26.75,26.81
MOR,2018-05-25,26.62,26.83,26.57,26.81
MOR,2018-05-29,25.85,26.28,25.731,26.02
MOR,2018-05-30,26.78,27.17,26.42,27.09
MOR,2018-05-31,26.83,27.109,25.88,26.49
MOR,2018-06-01,26.59,27.03,26.43,26.66
MOR,2018-06-04,27.16,27.235,26.44,26.99
MOR,2018-06-05,27.1,27.41,26.68,27.01
MOR,2018-06-06,27.34,27.4,27.01,27.01
MOR,2018-06-07,27.29,27.29,26.76,27.2
MOR,2018-06-08,26.81,27.415,26.75,27.04
MOR,2018-06-11,27.7,28.37,27.465,27.8
MOR,2018-06-12,27.971,28.44,27.9,28.14
MOR,2018-06-13,28.11,29.0,27.92,28.64
MOR,2018-06-14,28.29,29.08,27.95,28.71
MOR,2018-06-15,28.12,29.48,27.8,29.27
MOR,2018-06-18,28.57,28.94,28.4,28.66
MOR,2018-06-19,28.26,29.23,28.11,29.23
