ticker,date,open,high,low,close
MTEK,2022-02-02,3.0,3.48,2.71,3.15
MTEK,2022-02-03,2.85,3.83,2.57,2.59
MTEK,2022-02-04,2.822,3.11,2.61,2.7
MTEK,2022-02-07,2.59,2.6,2.22,2.39
MTEK,2022-02-08,2.21,2.43,2.105,2.16
MTEK,2022-02-09,2.12,2.3,2.09,2.18
MTEK,2022-02-10,2.07,2.22,2.07,2.16
MTEK,2022-02-11,2.13,2.13,1.78,1.8
MTEK,2022-02-14,1.8,2.09,1.79,1.935
MTEK,2022-02-15,1.94,1.94,1.75,1.769
MTEK,2022-02-16,1.76,1.85,1.74,1.76
MTEK,2022-02-17,1.76,2.28,1.75,1.88
MTEK,2022-02-18,1.88,2.58,1.88,2.27
MTEK,2022-02-22,2.06,2.28,1.79,1.94
MTEK,2022-02-23,1.98,2.02,1.66,1.69
MTEK,2022-02-24,1.512,1.6,1.45,1.59
MTEK,2022-02-25,1.61,1.75,1.52,1.62
MTEK,2022-02-28,1.62,1.78,1.62,1.68
MTEK,2022-03-01,1.69,1.769,1.59,1.62
MTEK,2022-03-02,1.6,1.72,1.58,1.69
MTEK,2022-03-03,1.66,1.69,1.63,1.64
MTEK,2022-03-04,1.61,1.72,1.57,1.64
MTEK,2022-03-07,1.66,1.67,1.5,1.56
MTEK,2022-03-08,1.54,1.799,1.5,1.72
MTEK,2022-03-09,1.65,1.96,1.64,1.92
MTEK,2022-03-10,1.81,1.83,1.73,1.81
MTEK,2022-03-11,1.75,1.89,1.7,1.88
MTEK,2022-03-14,1.88,1.99,1.78,1.99
MTEK,2022-03-15,1.99,1.99,1.81,1.91
MTEK,2022-03-16,1.9,2.05,1.86,1.94
MTEK,2022-03-17,1.87,1.93,1.75,1.86
MTEK,2022-03-18,1.83,1.92,1.78,1.78
MTEK,2022-03-21,1.8,2.08,1.76,2.01
MTEK,2022-03-22,2.08,2.2,1.96,2.03
MTEK,2022-03-23,2.04,2.06,1.95,1.99
MTEK,2022-03-24,2.0,2.0,1.87,1.95
MTEK,2022-03-25,1.95,1.99,1.86,1.96
MTEK,2022-03-28,1.93,1.942,1.85,1.873
MTEK,2022-03-29,1.865,1.87,1.82,1.82
MTEK,2022-03-30,1.83,1.89,1.813,1.87
MTEK,2022-03-31,1.88,1.88,1.76,1.78
MTEK,2022-04-01,1.79,1.79,1.55,1.56
MTEK,2022-04-04,1.62,1.64,1.51,1.53
MTEK,2022-04-05,1.51,1.59,1.5,1.54
MTEK,2022-04-06,1.55,1.562,1.48,1.53
MTEK,2022-04-07,1.54,1.56,1.41,1.45
MTEK,2022-04-08,1.46,1.47,1.37,1.43
MTEK,2022-04-11,1.45,1.5,1.35,1.41
MTEK,2022-04-12,1.5,1.5,1.32,1.35
MTEK,2022-04-13,1.34,1.38,1.23,1.33
MTEK,2022-04-14,1.3,1.388,1.3,1.35
MTEK,2022-04-18,1.38,1.65,1.34,1.54
MTEK,2022-04-19,1.61,1.65,1.36,1.48
MTEK,2022-04-20,1.41,1.43,1.364,1.42
MTEK,2022-04-21,1.39,1.44,1.31,1.38
MTEK,2022-04-22,1.36,1.38,1.21,1.3
MTEK,2022-04-25,1.26,1.3,1.18,1.2
MTEK,2022-04-26,1.22,1.26,1.16,1.21
MTEK,2022-04-27,1.18,1.29,1.17,1.17
MTEK,2022-04-28,1.21,1.21,1.03,1.18
MTEK,2022-04-29,1.21,1.27,1.15,1.16
MTEK,2022-05-02,1.15,1.25,1.11,1.18
MTEK,2022-05-03,1.17,1.25,1.11,1.22
MTEK,2022-05-04,1.23,1.37,1.19,1.32
MTEK,2022-05-05,1.31,1.38,1.25,1.32
MTEK,2022-05-06,1.28,1.33,1.211,1.28
MTEK,2022-05-09,1.16,1.29,1.13,1.22
MTEK,2022-05-10,1.2,1.22,1.11,1.15
MTEK,2022-05-11,1.13,1.16,1.08,1.091
MTEK,2022-05-12,1.05,1.15,1.02,1.1
MTEK,2022-05-13,1.12,1.16,1.053,1.12
MTEK,2022-05-16,1.112,1.12,1.022,1.07
MTEK,2022-05-17,1.09,1.11,1.07,1.08
MTEK,2022-05-18,1.13,1.13,1.08,1.09
MTEK,2022-05-19,1.06,1.13,1.06,1.11
MTEK,2022-05-20,1.15,1.15,1.05,1.06
MTEK,2022-05-23,1.063,1.09,1.06,1.06
MTEK,2022-05-24,1.07,1.078,1.01,1.03
MTEK,2022-05-25,1.07,1.07,1.04,1.057
MTEK,2022-05-26,1.04,1.08,1.04,1.07
MTEK,2022-05-27,1.05,1.115,1.05,1.09
MTEK,2022-05-31,1.14,1.14,1.08,1.097
MTEK,2022-06-01,1.24,1.281,1.12,1.144
MTEK,2022-06-02,1.16,1.19,1.115,1.14
MTEK,2022-06-03,1.16,1.18,1.15,1.17
MTEK,2022-06-06,1.168,1.2,1.11,1.2
MTEK,2022-06-07,1.13,1.2,1.09,1.18
MTEK,2022-06-08,1.22,1.37,1.202,1.29
MTEK,2022-06-09,1.35,1.6,1.35,1.45
MTEK,2022-06-10,1.34,1.48,1.24,1.28
MTEK,2022-06-13,1.23,1.23,1.17,1.18
MTEK,2022-06-14,1.165,1.27,1.14,1.16
MTEK,2022-06-15,1.205,1.275,1.16,1.2
MTEK,2022-06-16,1.16,1.17,1.13,1.15
MTEK,2022-06-17,1.14,1.21,1.13,1.2
MTEK,2022-06-21,1.15,1.25,1.15,1.17
MTEK,2022-06-22,1.15,1.19,1.15,1.15
MTEK,2022-06-23,1.16,1.21,1.16,1.179
MTEK,2022-06-24,1.16,1.42,1.15,1.37
MTEK,2022-06-27,1.4,1.4,1.22,1.26
MTEK,2022-06-28,1.26,1.26,1.2,1.2
MTEK,2022-06-29,1.17,1.34,1.15,1.15
MTEK,2022-06-30,1.15,1.175,1.1,1.11
MTEK,2022-07-01,1.11,1.18,1.1,1.18
MTEK,2022-07-05,1.69,2.09,1.3,1.3
MTEK,2022-07-06,1.21,1.38,1.2,1.27
MTEK,2022-07-07,1.24,1.41,1.22,1.4
MTEK,2022-07-08,1.42,1.73,1.35,1.44
MTEK,2022-07-11,1.44,1.44,1.31,1.39
MTEK,2022-07-12,1.33,1.38,1.33,1.36
MTEK,2022-07-13,1.28,1.39,1.27,1.35
MTEK,2022-07-14,1.32,1.4,1.26,1.33
MTEK,2022-07-15,1.29,1.365,1.29,1.3
MTEK,2022-07-18,1.33,1.45,1.302,1.38
MTEK,2022-07-19,1.33,1.44,1.33,1.36
MTEK,2022-07-20,1.37,1.41,1.33,1.36
MTEK,2022-07-21,1.38,1.38,1.3,1.32
MTEK,2022-07-22,1.31,1.33,1.28,1.29
MTEK,2022-07-25,1.3,1.46,1.288,1.34
MTEK,2022-07-26,1.33,1.37,1.25,1.34
MTEK,2022-07-27,1.3,1.35,1.27,1.32
MTEK,2022-07-28,1.28,1.328,1.28,1.31
MTEK,2022-07-29,1.32,1.38,1.28,1.37
MTEK,2022-08-01,1.385,1.52,1.365,1.47
MTEK,2022-08-02,1.46,1.58,1.46,1.5
MTEK,2022-08-03,1.51,1.6,1.455,1.53
MTEK,2022-08-04,1.54,1.75,1.53,1.64
MTEK,2022-08-05,1.59,1.63,1.53,1.55
MTEK,2022-08-08,1.53,1.57,1.51,1.54
MTEK,2022-08-09,1.5,1.57,1.47,1.53
MTEK,2022-08-10,1.52,1.658,1.5,1.57
MTEK,2022-08-11,1.59,1.64,1.56,1.57
MTEK,2022-08-12,1.56,1.68,1.56,1.64
MTEK,2022-08-15,1.64,1.65,1.55,1.55
MTEK,2022-08-16,1.57,1.64,1.52,1.56
MTEK,2022-08-17,1.55,1.6,1.46,1.511
MTEK,2022-08-18,1.51,1.61,1.5,1.52
MTEK,2022-08-19,1.5,1.969,1.43,1.52
MTEK,2022-08-22,1.41,1.48,1.36,1.37
MTEK,2022-08-23,1.39,1.44,1.36,1.44
MTEK,2022-08-24,1.4,1.569,1.35,1.53
MTEK,2022-08-25,1.54,1.66,1.349,1.38
MTEK,2022-08-26,1.36,1.385,1.25,1.27
MTEK,2022-08-29,1.25,1.27,1.18,1.25
MTEK,2022-08-30,1.25,1.278,1.19,1.22
MTEK,2022-08-31,1.24,1.31,1.2,1.235
MTEK,2022-09-01,1.2,1.25,1.18,1.2
MTEK,2022-09-02,1.22,1.24,1.18,1.18
MTEK,2022-09-06,1.19,1.22,1.15,1.15
MTEK,2022-09-07,1.185,1.24,1.14,1.17
MTEK,2022-09-08,1.168,1.19,1.11,1.15
MTEK,2022-09-09,1.19,1.19,1.117,1.14
MTEK,2022-09-12,1.14,1.16,1.12,1.15
MTEK,2022-09-13,1.13,1.17,1.11,1.11
MTEK,2022-09-14,1.12,1.178,1.12,1.17
MTEK,2022-09-15,1.18,1.19,1.12,1.16
MTEK,2022-09-16,1.12,1.17,1.11,1.13
MTEK,2022-09-19,1.12,1.124,1.08,1.124
MTEK,2022-09-20,1.132,1.18,1.08,1.165
MTEK,2022-09-21,1.28,1.3,1.11,1.14
MTEK,2022-09-22,1.11,1.14,1.1,1.1
MTEK,2022-09-23,1.1,1.19,1.08,1.16
MTEK,2022-09-26,1.19,1.19,1.15,1.18
MTEK,2022-09-27,1.15,1.201,1.11,1.14
MTEK,2022-09-28,1.125,1.21,1.12,1.19
MTEK,2022-09-29,1.153,1.2,1.13,1.16
MTEK,2022-09-30,1.133,1.19,1.13,1.18
MTEK,2022-10-03,1.19,1.29,1.16,1.29
MTEK,2022-10-04,1.25,1.28,1.2,1.2
MTEK,2022-10-05,1.19,1.23,1.16,1.19
MTEK,2022-10-06,1.187,1.24,1.187,1.21
MTEK,2022-10-07,1.17,1.21,1.15,1.2
MTEK,2022-10-10,1.205,1.22,1.17,1.18
MTEK,2022-10-11,1.18,1.237,1.17,1.221
MTEK,2022-10-12,1.22,1.24,1.18,1.2
MTEK,2022-10-13,1.22,1.23,1.16,1.23
MTEK,2022-10-14,1.21,1.21,1.16,1.16
MTEK,2022-10-17,1.22,1.22,1.17,1.18
MTEK,2022-10-18,1.17,1.21,1.17,1.2
MTEK,2022-10-19,1.2,1.2,1.15,1.17
MTEK,2022-10-20,1.154,1.18,1.13,1.17
MTEK,2022-10-21,1.15,1.2,1.12,1.18
MTEK,2022-10-24,1.19,1.2,1.17,1.17
MTEK,2022-10-25,1.2,1.22,1.17,1.2
MTEK,2022-10-26,1.22,1.22,1.17,1.21
