ticker,date,open,high,low,close
NBTB,1992-03-17,5.71,6.22,5.71,6.09
NBTB,1992-03-18,5.71,6.22,5.71,6.22
NBTB,1992-03-19,5.9,6.47,5.71,6.22
NBTB,1992-03-20,6.22,6.22,6.22,6.22
NBTB,1992-03-23,5.71,5.71,5.71,5.71
NBTB,1992-03-24,6.09,6.09,5.77,5.77
NBTB,1992-03-25,6.35,6.35,5.71,5.71
NBTB,1992-03-26,6.35,6.35,6.35,6.35
NBTB,1992-03-27,6.09,6.09,6.09,6.09
NBTB,1992-03-30,6.09,6.09,6.09,6.09
NBTB,1992-03-31,6.22,6.22,6.22,6.22
NBTB,1992-04-01,6.09,6.09,6.09,6.09
NBTB,1992-04-02,5.71,6.09,5.71,6.09
NBTB,1992-04-03,6.22,6.22,5.71,5.71
NBTB,1992-04-06,6.22,6.22,6.22,6.22
NBTB,1992-04-07,5.71,6.09,5.71,6.09
NBTB,1992-04-08,6.09,6.09,6.09,6.09
NBTB,1992-04-09,6.09,6.09,6.03,6.09
NBTB,1992-04-10,6.09,6.09,6.09,6.09
NBTB,1992-04-13,5.84,6.09,5.84,6.09
NBTB,1992-04-14,6.09,6.09,5.84,5.84
NBTB,1992-04-15,6.09,6.09,5.84,5.84
NBTB,1992-04-16,6.09,6.09,5.84,5.96
NBTB,1992-04-20,5.96,5.96,5.96,5.96
NBTB,1992-04-21,5.96,5.96,5.96,5.96
NBTB,1992-04-22,5.96,5.96,5.65,5.96
NBTB,1992-04-23,5.71,5.96,5.71,5.71
NBTB,1992-04-24,5.71,5.71,5.71,5.71
NBTB,1992-04-27,5.96,5.96,5.58,5.96
NBTB,1992-04-28,5.96,5.96,5.96,5.96
NBTB,1992-04-29,5.96,6.09,5.84,6.09
NBTB,1992-04-30,5.84,5.96,5.84,5.84
NBTB,1992-05-01,5.84,6.22,5.84,6.22
NBTB,1992-05-04,6.22,6.22,5.96,5.96
NBTB,1992-05-05,5.96,5.96,5.96,5.96
NBTB,1992-05-06,6.09,6.09,5.84,5.84
NBTB,1992-05-07,6.22,6.22,5.9,5.9
NBTB,1992-05-08,5.96,5.96,5.96,5.96
NBTB,1992-05-11,5.96,6.22,5.96,6.22
NBTB,1992-05-12,5.96,6.09,5.9,6.09
NBTB,1992-05-13,6.22,6.22,6.22,6.22
NBTB,1992-05-14,6.35,6.35,6.35,6.35
NBTB,1992-05-15,6.35,6.35,6.35,6.35
NBTB,1992-05-18,6.35,6.35,6.35,6.35
NBTB,1992-05-19,6.35,6.35,6.35,6.35
NBTB,1992-05-20,6.47,6.47,6.47,6.47
NBTB,1992-05-21,5.96,5.96,5.96,5.96
NBTB,1992-05-22,6.47,6.47,6.09,6.09
NBTB,1992-05-26,6.16,6.16,6.09,6.09
NBTB,1992-05-27,6.28,6.6,6.28,6.6
NBTB,1992-05-28,6.22,6.85,6.22,6.22
NBTB,1992-05-29,6.22,6.22,6.22,6.22
NBTB,1992-06-01,6.41,6.85,6.41,6.85
NBTB,1992-06-02,6.85,7.11,6.22,6.73
NBTB,1992-06-03,6.35,6.73,6.35,6.73
NBTB,1992-06-04,7.11,7.23,7.11,7.11
NBTB,1992-06-05,6.6,6.98,6.6,6.6
NBTB,1992-06-08,6.98,6.98,6.85,6.85
NBTB,1992-06-09,6.6,7.11,6.6,7.11
NBTB,1992-06-10,6.66,6.66,6.66,6.66
NBTB,1992-06-11,6.98,6.98,6.85,6.98
NBTB,1992-06-12,7.23,7.23,7.23,7.23
NBTB,1992-06-15,7.23,7.23,7.23,7.23
NBTB,1992-06-16,7.23,7.49,7.11,7.49
NBTB,1992-06-17,6.85,6.85,6.85,6.85
NBTB,1992-06-18,6.85,6.85,6.85,6.85
NBTB,1992-06-19,6.85,6.85,6.85,6.85
NBTB,1992-06-22,7.61,7.61,6.85,6.85
NBTB,1992-06-23,6.85,6.85,6.85,6.85
NBTB,1992-06-24,6.85,6.85,6.85,6.85
NBTB,1992-06-25,6.85,7.23,6.85,7.23
NBTB,1992-06-26,6.85,7.36,6.85,7.36
NBTB,1992-06-29,7.36,7.36,7.36,7.36
NBTB,1992-06-30,7.36,7.36,7.36,7.36
NBTB,1992-07-01,7.36,7.36,6.85,6.85
NBTB,1992-07-02,6.85,6.85,6.85,6.85
NBTB,1992-07-06,7.61,7.61,7.61,7.61
NBTB,1992-07-07,7.61,7.61,7.61,7.61
NBTB,1992-07-08,7.61,7.61,7.61,7.61
NBTB,1992-07-09,7.11,7.11,7.11,7.11
NBTB,1992-07-10,7.61,7.61,7.61,7.61
NBTB,1992-07-13,7.61,7.61,7.11,7.61
NBTB,1992-07-14,7.11,7.11,7.11,7.11
NBTB,1992-07-15,7.23,7.61,7.23,7.61
NBTB,1992-07-16,7.11,7.11,7.11,7.11
NBTB,1992-07-17,7.11,7.11,7.11,7.11
NBTB,1992-07-20,7.11,7.42,7.11,7.42
NBTB,1992-07-21,7.11,7.11,7.11,7.11
NBTB,1992-07-22,7.11,7.11,7.11,7.11
NBTB,1992-07-23,7.11,7.61,7.11,7.61
NBTB,1992-07-24,7.11,7.61,7.11,7.61
NBTB,1992-07-27,7.61,7.87,7.61,7.87
NBTB,1992-07-28,7.8,7.8,7.61,7.8
NBTB,1992-07-29,7.36,8.0,7.36,8.0
NBTB,1992-07-30,7.36,7.36,7.36,7.36
NBTB,1992-07-31,7.42,7.49,7.23,7.23
NBTB,1992-08-03,7.61,7.61,7.61,7.61
NBTB,1992-08-04,7.23,7.74,7.23,7.23
NBTB,1992-08-05,7.74,7.74,7.55,7.74
NBTB,1992-08-06,7.23,7.61,7.23,7.23
NBTB,1992-08-07,7.23,7.23,7.23,7.23
NBTB,1992-08-10,7.23,7.23,7.23,7.23
NBTB,1992-08-11,7.23,7.23,7.23,7.23
NBTB,1992-08-12,7.74,7.74,7.74,7.74
NBTB,1992-08-13,7.49,7.74,7.49,7.74
NBTB,1992-08-14,7.74,7.74,7.74,7.74
NBTB,1992-08-17,7.74,7.74,7.23,7.74
NBTB,1992-08-18,7.74,7.74,7.74,7.74
NBTB,1992-08-19,7.74,7.74,7.49,7.49
NBTB,1992-08-20,7.23,7.23,7.23,7.23
NBTB,1992-08-21,7.74,7.74,7.74,7.74
NBTB,1992-08-24,7.23,7.61,7.23,7.23
NBTB,1992-08-25,7.55,7.74,7.55,7.74
NBTB,1992-08-26,7.36,7.74,7.36,7.74
NBTB,1992-08-27,7.36,7.36,7.36,7.36
NBTB,1992-08-28,7.61,7.68,7.36,7.36
NBTB,1992-08-31,7.61,7.61,7.61,7.61
NBTB,1992-09-01,7.49,7.61,7.49,7.61
NBTB,1992-09-02,7.36,7.61,7.36,7.42
NBTB,1992-09-03,7.36,7.61,7.36,7.61
NBTB,1992-09-04,7.61,7.61,7.61,7.61
NBTB,1992-09-08,7.61,7.61,7.36,7.36
NBTB,1992-09-09,7.36,7.61,7.36,7.61
NBTB,1992-09-10,7.61,7.61,7.61,7.61
NBTB,1992-09-11,7.36,7.36,7.36,7.36
NBTB,1992-09-14,7.61,7.61,7.61,7.61
NBTB,1992-09-15,7.36,7.36,7.36,7.36
NBTB,1992-09-16,7.36,7.74,7.36,7.74
NBTB,1992-09-17,7.74,7.74,7.74,7.74
NBTB,1992-09-18,7.74,7.74,7.74,7.74
NBTB,1992-09-21,7.68,7.68,7.68,7.68
NBTB,1992-09-22,7.74,7.74,7.74,7.74
NBTB,1992-09-23,7.74,7.74,7.23,7.23
NBTB,1992-09-24,7.36,7.36,7.23,7.36
NBTB,1992-09-25,7.23,7.23,7.23,7.23
NBTB,1992-09-28,7.23,7.23,7.23,7.23
NBTB,1992-09-29,7.23,7.23,7.23,7.23
NBTB,1992-09-30,7.23,7.23,7.23,7.23
NBTB,1992-10-01,7.23,7.23,7.23,7.23
NBTB,1992-10-02,7.23,7.49,7.23,7.49
NBTB,1992-10-05,7.74,7.74,7.74,7.74
NBTB,1992-10-06,7.74,7.74,7.74,7.74
NBTB,1992-10-07,7.74,7.74,7.74,7.74
NBTB,1992-10-08,7.23,7.23,7.23,7.23
NBTB,1992-10-09,7.23,7.23,7.23,7.23
NBTB,1992-10-12,7.23,7.23,7.23,7.23
NBTB,1992-10-13,7.23,7.23,7.23,7.23
NBTB,1992-10-14,7.23,7.23,7.23,7.23
NBTB,1992-10-15,7.23,7.23,7.23,7.23
NBTB,1992-10-16,7.74,7.74,7.23,7.74
NBTB,1992-10-19,7.23,7.23,7.23,7.23
NBTB,1992-10-20,7.23,7.23,7.23,7.23
NBTB,1992-10-21,7.3,7.74,7.3,7.49
NBTB,1992-10-22,7.49,7.49,7.49,7.49
NBTB,1992-10-23,7.23,7.23,7.23,7.23
NBTB,1992-10-26,7.61,7.74,7.23,7.74
NBTB,1992-10-27,7.74,7.74,7.74,7.74
NBTB,1992-10-28,7.23,7.74,7.23,7.23
NBTB,1992-10-29,7.23,7.23,7.23,7.23
NBTB,1992-10-30,7.23,7.23,7.23,7.23
NBTB,1992-11-02,7.74,7.74,7.36,7.36
NBTB,1992-11-03,7.23,7.74,7.23,7.23
NBTB,1992-11-04,7.49,7.49,7.49,7.49
NBTB,1992-11-05,7.49,7.49,7.49,7.49
NBTB,1992-11-06,7.23,7.23,7.23,7.23
NBTB,1992-11-09,7.23,7.74,7.23,7.36
NBTB,1992-11-10,7.74,7.74,7.23,7.23
NBTB,1992-11-11,7.74,7.74,7.74,7.74
NBTB,1992-11-12,7.74,7.74,7.23,7.74
NBTB,1992-11-13,7.23,7.74,7.23,7.74
NBTB,1992-11-16,7.74,7.74,7.74,7.74
NBTB,1992-11-17,7.23,7.74,7.23,7.74
NBTB,1992-11-18,7.23,7.23,7.23,7.23
NBTB,1992-11-19,7.23,7.87,7.23,7.87
NBTB,1992-11-20,7.74,7.74,7.36,7.36
NBTB,1992-11-23,7.61,7.74,7.61,7.74
NBTB,1992-11-24,8.13,8.13,7.6,7.6
NBTB,1992-11-25,7.86,7.86,7.6,7.86
