ticker,date,open,high,low,close
NIU,2018-10-19,8.5,10.2,7.51,8.65
NIU,2018-10-22,8.7,8.94,7.9,8.3
NIU,2018-10-23,7.9,7.98,7.6,7.7
NIU,2018-10-24,7.87,7.87,7.14,7.2
NIU,2018-10-25,7.16,7.4,6.32,6.56
NIU,2018-10-26,6.51,7.75,6.32,7.48
NIU,2018-10-29,7.43,7.43,7.05,7.23
NIU,2018-10-30,7.21,7.21,6.8,6.99
NIU,2018-10-31,7.2,7.78,7.02,7.73
NIU,2018-11-01,7.7,8.2,7.43,8.2
NIU,2018-11-02,8.31,9.36,7.8,9.2
NIU,2018-11-05,8.8,9.35,8.56,8.64
NIU,2018-11-06,8.61,9.09,7.84,9.09
NIU,2018-11-07,9.18,9.18,8.65,8.91
NIU,2018-11-08,8.88,9.15,8.57,9.12
NIU,2018-11-09,9.1,9.1,8.65,8.71
NIU,2018-11-12,8.55,8.55,8.03,8.2
NIU,2018-11-13,8.4,8.44,8.3,8.31
NIU,2018-11-14,8.16,8.42,8.05,8.33
NIU,2018-11-15,8.3,8.37,7.7,8.13
NIU,2018-11-16,7.88,8.02,7.7,7.75
NIU,2018-11-19,7.77,8.0,7.66,7.68
NIU,2018-11-20,7.95,8.0,7.7,7.81
NIU,2018-11-21,7.81,8.38,7.81,8.13
NIU,2018-11-23,8.22,8.29,8.02,8.15
NIU,2018-11-26,8.2,8.3,8.05,8.12
NIU,2018-11-27,8.05,8.25,7.54,7.8
NIU,2018-11-28,7.88,8.02,7.88,8.0
NIU,2018-11-29,8.49,8.5,7.76,8.15
NIU,2018-11-30,7.98,8.2,7.91,8.01
NIU,2018-12-03,8.16,8.46,8.04,8.2
NIU,2018-12-04,8.2,8.22,7.85,8.0
NIU,2018-12-06,7.78,7.95,7.71,7.85
NIU,2018-12-07,7.68,7.98,7.5,7.67
NIU,2018-12-10,7.56,7.68,7.1,7.13
NIU,2018-12-11,7.14,7.51,7.1,7.15
NIU,2018-12-12,7.23,7.32,7.0,7.0
NIU,2018-12-13,7.01,7.19,7.0,7.01
NIU,2018-12-14,7.14,7.27,6.86,7.13
NIU,2018-12-17,7.14,7.14,6.8,7.02
NIU,2018-12-18,7.0,7.01,6.62,6.91
NIU,2018-12-19,6.9,6.9,6.5,6.51
NIU,2018-12-20,6.6,6.75,6.27,6.49
NIU,2018-12-21,6.21,6.75,6.21,6.68
NIU,2018-12-24,6.68,6.68,6.17,6.43
NIU,2018-12-26,6.46,6.67,6.21,6.39
NIU,2018-12-27,6.45,6.56,6.04,6.12
NIU,2018-12-28,6.29,7.09,6.25,6.81
NIU,2018-12-31,6.95,7.24,6.93,7.0
NIU,2019-01-02,6.95,7.07,6.72,7.01
NIU,2019-01-03,6.99,7.06,6.76,6.81
NIU,2019-01-04,6.86,7.04,6.83,6.91
NIU,2019-01-07,6.96,7.02,6.9,6.97
NIU,2019-01-08,6.98,7.11,6.97,7.02
NIU,2019-01-09,7.0,7.15,6.92,7.1
NIU,2019-01-10,7.1,7.84,7.06,7.33
NIU,2019-01-11,7.69,7.78,7.49,7.74
NIU,2019-01-14,7.85,8.1,7.74,7.91
NIU,2019-01-15,7.88,8.18,7.61,7.85
NIU,2019-01-16,7.85,8.2,7.81,7.85
NIU,2019-01-17,7.8,7.95,7.8,7.86
NIU,2019-01-18,7.8,8.08,7.52,7.83
NIU,2019-01-22,7.83,7.86,7.73,7.73
NIU,2019-01-23,7.73,8.0,7.57,7.64
NIU,2019-01-24,7.6,7.86,7.51,7.51
NIU,2019-01-25,7.56,7.85,7.56,7.61
NIU,2019-01-28,7.51,7.69,7.49,7.54
NIU,2019-01-29,7.62,7.73,7.55,7.57
NIU,2019-01-30,7.66,7.66,7.53,7.56
NIU,2019-01-31,7.49,7.68,7.45,7.53
NIU,2019-02-01,7.55,8.09,7.55,7.77
NIU,2019-02-04,7.8,8.08,7.7,8.0
NIU,2019-02-05,7.99,8.36,7.99,8.14
NIU,2019-02-06,8.05,8.05,7.77,7.8
NIU,2019-02-07,7.8,7.96,7.55,7.65
NIU,2019-02-08,7.65,7.97,7.6,7.65
NIU,2019-02-11,7.77,7.77,7.35,7.56
NIU,2019-02-12,7.52,7.75,7.5,7.62
NIU,2019-02-13,7.58,7.7,7.41,7.67
NIU,2019-02-14,7.53,7.54,7.35,7.43
