ticker,date,open,high,low,close
NMRA,2023-09-15,16.5,17.7394,15.5,16.25
NMRA,2023-09-18,16.15,16.38,14.12,14.8
NMRA,2023-09-19,14.64,14.99,11.26,11.98
NMRA,2023-09-20,12.8,13.0394,9.9,10.13
NMRA,2023-09-21,10.35,12.01,10.01,11.01
NMRA,2023-09-22,11.01,11.53,10.465,11.03
NMRA,2023-09-25,10.84,12.149,10.5,11.4
NMRA,2023-09-26,11.4,12.0499,11.35,11.71
NMRA,2023-09-27,11.71,14.0,11.71,11.82
NMRA,2023-09-28,11.82,14.24,11.82,13.22
NMRA,2023-09-29,13.22,14.2,13.22,14.11
NMRA,2023-10-02,14.4,14.7789,10.7,11.01
NMRA,2023-10-03,11.01,12.0399,10.5266,11.86
NMRA,2023-10-04,11.84,12.15,11.1,11.91
NMRA,2023-10-05,12.04,12.3909,11.7701,12.01
