ticker,date,open,high,low,close
NN,2020-11-02,9.75,10.06,9.65,9.75
NN,2020-11-03,9.75,9.75,9.75,9.75
NN,2020-11-04,9.8,9.8,9.75,9.8
NN,2020-11-05,9.81,9.81,9.8,9.8
NN,2020-11-06,9.82,9.89,9.82,9.89
NN,2020-11-09,9.83,9.89,9.78,9.78
NN,2020-11-10,9.79,9.79,9.79,9.79
NN,2020-11-11,9.76,9.835,9.76,9.835
NN,2020-11-12,9.83,9.9,9.83,9.83
NN,2020-11-13,9.83,9.85,9.83,9.85
NN,2020-11-16,9.8,9.89,9.8,9.83
NN,2020-11-17,9.83,9.892,9.83,9.88
NN,2020-11-18,9.85,10.05,9.83,9.9
NN,2020-11-19,10.39,10.586,9.83,9.87
NN,2020-11-20,9.83,9.9,9.83,9.85
NN,2020-11-23,9.85,9.87,9.85,9.85
NN,2020-11-24,9.86,9.88,9.85,9.86
NN,2020-11-25,9.86,9.91,9.86,9.86
NN,2020-11-27,9.9,9.9,9.9,9.9
NN,2020-11-30,9.86,9.95,9.86,9.9
NN,2020-12-01,9.945,9.945,9.945,9.945
NN,2020-12-02,9.87,9.95,9.87,9.95
NN,2020-12-03,9.9,10.03,9.88,10.02
NN,2020-12-04,9.96,10.01,9.89,10.01
NN,2020-12-07,10.04,10.04,9.945,10.0
NN,2020-12-08,9.98,10.0,9.98,9.99
NN,2020-12-09,10.0,10.02,10.0,10.0
NN,2020-12-10,10.0,10.05,9.86,10.03
NN,2020-12-11,10.09,10.1,10.0,10.03
NN,2020-12-14,10.12,10.195,9.9,10.04
NN,2020-12-15,10.12,10.24,10.04,10.1
NN,2020-12-16,10.07,10.07,10.0,10.04
NN,2020-12-17,10.14,10.15,10.05,10.05
NN,2020-12-18,10.04,10.1,10.02,10.08
NN,2020-12-21,10.05,10.05,10.01,10.01
NN,2020-12-22,10.05,10.2,10.05,10.08
NN,2020-12-23,10.143,10.143,10.06,10.08
NN,2020-12-24,10.08,10.08,10.08,10.08
NN,2020-12-28,10.1,10.17,10.08,10.1
NN,2020-12-29,10.15,10.162,10.125,10.15
NN,2020-12-30,10.19,10.19,10.08,10.15
NN,2020-12-31,10.14,10.2,10.06,10.06
NN,2021-01-04,10.23,10.25,10.1,10.11
NN,2021-01-05,10.23,10.23,10.157,10.18
NN,2021-01-06,10.25,10.25,10.06,10.06
NN,2021-01-07,10.238,10.238,10.1,10.1
NN,2021-01-08,10.15,10.25,10.15,10.17
NN,2021-01-11,10.19,10.25,10.19,10.235
NN,2021-01-12,10.25,10.26,10.2,10.26
NN,2021-01-13,10.3,10.32,10.27,10.28
NN,2021-01-14,10.35,10.35,10.23,10.275
NN,2021-01-15,10.3,10.34,10.25,10.29
NN,2021-01-19,10.258,10.31,10.256,10.31
NN,2021-01-20,10.304,10.34,10.2,10.27
NN,2021-01-21,10.25,10.35,10.25,10.27
NN,2021-01-22,10.25,10.27,10.1,10.27
NN,2021-01-25,10.3,10.47,10.29,10.37
NN,2021-01-26,10.49,10.49,10.24,10.27
NN,2021-01-27,10.25,10.27,10.11,10.17
NN,2021-01-28,10.21,10.47,10.2,10.4
NN,2021-01-29,10.32,10.48,10.14,10.2
NN,2021-02-01,10.275,10.3,10.2,10.3
NN,2021-02-02,10.3,10.34,10.29,10.32
NN,2021-02-03,10.17,10.5,10.17,10.41
NN,2021-02-04,10.32,10.45,10.27,10.44
NN,2021-02-05,10.49,10.5,10.24,10.37
NN,2021-02-08,10.4,10.454,10.21,10.25
NN,2021-02-09,10.22,10.36,10.22,10.23
NN,2021-02-10,10.27,10.4,10.23,10.33
