ticker,date,open,high,low,close
NNBR,1994-03-15,7.0,7.2222,6.6667,7.1111
NNBR,1994-03-16,7.0,7.3333,7.0,7.2222
NNBR,1994-03-17,7.1111,7.3333,7.1111,7.2222
NNBR,1994-03-18,7.1111,7.3333,7.1111,7.1111
NNBR,1994-03-21,7.3333,7.3333,6.8889,6.8889
NNBR,1994-03-22,6.8889,7.1111,6.8889,7.0
NNBR,1994-03-23,6.8889,7.2222,6.8889,7.1111
NNBR,1994-03-24,7.2222,7.2222,6.8889,6.8889
NNBR,1994-03-25,6.8889,7.2222,6.8889,6.8889
NNBR,1994-03-28,6.8889,7.1111,6.8889,7.1111
NNBR,1994-03-29,6.8889,7.1111,6.8889,6.8889
NNBR,1994-03-30,7.0,7.0,6.7778,6.8333
NNBR,1994-03-31,6.7778,7.0,6.6667,6.6667
NNBR,1994-04-04,6.6667,6.7778,6.3333,6.3889
NNBR,1994-04-05,6.3333,6.7778,6.3333,6.4444
NNBR,1994-04-06,6.7778,6.8889,6.4444,6.5556
NNBR,1994-04-07,6.8889,6.8889,6.6667,6.8889
NNBR,1994-04-08,6.8889,6.8889,6.6667,6.8889
NNBR,1994-04-11,6.8889,7.3333,6.6667,7.3333
NNBR,1994-04-12,7.1111,7.2222,7.0,7.0
NNBR,1994-04-13,7.2222,7.3333,7.1111,7.1111
NNBR,1994-04-14,7.1111,7.7778,7.1111,7.7778
NNBR,1994-04-15,7.7778,7.7778,7.4444,7.4444
NNBR,1994-04-18,7.7778,7.8889,7.4444,7.7778
NNBR,1994-04-19,7.7778,8.2222,7.5556,7.6667
NNBR,1994-04-20,7.5556,7.8889,7.1111,7.2222
NNBR,1994-04-21,7.4444,7.4444,7.2222,7.3333
NNBR,1994-04-22,7.2222,7.4444,7.2222,7.2778
NNBR,1994-04-25,7.4444,7.4444,7.0,7.3333
NNBR,1994-04-26,7.3333,7.3333,7.1667,7.3333
NNBR,1994-04-28,7.3333,7.3333,7.1667,7.2222
NNBR,1994-04-29,7.3333,7.3333,7.1111,7.1667
NNBR,1994-05-02,7.1111,7.3333,7.1111,7.2222
NNBR,1994-05-03,7.1111,7.3333,7.0,7.3333
NNBR,1994-05-04,7.2222,7.3333,7.0,7.2222
NNBR,1994-05-05,7.3333,7.5556,7.2222,7.4444
NNBR,1994-05-06,7.5556,7.6667,7.4444,7.4444
NNBR,1994-05-09,7.6667,7.7778,7.3333,7.6111
NNBR,1994-05-10,7.5556,7.8889,7.5556,7.6667
NNBR,1994-05-11,7.6667,7.8889,7.6667,7.6667
NNBR,1994-05-12,7.8889,7.8889,7.6667,7.7778
NNBR,1994-05-13,7.8889,7.8889,7.4444,7.6667
NNBR,1994-05-16,7.4444,7.5556,7.4444,7.4444
NNBR,1994-05-17,7.4444,7.6667,7.4444,7.4444
NNBR,1994-05-18,7.3333,7.6667,7.3333,7.3889
NNBR,1994-05-19,7.5556,7.5556,7.3333,7.3333
NNBR,1994-05-20,7.3333,7.6667,7.3333,7.6111
NNBR,1994-05-23,7.5556,7.7778,7.4444,7.7778
NNBR,1994-05-24,7.5556,7.6667,7.4444,7.4444
NNBR,1994-05-25,7.4444,7.7778,7.2222,7.4444
NNBR,1994-05-26,7.2222,7.4444,7.2222,7.4444
NNBR,1994-05-27,7.2222,7.4444,7.2222,7.4444
NNBR,1994-05-31,7.1111,7.3333,6.8889,7.2222
NNBR,1994-06-01,7.2222,7.2222,7.0,7.0
NNBR,1994-06-02,7.0,7.2222,7.0,7.2222
NNBR,1994-06-03,7.0,7.2222,7.0,7.0
NNBR,1994-06-06,7.0,7.6667,7.0,7.6667
NNBR,1994-06-07,7.4444,7.6667,7.4444,7.4444
NNBR,1994-06-08,7.5556,7.6667,7.4444,7.4444
NNBR,1994-06-09,7.6667,7.6667,7.4444,7.6667
NNBR,1994-06-10,7.6667,7.6667,7.4444,7.6667
NNBR,1994-06-13,7.5833,7.6667,7.4444,7.6667
NNBR,1994-06-14,7.6667,7.7778,7.5556,7.6111
NNBR,1994-06-15,7.7778,8.0,7.5556,7.6667
NNBR,1994-06-16,7.8889,8.0,7.6667,7.6667
NNBR,1994-06-17,8.0,8.0,7.6667,8.0
NNBR,1994-06-20,7.6667,7.6667,7.6667,7.6667
NNBR,1994-06-21,8.0,8.0,7.6667,7.6667
NNBR,1994-06-22,8.0,8.0,7.6667,8.0
NNBR,1994-06-23,7.9306,7.9306,7.9306,7.9306
NNBR,1994-06-24,7.6667,7.8889,7.6667,7.6667
NNBR,1994-06-27,7.8889,8.0,7.7778,7.7778
NNBR,1994-06-28,7.7778,8.0,7.6667,8.0
NNBR,1994-06-29,7.8889,7.8889,7.6667,7.6667
NNBR,1994-06-30,8.0,8.0,7.6667,8.0
NNBR,1994-07-01,7.8889,8.0,7.6667,7.6667
NNBR,1994-07-05,8.0,8.0,7.7778,7.7778
NNBR,1994-07-06,7.7778,8.0,7.6667,8.0
NNBR,1994-07-07,8.0,8.0556,7.7778,7.8889
NNBR,1994-07-08,7.8889,8.3333,7.8889,8.3333
NNBR,1994-07-11,8.3333,8.4444,8.1111,8.4444
NNBR,1994-07-12,8.2222,8.5556,8.2222,8.5556
NNBR,1994-07-13,8.2222,8.5556,8.2222,8.3333
NNBR,1994-07-14,8.6667,9.1111,8.4444,8.7778
NNBR,1994-07-15,8.8333,9.1111,8.7778,9.1111
