ticker,date,open,high,low,close
NOV,1996-10-29,4.73,4.73,4.51,4.54
NOV,1996-10-30,4.56,5.3,4.56,5.13
NOV,1996-10-31,5.13,5.33,5.1,5.24
NOV,1996-11-01,5.24,5.27,4.9,4.96
NOV,1996-11-04,4.99,5.02,4.9,4.9
NOV,1996-11-05,4.9,4.93,4.87,4.87
NOV,1996-11-06,4.9,4.96,4.85,4.93
NOV,1996-11-07,4.9,4.99,4.87,4.99
NOV,1996-11-08,5.02,5.24,4.99,5.18
NOV,1996-11-11,5.21,5.38,5.21,5.3
NOV,1996-11-12,5.3,5.47,5.3,5.41
NOV,1996-11-13,5.52,5.89,5.44,5.75
NOV,1996-11-14,5.8,6.03,5.8,5.92
NOV,1996-11-15,5.97,6.0,5.83,5.89
NOV,1996-11-18,5.86,5.86,5.61,5.75
NOV,1996-11-19,5.8,5.8,5.72,5.8
NOV,1996-11-20,5.8,5.83,5.78,5.78
NOV,1996-11-21,5.8,5.8,5.72,5.72
NOV,1996-11-22,5.78,6.0,5.72,5.75
NOV,1996-11-25,5.78,6.14,5.78,6.09
NOV,1996-11-26,6.14,6.4,6.14,6.2
NOV,1996-11-27,6.26,6.31,6.23,6.31
NOV,1996-11-29,6.37,6.37,6.34,6.37
NOV,1996-12-02,6.37,6.37,6.23,6.31
NOV,1996-12-03,6.31,6.57,6.31,6.57
NOV,1996-12-04,6.57,6.57,6.42,6.42
NOV,1996-12-05,6.48,6.54,6.37,6.48
NOV,1996-12-06,6.42,6.45,6.26,6.31
NOV,1996-12-09,6.34,6.54,6.34,6.48
NOV,1996-12-10,6.48,6.48,6.26,6.26
NOV,1996-12-11,6.23,6.23,5.83,5.89
NOV,1996-12-12,5.95,6.06,5.95,6.06
NOV,1996-12-13,6.09,6.09,6.0,6.03
NOV,1996-12-16,6.06,6.2,6.06,6.2
NOV,1996-12-17,6.23,6.26,6.2,6.26
NOV,1996-12-18,6.28,6.28,6.14,6.23
NOV,1996-12-19,6.48,6.71,6.48,6.54
NOV,1996-12-20,6.59,6.85,6.59,6.76
NOV,1996-12-23,6.82,6.88,6.79,6.79
NOV,1996-12-24,6.85,6.88,6.85,6.85
NOV,1996-12-26,6.88,6.88,6.82,6.85
NOV,1996-12-27,6.73,6.79,6.68,6.68
NOV,1996-12-30,6.65,6.71,6.65,6.71
NOV,1996-12-31,6.65,6.93,6.65,6.93
NOV,1997-01-02,6.88,6.93,6.82,6.9
NOV,1997-01-03,6.9,6.9,6.76,6.76
NOV,1997-01-06,6.79,6.82,6.79,6.79
NOV,1997-01-07,6.76,6.88,6.68,6.82
NOV,1997-01-08,6.85,6.85,6.76,6.82
NOV,1997-01-09,6.85,7.24,6.85,7.19
NOV,1997-01-10,7.13,7.5,7.1,7.5
NOV,1997-01-13,7.47,7.5,7.38,7.38
NOV,1997-01-14,7.41,7.41,7.24,7.38
NOV,1997-01-15,7.38,8.12,7.38,8.12
NOV,1997-01-16,8.17,8.71,8.17,8.57
NOV,1997-01-17,8.57,8.57,8.09,8.12
NOV,1997-01-20,8.06,8.14,7.97,7.97
NOV,1997-01-21,8.0,8.0,7.55,7.86
NOV,1997-01-22,7.81,7.83,7.64,7.72
NOV,1997-01-23,7.75,7.75,7.5,7.5
NOV,1997-01-24,7.58,7.58,7.24,7.24
NOV,1997-01-27,7.3,7.38,7.1,7.1
NOV,1997-01-28,7.16,7.38,7.16,7.21
NOV,1997-01-29,7.24,7.27,7.04,7.24
NOV,1997-01-30,7.27,7.35,7.16,7.19
NOV,1997-01-31,7.21,7.21,7.16,7.21
NOV,1997-02-03,7.24,7.33,7.24,7.24
NOV,1997-02-04,7.27,7.27,6.54,6.71
NOV,1997-02-05,6.76,7.02,6.76,6.96
NOV,1997-02-06,7.02,7.02,6.85,6.85
NOV,1997-02-07,6.79,6.88,6.59,6.76
NOV,1997-02-10,6.73,6.73,6.31,6.54
NOV,1997-02-11,6.59,6.76,6.57,6.73
NOV,1997-02-12,6.76,7.47,6.76,7.44
NOV,1997-02-13,7.44,7.81,7.44,7.55
NOV,1997-02-14,7.55,7.81,7.55,7.81
NOV,1997-02-18,7.81,7.89,7.75,7.86
NOV,1997-02-19,7.89,7.92,7.78,7.81
NOV,1997-02-20,7.81,7.81,7.64,7.69
NOV,1997-02-21,7.72,7.72,7.38,7.44
NOV,1997-02-24,7.47,7.52,7.44,7.44
NOV,1997-02-25,7.47,7.5,7.41,7.44
NOV,1997-02-26,7.44,7.47,7.3,7.3
NOV,1997-02-27,7.27,7.27,6.99,6.99
NOV,1997-02-28,6.96,6.96,6.85,6.93
NOV,1997-03-03,6.93,6.99,6.88,6.99
NOV,1997-03-04,7.04,7.3,7.04,7.24
NOV,1997-03-05,7.27,7.86,7.27,7.75
NOV,1997-03-06,7.69,7.78,7.64,7.64
NOV,1997-03-07,7.61,7.66,7.61,7.64
NOV,1997-03-10,7.64,7.64,7.55,7.55
NOV,1997-03-11,7.55,7.55,7.52,7.52
NOV,1997-03-12,7.52,7.52,7.41,7.44
NOV,1997-03-13,7.16,7.24,7.07,7.1
NOV,1997-03-14,7.07,7.27,7.04,7.19
NOV,1997-03-17,7.1,7.19,7.1,7.16
NOV,1997-03-18,7.19,7.52,7.13,7.5
NOV,1997-03-19,7.5,7.5,7.3,7.35
NOV,1997-03-20,7.41,7.41,7.21,7.27
NOV,1997-03-21,7.24,7.24,7.19,7.19
NOV,1997-03-24,7.19,7.19,7.16,7.16
NOV,1997-03-25,7.13,7.13,7.07,7.07
NOV,1997-03-26,7.1,7.44,7.1,7.38
NOV,1997-03-27,7.38,7.47,7.27,7.27
NOV,1997-03-31,7.27,7.66,7.13,7.21
NOV,1997-04-01,7.24,7.3,7.19,7.19
NOV,1997-04-02,7.21,7.55,7.21,7.35
NOV,1997-04-03,7.35,7.35,7.21,7.21
NOV,1997-04-04,7.16,7.27,7.13,7.27
NOV,1997-04-07,7.3,7.44,7.3,7.38
NOV,1997-04-08,7.5,7.78,7.3,7.78
NOV,1997-04-09,7.78,8.17,7.78,8.17
NOV,1997-04-10,8.17,8.26,8.12,8.23
NOV,1997-04-11,8.23,8.23,8.03,8.14
NOV,1997-04-14,8.14,8.34,8.14,8.23
NOV,1997-04-15,8.23,8.57,8.23,8.48
NOV,1997-04-16,8.54,8.54,8.51,8.51
NOV,1997-04-17,8.57,8.62,8.54,8.57
NOV,1997-04-18,8.54,8.54,8.34,8.34
NOV,1997-04-21,8.31,8.31,8.14,8.14
NOV,1997-04-22,8.17,8.26,8.17,8.23
NOV,1997-04-23,8.2,8.2,8.12,8.12
NOV,1997-04-24,8.14,8.14,8.12,8.12
NOV,1997-04-25,8.12,8.12,8.09,8.12
NOV,1997-04-28,8.09,8.17,8.09,8.14
NOV,1997-04-29,8.17,8.31,8.17,8.31
NOV,1997-04-30,8.34,8.93,8.31,8.76
NOV,1997-05-01,8.76,9.07,8.76,8.79
NOV,1997-05-02,8.82,8.82,8.76,8.79
NOV,1997-05-05,8.76,8.93,8.76,8.93
NOV,1997-05-06,8.93,9.02,8.79,8.82
NOV,1997-05-07,8.82,8.82,8.76,8.79
NOV,1997-05-08,8.76,8.96,8.74,8.96
NOV,1997-05-09,8.93,8.96,8.88,8.9
NOV,1997-05-12,8.9,8.9,8.79,8.82
NOV,1997-05-13,8.85,8.85,8.74,8.82
NOV,1997-05-14,9.24,9.3,9.07,9.3
NOV,1997-05-15,9.36,9.64,9.36,9.64
NOV,1997-05-16,9.64,9.89,9.61,9.89
NOV,1997-05-19,10.09,10.31,10.03,10.26
NOV,1997-05-20,10.26,10.43,10.14,10.43
NOV,1997-05-21,10.4,10.91,10.4,10.91
NOV,1997-05-22,10.91,11.1,10.68,10.82
NOV,1997-05-23,10.85,11.02,10.85,11.02
NOV,1997-05-27,10.99,11.16,10.96,11.13
NOV,1997-05-28,11.13,11.13,10.93,11.02
NOV,1997-05-29,11.02,11.02,10.57,10.91
NOV,1997-05-30,10.88,10.96,10.79,10.91
