ticker,date,open,high,low,close
NOVV,2021-10-01,9.82,9.82,9.82,9.82
NOVV,2021-10-04,9.82,9.82,9.82,9.82
NOVV,2021-10-05,9.85,9.85,9.84,9.84
NOVV,2021-10-06,9.84,9.84,9.83,9.83
NOVV,2021-10-07,9.83,9.83,9.83,9.83
NOVV,2021-10-08,9.83,9.83,9.8,9.8
NOVV,2021-10-11,9.82,9.82,9.82,9.82
NOVV,2021-10-12,9.82,9.84,9.81,9.82
NOVV,2021-10-13,9.85,9.85,9.85,9.85
NOVV,2021-10-14,9.85,9.86,9.85,9.86
NOVV,2021-10-15,9.86,9.87,9.86,9.87
NOVV,2021-10-18,9.88,9.88,9.87,9.88
NOVV,2021-10-19,9.88,9.88,9.88,9.88
NOVV,2021-10-20,9.88,9.88,9.88,9.88
NOVV,2021-10-21,9.88,9.88,9.88,9.88
NOVV,2021-10-22,9.88,9.88,9.88,9.88
NOVV,2021-10-25,9.95,9.96,9.9,9.9
NOVV,2021-10-26,9.95,9.96,9.93,9.93
NOVV,2021-10-27,9.93,9.93,9.93,9.93
NOVV,2021-10-28,9.93,9.93,9.93,9.93
NOVV,2021-10-29,9.92,9.92,9.92,9.92
NOVV,2021-11-01,9.94,9.94,9.89,9.91
NOVV,2021-11-02,9.92,9.93,9.91,9.91
NOVV,2021-11-03,9.94,9.94,9.94,9.94
NOVV,2021-11-04,9.94,9.94,9.94,9.94
NOVV,2021-11-05,9.94,9.94,9.94,9.94
NOVV,2021-11-08,9.94,9.94,9.94,9.94
NOVV,2021-11-09,9.94,9.94,9.94,9.94
NOVV,2021-11-10,9.92,9.92,9.92,9.92
NOVV,2021-11-11,9.92,9.92,9.92,9.92
NOVV,2021-11-12,9.92,9.92,9.92,9.92
NOVV,2021-11-15,9.92,9.92,9.92,9.92
NOVV,2021-11-16,9.89,9.89,9.89,9.89
NOVV,2021-11-17,9.92,9.92,9.92,9.92
NOVV,2021-11-18,9.92,9.92,9.9,9.9
NOVV,2021-11-19,9.93,9.94,9.93,9.94
NOVV,2021-11-22,9.95,9.95,9.95,9.95
NOVV,2021-11-23,9.93,9.93,9.93,9.93
NOVV,2021-11-24,9.93,9.93,9.93,9.93
NOVV,2021-11-26,9.98,9.98,9.91,9.91
NOVV,2021-11-29,9.91,9.91,9.91,9.91
NOVV,2021-11-30,9.91,9.91,9.91,9.91
NOVV,2021-12-01,9.91,9.91,9.91,9.91
NOVV,2021-12-02,9.92,9.92,9.92,9.92
NOVV,2021-12-03,9.92,9.92,9.92,9.92
NOVV,2021-12-06,9.92,9.92,9.92,9.92
NOVV,2021-12-07,9.91,9.91,9.91,9.91
NOVV,2021-12-08,9.91,9.91,9.91,9.91
NOVV,2021-12-09,9.91,9.91,9.91,9.91
NOVV,2021-12-10,9.9,9.9,9.9,9.9
NOVV,2021-12-13,9.9,9.9,9.9,9.9
NOVV,2021-12-14,9.9,9.9,9.9,9.9
NOVV,2021-12-15,9.9,9.9,9.9,9.9
NOVV,2021-12-16,9.88,9.9,9.88,9.9
NOVV,2021-12-17,9.9,9.9,9.9,9.9
NOVV,2021-12-20,9.9,9.9,9.9,9.9
NOVV,2021-12-21,9.9,9.9,9.9,9.9
NOVV,2021-12-22,9.9,9.9,9.9,9.9
NOVV,2021-12-23,9.97,9.97,9.97,9.97
NOVV,2021-12-27,9.97,9.97,9.97,9.97
NOVV,2021-12-28,9.97,9.97,9.97,9.97
NOVV,2021-12-29,9.97,9.97,9.97,9.97
NOVV,2021-12-30,9.9,9.9,9.9,9.9
NOVV,2021-12-31,9.93,9.94,9.92,9.94
NOVV,2022-01-03,9.86,9.96,9.86,9.92
NOVV,2022-01-04,9.92,9.92,9.92,9.92
NOVV,2022-01-05,9.92,9.92,9.92,9.92
NOVV,2022-01-06,9.92,9.92,9.92,9.92
NOVV,2022-01-07,9.94,9.94,9.92,9.92
NOVV,2022-01-10,9.92,9.92,9.92,9.92
NOVV,2022-01-11,9.93,9.94,9.92,9.92
NOVV,2022-01-12,9.93,9.94,9.93,9.93
NOVV,2022-01-13,9.93,9.93,9.93,9.93
NOVV,2022-01-14,9.93,9.93,9.93,9.93
NOVV,2022-01-18,9.93,9.93,9.93,9.93
NOVV,2022-01-19,9.92,9.92,9.92,9.92
NOVV,2022-01-20,9.92,9.92,9.92,9.92
NOVV,2022-01-21,9.92,9.92,9.92,9.92
NOVV,2022-01-24,9.92,9.92,9.92,9.92
NOVV,2022-01-25,9.92,9.92,9.92,9.92
NOVV,2022-01-26,9.92,9.92,9.92,9.92
NOVV,2022-01-27,9.93,9.96,9.92,9.94
NOVV,2022-01-28,9.94,9.94,9.94,9.94
NOVV,2022-01-31,9.96,9.96,9.96,9.96
NOVV,2022-02-01,9.96,9.96,9.96,9.96
NOVV,2022-02-02,9.96,9.96,9.96,9.96
NOVV,2022-02-03,9.96,9.96,9.96,9.96
NOVV,2022-02-04,9.96,9.96,9.96,9.96
NOVV,2022-02-07,9.96,9.96,9.96,9.96
NOVV,2022-02-08,9.96,9.96,9.96,9.96
NOVV,2022-02-09,9.96,9.96,9.96,9.96
NOVV,2022-02-10,9.94,9.98,9.94,9.98
NOVV,2022-02-11,9.98,9.98,9.98,9.98
NOVV,2022-02-14,9.98,9.98,9.98,9.98
NOVV,2022-02-15,9.96,9.97,9.94,9.97
NOVV,2022-02-16,9.95,9.97,9.95,9.97
NOVV,2022-02-17,9.95,9.96,9.95,9.96
NOVV,2022-02-18,9.96,9.96,9.96,9.96
NOVV,2022-02-22,9.96,9.96,9.96,9.96
NOVV,2022-02-23,9.96,9.96,9.96,9.96
NOVV,2022-02-24,9.96,9.96,9.96,9.96
NOVV,2022-02-25,9.96,9.96,9.96,9.96
NOVV,2022-02-28,9.96,9.96,9.96,9.96
NOVV,2022-03-01,9.96,9.96,9.96,9.96
