ticker,date,open,high,low,close
NRG,2003-12-02,9.5,9.62,9.5,9.62
NRG,2003-12-03,9.75,9.75,9.75,9.75
NRG,2003-12-04,10.12,10.12,10.12,10.12
NRG,2003-12-05,10.12,10.12,10.12,10.12
NRG,2003-12-08,10.5,10.9,10.5,10.9
NRG,2003-12-09,10.9,11.38,10.9,11.06
NRG,2003-12-10,11.12,11.5,11.12,11.25
NRG,2003-12-11,11.38,11.5,11.31,11.45
NRG,2003-12-12,11.5,11.52,11.46,11.48
NRG,2003-12-15,11.45,11.45,11.2,11.2
NRG,2003-12-16,11.18,11.18,10.9,10.98
NRG,2003-12-17,10.95,10.95,10.7,10.73
NRG,2003-12-18,10.73,10.77,10.73,10.77
NRG,2003-12-19,10.77,10.9,10.77,10.9
NRG,2003-12-22,10.82,10.9,10.82,10.82
NRG,2003-12-23,10.85,10.93,10.85,10.9
NRG,2003-12-24,10.9,10.93,10.9,10.93
NRG,2003-12-26,10.93,10.93,10.93,10.93
NRG,2003-12-29,10.9,10.9,10.9,10.9
NRG,2003-12-30,10.93,10.95,10.93,10.95
NRG,2003-12-31,10.95,11.0,10.95,10.95
NRG,2004-01-02,11.0,11.23,10.98,11.23
NRG,2004-01-05,11.23,11.25,11.15,11.2
NRG,2004-01-06,11.2,11.25,11.19,11.23
NRG,2004-01-07,11.2,11.2,11.0,11.12
NRG,2004-01-08,11.18,11.18,11.1,11.13
NRG,2004-01-09,11.15,11.15,10.57,10.57
NRG,2004-01-12,10.62,10.62,10.6,10.6
NRG,2004-01-13,10.62,10.68,10.48,10.5
NRG,2004-01-14,10.52,10.55,10.5,10.5
NRG,2004-01-15,10.5,10.5,10.38,10.43
NRG,2004-01-16,10.38,10.45,10.38,10.4
NRG,2004-01-20,10.5,10.52,10.48,10.5
NRG,2004-01-21,10.52,10.57,10.5,10.5
NRG,2004-01-22,10.55,10.8,10.55,10.75
NRG,2004-01-23,10.75,10.75,10.55,10.6
NRG,2004-01-26,10.6,10.6,10.43,10.43
NRG,2004-01-27,10.43,10.43,10.35,10.36
NRG,2004-01-28,10.38,10.38,10.23,10.25
NRG,2004-01-29,10.25,10.25,9.88,10.0
NRG,2004-01-30,10.0,10.12,10.0,10.0
NRG,2004-02-02,10.0,10.18,10.0,10.07
NRG,2004-02-03,10.0,10.15,10.0,10.15
NRG,2004-02-04,10.12,10.15,10.12,10.12
NRG,2004-02-05,10.14,10.14,10.01,10.02
NRG,2004-02-06,10.07,10.07,10.0,10.02
NRG,2004-02-09,10.02,10.02,10.0,10.0
NRG,2004-02-10,10.0,10.05,10.0,10.02
NRG,2004-02-11,10.04,10.04,10.0,10.0
NRG,2004-02-12,10.01,10.02,10.0,10.0
NRG,2004-02-13,10.01,10.02,10.0,10.02
NRG,2004-02-17,10.02,10.02,9.9,9.9
NRG,2004-02-18,9.88,9.93,9.75,9.76
NRG,2004-02-19,9.77,9.77,9.75,9.77
NRG,2004-02-20,9.77,9.78,9.75,9.77
NRG,2004-02-23,9.75,9.76,9.5,9.62
NRG,2004-02-24,9.6,9.8,9.05,9.22
NRG,2004-02-25,9.25,9.62,9.2,9.6
NRG,2004-02-26,9.6,9.68,9.55,9.57
NRG,2004-02-27,9.55,9.65,9.55,9.65
NRG,2004-03-01,9.6,10.1,9.6,10.0
NRG,2004-03-02,10.0,10.02,9.88,9.95
NRG,2004-03-03,9.95,9.99,9.9,9.98
NRG,2004-03-04,9.98,9.98,9.43,9.9
NRG,2004-03-05,9.9,9.95,9.88,9.93
NRG,2004-03-08,9.95,9.95,9.53,9.75
NRG,2004-03-09,9.8,9.88,9.75,9.75
NRG,2004-03-10,9.85,9.85,9.7,9.7
NRG,2004-03-11,9.82,10.05,9.82,9.88
NRG,2004-03-12,9.95,10.0,9.88,9.98
NRG,2004-03-15,9.99,9.99,9.88,9.93
NRG,2004-03-16,9.95,9.98,9.9,9.95
NRG,2004-03-17,9.98,10.27,9.98,10.25
NRG,2004-03-18,10.23,10.32,10.2,10.3
NRG,2004-03-19,10.32,10.35,10.3,10.32
NRG,2004-03-22,10.32,10.4,10.32,10.38
NRG,2004-03-23,10.38,10.55,10.38,10.48
NRG,2004-03-24,10.48,10.65,10.45,10.65
NRG,2004-03-25,11.0,11.07,10.5,10.65
NRG,2004-03-26,10.69,10.72,10.65,10.66
NRG,2004-03-29,10.68,11.1,10.68,10.93
NRG,2004-03-30,10.95,11.0,10.84,10.99
NRG,2004-03-31,10.93,11.1,10.9,11.1
NRG,2004-04-01,11.12,11.18,11.07,11.12
NRG,2004-04-02,11.18,11.25,11.18,11.25
NRG,2004-04-05,11.28,11.33,11.15,11.33
NRG,2004-04-06,11.33,11.4,11.28,11.33
NRG,2004-04-07,11.33,11.33,11.18,11.2
NRG,2004-04-08,11.25,11.25,11.07,11.1
NRG,2004-04-12,11.13,11.16,10.99,11.07
NRG,2004-04-13,11.02,11.1,10.93,10.99
NRG,2004-04-14,11.0,11.0,10.75,10.85
NRG,2004-04-15,10.85,10.85,10.5,10.62
NRG,2004-04-16,10.67,10.7,10.62,10.68
NRG,2004-04-19,10.68,10.8,10.68,10.76
NRG,2004-04-20,10.77,10.77,10.51,10.62
NRG,2004-04-21,10.62,10.62,10.39,10.42
NRG,2004-04-22,10.42,10.45,10.35,10.45
NRG,2004-04-23,10.48,10.55,10.47,10.5
NRG,2004-04-26,10.5,10.6,10.49,10.6
NRG,2004-04-27,10.62,10.62,10.59,10.61
NRG,2004-04-28,10.61,10.98,10.6,10.88
NRG,2004-04-29,10.8,10.85,10.75,10.85
NRG,2004-04-30,10.82,10.92,10.8,10.85
NRG,2004-05-03,10.85,10.85,10.3,10.55
NRG,2004-05-04,10.55,10.55,10.11,10.12
NRG,2004-05-05,10.15,10.15,9.95,9.99
NRG,2004-05-06,10.02,10.02,9.85,9.9
NRG,2004-05-07,9.85,9.98,9.75,9.85
NRG,2004-05-10,9.77,9.82,9.59,9.81
NRG,2004-05-11,9.81,10.37,9.81,10.3
NRG,2004-05-12,10.35,10.35,10.03,10.24
NRG,2004-05-13,10.25,10.25,9.94,9.99
NRG,2004-05-14,10.1,10.6,10.07,10.48
NRG,2004-05-17,10.57,10.57,10.12,10.16
NRG,2004-05-18,10.16,10.38,10.16,10.25
NRG,2004-05-19,10.25,10.35,10.25,10.3
NRG,2004-05-20,10.3,10.34,10.23,10.23
