ticker,date,open,high,low,close
OCSL,2008-06-11,12.9953,12.9953,12.9953,12.9953
OCSL,2008-06-12,39.36,39.96,34.44,36.36
OCSL,2008-06-13,36.36,36.9,35.58,36.75
OCSL,2008-06-16,36.63,37.56,36.39,37.2
OCSL,2008-06-17,38.1,38.1,37.2,37.35
OCSL,2008-06-18,37.35,37.56,35.1,35.1
OCSL,2008-06-19,35.1,36.0,32.73,33.81
OCSL,2008-06-20,33.75,33.75,32.25,32.7
OCSL,2008-06-23,33.0,33.27,30.9,32.73
OCSL,2008-06-24,33.0,33.3,31.95,32.7
OCSL,2008-06-25,32.85,32.85,32.1,32.1
OCSL,2008-06-26,31.56,31.89,30.3,30.84
OCSL,2008-06-27,31.38,32.4,30.75,30.78
OCSL,2008-06-30,30.75,32.13,30.75,30.87
OCSL,2008-07-01,30.75,31.5,30.51,30.75
OCSL,2008-07-02,30.51,30.6,29.97,30.45
OCSL,2008-07-03,30.0,30.0,28.98,29.4
OCSL,2008-07-07,29.43,29.82,28.8,29.82
OCSL,2008-07-08,29.7,29.91,27.33,28.77
OCSL,2008-07-09,28.77,28.86,24.39,27.0
OCSL,2008-07-10,26.4,27.48,26.4,27.3
OCSL,2008-07-11,27.3,27.78,27.03,27.78
OCSL,2008-07-14,27.3,27.54,25.77,26.55
OCSL,2008-07-15,25.95,26.04,22.68,24.36
OCSL,2008-07-16,24.3,25.62,24.03,25.47
OCSL,2008-07-17,25.5,26.04,25.2,25.53
OCSL,2008-07-18,25.5,26.64,25.5,26.34
OCSL,2008-07-21,27.03,27.75,26.91,27.33
OCSL,2008-07-22,27.3,27.75,27.27,27.48
OCSL,2008-07-23,27.75,27.81,27.45,27.75
OCSL,2008-07-24,27.75,27.78,27.0,27.78
OCSL,2008-07-25,27.78,27.87,27.3,27.75
OCSL,2008-07-28,27.75,27.75,27.3,27.36
OCSL,2008-07-29,26.4,27.27,26.4,27.09
OCSL,2008-07-30,27.15,27.57,26.7,27.45
OCSL,2008-07-31,27.45,29.4,27.45,28.92
OCSL,2008-08-01,28.92,29.64,27.99,29.64
OCSL,2008-08-04,29.94,29.94,28.89,29.13
OCSL,2008-08-05,29.4,29.97,28.92,29.49
OCSL,2008-08-06,28.8,30.15,28.53,29.25
OCSL,2008-08-07,29.28,30.0,28.56,29.31
OCSL,2008-08-08,28.56,29.07,28.08,28.5
OCSL,2008-08-11,28.44,29.58,28.44,29.34
OCSL,2008-08-12,29.73,30.9,29.1,29.82
OCSL,2008-08-13,29.82,30.24,28.95,29.64
OCSL,2008-08-14,30.0,30.63,29.85,30.63
OCSL,2008-08-15,31.05,32.25,31.05,31.83
OCSL,2008-08-18,32.7,32.7,30.81,31.41
OCSL,2008-08-19,30.96,33.27,30.96,32.7
OCSL,2008-08-20,33.24,33.24,31.08,32.04
OCSL,2008-08-21,32.25,32.25,31.83,32.22
OCSL,2008-08-22,32.94,32.94,30.78,31.83
OCSL,2008-08-25,32.19,32.19,30.93,31.5
OCSL,2008-08-26,31.35,31.98,29.28,30.3
OCSL,2008-08-27,30.24,31.35,30.24,31.35
OCSL,2008-08-28,31.53,33.42,31.5,33.33
OCSL,2008-08-29,33.0,33.45,31.65,33.45
OCSL,2008-09-02,34.44,34.44,32.7,33.0
OCSL,2008-09-03,33.3,33.75,33.0,33.6
OCSL,2008-09-04,33.6,33.6,32.52,32.76
OCSL,2008-09-05,32.76,33.27,32.76,33.27
OCSL,2008-09-08,32.25,32.7,31.23,32.25
OCSL,2008-09-09,31.53,32.16,29.58,30.9
OCSL,2008-09-10,30.3,31.02,30.27,30.39
OCSL,2008-09-11,30.3,30.45,29.73,30.45
OCSL,2008-09-12,30.0,30.21,29.25,29.25
OCSL,2008-09-15,29.67,29.67,28.41,28.8
OCSL,2008-09-16,28.5,29.04,28.35,28.5
OCSL,2008-09-17,28.92,28.92,26.7,26.94
OCSL,2008-09-18,26.85,27.03,24.66,25.14
OCSL,2008-09-19,28.5,28.5,26.25,27.0
OCSL,2008-09-22,27.15,28.23,23.97,27.42
OCSL,2008-09-23,27.45,27.87,24.75,27.0
OCSL,2008-09-24,27.03,29.25,26.88,26.91
OCSL,2008-09-25,26.7,27.66,26.4,26.55
OCSL,2008-09-26,25.2,28.56,25.2,27.69
OCSL,2008-09-29,27.0,28.8,26.1,28.5
OCSL,2008-09-30,28.38,31.8,27.78,30.15
OCSL,2008-10-01,30.42,30.72,28.5,29.07
OCSL,2008-10-02,28.74,29.01,25.5,25.5
OCSL,2008-10-03,25.5,26.22,23.7,23.7
OCSL,2008-10-06,23.31,23.31,21.72,22.65
OCSL,2008-10-07,22.71,22.86,20.7,21.48
OCSL,2008-10-08,21.0,21.75,20.1,20.46
OCSL,2008-10-09,20.82,20.85,16.65,18.0
OCSL,2008-10-10,16.65,18.15,15.06,16.77
OCSL,2008-10-13,18.0,22.38,17.43,22.17
OCSL,2008-10-14,23.85,24.12,23.04,23.88
OCSL,2008-10-15,24.0,24.12,21.54,21.54
OCSL,2008-10-16,22.17,24.45,19.95,24.45
OCSL,2008-10-17,23.22,26.25,22.44,23.31
