ticker,date,open,high,low,close
OLIT,2022-01-26,9.9,9.9,9.84,9.84
OLIT,2022-01-27,9.84,9.84,9.84,9.84
OLIT,2022-01-28,9.85,9.85,9.85,9.85
OLIT,2022-01-31,9.89,10.0,9.86,10.0
OLIT,2022-02-01,9.9,9.94,9.9,9.93
OLIT,2022-02-02,9.9,9.9,9.9,9.9
OLIT,2022-02-03,9.9,9.9,9.9,9.9
OLIT,2022-02-04,9.9,9.9,9.9,9.9
OLIT,2022-02-07,9.9,9.9,9.9,9.9
OLIT,2022-02-08,9.9,9.9,9.9,9.9
OLIT,2022-02-09,9.91,9.91,9.91,9.91
OLIT,2022-02-10,9.92,9.92,9.9,9.9
OLIT,2022-02-11,9.9,9.9,9.9,9.9
OLIT,2022-02-14,9.94,9.94,9.94,9.94
OLIT,2022-02-15,9.94,9.94,9.94,9.94
OLIT,2022-02-16,9.94,9.94,9.94,9.94
OLIT,2022-02-17,9.94,9.94,9.94,9.94
OLIT,2022-02-18,9.94,9.94,9.94,9.94
OLIT,2022-02-22,9.92,9.92,9.92,9.92
OLIT,2022-02-23,9.92,9.92,9.92,9.92
OLIT,2022-02-24,9.92,9.92,9.92,9.92
OLIT,2022-02-25,9.92,9.92,9.92,9.92
OLIT,2022-02-28,9.92,9.92,9.92,9.92
OLIT,2022-03-01,9.94,9.95,9.94,9.95
OLIT,2022-03-02,9.95,9.95,9.95,9.95
OLIT,2022-03-03,9.94,9.95,9.94,9.95
OLIT,2022-03-04,9.95,9.95,9.94,9.95
OLIT,2022-03-07,9.95,9.95,9.95,9.95
OLIT,2022-03-08,9.98,9.98,9.98,9.98
OLIT,2022-03-09,9.98,9.98,9.98,9.98
OLIT,2022-03-10,9.96,9.97,9.96,9.96
OLIT,2022-03-11,9.97,9.97,9.97,9.97
OLIT,2022-03-14,9.97,9.97,9.97,9.97
OLIT,2022-03-15,9.98,9.98,9.98,9.98
OLIT,2022-03-16,9.98,9.98,9.98,9.98
OLIT,2022-03-17,9.95,9.95,9.94,9.94
OLIT,2022-03-18,9.95,9.95,9.94,9.95
OLIT,2022-03-21,9.95,9.95,9.93,9.95
OLIT,2022-03-22,9.95,9.95,9.95,9.95
OLIT,2022-03-23,9.96,9.96,9.96,9.96
OLIT,2022-03-24,9.96,9.96,9.96,9.96
OLIT,2022-03-25,9.96,9.97,9.94,9.94
OLIT,2022-03-28,9.95,9.95,9.95,9.95
OLIT,2022-03-29,9.95,9.95,9.95,9.95
OLIT,2022-03-30,9.95,9.95,9.95,9.95
OLIT,2022-03-31,9.95,9.95,9.95,9.95
OLIT,2022-04-01,9.95,9.95,9.95,9.95
OLIT,2022-04-04,9.95,9.95,9.95,9.95
OLIT,2022-04-05,9.97,9.97,9.97,9.97
OLIT,2022-04-06,9.97,9.97,9.96,9.96
OLIT,2022-04-07,9.96,9.96,9.96,9.96
OLIT,2022-04-08,9.97,9.97,9.97,9.97
OLIT,2022-04-11,9.98,9.98,9.98,9.98
OLIT,2022-04-12,9.98,9.98,9.97,9.97
OLIT,2022-04-13,9.98,9.99,9.98,9.99
OLIT,2022-04-14,9.98,9.99,9.98,9.99
OLIT,2022-04-18,9.99,9.99,9.99,9.99
OLIT,2022-04-19,9.99,9.99,9.99,9.99
OLIT,2022-04-20,9.98,9.99,9.98,9.98
OLIT,2022-04-21,10.0,10.01,9.99,9.99
OLIT,2022-04-22,10.01,10.01,9.99,9.99
OLIT,2022-04-25,9.99,9.99,9.99,9.99
OLIT,2022-04-26,10.0,10.01,9.99,10.01
OLIT,2022-04-27,10.01,10.01,10.01,10.01
OLIT,2022-04-28,10.0,10.01,10.0,10.01
OLIT,2022-04-29,10.01,10.01,10.01,10.01
OLIT,2022-05-02,10.01,10.01,10.01,10.01
OLIT,2022-05-03,10.02,10.03,10.0,10.0
OLIT,2022-05-04,10.01,10.01,10.01,10.01
OLIT,2022-05-05,10.01,10.01,10.0,10.0
OLIT,2022-05-06,10.0,10.02,9.99,9.99
OLIT,2022-05-09,9.98,9.99,9.98,9.99
