ticker,date,open,high,low,close
ONTO,2005-02-25,12.36,12.95,12.3,12.55
ONTO,2005-02-28,12.5,12.76,12.31,12.42
ONTO,2005-03-01,12.39,12.67,12.23,12.53
ONTO,2005-03-02,12.57,12.58,12.34,12.38
ONTO,2005-03-03,12.57,12.57,12.1,12.22
ONTO,2005-03-04,12.41,12.41,11.99,12.3
ONTO,2005-03-07,12.39,12.55,12.23,12.26
ONTO,2005-03-08,12.25,12.45,12.1,12.28
ONTO,2005-03-09,12.3,12.38,12.12,12.21
ONTO,2005-03-10,12.3,12.42,11.98,12.42
ONTO,2005-03-11,12.44,12.5,12.24,12.33
ONTO,2005-03-14,12.25,12.47,12.21,12.44
ONTO,2005-03-15,12.47,12.49,12.3,12.41
ONTO,2005-03-16,12.49,12.57,12.27,12.47
ONTO,2005-03-17,12.59,12.59,12.27,12.44
ONTO,2005-03-18,12.35,12.5,12.31,12.47
ONTO,2005-03-21,12.32,12.44,11.91,12.1
ONTO,2005-03-22,12.06,12.17,11.89,12.0
ONTO,2005-03-23,12.01,12.17,11.87,12.04
ONTO,2005-03-24,12.09,12.16,11.94,12.1
ONTO,2005-03-28,12.1,12.11,11.6,11.71
ONTO,2005-03-29,11.61,11.84,11.61,11.66
ONTO,2005-03-30,11.71,12.26,11.68,12.26
ONTO,2005-03-31,12.29,12.29,11.56,11.77
ONTO,2005-04-01,11.74,12.12,11.74,12.0
ONTO,2005-04-04,11.89,12.19,11.6,12.06
ONTO,2005-04-05,12.05,12.31,12.01,12.15
ONTO,2005-04-06,12.25,12.65,12.03,12.54
ONTO,2005-04-07,12.63,13.0,12.43,12.86
ONTO,2005-04-08,12.9,13.35,12.75,12.76
ONTO,2005-04-11,12.82,12.97,12.7,12.7
ONTO,2005-04-12,12.65,12.96,12.52,12.96
ONTO,2005-04-13,13.0,13.01,12.26,12.36
ONTO,2005-04-14,12.42,12.52,11.86,11.94
ONTO,2005-04-15,11.85,12.01,11.1,11.52
ONTO,2005-04-18,11.51,11.9,11.45,11.65
ONTO,2005-04-19,11.91,11.91,11.54,11.67
ONTO,2005-04-20,11.88,11.9,11.42,11.42
ONTO,2005-04-21,11.43,11.99,11.43,11.78
ONTO,2005-04-22,11.9,11.9,11.37,11.55
ONTO,2005-04-25,11.48,11.92,11.48,11.75
ONTO,2005-04-26,11.53,11.76,11.42,11.47
ONTO,2005-04-27,11.44,11.73,11.37,11.49
ONTO,2005-04-28,11.46,11.69,11.11,11.11
ONTO,2005-04-29,11.19,11.19,9.92,10.3
ONTO,2005-05-02,10.48,10.48,10.31,10.38
ONTO,2005-05-03,10.47,10.5,10.06,10.23
ONTO,2005-05-04,10.4,10.5,10.2,10.34
ONTO,2005-05-05,10.27,10.43,10.2,10.26
ONTO,2005-05-06,10.41,10.44,10.2,10.29
ONTO,2005-05-09,10.3,10.41,10.16,10.41
ONTO,2005-05-10,10.4,10.62,10.25,10.34
ONTO,2005-05-11,10.47,10.47,10.23,10.34
ONTO,2005-05-12,10.3,10.47,10.08,10.16
ONTO,2005-05-13,10.16,10.32,10.05,10.06
ONTO,2005-05-16,10.1,10.24,10.07,10.15
ONTO,2005-05-17,10.12,10.39,9.81,10.38
ONTO,2005-05-18,10.25,10.57,10.01,10.5
ONTO,2005-05-19,10.58,11.1,10.41,11.04
ONTO,2005-05-20,10.95,11.23,10.83,11.04
ONTO,2005-05-23,11.21,11.21,10.85,11.13
ONTO,2005-05-24,11.13,11.4,11.04,11.38
ONTO,2005-05-25,11.27,11.38,11.09,11.27
ONTO,2005-05-26,11.27,11.64,11.1,11.34
ONTO,2005-05-27,11.5,11.5,11.22,11.24
ONTO,2005-05-31,11.19,11.34,11.0,11.28
ONTO,2005-06-01,11.41,11.57,11.26,11.37
ONTO,2005-06-02,11.46,11.74,11.42,11.69
ONTO,2005-06-03,11.55,11.61,11.26,11.49
ONTO,2005-06-06,11.51,11.74,11.35,11.57
ONTO,2005-06-07,11.62,11.75,11.26,11.53
ONTO,2005-06-08,11.51,11.65,11.49,11.62
ONTO,2005-06-09,11.65,11.75,11.38,11.62
ONTO,2005-06-10,11.53,11.79,11.5,11.7
ONTO,2005-06-13,11.78,11.8,11.56,11.77
ONTO,2005-06-14,11.69,11.87,11.62,11.73
ONTO,2005-06-15,11.78,11.78,11.52,11.61
ONTO,2005-06-16,11.53,11.75,11.53,11.64
ONTO,2005-06-17,11.67,11.99,11.58,11.99
ONTO,2005-06-20,12.0,12.0,11.61,11.8
ONTO,2005-06-21,11.83,11.87,11.69,11.84
ONTO,2005-06-22,11.9,11.93,11.72,11.92
ONTO,2005-06-23,11.91,12.04,11.74,11.82
ONTO,2005-06-24,11.7,11.75,11.25,11.32
ONTO,2005-06-27,11.25,11.32,11.2,11.23
ONTO,2005-06-28,11.51,12.68,11.4,12.6
ONTO,2005-06-29,12.64,12.96,12.49,12.63
ONTO,2005-06-30,12.51,12.62,12.45,12.49
ONTO,2005-07-01,12.5,12.6,12.45,12.49
ONTO,2005-07-05,12.55,12.58,12.5,12.52
ONTO,2005-07-06,12.45,12.88,12.43,12.6
ONTO,2005-07-07,12.6,12.7,12.47,12.65
ONTO,2005-07-08,12.75,12.78,10.85,11.2
ONTO,2005-07-11,11.09,11.26,11.05,11.15
ONTO,2005-07-12,11.2,11.24,10.85,11.21
ONTO,2005-07-13,11.18,11.55,11.07,11.53
ONTO,2005-07-14,11.69,11.91,11.59,11.61
ONTO,2005-07-15,11.76,11.86,11.66,11.8
ONTO,2005-07-18,11.79,11.85,11.66,11.84
ONTO,2005-07-19,11.85,12.21,11.85,12.13
ONTO,2005-07-20,12.08,12.85,12.0,12.66
ONTO,2005-07-21,12.66,12.67,12.3,12.53
