ticker,date,open,high,low,close
ONYX,2021-12-10,9.91,9.91,9.87,9.89
ONYX,2021-12-13,9.9,9.9,9.9,9.9
ONYX,2021-12-14,9.83,9.88,9.81,9.87
ONYX,2021-12-15,9.88,9.94,9.82,9.9
ONYX,2021-12-16,9.93,9.93,9.88,9.89
ONYX,2021-12-17,9.89,9.89,9.87,9.89
ONYX,2021-12-20,9.89,9.93,9.88,9.92
ONYX,2021-12-21,9.89,9.89,9.89,9.89
ONYX,2021-12-22,9.89,9.89,9.89,9.89
ONYX,2021-12-23,9.9,9.95,9.89,9.89
ONYX,2021-12-27,9.88,9.91,9.85,9.91
ONYX,2021-12-28,9.88,9.91,9.88,9.91
ONYX,2021-12-29,9.91,9.91,9.91,9.91
ONYX,2021-12-30,9.91,9.91,9.91,9.91
ONYX,2021-12-31,9.91,9.91,9.89,9.91
ONYX,2022-01-03,9.9,9.91,9.89,9.9
ONYX,2022-01-04,9.9,9.9,9.89,9.9
ONYX,2022-01-05,9.89,9.92,9.89,9.91
ONYX,2022-01-06,9.89,9.93,9.89,9.93
ONYX,2022-01-07,9.92,9.93,9.92,9.92
ONYX,2022-01-10,9.95,9.95,9.92,9.92
ONYX,2022-01-11,9.93,9.93,9.9,9.9
ONYX,2022-01-12,9.92,9.92,9.91,9.91
ONYX,2022-01-13,9.91,9.91,9.91,9.91
ONYX,2022-01-14,9.92,9.92,9.91,9.91
ONYX,2022-01-18,9.92,9.92,9.9,9.9
ONYX,2022-01-19,9.9,9.9,9.9,9.9
ONYX,2022-01-20,9.91,9.91,9.91,9.91
ONYX,2022-01-21,9.9,9.91,9.9,9.9
ONYX,2022-01-24,9.9,9.91,9.9,9.91
ONYX,2022-01-25,9.9,9.92,9.88,9.88
ONYX,2022-01-26,9.9,9.92,9.9,9.9
ONYX,2022-01-27,9.9,9.91,9.88,9.9
ONYX,2022-01-28,9.91,9.91,9.91,9.91
ONYX,2022-01-31,9.87,9.88,9.87,9.88
ONYX,2022-02-01,9.9,9.97,9.89,9.91
ONYX,2022-02-02,9.94,9.95,9.94,9.95
ONYX,2022-02-03,9.95,9.95,9.95,9.95
ONYX,2022-02-04,9.95,9.95,9.95,9.95
ONYX,2022-02-07,9.95,9.95,9.95,9.95
ONYX,2022-02-08,9.92,9.92,9.92,9.92
ONYX,2022-02-09,9.91,9.91,9.89,9.89
ONYX,2022-02-10,9.89,9.89,9.89,9.89
ONYX,2022-02-11,9.95,9.99,9.9,9.93
ONYX,2022-02-14,9.96,9.96,9.91,9.91
ONYX,2022-02-15,9.92,9.93,9.92,9.93
ONYX,2022-02-16,9.92,9.92,9.92,9.92
ONYX,2022-02-17,9.9,9.95,9.9,9.95
ONYX,2022-02-18,10.12,10.12,9.95,9.97
ONYX,2022-02-22,9.91,9.94,9.91,9.93
ONYX,2022-02-23,9.96,9.96,9.92,9.92
ONYX,2022-02-24,9.94,9.94,9.91,9.91
ONYX,2022-02-25,9.96,9.96,9.91,9.95
ONYX,2022-02-28,9.93,9.94,9.91,9.93
ONYX,2022-03-01,9.97,9.97,9.94,9.95
ONYX,2022-03-02,9.97,9.97,9.95,9.95
ONYX,2022-03-03,9.95,9.95,9.95,9.95
ONYX,2022-03-04,9.97,9.98,9.96,9.96
ONYX,2022-03-07,9.98,9.98,9.96,9.98
ONYX,2022-03-08,9.98,9.98,9.98,9.98
ONYX,2022-03-09,9.98,9.98,9.98,9.98
ONYX,2022-03-10,9.96,9.96,9.96,9.96
ONYX,2022-03-11,9.94,9.97,9.94,9.97
ONYX,2022-03-14,9.97,9.97,9.97,9.97
ONYX,2022-03-15,9.97,9.97,9.97,9.97
ONYX,2022-03-16,9.94,9.97,9.94,9.97
ONYX,2022-03-17,9.97,9.97,9.97,9.97
ONYX,2022-03-18,9.97,9.97,9.94,9.96
ONYX,2022-03-21,9.98,9.99,9.97,9.98
ONYX,2022-03-22,9.98,9.98,9.98,9.98
ONYX,2022-03-23,9.98,9.98,9.97,9.98
ONYX,2022-03-24,9.98,9.98,9.98,9.98
ONYX,2022-03-25,9.98,9.99,9.98,9.98
ONYX,2022-03-28,9.98,9.98,9.98,9.98
ONYX,2022-03-29,9.98,9.98,9.98,9.98
ONYX,2022-03-30,9.99,9.99,9.99,9.99
ONYX,2022-03-31,9.99,10.0,9.98,9.98
ONYX,2022-04-01,9.96,10.0,9.96,10.0
ONYX,2022-04-04,9.97,10.01,9.97,9.98
ONYX,2022-04-05,10.01,10.01,10.01,10.01
ONYX,2022-04-06,10.01,10.01,10.01,10.01
ONYX,2022-04-07,10.01,10.02,9.99,10.01
ONYX,2022-04-08,9.99,10.02,9.99,10.02
ONYX,2022-04-11,10.02,10.02,10.02,10.02
ONYX,2022-04-12,10.02,10.02,10.0,10.0
ONYX,2022-04-13,10.02,10.02,10.01,10.01
ONYX,2022-04-14,10.02,10.02,10.01,10.02
ONYX,2022-04-18,10.02,10.02,10.02,10.02
ONYX,2022-04-19,10.03,10.03,10.03,10.03
ONYX,2022-04-20,10.03,10.04,10.03,10.03
ONYX,2022-04-21,10.05,10.05,10.04,10.04
ONYX,2022-04-22,10.5,10.5,10.01,10.01
ONYX,2022-04-25,10.04,10.13,10.02,10.02
ONYX,2022-04-26,10.5,10.5,10.04,10.04
ONYX,2022-04-27,10.05,10.05,10.04,10.04
ONYX,2022-04-28,10.5,10.5,10.03,10.04
ONYX,2022-04-29,10.04,10.04,10.02,10.03
ONYX,2022-05-02,10.03,10.03,10.03,10.03
ONYX,2022-05-03,10.04,10.04,10.02,10.04
ONYX,2022-05-04,10.03,10.03,10.03,10.03
ONYX,2022-05-05,10.03,10.03,10.03,10.03
ONYX,2022-05-06,10.02,10.02,10.02,10.02
ONYX,2022-05-09,10.02,10.02,10.02,10.02
ONYX,2022-05-10,10.04,10.04,10.01,10.01
ONYX,2022-05-11,10.0,10.0,9.99,10.0
ONYX,2022-05-12,10.0,10.0,10.0,10.0
ONYX,2022-05-13,10.0,10.0,10.0,10.0
ONYX,2022-05-16,9.93,9.95,9.93,9.95
ONYX,2022-05-17,9.95,9.95,9.95,9.95
ONYX,2022-05-18,9.99,10.5,9.99,9.99
ONYX,2022-05-19,9.98,10.0,9.97,9.97
ONYX,2022-05-20,9.97,9.97,9.97,9.97
ONYX,2022-05-23,10.02,10.5,10.02,10.02
ONYX,2022-05-24,9.98,9.98,9.97,9.97
ONYX,2022-05-25,9.97,9.97,9.97,9.97
ONYX,2022-05-26,9.99,9.99,9.99,9.99
ONYX,2022-05-27,9.99,10.02,9.99,10.02
ONYX,2022-05-31,10.04,10.5,10.02,10.03
ONYX,2022-06-01,10.01,10.01,10.01,10.01
ONYX,2022-06-02,9.99,9.99,9.99,9.99
ONYX,2022-06-03,9.99,9.99,9.99,9.99
ONYX,2022-06-06,9.99,9.99,9.99,9.99
ONYX,2022-06-07,10.0,10.0,10.0,10.0
ONYX,2022-06-08,10.0,10.0,10.0,10.0
ONYX,2022-06-09,10.0,10.0,10.0,10.0
ONYX,2022-06-10,10.03,10.03,10.02,10.02
ONYX,2022-06-13,10.02,10.02,10.02,10.02
ONYX,2022-06-14,10.05,10.05,10.03,10.03
ONYX,2022-06-15,10.03,10.03,10.03,10.03
ONYX,2022-06-16,10.03,10.03,10.03,10.03
ONYX,2022-06-17,10.03,10.03,10.03,10.03
ONYX,2022-06-21,10.03,10.03,10.03,10.03
ONYX,2022-06-22,10.01,10.01,10.01,10.01
ONYX,2022-06-23,10.03,10.03,10.01,10.01
ONYX,2022-06-24,10.01,10.01,10.0,10.0
ONYX,2022-06-27,10.0,10.0,10.0,10.0
ONYX,2022-06-28,10.02,10.02,10.02,10.02
ONYX,2022-06-29,10.01,10.01,10.01,10.01
ONYX,2022-06-30,10.02,10.02,10.0,10.0
ONYX,2022-07-01,10.0,10.0,10.0,10.0
ONYX,2022-07-05,10.01,10.01,10.0,10.01
ONYX,2022-07-06,10.01,10.01,10.01,10.01
ONYX,2022-07-07,10.01,10.01,10.01,10.01
ONYX,2022-07-08,10.01,10.01,10.01,10.01
ONYX,2022-07-11,10.01,10.01,10.01,10.01
ONYX,2022-07-12,10.01,10.01,10.01,10.01
ONYX,2022-07-13,10.01,10.01,10.01,10.01
ONYX,2022-07-14,10.01,10.01,10.01,10.01
ONYX,2022-07-15,10.01,10.01,10.01,10.01
ONYX,2022-07-18,10.01,10.01,10.01,10.01
ONYX,2022-07-19,10.01,10.01,10.01,10.01
ONYX,2022-07-20,10.02,10.02,10.02,10.02
ONYX,2022-07-21,10.02,10.02,10.02,10.02
ONYX,2022-07-22,10.02,10.02,10.02,10.02
ONYX,2022-07-25,10.02,10.02,10.02,10.02
