ticker,date,open,high,low,close
OR,2016-07-06,13.35,13.65,13.35,13.64
OR,2016-07-07,13.65,13.8,13.27,13.3
OR,2016-07-08,13.32,13.71,12.91,13.62
OR,2016-07-11,13.65,13.65,13.28,13.38
OR,2016-07-12,13.4,13.52,13.0,13.04
OR,2016-07-13,13.24,13.56,13.16,13.35
OR,2016-07-14,13.33,13.62,13.19,13.61
OR,2016-07-15,13.35,13.51,13.18,13.25
OR,2016-07-18,13.25,13.32,13.13,13.3
OR,2016-07-19,13.06,13.34,12.88,13.03
OR,2016-07-20,12.89,13.03,12.55,12.6
OR,2016-07-21,12.6,12.86,12.6,12.76
OR,2016-07-22,12.68,12.68,12.48,12.55
OR,2016-07-25,12.32,12.32,11.98,12.03
OR,2016-07-26,12.35,12.69,12.13,12.53
OR,2016-07-27,12.76,12.91,12.23,12.81
OR,2016-07-28,12.97,13.11,12.73,12.98
OR,2016-07-29,13.25,13.43,13.2,13.28
OR,2016-08-01,13.66,14.62,13.66,14.49
OR,2016-08-02,13.9,14.74,13.7,13.9
OR,2016-08-03,13.96,13.96,13.55,13.65
OR,2016-08-04,13.84,13.99,13.55,13.56
OR,2016-08-05,13.49,13.62,13.14,13.21
OR,2016-08-08,13.65,13.65,13.08,13.08
OR,2016-08-09,13.25,13.28,13.07,13.17
OR,2016-08-10,13.38,13.48,13.18,13.2
OR,2016-08-11,13.27,13.34,13.01,13.05
OR,2016-08-12,13.27,13.3,13.0,13.11
OR,2016-08-15,13.13,13.35,13.08,13.11
OR,2016-08-16,13.24,13.24,12.69,12.77
OR,2016-08-17,12.77,12.84,12.51,12.67
OR,2016-08-18,12.78,13.0,12.63,12.96
OR,2016-08-19,12.92,13.0,12.6,12.7
OR,2016-08-22,12.9,12.93,12.5,12.71
OR,2016-08-23,12.98,12.98,12.56,12.6
OR,2016-08-24,12.6,12.6,12.04,12.08
OR,2016-08-25,12.04,12.51,11.9,12.19
OR,2016-08-26,12.3,12.51,11.78,12.0
OR,2016-08-29,11.93,12.38,11.81,11.98
OR,2016-08-30,11.98,12.0,11.38,11.43
OR,2016-08-31,11.42,11.42,11.05,11.29
OR,2016-09-01,11.3,12.14,11.2,12.11
OR,2016-09-02,12.38,12.53,12.21,12.34
OR,2016-09-06,12.69,12.78,12.5,12.65
OR,2016-09-07,12.8,12.8,12.29,12.38
OR,2016-09-08,12.38,12.39,11.95,12.03
OR,2016-09-09,11.93,11.94,11.38,11.49
OR,2016-09-12,11.48,12.1,11.29,12.01
OR,2016-09-13,11.97,12.05,11.55,11.74
