ticker,date,open,high,low,close
PATH,2021-04-21,65.5,70.74,64.84,69.0
PATH,2021-04-22,73.2,80.0,71.03,75.5
PATH,2021-04-23,76.58,77.4,72.57,74.84
PATH,2021-04-26,76.15,82.44,75.7,80.81
PATH,2021-04-27,82.4,83.4,75.1,75.37
PATH,2021-04-28,76.58,77.89,75.41,75.41
PATH,2021-04-29,76.37,76.98,70.11,75.29
PATH,2021-04-30,73.38,74.5,71.66,72.0
PATH,2021-05-03,72.33,73.0,67.75,70.93
PATH,2021-05-04,70.32,76.58,69.25,73.98
PATH,2021-05-05,74.44,75.84,70.12,70.87
PATH,2021-05-06,70.07,70.49,65.56,69.29
PATH,2021-05-07,69.29,71.94,68.31,69.02
PATH,2021-05-10,68.6,68.9,62.01,65.4
PATH,2021-05-11,62.28,77.25,61.5,74.81
PATH,2021-05-12,71.61,74.56,70.25,71.76
PATH,2021-05-13,71.76,72.59,64.27,66.42
PATH,2021-05-14,68.51,71.23,67.48,70.48
PATH,2021-05-17,67.99,70.77,65.2,68.0
PATH,2021-05-18,68.4,74.65,67.82,73.26
PATH,2021-05-19,71.0,75.06,70.99,72.46
PATH,2021-05-20,74.0,78.86,74.0,75.4
PATH,2021-05-21,77.07,83.99,76.84,78.75
PATH,2021-05-24,80.4,88.62,79.91,85.12
PATH,2021-05-25,85.5,87.81,80.22,84.0
PATH,2021-05-26,84.19,86.0,82.67,85.0
PATH,2021-05-27,85.49,88.42,82.21,83.54
PATH,2021-05-28,84.99,90.0,78.56,79.82
PATH,2021-06-01,80.73,83.11,77.54,80.81
PATH,2021-06-02,80.02,82.3,77.76,81.0
PATH,2021-06-03,79.8,79.99,73.52,73.52
PATH,2021-06-04,75.0,79.26,73.8,75.75
PATH,2021-06-07,76.75,77.01,70.63,73.88
PATH,2021-06-08,75.2,77.36,72.9,76.0
PATH,2021-06-09,69.89,74.94,68.63,68.71
PATH,2021-06-10,67.75,74.1,67.0,74.03
PATH,2021-06-11,73.39,73.5,70.52,71.5
PATH,2021-06-14,71.98,72.03,68.91,69.8
PATH,2021-06-15,69.51,72.4,69.37,70.0
PATH,2021-06-16,69.0,70.0,67.8,69.77
PATH,2021-06-17,68.5,70.92,68.1,70.0
PATH,2021-06-18,69.7,70.4,69.08,69.75
PATH,2021-06-21,69.51,69.63,67.4,69.32
PATH,2021-06-22,69.0,70.19,69.0,69.85
PATH,2021-06-23,68.7,69.89,67.25,69.25
PATH,2021-06-24,69.5,69.85,68.07,69.05
PATH,2021-06-25,69.05,69.77,68.16,69.77
PATH,2021-06-28,69.78,72.9,69.38,71.28
PATH,2021-06-29,70.51,70.51,66.0,68.9
PATH,2021-06-30,69.02,69.08,67.68,67.93
PATH,2021-07-01,67.99,68.4,66.18,67.38
PATH,2021-07-02,67.38,68.13,66.55,66.55
PATH,2021-07-06,66.65,66.79,63.86,64.75
PATH,2021-07-07,65.41,67.55,64.88,66.61
PATH,2021-07-08,64.0,68.5,63.65,68.38
PATH,2021-07-09,68.41,69.6,67.09,68.49
PATH,2021-07-12,66.21,67.09,64.11,66.4
PATH,2021-07-13,66.2,66.5,64.36,64.36
PATH,2021-07-14,64.79,65.14,61.82,61.99
PATH,2021-07-15,62.15,62.86,58.23,59.58
PATH,2021-07-16,60.0,60.66,58.89,59.36
PATH,2021-07-19,58.0,60.48,57.01,60.17
PATH,2021-07-20,60.8,62.69,59.55,62.28
PATH,2021-07-21,62.35,62.98,61.4,62.8
PATH,2021-07-22,63.0,63.58,61.25,62.25
PATH,2021-07-23,63.24,63.78,61.63,63.69
PATH,2021-07-26,62.98,63.57,60.76,62.39
PATH,2021-07-27,62.1,62.68,58.46,59.83
PATH,2021-07-28,60.01,63.21,59.8,63.06
PATH,2021-07-29,62.72,63.79,62.2,63.05
PATH,2021-07-30,62.7,64.37,61.9,62.56
PATH,2021-08-02,61.98,62.0,59.17,59.67
PATH,2021-08-03,60.0,60.71,59.21,60.55
PATH,2021-08-04,60.37,62.0,60.25,62.0
PATH,2021-08-05,63.93,65.39,63.38,64.59
PATH,2021-08-06,64.05,64.5,62.44,63.06
PATH,2021-08-09,63.0,64.69,62.21,64.5
