ticker,date,open,high,low,close
PDLB,2017-10-02,10.39,10.79,10.39,10.68
PDLB,2017-10-03,10.65,10.65,10.5,10.57
PDLB,2017-10-04,10.54,10.57,10.47,10.53
PDLB,2017-10-05,10.53,10.93,10.41,10.78
PDLB,2017-10-06,10.86,10.9,10.72,10.77
PDLB,2017-10-09,10.82,10.86,10.7,10.75
PDLB,2017-10-10,10.75,10.75,10.67,10.75
PDLB,2017-10-11,10.75,10.75,10.67,10.7
PDLB,2017-10-12,10.75,10.75,10.68,10.71
PDLB,2017-10-13,10.75,10.75,10.61,10.65
PDLB,2017-10-16,10.72,10.72,10.65,10.68
PDLB,2017-10-17,10.68,10.69,10.64,10.65
PDLB,2017-10-18,10.65,10.67,10.62,10.63
PDLB,2017-10-19,10.66,10.72,10.65,10.72
PDLB,2017-10-20,10.72,10.75,10.72,10.72
PDLB,2017-10-23,10.75,10.82,10.72,10.75
PDLB,2017-10-24,10.79,10.79,10.68,10.75
PDLB,2017-10-25,10.75,10.75,10.57,10.7
PDLB,2017-10-26,10.75,10.75,10.68,10.75
PDLB,2017-10-27,10.75,10.78,10.68,10.78
PDLB,2017-10-30,10.8,10.82,10.66,10.75
PDLB,2017-10-31,10.78,10.82,10.75,10.79
PDLB,2017-11-01,10.82,10.82,10.75,10.75
PDLB,2017-11-02,10.82,10.9,10.77,10.8
PDLB,2017-11-03,10.75,10.79,10.7,10.75
PDLB,2017-11-06,10.8,10.82,10.75,10.79
PDLB,2017-11-07,10.77,10.8,10.75,10.77
PDLB,2017-11-08,10.75,10.8,10.75,10.8
PDLB,2017-11-09,10.75,10.8,10.65,10.79
PDLB,2017-11-10,10.65,10.8,10.65,10.8
PDLB,2017-11-13,10.77,10.79,10.75,10.79
PDLB,2017-11-14,10.79,10.8,10.75,10.79
PDLB,2017-11-15,10.77,10.8,10.77,10.8
PDLB,2017-11-16,10.8,10.9,10.77,10.89
PDLB,2017-11-17,10.93,11.0,10.82,10.99
PDLB,2017-11-20,10.95,11.08,10.88,11.0
PDLB,2017-11-21,11.0,11.28,10.95,11.28
PDLB,2017-11-22,11.25,11.36,11.24,11.34
PDLB,2017-11-24,11.43,11.47,11.29,11.47
PDLB,2017-11-27,11.47,12.0,11.43,11.92
PDLB,2017-11-28,11.97,12.15,11.84,12.04
PDLB,2017-11-29,11.46,12.15,11.3,11.97
PDLB,2017-11-30,11.97,12.11,11.84,11.91
PDLB,2017-12-01,11.86,12.04,11.51,11.84
PDLB,2017-12-04,11.91,12.09,11.33,11.72
PDLB,2017-12-05,11.83,11.83,11.51,11.54
PDLB,2017-12-06,11.5,11.63,11.4,11.51
PDLB,2017-12-07,11.38,11.68,11.2,11.58
PDLB,2017-12-08,11.58,11.58,11.24,11.46
PDLB,2017-12-11,11.46,11.58,11.43,11.49
PDLB,2017-12-12,11.53,11.57,11.14,11.15
PDLB,2017-12-13,11.18,11.18,10.83,10.97
PDLB,2017-12-14,11.03,11.28,10.85,10.87
PDLB,2017-12-15,10.87,11.15,10.71,10.77
PDLB,2017-12-18,10.84,11.06,10.82,10.85
PDLB,2017-12-19,10.87,10.94,10.73,10.77
PDLB,2017-12-20,10.82,10.9,10.77,10.77
PDLB,2017-12-21,10.82,10.95,10.75,10.88
PDLB,2017-12-22,10.82,10.93,10.72,10.87
PDLB,2017-12-26,10.9,11.09,10.79,10.87
PDLB,2017-12-27,10.95,11.0,10.8,10.93
PDLB,2017-12-28,10.77,11.07,10.77,11.06
PDLB,2017-12-29,11.03,11.03,10.83,10.88
PDLB,2018-01-02,10.86,11.04,10.76,10.85
PDLB,2018-01-03,10.82,10.92,10.77,10.82
PDLB,2018-01-04,10.8,10.82,10.72,10.72
PDLB,2018-01-05,10.7,10.75,10.58,10.62
PDLB,2018-01-08,10.61,10.67,10.59,10.65
PDLB,2018-01-09,10.6,10.89,10.58,10.79
PDLB,2018-01-10,10.78,10.79,10.59,10.71
PDLB,2018-01-11,10.73,10.81,10.69,10.74
PDLB,2018-01-12,10.75,10.79,10.68,10.75
PDLB,2018-01-16,10.75,10.79,10.72,10.77
PDLB,2018-01-17,10.82,10.82,10.75,10.76
PDLB,2018-01-18,10.76,10.8,10.75,10.77
PDLB,2018-01-19,10.75,10.82,10.75,10.78
PDLB,2018-01-22,10.75,10.9,10.75,10.83
PDLB,2018-01-23,10.8,10.9,10.8,10.9
PDLB,2018-01-24,10.93,10.95,10.8,10.9
PDLB,2018-01-25,10.94,10.94,10.82,10.91
PDLB,2018-01-26,10.92,10.97,10.83,10.85
PDLB,2018-01-29,10.82,10.9,10.8,10.85
PDLB,2018-01-30,10.82,10.9,10.77,10.84
PDLB,2018-01-31,10.82,10.9,10.82,10.86
PDLB,2018-02-01,10.84,10.86,10.79,10.82
PDLB,2018-02-02,10.81,10.86,10.59,10.77
PDLB,2018-02-05,10.7,10.77,10.61,10.77
PDLB,2018-02-06,10.58,10.77,10.57,10.77
PDLB,2018-02-07,10.72,10.72,10.47,10.72
