ticker,date,open,high,low,close
PEBO,1993-02-10,6.19,6.19,6.19,6.19
PEBO,1993-02-11,6.68,6.68,6.68,6.68
PEBO,1993-02-12,7.01,7.01,7.01,7.01
PEBO,1993-02-16,7.33,8.63,6.84,8.15
PEBO,1993-02-17,8.19,8.47,8.19,8.47
PEBO,1993-02-18,8.47,8.47,8.47,8.47
PEBO,1993-02-19,8.47,8.47,8.47,8.47
PEBO,1993-02-22,8.1,8.19,8.1,8.19
PEBO,1993-02-23,8.19,8.19,8.19,8.19
PEBO,1993-02-24,8.19,8.19,8.19,8.19
PEBO,1993-02-25,8.19,8.19,8.19,8.19
PEBO,1993-02-26,8.8,8.8,8.15,8.15
PEBO,1993-03-01,8.15,8.15,8.15,8.15
PEBO,1993-03-02,8.15,8.15,8.15,8.15
PEBO,1993-03-03,8.43,8.51,8.43,8.51
PEBO,1993-03-04,8.51,8.51,8.51,8.51
PEBO,1993-03-05,8.51,8.51,8.51,8.51
PEBO,1993-03-08,8.51,8.51,8.51,8.51
PEBO,1993-03-09,8.51,8.51,8.51,8.51
PEBO,1993-03-10,7.33,7.33,7.33,7.33
PEBO,1993-03-11,7.66,7.82,7.33,7.33
PEBO,1993-03-12,7.66,8.15,7.66,8.15
PEBO,1993-03-15,8.15,8.15,8.15,8.15
PEBO,1993-03-16,8.15,8.15,8.15,8.15
PEBO,1993-03-17,7.94,8.02,7.33,7.33
PEBO,1993-03-18,7.33,7.33,7.33,7.33
PEBO,1993-03-19,7.33,7.33,7.33,7.33
PEBO,1993-03-22,7.33,7.33,7.33,7.33
PEBO,1993-03-23,7.33,7.33,7.33,7.33
PEBO,1993-03-24,7.33,7.33,7.33,7.33
PEBO,1993-03-25,7.33,7.33,7.33,7.33
PEBO,1993-03-26,6.66,6.66,6.66,6.66
PEBO,1993-03-29,6.66,6.66,6.66,6.66
PEBO,1993-03-30,6.68,7.33,6.68,6.84
PEBO,1993-03-31,6.68,6.68,6.68,6.68
PEBO,1993-04-01,6.68,6.68,6.68,6.68
PEBO,1993-04-02,6.68,6.68,6.68,6.68
PEBO,1993-04-05,6.68,6.68,6.68,6.68
PEBO,1993-04-06,6.68,6.68,6.68,6.68
PEBO,1993-04-07,6.84,6.84,6.68,6.68
PEBO,1993-04-08,6.68,6.68,6.68,6.68
PEBO,1993-04-12,6.68,6.68,6.68,6.68
PEBO,1993-04-13,6.84,6.84,6.68,6.68
PEBO,1993-04-14,6.68,6.68,6.68,6.68
PEBO,1993-04-15,6.68,6.68,6.68,6.68
PEBO,1993-04-16,6.84,6.84,6.84,6.84
PEBO,1993-04-19,6.84,6.84,6.84,6.84
PEBO,1993-04-20,6.84,6.84,6.84,6.84
PEBO,1993-04-21,6.84,6.84,6.84,6.84
PEBO,1993-04-22,6.52,6.52,6.52,6.52
PEBO,1993-04-23,6.52,6.52,6.52,6.52
PEBO,1993-04-26,6.52,6.52,6.52,6.52
PEBO,1993-04-27,6.52,6.52,6.52,6.52
PEBO,1993-04-28,6.52,6.52,6.52,6.52
PEBO,1993-04-29,6.35,6.35,6.35,6.35
PEBO,1993-04-30,6.35,6.35,6.35,6.35
PEBO,1993-05-03,6.52,6.52,6.52,6.52
PEBO,1993-05-04,6.52,6.52,6.52,6.52
PEBO,1993-05-05,5.7,5.7,5.7,5.7
PEBO,1993-05-06,6.35,6.52,6.35,6.52
PEBO,1993-05-07,6.64,6.64,6.64,6.64
PEBO,1993-05-10,6.64,6.64,6.64,6.64
PEBO,1993-05-11,6.64,6.64,6.64,6.64
PEBO,1993-05-12,6.39,6.41,6.39,6.41
PEBO,1993-05-13,7.01,7.01,7.01,7.01
PEBO,1993-05-14,7.01,7.01,7.01,7.01
PEBO,1993-05-17,6.31,6.39,6.31,6.39
PEBO,1993-05-18,6.39,6.39,6.39,6.39
PEBO,1993-05-19,6.39,6.39,6.39,6.39
PEBO,1993-05-20,5.7,5.7,5.7,5.7
PEBO,1993-05-21,5.7,5.7,5.7,5.7
PEBO,1993-05-24,5.7,5.7,5.7,5.7
PEBO,1993-05-25,5.78,5.78,5.78,5.78
PEBO,1993-05-26,6.35,6.52,6.35,6.52
PEBO,1993-05-27,6.52,6.52,6.35,6.52
PEBO,1993-05-28,6.52,6.52,6.52,6.52
PEBO,1993-06-01,6.52,6.52,6.52,6.52
PEBO,1993-06-02,6.11,6.11,6.11,6.11
PEBO,1993-06-03,6.68,6.68,6.68,6.68
PEBO,1993-06-04,6.68,6.68,6.68,6.68
PEBO,1993-06-07,6.68,6.68,6.68,6.68
PEBO,1993-06-08,6.52,6.52,6.52,6.52
PEBO,1993-06-09,6.52,6.52,6.52,6.52
PEBO,1993-06-10,6.84,6.84,6.84,6.84
PEBO,1993-06-11,6.84,6.84,6.84,6.84
PEBO,1993-06-14,6.84,6.84,6.84,6.84
