ticker,date,open,high,low,close
PFSI,2013-05-09,18.25,19.39,18.15,19.1
PFSI,2013-05-10,19.07,20.01,18.86,19.6
PFSI,2013-05-13,20.14,20.2,19.14,19.31
PFSI,2013-05-14,19.15,19.92,19.09,19.51
PFSI,2013-05-15,19.5,19.8,19.4,19.71
PFSI,2013-05-16,19.73,20.12,19.73,20.03
PFSI,2013-05-17,20.2,20.26,19.99,20.0
PFSI,2013-05-20,20.35,22.1,20.25,21.66
PFSI,2013-05-21,21.85,22.8,21.69,22.45
PFSI,2013-05-22,22.55,23.33,21.63,21.64
PFSI,2013-05-23,21.62,22.21,20.91,22.08
PFSI,2013-05-24,22.06,22.06,21.53,21.67
PFSI,2013-05-28,22.0,22.0,21.51,21.52
PFSI,2013-05-29,21.4,21.43,20.98,21.19
PFSI,2013-05-30,21.15,22.05,21.02,21.98
PFSI,2013-05-31,21.85,21.99,21.65,21.8
PFSI,2013-06-03,22.0,22.0,20.85,21.14
PFSI,2013-06-04,21.14,21.51,20.79,21.44
PFSI,2013-06-05,21.45,21.5,21.15,21.39
PFSI,2013-06-06,21.39,21.39,20.96,21.0
PFSI,2013-06-07,21.03,21.05,20.21,20.48
PFSI,2013-06-10,20.4,20.48,20.16,20.45
PFSI,2013-06-11,20.25,20.5,20.1,20.4
PFSI,2013-06-12,20.5,21.08,20.5,21.01
PFSI,2013-06-13,20.97,21.03,20.5,21.03
PFSI,2013-06-14,21.0,21.2,20.92,21.02
PFSI,2013-06-17,21.07,21.79,21.07,21.61
PFSI,2013-06-18,21.59,21.9,21.59,21.85
PFSI,2013-06-19,21.83,22.14,21.75,21.8
PFSI,2013-06-20,21.57,21.64,21.21,21.42
PFSI,2013-06-21,21.49,21.55,21.2,21.34
PFSI,2013-06-24,21.15,21.36,20.96,21.01
PFSI,2013-06-25,21.15,21.25,20.96,21.1
PFSI,2013-06-26,21.2,21.2,20.5,20.78
PFSI,2013-06-27,20.95,21.16,20.73,21.03
PFSI,2013-06-28,21.04,21.32,20.8,21.27
PFSI,2013-07-01,21.29,21.35,20.99,21.22
PFSI,2013-07-02,21.16,21.34,21.06,21.31
PFSI,2013-07-03,21.14,21.29,21.03,21.15
PFSI,2013-07-05,21.25,21.3,20.5,20.6
PFSI,2013-07-08,20.61,20.66,20.24,20.41
PFSI,2013-07-09,20.47,20.83,20.43,20.74
PFSI,2013-07-10,20.69,20.75,20.6,20.72
PFSI,2013-07-11,21.03,21.03,20.72,20.9
PFSI,2013-07-12,20.9,20.9,20.34,20.34
PFSI,2013-07-15,20.32,20.34,19.61,20.15
PFSI,2013-07-16,20.18,20.25,19.89,20.0
PFSI,2013-07-17,20.01,20.06,19.86,19.93
PFSI,2013-07-18,19.95,20.05,19.81,19.95
PFSI,2013-07-19,19.9,20.06,19.9,19.97
PFSI,2013-07-22,19.93,20.07,19.86,19.97
PFSI,2013-07-23,19.84,19.95,19.64,19.85
