ticker,date,open,high,low,close
PHI,1973-05-03,0.34,0.34,0.34,0.34
PHI,1973-05-04,0.34,0.34,0.34,0.34
PHI,1973-05-07,0.34,0.34,0.34,0.34
PHI,1973-05-08,0.34,0.34,0.34,0.34
PHI,1973-05-09,0.34,0.34,0.34,0.34
PHI,1973-05-10,0.34,0.34,0.34,0.34
PHI,1973-05-11,0.34,0.34,0.34,0.34
PHI,1973-05-14,0.34,0.34,0.34,0.34
PHI,1973-05-15,0.34,0.34,0.32,0.34
PHI,1973-05-16,0.34,0.34,0.34,0.34
PHI,1973-05-17,0.34,0.34,0.34,0.34
PHI,1973-05-18,0.34,0.34,0.34,0.34
PHI,1973-05-21,0.34,0.34,0.29,0.29
PHI,1973-05-22,0.32,0.34,0.32,0.32
PHI,1973-05-23,0.32,0.34,0.32,0.32
PHI,1973-05-24,0.34,0.34,0.34,0.34
PHI,1973-05-25,0.34,0.34,0.34,0.34
PHI,1973-05-29,0.34,0.34,0.34,0.34
PHI,1973-05-30,0.34,0.36,0.34,0.36
PHI,1973-05-31,0.36,0.36,0.36,0.36
PHI,1973-06-01,0.36,0.36,0.34,0.34
PHI,1973-06-04,0.34,0.36,0.34,0.36
PHI,1973-06-05,0.36,0.36,0.36,0.36
PHI,1973-06-06,0.36,0.38,0.36,0.36
PHI,1973-06-07,0.36,0.38,0.36,0.38
PHI,1973-06-08,0.38,0.38,0.36,0.38
PHI,1973-06-11,0.38,0.38,0.38,0.38
PHI,1973-06-12,0.38,0.38,0.36,0.38
PHI,1973-06-13,0.38,0.38,0.38,0.38
PHI,1973-06-14,0.38,0.38,0.38,0.38
PHI,1973-06-15,0.38,0.38,0.36,0.38
PHI,1973-06-18,0.38,0.38,0.36,0.38
PHI,1973-06-19,0.38,0.38,0.36,0.38
PHI,1973-06-20,0.38,0.38,0.36,0.38
PHI,1973-06-21,0.38,0.38,0.38,0.38
PHI,1973-06-22,0.38,0.38,0.38,0.38
PHI,1973-06-25,0.38,0.38,0.36,0.38
PHI,1973-06-26,0.38,0.38,0.36,0.38
PHI,1973-06-27,0.36,0.36,0.36,0.36
PHI,1973-06-28,0.36,0.36,0.36,0.36
PHI,1973-06-29,0.36,0.38,0.36,0.36
PHI,1973-07-02,0.36,0.36,0.36,0.36
PHI,1973-07-03,0.36,0.36,0.36,0.36
PHI,1973-07-05,0.36,0.38,0.36,0.36
PHI,1973-07-06,0.36,0.38,0.36,0.38
PHI,1973-07-09,0.38,0.38,0.36,0.38
PHI,1973-07-10,0.38,0.38,0.38,0.38
PHI,1973-07-11,0.38,0.38,0.38,0.38
PHI,1973-07-12,0.38,0.38,0.36,0.38
PHI,1973-07-13,0.38,0.38,0.36,0.38
PHI,1973-07-16,0.38,0.38,0.38,0.38
PHI,1973-07-17,0.38,0.38,0.38,0.38
PHI,1973-07-18,0.38,0.41,0.38,0.38
PHI,1973-07-19,0.38,0.41,0.38,0.41
PHI,1973-07-20,0.41,0.41,0.41,0.41
PHI,1973-07-23,0.41,0.41,0.41,0.41
PHI,1973-07-24,0.41,0.41,0.41,0.41
PHI,1973-07-25,0.41,0.41,0.41,0.41
PHI,1973-07-26,0.41,0.41,0.41,0.41
PHI,1973-07-27,0.41,0.41,0.41,0.41
PHI,1973-07-30,0.41,0.41,0.41,0.41
PHI,1973-07-31,0.41,0.43,0.41,0.43
PHI,1973-08-01,0.41,0.41,0.41,0.41
PHI,1973-08-02,0.43,0.45,0.43,0.45
PHI,1973-08-03,0.48,0.48,0.48,0.48
PHI,1973-08-06,0.5,0.52,0.5,0.5
PHI,1973-08-07,0.52,0.52,0.52,0.52
PHI,1973-08-08,0.5,0.5,0.5,0.5
PHI,1973-08-09,0.5,0.5,0.48,0.5
PHI,1973-08-10,0.5,0.5,0.48,0.5
PHI,1973-08-13,0.5,0.52,0.48,0.5
PHI,1973-08-14,0.5,0.5,0.48,0.5
PHI,1973-08-15,0.5,0.5,0.45,0.45
PHI,1973-08-16,0.48,0.5,0.48,0.5
PHI,1973-08-17,0.5,0.52,0.5,0.52
PHI,1973-08-20,0.52,0.52,0.52,0.52
PHI,1973-08-21,0.52,0.52,0.52,0.52
PHI,1973-08-22,0.52,0.52,0.52,0.52
PHI,1973-08-23,0.52,0.52,0.52,0.52
PHI,1973-08-24,0.52,0.52,0.48,0.52
PHI,1973-08-27,0.52,0.52,0.52,0.52
PHI,1973-08-28,0.52,0.52,0.52,0.52
PHI,1973-08-29,0.52,0.52,0.52,0.52
PHI,1973-08-30,0.52,0.52,0.52,0.52
PHI,1973-08-31,0.52,0.52,0.52,0.52
PHI,1973-09-04,0.52,0.52,0.52,0.52
PHI,1973-09-05,0.52,0.52,0.52,0.52
PHI,1973-09-06,0.52,0.52,0.52,0.52
PHI,1973-09-07,0.52,0.54,0.52,0.54
PHI,1973-09-10,0.54,0.59,0.54,0.54
PHI,1973-09-11,0.59,0.59,0.59,0.59
PHI,1973-09-12,0.59,0.61,0.59,0.59
PHI,1973-09-13,0.63,0.68,0.63,0.63
PHI,1973-09-14,0.66,0.68,0.66,0.66
PHI,1973-09-17,0.68,0.7,0.68,0.7
PHI,1973-09-18,0.7,0.7,0.66,0.66
