ticker,date,open,high,low,close
PJT,2015-09-22,30.0,30.0,29.16,29.16
PJT,2015-09-23,28.75,28.75,28.75,28.75
PJT,2015-09-24,28.5,28.5,27.93,27.98
PJT,2015-09-25,27.98,27.98,27.34,27.5
PJT,2015-09-28,27.5,27.5,25.0,26.2
PJT,2015-09-29,25.75,25.75,23.25,23.5
PJT,2015-09-30,24.01,24.65,24.0,24.0
PJT,2015-10-01,23.65,24.0,20.0,21.0
PJT,2015-10-02,20.2,20.94,20.0,20.07
PJT,2015-10-05,20.08,22.23,20.08,20.87
PJT,2015-10-06,20.73,22.0,20.52,21.3
PJT,2015-10-07,21.05,21.5,20.69,21.08
PJT,2015-10-08,20.85,21.75,20.44,20.5
PJT,2015-10-09,20.5,21.01,20.41,20.86
PJT,2015-10-12,20.72,21.23,20.66,21.1
PJT,2015-10-13,20.8,21.28,20.75,20.78
PJT,2015-10-14,20.75,21.72,20.61,21.7
PJT,2015-10-15,21.53,22.0,21.3,21.97
PJT,2015-10-16,21.8,22.12,21.5,21.96
PJT,2015-10-19,21.79,22.21,21.66,22.16
PJT,2015-10-20,22.19,22.37,22.11,22.29
PJT,2015-10-21,22.3,22.99,22.3,22.81
PJT,2015-10-22,22.75,22.97,22.6,22.88
PJT,2015-10-23,23.0,23.15,22.61,22.85
PJT,2015-10-26,22.85,22.85,22.0,22.21
PJT,2015-10-27,22.15,22.17,21.5,21.65
PJT,2015-10-28,21.5,22.0,21.3,21.47
PJT,2015-10-29,21.47,21.74,21.0,21.28
PJT,2015-10-30,21.16,21.55,21.12,21.5
PJT,2015-11-02,21.4,21.67,21.2,21.49
PJT,2015-11-03,21.49,21.84,21.27,21.5
PJT,2015-11-04,21.5,22.01,21.5,21.88
PJT,2015-11-05,21.9,22.1,21.73,21.99
PJT,2015-11-06,21.95,22.05,21.74,21.82
PJT,2015-11-09,22.0,22.0,21.5,21.56
PJT,2015-11-10,21.6,21.61,21.24,21.39
PJT,2015-11-11,21.39,21.44,20.89,21.35
PJT,2015-11-12,21.5,21.61,21.0,21.38
PJT,2015-11-13,21.29,21.47,21.14,21.4
PJT,2015-11-16,21.34,21.56,21.06,21.5
PJT,2015-11-17,21.35,22.05,21.26,21.9
PJT,2015-11-18,21.96,22.02,21.54,21.71
PJT,2015-11-19,21.52,21.76,21.25,21.6
PJT,2015-11-20,21.75,21.75,21.31,21.62
PJT,2015-11-23,21.97,22.29,21.68,21.92
PJT,2015-11-24,21.64,22.72,21.64,22.13
PJT,2015-11-25,22.1,22.87,22.03,22.74
PJT,2015-11-27,22.74,23.25,22.55,23.23
PJT,2015-11-30,23.2,23.5,22.86,23.44
PJT,2015-12-01,23.42,23.75,23.25,23.6
PJT,2015-12-02,23.46,23.9,23.45,23.8
PJT,2015-12-03,23.78,24.0,23.42,23.55
PJT,2015-12-04,23.67,24.09,23.56,24.07
PJT,2015-12-07,24.07,24.07,22.75,22.75
PJT,2015-12-08,22.57,23.14,22.07,22.48
PJT,2015-12-09,22.3,22.7,22.23,22.46
PJT,2015-12-10,22.24,22.96,22.24,22.63
PJT,2015-12-11,22.63,23.09,22.44,22.96
PJT,2015-12-14,22.85,23.97,22.57,23.27
PJT,2015-12-15,23.46,25.0,23.46,24.47
PJT,2015-12-16,24.81,25.75,24.53,25.16
PJT,2015-12-17,25.5,26.73,25.41,25.88
PJT,2015-12-18,26.08,28.5,25.81,27.34
PJT,2015-12-21,27.19,27.65,25.69,26.32
PJT,2015-12-22,26.34,26.84,25.66,26.39
PJT,2015-12-23,26.4,26.5,25.75,26.09
PJT,2015-12-24,26.04,26.88,25.89,26.76
PJT,2015-12-28,26.73,27.86,26.59,27.86
PJT,2015-12-29,27.85,29.08,27.76,29.02
PJT,2015-12-30,29.0,29.0,27.96,28.27
PJT,2015-12-31,28.21,28.45,27.81,28.29
PJT,2016-01-04,27.86,28.17,27.38,28.06
PJT,2016-01-05,28.14,28.14,27.15,27.35
PJT,2016-01-06,27.0,27.02,24.75,25.01
PJT,2016-01-07,24.51,25.25,23.9,24.03
PJT,2016-01-08,24.25,25.13,24.25,24.53
PJT,2016-01-11,24.86,24.88,24.13,24.52
PJT,2016-01-12,24.81,24.91,23.6,24.32
PJT,2016-01-13,24.29,24.53,23.2,24.1
PJT,2016-01-14,24.04,25.88,23.51,24.39
PJT,2016-01-15,23.68,24.38,23.29,24.26
PJT,2016-01-19,23.52,24.49,23.29,23.75
PJT,2016-01-20,23.4,24.27,22.53,24.14
PJT,2016-01-21,24.2,25.5,23.95,24.64
PJT,2016-01-22,24.9,26.85,24.8,25.51
PJT,2016-01-25,25.82,26.5,24.79,25.21
PJT,2016-01-26,25.36,25.92,25.03,25.91
PJT,2016-01-27,25.64,26.66,25.33,25.98
PJT,2016-01-28,26.02,26.35,25.37,25.53
PJT,2016-01-29,25.46,26.67,25.36,25.82
PJT,2016-02-01,25.82,27.0,25.59,26.69
PJT,2016-02-02,26.34,26.59,25.0,25.12
PJT,2016-02-03,25.16,26.03,25.16,25.82
PJT,2016-02-04,25.87,26.22,25.24,25.3
PJT,2016-02-05,25.13,25.22,24.56,24.6
PJT,2016-02-08,24.23,24.47,22.5,22.81
PJT,2016-02-09,22.52,24.84,22.52,24.11
PJT,2016-02-10,24.5,24.99,23.79,24.35
PJT,2016-02-11,23.32,23.44,22.55,23.05
PJT,2016-02-12,23.02,24.21,23.0,24.21
PJT,2016-02-16,24.28,24.79,23.31,24.32
PJT,2016-02-17,24.28,25.39,23.95,25.14
PJT,2016-02-18,25.12,26.75,25.12,26.65
PJT,2016-02-19,26.65,27.71,25.78,27.09
PJT,2016-02-22,27.54,28.1,27.27,28.06
PJT,2016-02-23,27.83,28.49,26.73,26.85
PJT,2016-02-24,26.53,27.69,26.38,27.36
PJT,2016-02-25,27.4,28.2,27.02,27.24
PJT,2016-02-26,27.53,27.8,27.05,27.38
PJT,2016-02-29,27.4,27.82,26.56,27.82
PJT,2016-03-01,27.8,28.6,27.65,27.83
PJT,2016-03-02,27.86,28.53,27.83,28.36
PJT,2016-03-03,28.48,28.48,27.28,27.29
PJT,2016-03-04,27.02,27.2,26.1,26.16
PJT,2016-03-07,25.23,26.77,25.21,26.41
PJT,2016-03-08,26.28,27.35,26.0,27.12
PJT,2016-03-09,27.5,27.57,25.83,26.41
PJT,2016-03-10,26.27,27.34,26.26,27.33
PJT,2016-03-11,27.12,27.55,26.46,26.83
PJT,2016-03-14,26.86,27.62,26.77,27.31
PJT,2016-03-15,27.44,27.56,27.02,27.24
PJT,2016-03-16,27.08,27.5,26.48,26.48
PJT,2016-03-17,26.48,27.36,26.47,26.94
PJT,2016-03-18,26.77,26.84,26.04,26.48
PJT,2016-03-21,26.42,27.07,26.42,27.02
PJT,2016-03-22,26.93,27.23,26.24,26.86
PJT,2016-03-23,26.77,27.07,26.4,26.51
PJT,2016-03-24,26.24,26.66,26.0,26.47
PJT,2016-03-28,26.45,26.46,19.96,23.66
PJT,2016-03-29,23.51,23.61,22.24,23.27
PJT,2016-03-30,23.44,25.06,23.28,24.67
PJT,2016-03-31,24.65,24.83,23.52,24.05
PJT,2016-04-01,23.91,24.38,23.3,23.3
PJT,2016-04-04,23.14,23.93,22.75,23.79
PJT,2016-04-05,23.54,23.65,23.11,23.45
PJT,2016-04-06,23.24,23.65,23.12,23.4
PJT,2016-04-07,23.32,23.43,22.9,23.0
PJT,2016-04-08,23.1,23.23,22.69,22.75
PJT,2016-04-11,22.75,23.05,22.74,22.77
PJT,2016-04-12,22.75,23.16,22.7,23.0
PJT,2016-04-13,23.17,24.24,22.98,23.99
PJT,2016-04-14,23.8,23.98,23.19,23.55
PJT,2016-04-15,23.5,24.15,23.35,23.8
PJT,2016-04-18,23.6,23.99,23.41,23.72
PJT,2016-04-19,23.68,24.2,23.53,24.11
PJT,2016-04-20,24.0,24.17,23.71,24.03
PJT,2016-04-21,24.05,24.19,23.7,23.99
PJT,2016-04-22,23.94,24.2,23.8,23.95
PJT,2016-04-25,23.81,23.94,23.19,23.4
PJT,2016-04-26,23.43,23.94,23.14,23.4
PJT,2016-04-27,23.1,23.35,22.3,22.36
PJT,2016-04-28,22.4,23.2,22.35,22.6
PJT,2016-04-29,22.52,22.92,21.92,22.32
PJT,2016-05-02,22.27,22.32,21.9,22.07
PJT,2016-05-03,21.72,22.71,21.72,22.47
PJT,2016-05-04,22.36,22.57,22.25,22.4
PJT,2016-05-05,22.37,22.48,21.75,21.9
PJT,2016-05-06,21.76,21.98,21.52,21.74
PJT,2016-05-09,21.85,23.39,21.84,23.06
PJT,2016-05-10,23.06,23.74,22.75,23.71
PJT,2016-05-11,23.62,24.03,23.57,23.86
PJT,2016-05-12,23.89,23.92,23.19,23.75
PJT,2016-05-13,24.0,24.02,22.85,23.02
PJT,2016-05-16,23.7,24.23,23.61,23.66
PJT,2016-05-17,23.66,24.38,23.49,24.25
PJT,2016-05-18,24.18,24.9,24.08,24.62
PJT,2016-05-19,24.55,24.61,23.64,23.74
PJT,2016-05-20,23.95,24.94,23.74,24.88
PJT,2016-05-23,24.8,24.99,24.54,24.84
PJT,2016-05-24,24.85,25.61,24.67,25.44
PJT,2016-05-25,25.42,25.77,25.24,25.65
PJT,2016-05-26,25.53,26.33,25.53,26.1
PJT,2016-05-27,26.22,26.22,25.83,26.03
PJT,2016-05-31,26.14,26.4,25.84,25.96
PJT,2016-06-01,25.87,26.25,25.78,26.2
PJT,2016-06-02,26.19,26.89,26.07,26.7
PJT,2016-06-03,26.66,26.95,24.85,26.79
PJT,2016-06-06,26.83,27.63,26.52,27.39
PJT,2016-06-07,27.52,27.86,27.18,27.18
PJT,2016-06-08,27.21,27.21,26.62,26.62
PJT,2016-06-09,26.46,26.56,25.73,25.86
PJT,2016-06-10,25.59,25.81,25.34,25.46
PJT,2016-06-13,25.3,25.49,24.32,24.53
PJT,2016-06-14,24.54,24.54,23.44,23.77
PJT,2016-06-15,23.75,24.69,23.75,24.49
PJT,2016-06-16,24.38,24.47,24.01,24.38
PJT,2016-06-17,24.32,24.32,23.25,23.7
PJT,2016-06-20,23.9,24.88,23.8,24.64
PJT,2016-06-21,24.58,25.11,24.44,25.0
PJT,2016-06-22,25.02,25.05,24.43,24.81
PJT,2016-06-23,25.01,25.9,24.91,25.51
PJT,2016-06-24,24.19,25.58,24.18,24.91
PJT,2016-06-27,24.8,24.8,22.0,22.06
PJT,2016-06-28,22.28,22.53,21.99,22.23
PJT,2016-06-29,22.51,23.05,22.5,22.95
PJT,2016-06-30,22.94,23.21,22.54,23.0
PJT,2016-07-01,23.0,23.36,22.6,22.86
PJT,2016-07-05,22.72,22.94,22.28,22.8
PJT,2016-07-06,22.74,23.28,22.48,23.12
PJT,2016-07-07,23.14,23.62,23.03,23.55
PJT,2016-07-08,23.82,25.05,23.82,24.65
PJT,2016-07-11,24.82,25.65,24.65,25.44
PJT,2016-07-12,25.51,26.31,25.51,26.19
PJT,2016-07-13,26.21,26.42,25.85,26.01
PJT,2016-07-14,26.21,26.62,25.97,26.36
PJT,2016-07-15,26.59,26.65,26.28,26.44
PJT,2016-07-18,26.47,26.72,26.22,26.63
PJT,2016-07-19,26.43,26.67,26.14,26.18
PJT,2016-07-20,26.16,26.39,25.73,26.02
PJT,2016-07-21,25.93,25.97,25.45,25.66
PJT,2016-07-22,25.63,25.91,25.44,25.63
PJT,2016-07-25,25.53,25.6,25.11,25.29
PJT,2016-07-26,25.2,25.36,25.02,25.16
PJT,2016-07-27,25.1,25.7,25.05,25.63
PJT,2016-07-28,25.66,26.47,25.66,26.11
PJT,2016-07-29,25.73,25.96,25.02,25.53
PJT,2016-08-01,25.44,25.75,24.91,25.01
PJT,2016-08-02,24.93,24.98,23.65,23.65
PJT,2016-08-03,23.72,24.17,23.52,24.07
PJT,2016-08-04,24.04,24.45,24.02,24.05
PJT,2016-08-05,24.25,24.3,24.16,24.25
PJT,2016-08-08,24.24,24.46,24.06,24.41
PJT,2016-08-09,24.9,25.32,24.83,24.93
PJT,2016-08-10,24.89,25.11,24.67,24.79
PJT,2016-08-11,24.94,25.15,24.71,24.88
PJT,2016-08-12,24.71,24.96,24.59,24.75
PJT,2016-08-15,24.73,25.05,24.67,24.8
PJT,2016-08-16,24.62,24.91,24.45,24.72
PJT,2016-08-17,24.65,24.75,24.3,24.52
PJT,2016-08-18,24.6,24.79,24.28,24.75
PJT,2016-08-19,24.57,24.7,24.5,24.68
PJT,2016-08-22,24.75,25.02,24.64,25.0
PJT,2016-08-23,24.93,25.3,24.72,24.85
PJT,2016-08-24,24.76,24.95,24.57,24.62
PJT,2016-08-25,24.59,24.82,24.55,24.74
PJT,2016-08-26,24.75,24.78,24.49,24.72
PJT,2016-08-29,24.69,24.83,24.54,24.71
PJT,2016-08-30,24.63,24.97,24.34,24.85
PJT,2016-08-31,24.89,25.0,24.4,24.67
PJT,2016-09-01,24.67,24.98,24.42,24.77
PJT,2016-09-02,24.91,25.08,24.43,24.94
PJT,2016-09-06,24.89,25.0,24.34,24.49
PJT,2016-09-07,24.44,24.75,24.4,24.66
PJT,2016-09-08,24.56,25.0,24.56,25.0
PJT,2016-09-09,24.72,24.9,24.1,24.1
PJT,2016-09-12,24.01,24.66,24.0,24.66
PJT,2016-09-13,24.35,24.49,23.98,24.4
PJT,2016-09-14,24.3,24.64,24.06,24.44
PJT,2016-09-15,24.31,24.9,24.16,24.89
PJT,2016-09-16,24.75,25.54,24.56,25.53
PJT,2016-09-19,25.47,25.56,25.11,25.45
PJT,2016-09-20,25.5,25.54,25.14,25.24
PJT,2016-09-21,25.24,25.5,25.09,25.38
PJT,2016-09-22,25.4,26.09,25.09,26.02
PJT,2016-09-23,25.73,26.65,25.73,26.23
PJT,2016-09-26,26.1,26.67,25.61,25.68
PJT,2016-09-27,25.73,26.22,25.43,25.96
PJT,2016-09-28,25.94,26.57,25.81,26.26
PJT,2016-09-29,26.21,26.75,26.18,26.56
PJT,2016-09-30,26.8,27.45,26.56,27.27
PJT,2016-10-03,27.09,27.27,26.76,26.87
PJT,2016-10-04,26.81,27.0,26.45,26.7
PJT,2016-10-05,26.69,27.47,26.62,26.75
PJT,2016-10-06,26.79,27.0,26.63,26.83
PJT,2016-10-07,26.63,27.09,26.55,26.71
PJT,2016-10-10,26.75,27.04,26.64,26.91
PJT,2016-10-11,26.9,26.9,26.4,26.43
PJT,2016-10-12,26.52,26.62,26.11,26.33
PJT,2016-10-13,26.14,26.14,25.53,25.87
PJT,2016-10-14,26.21,26.59,26.15,26.37
PJT,2016-10-17,26.28,26.47,25.86,26.23
PJT,2016-10-18,26.56,26.56,26.2,26.22
PJT,2016-10-19,26.37,26.6,26.21,26.37
PJT,2016-10-20,26.37,26.62,26.12,26.42
PJT,2016-10-21,26.15,26.65,26.15,26.5
PJT,2016-10-24,26.63,27.04,26.45,26.96
PJT,2016-10-25,26.93,27.13,26.66,27.06
PJT,2016-10-26,26.88,27.5,26.67,27.45
PJT,2016-10-27,27.5,27.5,27.0,27.31
PJT,2016-10-28,27.4,27.51,27.27,27.49
PJT,2016-10-31,27.58,27.79,27.35,27.54
PJT,2016-11-01,27.0,27.72,26.19,27.5
PJT,2016-11-02,27.14,27.45,26.55,26.59
PJT,2016-11-03,26.71,27.34,26.71,27.02
PJT,2016-11-04,26.99,27.18,26.84,26.99
PJT,2016-11-07,27.45,27.82,27.28,27.64
PJT,2016-11-08,27.41,27.77,26.85,27.6
PJT,2016-11-09,27.62,28.79,27.42,28.67
PJT,2016-11-10,28.99,30.02,28.62,29.37
PJT,2016-11-11,29.4,30.09,29.15,29.58
PJT,2016-11-14,29.8,30.0,29.48,29.78
PJT,2016-11-15,29.77,30.04,29.52,29.79
PJT,2016-11-16,30.0,30.83,29.77,29.96
PJT,2016-11-17,29.94,30.2,29.92,30.03
PJT,2016-11-18,30.0,30.1,29.74,30.0
PJT,2016-11-21,29.76,30.08,29.31,30.02
PJT,2016-11-22,30.05,30.22,29.72,29.97
PJT,2016-11-23,29.97,30.46,29.63,29.95
PJT,2016-11-25,29.92,30.47,29.54,30.27
PJT,2016-11-28,30.16,30.28,29.55,29.72
PJT,2016-11-29,29.7,30.39,29.57,29.64
PJT,2016-11-30,29.98,29.98,29.4,29.45
PJT,2016-12-01,29.55,30.07,29.24,29.42
PJT,2016-12-02,29.31,29.58,29.14,29.16
PJT,2016-12-05,29.53,30.22,29.46,30.0
PJT,2016-12-06,30.26,31.64,29.92,31.25
PJT,2016-12-07,31.3,31.38,30.85,30.98
PJT,2016-12-08,31.27,31.35,30.88,31.19
PJT,2016-12-09,31.23,31.48,31.2,31.27
PJT,2016-12-12,31.06,31.28,30.39,30.41
PJT,2016-12-13,30.62,30.7,29.68,29.71
PJT,2016-12-14,29.67,29.95,29.34,29.4
PJT,2016-12-15,29.41,29.82,28.84,29.1
PJT,2016-12-16,29.25,29.77,29.09,29.69
PJT,2016-12-19,29.67,30.89,29.59,30.82
PJT,2016-12-20,31.01,31.16,30.51,30.99
PJT,2016-12-21,30.99,31.37,30.78,31.14
PJT,2016-12-22,31.15,31.15,30.47,30.58
PJT,2016-12-23,30.44,30.81,30.41,30.8
PJT,2016-12-27,30.79,31.06,30.65,30.8
PJT,2016-12-28,30.85,31.6,30.58,31.58
PJT,2016-12-29,31.88,32.35,31.4,31.55
PJT,2016-12-30,31.72,31.72,30.35,30.88
PJT,2017-01-03,31.34,31.34,30.62,31.18
PJT,2017-01-04,31.18,31.99,31.11,31.88
PJT,2017-01-05,32.04,32.04,31.55,31.64
PJT,2017-01-06,31.62,31.71,31.62,31.7
PJT,2017-01-09,31.7,31.75,31.22,31.43
PJT,2017-01-10,31.48,31.75,31.02,31.48
PJT,2017-01-11,31.63,31.63,30.93,31.12
PJT,2017-01-12,31.25,31.49,30.23,30.87
PJT,2017-01-13,30.93,31.49,30.93,31.13
PJT,2017-01-17,30.82,30.88,30.37,30.39
PJT,2017-01-18,30.5,30.71,30.03,30.69
PJT,2017-01-19,30.69,31.14,30.4,31.01
PJT,2017-01-20,30.87,31.34,30.87,31.27
