ticker,date,open,high,low,close
PRTK,2006-05-09,227.9,227.9,227.9,227.9
PRTK,2006-05-10,227.9,236.68,219.49,227.9
PRTK,2006-05-11,233.16,233.16,227.9,228.25
PRTK,2006-05-12,231.41,232.46,227.9,231.41
PRTK,2006-05-15,245.44,245.44,227.9,228.61
PRTK,2006-05-16,251.4,254.21,230.71,231.41
PRTK,2006-05-17,233.52,244.74,233.52,234.22
PRTK,2006-05-18,246.84,246.84,227.9,231.06
PRTK,2006-05-19,233.16,250.69,227.9,235.62
PRTK,2006-05-22,240.53,252.1,229.66,242.99
PRTK,2006-05-23,244.03,245.44,236.04,243.34
PRTK,2006-05-24,245.44,258.41,231.06,243.68
PRTK,2006-05-25,241.93,246.84,234.56,237.72
PRTK,2006-05-26,245.44,245.44,232.46,237.37
PRTK,2006-05-30,240.18,244.74,228.96,232.46
PRTK,2006-05-31,235.27,236.68,227.9,230.71
PRTK,2006-06-01,233.16,242.99,227.9,230.36
PRTK,2006-06-02,227.9,237.37,227.56,230.02
PRTK,2006-06-05,230.71,237.37,230.71,233.16
PRTK,2006-06-06,232.46,244.03,212.12,214.58
PRTK,2006-06-07,217.39,240.18,211.43,238.08
PRTK,2006-06-08,228.25,235.27,221.24,221.59
PRTK,2006-06-09,227.9,237.94,221.59,221.59
PRTK,2006-06-12,220.9,225.46,217.39,218.09
PRTK,2006-06-13,217.39,220.9,214.93,218.44
PRTK,2006-06-14,213.88,237.02,210.72,229.66
PRTK,2006-06-15,230.02,237.02,222.3,222.3
PRTK,2006-06-16,214.58,216.41,214.58,216.41
PRTK,2006-06-19,223.0,304.62,223.0,294.53
PRTK,2006-06-20,303.29,348.52,299.78,335.2
PRTK,2006-06-21,343.61,347.12,290.32,304.0
PRTK,2006-06-22,311.7,312.76,265.78,271.74
PRTK,2006-06-23,262.97,269.98,245.78,247.19
PRTK,2006-06-26,261.91,300.48,259.12,280.85
PRTK,2006-06-27,294.53,321.88,286.04,299.44
PRTK,2006-06-28,306.44,325.38,299.44,312.06
PRTK,2006-06-29,324.32,332.39,304.69,308.56
PRTK,2006-06-30,313.81,318.72,306.79,318.01
PRTK,2006-07-03,323.63,332.75,311.7,319.07
PRTK,2006-07-05,322.22,333.44,306.79,333.44
PRTK,2006-07-06,337.3,341.51,321.17,336.25
PRTK,2006-07-07,338.35,338.35,319.42,331.0
PRTK,2006-07-10,333.1,345.36,331.34,333.44
PRTK,2006-07-11,346.76,350.63,312.06,350.63
PRTK,2006-07-12,359.39,429.52,336.6,420.05
PRTK,2006-07-13,421.1,421.1,390.24,393.76
PRTK,2006-07-14,385.69,387.44,340.1,361.5
PRTK,2006-07-17,365.0,388.85,341.86,361.5
PRTK,2006-07-18,354.48,357.64,319.07,329.23
PRTK,2006-07-19,334.85,352.38,321.17,329.94
PRTK,2006-07-20,333.79,345.36,333.79,335.54
PRTK,2006-07-21,338.7,338.7,319.07,326.08
PRTK,2006-07-24,319.42,323.28,298.03,298.03
PRTK,2006-07-25,298.03,315.22,269.98,299.44
PRTK,2006-07-26,299.44,313.81,299.44,305.4
PRTK,2006-07-27,306.79,306.79,299.78,299.78
PRTK,2006-07-28,298.03,303.64,294.18,299.78
PRTK,2006-07-31,299.78,299.78,291.02,291.02
PRTK,2006-08-01,289.26,289.26,270.68,277.0
PRTK,2006-08-02,269.98,285.41,269.98,280.15
PRTK,2006-08-03,273.84,286.81,269.98,286.81
PRTK,2006-08-04,284.0,284.0,252.8,282.25
PRTK,2006-08-07,287.51,299.78,273.49,274.54
PRTK,2006-08-08,278.75,285.41,270.34,278.04
PRTK,2006-08-09,277.0,292.42,277.0,277.69
PRTK,2006-08-10,278.75,283.31,278.75,283.31
PRTK,2006-08-11,292.78,292.78,277.34,284.0
PRTK,2006-08-14,280.5,280.5,262.97,270.34
PRTK,2006-08-15,277.0,278.75,248.94,256.66
PRTK,2006-08-16,243.68,256.31,209.33,225.1
PRTK,2006-08-17,233.52,233.52,221.24,221.59
PRTK,2006-08-18,220.9,233.87,211.43,214.58
PRTK,2006-08-21,228.25,231.41,210.37,217.03
PRTK,2006-08-22,205.81,213.88,201.26,206.17
PRTK,2006-08-23,202.31,206.87,195.3,197.05
PRTK,2006-08-24,200.21,222.65,191.09,217.03
PRTK,2006-08-25,214.93,223.0,214.24,222.3
PRTK,2006-08-28,222.3,224.4,219.91,219.91
PRTK,2006-08-29,219.49,227.9,205.81,227.9
PRTK,2006-08-30,227.9,231.06,224.05,227.21
PRTK,2006-08-31,225.46,231.41,223.34,227.56
PRTK,2006-09-01,231.41,231.41,219.49,226.5
PRTK,2006-09-05,226.5,231.06,226.5,228.25
PRTK,2006-09-06,221.24,228.25,212.83,215.99
