ticker,date,open,high,low,close
QTT,2018-09-14,91.0,203.9,91.0,159.7
QTT,2018-09-17,172.2,173.5,94.0,94.1
QTT,2018-09-18,98.7,108.0,90.1,92.6
QTT,2018-09-19,94.5,101.8,93.2,94.9
QTT,2018-09-20,98.1,99.5,92.1,92.7
QTT,2018-09-21,94.9,95.3,85.5,85.6
QTT,2018-09-24,83.2,83.3,71.2,72.7
QTT,2018-09-25,74.0,77.2,70.8,71.2
QTT,2018-09-26,72.2,73.6,71.0,71.0
QTT,2018-09-27,70.7,73.0,65.5,72.9
QTT,2018-09-28,71.7,79.2,70.7,71.3
QTT,2018-10-01,72.4,72.8,67.5,67.5
QTT,2018-10-02,66.3,70.5,65.3,66.8
QTT,2018-10-03,67.6,70.7,65.6,66.3
QTT,2018-10-04,65.9,68.9,65.8,66.9
QTT,2018-10-05,67.5,74.8,65.5,73.0
QTT,2018-10-08,71.5,79.7,70.5,74.0
QTT,2018-10-09,76.9,77.0,69.5,73.6
QTT,2018-10-10,76.5,77.7,70.3,70.5
QTT,2018-10-11,70.3,73.0,70.3,72.3
QTT,2018-10-12,74.0,75.3,70.6,72.0
QTT,2018-10-15,71.8,75.5,71.3,74.0
QTT,2018-10-16,74.3,81.8,74.0,80.1
QTT,2018-10-17,80.8,83.0,77.5,80.6
QTT,2018-10-18,78.5,80.0,76.8,78.0
QTT,2018-10-19,79.0,79.8,72.2,72.7
QTT,2018-10-22,75.1,75.7,72.7,73.7
QTT,2018-10-23,71.2,71.2,67.6,68.9
QTT,2018-10-24,70.0,70.0,62.8,64.3
QTT,2018-10-25,64.7,66.1,62.7,64.8
QTT,2018-10-26,63.9,64.0,59.5,61.0
QTT,2018-10-29,61.5,62.3,51.1,52.6
QTT,2018-10-30,52.1,54.0,50.9,52.0
QTT,2018-10-31,52.9,55.9,52.8,54.4
QTT,2018-11-01,54.4,61.4,54.4,59.9
QTT,2018-11-02,60.5,62.4,58.0,59.3
QTT,2018-11-05,58.8,60.9,58.0,60.2
QTT,2018-11-06,60.0,61.6,57.5,58.9
QTT,2018-11-07,59.8,59.8,57.3,59.3
QTT,2018-11-08,58.8,61.3,58.5,59.6
QTT,2018-11-09,58.5,60.0,58.1,59.6
QTT,2018-11-12,53.9,54.3,51.0,51.9
QTT,2018-11-13,52.3,54.5,50.0,52.2
QTT,2018-11-14,54.0,54.8,51.1,53.9
QTT,2018-11-15,53.8,56.9,53.2,55.5
QTT,2018-11-16,54.5,55.7,53.6,53.8
QTT,2018-11-19,53.7,54.7,49.1,51.1
QTT,2018-11-20,50.0,50.7,45.9,46.5
QTT,2018-11-21,48.3,49.7,47.5,47.6
QTT,2018-11-23,47.7,48.1,45.2,45.3
QTT,2018-11-26,48.6,48.8,46.1,46.6
QTT,2018-11-27,46.5,48.0,46.2,47.5
QTT,2018-11-28,47.4,47.4,45.1,46.4
QTT,2018-11-29,46.2,48.1,45.0,45.6
QTT,2018-11-30,45.3,45.9,44.0,44.9
QTT,2018-12-03,46.5,46.9,43.7,43.9
QTT,2018-12-04,43.6,46.4,40.0,45.3
QTT,2018-12-06,43.9,45.8,43.4,44.7
QTT,2018-12-07,44.6,45.1,40.4,43.1
QTT,2018-12-10,41.0,45.1,41.0,43.7
QTT,2018-12-11,43.8,44.3,40.1,41.5
QTT,2018-12-12,42.7,45.8,41.7,45.0
QTT,2018-12-13,45.6,53.5,45.6,52.2
QTT,2018-12-14,50.2,51.0,48.3,51.0
QTT,2018-12-17,49.6,55.0,49.6,51.0
QTT,2018-12-18,51.8,54.1,51.8,53.2
QTT,2018-12-19,53.7,57.0,53.0,54.1
QTT,2018-12-20,54.0,54.1,51.2,53.1
QTT,2018-12-21,52.6,53.0,50.3,51.1
QTT,2018-12-24,50.3,52.5,49.7,50.8
QTT,2018-12-26,50.8,63.8,50.8,61.2
QTT,2018-12-27,59.6,60.8,57.8,60.0
QTT,2018-12-28,60.4,67.6,60.2,61.1
QTT,2018-12-31,63.2,65.3,61.0,63.5
QTT,2019-01-02,61.8,72.2,61.8,70.1
QTT,2019-01-03,66.2,71.5,65.6,69.8
QTT,2019-01-04,72.0,75.6,71.2,74.0
QTT,2019-01-07,72.9,79.9,72.8,79.0
QTT,2019-01-08,78.2,85.6,78.1,85.3
QTT,2019-01-09,86.0,91.0,82.0,89.5
QTT,2019-01-10,89.1,97.8,85.0,95.0
QTT,2019-01-11,93.3,94.5,89.6,90.1
QTT,2019-01-14,87.0,91.3,82.1,85.6
QTT,2019-01-15,85.9,96.5,85.9,90.6
QTT,2019-01-16,91.5,94.6,72.7,75.5
QTT,2019-01-17,76.5,86.9,75.7,83.9
QTT,2019-01-18,81.0,86.1,75.0,84.8
QTT,2019-01-22,82.4,83.9,80.0,81.7
QTT,2019-01-23,80.9,88.0,80.3,83.7
QTT,2019-01-24,83.2,84.9,81.1,82.1
QTT,2019-01-25,83.9,93.1,82.2,91.5
QTT,2019-01-28,89.5,91.8,87.1,88.6
