ticker,date,open,high,low,close
QUOT,2014-03-07,27.15,33.0,27.1,30.0
QUOT,2014-03-10,30.8,30.97,29.79,30.0
QUOT,2014-03-11,29.87,29.87,27.77,27.8
QUOT,2014-03-12,27.15,29.66,25.75,29.52
QUOT,2014-03-13,29.16,29.98,26.7,26.95
QUOT,2014-03-14,26.9,27.27,26.35,26.55
QUOT,2014-03-17,26.78,30.25,26.65,30.0
QUOT,2014-03-18,29.72,30.49,28.71,29.43
QUOT,2014-03-19,29.28,29.43,26.85,27.1
QUOT,2014-03-20,27.1,28.0,26.83,27.42
QUOT,2014-03-21,27.37,28.19,24.68,26.17
QUOT,2014-03-24,26.0,26.29,22.71,23.01
QUOT,2014-03-25,23.13,26.22,23.13,25.76
QUOT,2014-03-26,25.89,26.39,24.51,24.85
QUOT,2014-03-27,24.77,25.68,23.3,25.53
QUOT,2014-03-28,25.46,25.6,24.71,25.37
QUOT,2014-03-31,25.72,25.88,24.53,24.65
QUOT,2014-04-01,24.46,24.69,23.66,24.09
QUOT,2014-04-02,24.11,24.73,23.97,24.06
QUOT,2014-04-03,24.15,24.45,22.26,22.65
QUOT,2014-04-04,23.05,23.13,19.92,20.6
QUOT,2014-04-07,20.24,20.68,20.0,20.41
QUOT,2014-04-08,20.45,21.1,20.25,20.6
QUOT,2014-04-09,20.99,21.31,20.67,21.18
QUOT,2014-04-10,21.1,21.46,20.61,21.01
QUOT,2014-04-11,20.8,20.8,19.7,19.86
QUOT,2014-04-14,20.17,20.5,20.05,20.27
QUOT,2014-04-15,20.49,20.49,18.51,20.3
QUOT,2014-04-16,20.48,20.5,19.14,19.55
QUOT,2014-04-17,19.4,19.64,18.75,19.32
QUOT,2014-04-21,19.33,19.33,18.43,18.88
QUOT,2014-04-22,18.9,20.35,18.75,20.04
QUOT,2014-04-23,20.04,21.34,19.82,20.81
QUOT,2014-04-24,20.95,20.95,18.51,18.65
QUOT,2014-04-25,18.57,18.72,17.09,17.51
QUOT,2014-04-28,17.58,17.69,15.84,17.41
QUOT,2014-04-29,17.49,17.5,16.72,17.32
QUOT,2014-04-30,17.18,17.32,16.7,16.82
