ticker,date,open,high,low,close
REFI,2021-12-08,16.4,17.0,15.8,16.49
REFI,2021-12-09,16.03,16.59,16.0,16.0
REFI,2021-12-10,16.18,16.3,16.1,16.25
REFI,2021-12-13,16.54,16.55,15.95,16.29
REFI,2021-12-14,16.55,16.55,15.98,16.06
REFI,2021-12-15,16.04,16.37,15.84,16.0
REFI,2021-12-16,16.04,16.19,15.8,16.0
REFI,2021-12-17,16.12,16.15,15.5,16.15
REFI,2021-12-20,15.88,16.15,15.87,16.01
REFI,2021-12-21,16.83,17.0,15.95,16.02
REFI,2021-12-22,16.01,16.1,15.99,16.0
REFI,2021-12-23,16.01,16.11,15.99,16.02
REFI,2021-12-27,16.15,16.15,16.0,16.06
REFI,2021-12-28,16.02,16.07,16.02,16.04
REFI,2021-12-29,16.03,16.18,16.0,16.06
REFI,2021-12-30,16.09,16.18,16.05,16.06
REFI,2021-12-31,16.78,16.78,16.2,16.65
REFI,2022-01-03,17.48,17.48,16.7,16.95
REFI,2022-01-04,17.53,17.53,16.8,17.12
REFI,2022-01-05,17.01,17.2,16.91,17.1
REFI,2022-01-06,17.01,17.49,17.01,17.25
REFI,2022-01-07,17.27,17.5,17.27,17.33
REFI,2022-01-10,17.63,17.83,17.1,17.53
REFI,2022-01-11,17.6,17.98,17.53,17.83
REFI,2022-01-12,18.11,18.15,17.65,17.76
REFI,2022-01-13,18.0,18.09,17.75,18.03
REFI,2022-01-14,18.25,18.5,17.8,18.28
REFI,2022-01-18,18.73,18.73,18.24,18.45
REFI,2022-01-19,20.29,20.29,18.5,18.76
REFI,2022-01-20,19.34,20.22,18.61,19.51
REFI,2022-01-21,19.78,19.88,18.31,18.95
REFI,2022-01-24,18.95,19.4,18.32,18.99
REFI,2022-01-25,18.74,19.0,18.62,18.78
REFI,2022-01-26,18.6,19.18,18.6,18.69
REFI,2022-01-27,18.61,18.99,18.31,18.5
REFI,2022-01-28,18.84,18.98,18.5,18.93
REFI,2022-01-31,18.96,19.04,18.63,19.0
REFI,2022-02-01,19.05,19.14,18.61,19.0
REFI,2022-02-02,19.21,19.5,19.0,19.11
REFI,2022-02-03,19.71,19.8,18.9,19.36
REFI,2022-02-04,19.15,19.63,18.9,19.0
REFI,2022-02-07,19.13,19.64,18.8,19.18
REFI,2022-02-08,19.08,19.7,18.8,18.98
REFI,2022-02-09,19.04,19.6,18.76,18.99
REFI,2022-02-10,18.79,19.35,18.76,19.15
REFI,2022-02-11,19.13,19.4,18.99,19.39
REFI,2022-02-14,19.26,19.3,18.52,18.73
REFI,2022-02-15,18.58,19.29,18.52,18.84
REFI,2022-02-16,19.0,19.22,18.79,19.13
REFI,2022-02-17,19.0,19.27,18.88,18.99
