ticker,date,open,high,low,close
RMR,2015-12-14,13.0,13.0,11.89,11.89
RMR,2015-12-15,13.0,16.05,12.5,13.0
RMR,2015-12-16,14.7,15.04,13.01,13.28
RMR,2015-12-17,13.03,14.58,13.01,14.44
RMR,2015-12-18,14.49,17.65,14.49,16.76
RMR,2015-12-21,16.1,16.7,14.0,14.05
RMR,2015-12-22,13.63,14.07,13.2,13.32
RMR,2015-12-23,13.0,13.91,13.0,13.43
RMR,2015-12-24,13.4,13.62,13.4,13.45
RMR,2015-12-28,13.45,14.89,13.4,13.98
RMR,2015-12-29,13.95,14.47,13.9,14.4
RMR,2015-12-30,14.32,14.63,14.3,14.44
RMR,2015-12-31,14.44,14.71,14.08,14.41
RMR,2016-01-04,14.22,15.89,14.0,15.67
RMR,2016-01-05,15.85,16.29,15.38,15.82
RMR,2016-01-06,15.8,16.22,15.7,15.97
RMR,2016-01-07,15.95,16.25,15.51,15.71
RMR,2016-01-08,15.69,16.06,15.54,15.88
RMR,2016-01-11,15.94,16.7,15.94,16.43
RMR,2016-01-12,16.53,17.43,16.53,17.19
RMR,2016-01-13,17.14,17.87,17.14,17.81
RMR,2016-01-14,18.08,20.25,17.85,20.11
RMR,2016-01-15,19.59,19.85,18.45,19.2
RMR,2016-01-19,19.33,19.46,18.57,19.37
RMR,2016-01-20,19.36,19.4,17.45,18.99
RMR,2016-01-21,18.99,19.44,18.52,19.02
RMR,2016-01-22,19.2,21.58,19.0,21.51
RMR,2016-01-25,21.51,22.0,20.88,21.63
RMR,2016-01-26,22.07,22.75,21.89,22.42
RMR,2016-01-27,22.51,22.51,21.01,21.02
RMR,2016-01-28,20.95,20.95,20.02,20.62
RMR,2016-01-29,20.63,20.95,20.11,20.85
RMR,2016-02-01,20.76,20.76,19.77,19.94
RMR,2016-02-02,19.79,19.8,18.7,19.0
RMR,2016-02-03,18.93,19.88,18.75,19.77
RMR,2016-02-04,19.79,21.34,19.79,21.26
RMR,2016-02-05,21.31,21.79,21.31,21.75
RMR,2016-02-08,21.82,21.94,21.5,21.7
RMR,2016-02-09,21.55,22.0,21.27,21.42
RMR,2016-02-10,21.4,21.64,20.99,21.32
RMR,2016-02-11,21.04,21.56,20.76,20.85
RMR,2016-02-12,20.05,21.25,20.05,20.39
RMR,2016-02-16,20.41,20.8,20.31,20.69
RMR,2016-02-17,20.92,21.94,20.92,21.79
RMR,2016-02-18,21.9,22.38,21.78,22.11
RMR,2016-02-19,22.13,23.04,22.0,23.02
RMR,2016-02-22,23.05,24.53,23.05,23.74
RMR,2016-02-23,23.85,24.05,23.6,23.66
RMR,2016-02-24,23.6,23.8,23.0,23.07
RMR,2016-02-25,23.2,23.5,22.9,23.19
RMR,2016-02-26,23.09,23.17,23.0,23.09
RMR,2016-02-29,23.0,23.08,22.55,22.56
RMR,2016-03-01,22.53,23.2,22.5,23.18
RMR,2016-03-02,23.24,23.47,23.12,23.34
RMR,2016-03-03,23.27,24.0,23.27,23.95
RMR,2016-03-04,24.0,24.0,23.36,23.71
RMR,2016-03-07,23.55,23.55,22.56,23.07
RMR,2016-03-08,23.35,23.49,23.23,23.27
RMR,2016-03-09,23.22,23.3,23.12,23.27
RMR,2016-03-10,23.31,23.85,23.17,23.6
RMR,2016-03-11,23.7,23.92,23.6,23.9
RMR,2016-03-14,23.95,24.0,23.76,23.88
RMR,2016-03-15,23.77,23.9,23.64,23.85
RMR,2016-03-16,23.72,24.0,23.72,23.95
RMR,2016-03-17,23.91,24.92,23.82,24.87
RMR,2016-03-18,24.91,25.0,24.56,24.88
RMR,2016-03-21,25.0,25.0,24.13,24.63
RMR,2016-03-22,24.5,24.82,24.22,24.46
RMR,2016-03-23,24.35,24.48,23.9,24.37
RMR,2016-03-24,24.29,24.42,24.06,24.36
RMR,2016-03-28,24.49,24.93,24.35,24.79
RMR,2016-03-29,24.69,25.12,24.42,24.98
RMR,2016-03-30,25.05,25.91,24.86,25.04
RMR,2016-03-31,25.13,25.13,24.91,25.01
RMR,2016-04-01,24.76,25.06,24.04,24.04
RMR,2016-04-04,24.0,24.64,23.88,24.06
RMR,2016-04-05,23.89,24.43,23.88,24.39
RMR,2016-04-06,24.33,24.68,24.02,24.32
RMR,2016-04-07,24.16,24.33,23.99,24.16
RMR,2016-04-08,24.17,24.19,23.9,24.13
RMR,2016-04-11,24.06,25.01,24.0,24.9
RMR,2016-04-12,24.82,24.9,24.66,24.79
RMR,2016-04-13,24.8,25.66,24.7,25.08
RMR,2016-04-14,25.2,25.38,25.02,25.25
