ticker,date,open,high,low,close
RTO,1996-11-18,17.61,17.75,17.61,17.61
RTO,1996-11-19,17.59,17.81,17.44,17.59
RTO,1996-11-20,17.79,17.81,17.25,17.79
RTO,1996-11-21,17.89,17.89,17.89,17.89
RTO,1996-11-22,17.91,17.91,17.91,17.91
RTO,1996-11-25,18.12,18.19,18.12,18.12
RTO,1996-11-26,18.62,18.62,18.06,18.62
RTO,1996-11-27,18.47,18.47,18.44,18.47
RTO,1996-11-29,18.56,18.59,18.56,18.56
RTO,1996-12-02,18.5,18.62,18.5,18.5
RTO,1996-12-03,18.41,18.62,18.12,18.41
RTO,1996-12-04,18.5,18.62,18.25,18.5
RTO,1996-12-05,17.88,18.25,17.88,17.88
RTO,1996-12-06,18.06,18.38,18.06,18.06
RTO,1996-12-09,18.25,18.31,18.25,18.25
RTO,1996-12-10,18.69,18.69,18.44,18.69
RTO,1996-12-11,18.81,18.88,18.59,18.81
RTO,1996-12-12,18.69,18.69,18.56,18.69
RTO,1996-12-13,18.69,18.69,18.69,18.69
RTO,1996-12-16,18.66,18.66,18.56,18.66
RTO,1996-12-17,18.69,18.69,18.69,18.69
RTO,1996-12-18,18.5,18.62,18.38,18.5
RTO,1996-12-19,18.5,18.5,18.28,18.5
RTO,1996-12-20,18.47,18.66,18.44,18.47
RTO,1996-12-23,18.75,18.75,18.44,18.75
RTO,1996-12-24,18.62,18.62,18.62,18.62
RTO,1996-12-26,18.62,18.62,18.62,18.62
RTO,1996-12-27,18.88,18.88,18.69,18.88
RTO,1996-12-30,18.91,18.94,18.75,18.91
RTO,1996-12-31,19.06,19.06,19.0,19.06
RTO,1997-01-02,18.62,18.81,18.5,18.62
RTO,1997-01-03,18.59,18.62,18.44,18.59
RTO,1997-01-06,18.5,18.62,18.28,18.5
RTO,1997-01-07,18.34,18.44,18.25,18.34
RTO,1997-01-08,18.38,18.5,18.31,18.38
RTO,1997-01-09,18.62,18.62,18.44,18.62
RTO,1997-01-10,18.19,18.44,18.19,18.19
RTO,1997-01-13,18.59,18.62,18.38,18.59
RTO,1997-01-14,18.72,18.78,18.62,18.72
RTO,1997-01-15,18.62,18.62,18.12,18.62
RTO,1997-01-16,18.5,18.81,18.38,18.5
RTO,1997-01-17,18.44,18.44,18.38,18.44
RTO,1997-01-20,18.19,18.19,18.12,18.19
RTO,1997-01-21,18.06,18.25,18.06,18.06
RTO,1997-01-22,18.38,18.5,18.34,18.38
RTO,1997-01-23,18.44,18.62,18.12,18.44
RTO,1997-01-24,18.38,18.5,18.12,18.38
RTO,1997-01-27,18.72,18.72,18.72,18.72
RTO,1997-01-28,19.09,19.09,18.97,19.09
RTO,1997-01-29,18.81,18.88,18.69,18.81
RTO,1997-01-30,18.81,18.81,18.75,18.81
RTO,1997-01-31,18.75,18.75,18.41,18.75
RTO,1997-02-03,18.66,18.81,18.66,18.66
RTO,1997-02-04,19.09,19.25,18.84,19.09
RTO,1997-02-05,19.38,19.5,19.12,19.38
RTO,1997-02-06,19.09,19.09,19.09,19.09
RTO,1997-02-07,19.41,19.41,19.41,19.41
RTO,1997-02-10,19.5,19.75,19.5,19.5
RTO,1997-02-11,20.28,20.28,20.12,20.28
RTO,1997-02-12,20.44,20.44,20.38,20.44
RTO,1997-02-13,20.22,20.22,20.06,20.22
RTO,1997-02-14,19.47,20.06,19.47,19.47
RTO,1997-02-18,19.75,19.75,19.25,19.75
RTO,1997-02-19,19.5,19.62,18.88,19.5
RTO,1997-02-20,19.47,19.62,19.0,19.47
RTO,1997-02-21,19.16,19.16,18.66,19.16
RTO,1997-02-24,19.28,19.28,18.92,19.28
RTO,1997-02-25,19.56,19.59,19.12,19.56
RTO,1997-02-26,19.53,19.53,19.38,19.53
RTO,1997-02-27,19.31,19.38,19.31,19.31
RTO,1997-02-28,18.81,18.84,18.81,18.81
RTO,1997-03-03,18.62,18.62,18.19,18.62
RTO,1997-03-04,18.5,18.69,18.5,18.5
RTO,1997-03-05,18.62,18.62,18.12,18.62
RTO,1997-03-06,18.38,18.81,18.38,18.38
RTO,1997-03-07,18.22,18.62,18.22,18.22
RTO,1997-03-10,18.44,18.5,18.0,18.44
RTO,1997-03-11,18.75,18.81,18.38,18.75
RTO,1997-03-12,17.93,18.52,17.9,17.93
RTO,1997-03-13,16.44,16.62,16.25,16.44
RTO,1997-03-14,16.56,16.56,16.5,16.56
RTO,1997-03-17,16.69,16.69,16.31,16.69
RTO,1997-03-18,16.41,16.55,16.31,16.41
RTO,1997-03-19,16.44,16.5,16.28,16.44
RTO,1997-03-20,16.25,16.25,15.89,16.25
RTO,1997-03-21,16.53,16.75,16.38,16.53
RTO,1997-03-24,16.97,16.97,16.97,16.97
RTO,1997-03-25,16.97,17.31,16.84,16.97
RTO,1997-03-26,17.56,17.56,17.25,17.56
RTO,1997-03-27,17.21,17.5,17.03,17.21
RTO,1997-03-31,17.21,17.21,17.21,17.21
RTO,1997-04-01,16.59,16.81,16.59,16.59
RTO,1997-04-02,16.56,16.56,16.56,16.56
