ticker,date,open,high,low,close
RYN,1994-02-17,6.25,6.25,5.85,5.85
RYN,1994-02-18,5.8,5.8,5.69,5.73
RYN,1994-02-22,5.78,6.04,5.78,6.04
RYN,1994-02-23,6.06,6.2,6.06,6.15
RYN,1994-02-24,6.15,6.15,6.01,6.15
RYN,1994-02-25,6.13,6.15,6.11,6.15
RYN,1994-02-28,6.2,6.27,6.2,6.2
RYN,1994-03-01,6.22,6.25,5.97,6.2
RYN,1994-03-02,6.06,6.06,5.9,5.97
RYN,1994-03-03,5.97,6.41,5.97,6.32
RYN,1994-03-04,6.25,6.52,6.13,6.32
RYN,1994-03-07,6.32,6.32,6.15,6.15
RYN,1994-03-08,6.15,6.15,6.04,6.06
RYN,1994-03-09,6.11,6.22,6.11,6.2
RYN,1994-03-10,6.18,6.25,6.11,6.18
RYN,1994-03-11,6.15,6.18,6.08,6.13
RYN,1994-03-14,6.13,6.13,5.97,5.99
RYN,1994-03-15,5.97,6.04,5.9,6.04
RYN,1994-03-16,5.83,6.11,5.8,5.94
RYN,1994-03-17,5.97,5.97,5.85,5.9
RYN,1994-03-18,5.9,5.9,5.83,5.85
RYN,1994-03-21,5.8,5.87,5.73,5.83
RYN,1994-03-22,5.8,5.87,5.69,5.78
RYN,1994-03-23,5.76,5.85,5.76,5.8
RYN,1994-03-24,5.78,5.8,5.69,5.73
RYN,1994-03-25,5.71,5.73,5.62,5.62
RYN,1994-03-28,5.64,5.66,5.41,5.48
RYN,1994-03-29,5.5,5.5,5.17,5.2
RYN,1994-03-30,5.2,5.31,5.17,5.24
RYN,1994-03-31,5.29,5.31,5.13,5.22
RYN,1994-04-04,5.13,5.15,5.01,5.15
RYN,1994-04-05,5.24,5.24,5.15,5.24
RYN,1994-04-06,5.24,5.45,5.2,5.43
RYN,1994-04-07,5.43,5.52,5.38,5.48
RYN,1994-04-08,5.48,5.48,5.41,5.41
RYN,1994-04-11,5.45,5.55,5.43,5.55
RYN,1994-04-12,5.55,5.64,5.52,5.52
RYN,1994-04-13,5.5,5.55,5.38,5.41
RYN,1994-04-14,5.36,5.41,5.31,5.36
RYN,1994-04-15,5.29,5.36,5.29,5.34
RYN,1994-04-18,5.34,5.36,5.29,5.31
RYN,1994-04-19,5.29,5.31,5.24,5.27
RYN,1994-04-20,5.34,5.38,5.13,5.27
RYN,1994-04-21,5.31,5.31,5.22,5.22
RYN,1994-04-22,5.17,5.22,5.15,5.17
RYN,1994-04-25,5.22,5.24,5.08,5.24
RYN,1994-04-26,5.22,5.24,5.2,5.22
RYN,1994-04-28,5.24,5.27,5.17,5.22
RYN,1994-04-29,5.22,5.31,5.22,5.27
RYN,1994-05-02,5.24,5.24,5.2,5.22
RYN,1994-05-03,5.17,5.22,5.06,5.22
RYN,1994-05-04,5.22,5.24,5.08,5.08
RYN,1994-05-05,5.13,5.15,5.08,5.1
RYN,1994-05-06,5.08,5.13,5.03,5.1
RYN,1994-05-09,5.08,5.08,5.03,5.06
RYN,1994-05-10,5.1,5.13,5.06,5.13
RYN,1994-05-11,5.1,5.1,5.03,5.03
RYN,1994-05-12,5.01,5.08,5.01,5.01
RYN,1994-05-13,5.06,5.1,5.01,5.08
RYN,1994-05-16,5.06,5.08,4.99,5.01
RYN,1994-05-17,5.06,5.08,5.01,5.01
RYN,1994-05-18,5.03,5.06,5.01,5.06
RYN,1994-05-19,5.03,5.22,5.03,5.2
RYN,1994-05-20,5.29,5.41,5.27,5.38
RYN,1994-05-23,5.38,5.45,5.24,5.27
RYN,1994-05-24,5.27,5.29,5.22,5.27
RYN,1994-05-25,5.22,5.27,5.17,5.22
RYN,1994-05-26,5.27,5.36,5.27,5.29
RYN,1994-05-27,5.24,5.29,5.15,5.27
RYN,1994-05-31,5.2,5.29,5.17,5.24
RYN,1994-06-01,5.2,5.24,5.13,5.15
RYN,1994-06-02,5.15,5.29,5.15,5.22
RYN,1994-06-03,5.2,5.45,5.2,5.41
RYN,1994-06-06,5.36,5.45,5.36,5.38
RYN,1994-06-07,5.38,5.43,5.38,5.41
RYN,1994-06-08,5.45,5.45,5.36,5.36
RYN,1994-06-09,5.38,5.48,5.38,5.41
RYN,1994-06-10,5.48,5.69,5.48,5.59
RYN,1994-06-13,5.59,5.64,5.57,5.59
RYN,1994-06-14,5.59,5.69,5.59,5.62
RYN,1994-06-15,5.57,5.59,5.52,5.52
RYN,1994-06-16,5.5,5.64,5.5,5.59
RYN,1994-06-17,5.59,5.64,5.59,5.62
RYN,1994-06-20,5.57,5.57,5.43,5.48
RYN,1994-06-21,5.43,5.45,5.17,5.22
RYN,1994-06-22,5.22,5.29,5.2,5.24
RYN,1994-06-23,5.15,5.22,5.15,5.2
RYN,1994-06-24,5.17,5.2,5.1,5.15
RYN,1994-06-27,5.13,5.2,5.1,5.17
RYN,1994-06-28,5.13,5.22,5.1,5.22
RYN,1994-06-29,5.31,5.34,5.31,5.34
RYN,1994-06-30,5.31,5.38,5.27,5.38
RYN,1994-07-01,5.36,5.43,5.31,5.34
RYN,1994-07-05,5.31,5.38,5.31,5.38
RYN,1994-07-06,5.34,5.36,5.31,5.36
RYN,1994-07-07,5.34,5.36,5.29,5.31
RYN,1994-07-08,5.31,5.36,5.31,5.31
RYN,1994-07-11,5.31,5.38,5.31,5.36
RYN,1994-07-12,5.34,5.43,5.34,5.41
RYN,1994-07-13,5.41,5.55,5.41,5.55
RYN,1994-07-14,5.52,5.62,5.52,5.55
RYN,1994-07-15,5.52,5.59,5.52,5.52
RYN,1994-07-18,5.64,5.64,5.52,5.62
RYN,1994-07-19,5.66,5.78,5.66,5.69
RYN,1994-07-20,5.69,5.78,5.69,5.78
RYN,1994-07-21,5.78,5.92,5.78,5.9
RYN,1994-07-22,5.92,5.94,5.9,5.9
RYN,1994-07-25,5.9,5.9,5.78,5.8
RYN,1994-07-26,5.8,5.83,5.76,5.8
RYN,1994-07-27,5.78,5.83,5.73,5.78
RYN,1994-07-28,5.78,5.78,5.71,5.71
RYN,1994-07-29,5.69,5.76,5.64,5.76
RYN,1994-08-01,5.73,5.87,5.73,5.87
RYN,1994-08-02,5.92,5.99,5.87,5.97
RYN,1994-08-03,5.97,6.01,5.92,5.94
RYN,1994-08-04,5.97,5.97,5.78,5.87
RYN,1994-08-05,5.87,5.92,5.85,5.9
RYN,1994-08-08,5.94,5.99,5.92,5.99
RYN,1994-08-09,5.99,6.04,5.92,5.92
RYN,1994-08-10,5.9,5.92,5.83,5.85
RYN,1994-08-11,5.8,5.8,5.5,5.62
RYN,1994-08-12,5.62,5.69,5.62,5.62
RYN,1994-08-15,5.66,5.69,5.64,5.69
RYN,1994-08-16,5.73,5.76,5.73,5.76
RYN,1994-08-17,5.76,5.76,5.62,5.69
RYN,1994-08-18,5.64,5.71,5.64,5.71
RYN,1994-08-19,5.69,5.73,5.69,5.71
RYN,1994-08-22,5.69,5.73,5.66,5.66
RYN,1994-08-23,5.66,5.71,5.66,5.66
RYN,1994-08-24,5.66,5.73,5.66,5.73
RYN,1994-08-25,5.76,5.85,5.69,5.78
RYN,1994-08-26,6.06,6.06,5.97,5.99
RYN,1994-08-29,5.99,6.01,5.94,5.94
RYN,1994-08-30,5.92,6.01,5.9,6.01
RYN,1994-08-31,5.97,6.2,5.97,6.2
RYN,1994-09-01,6.25,6.45,6.25,6.41
RYN,1994-09-02,6.32,6.34,6.25,6.32
RYN,1994-09-06,6.25,6.32,6.22,6.29
RYN,1994-09-07,6.25,6.32,6.18,6.22
RYN,1994-09-08,6.22,6.25,6.18,6.19
RYN,1994-09-09,6.18,6.2,5.97,6.13
RYN,1994-09-12,6.08,6.15,6.01,6.04
