ticker,date,open,high,low,close
SAM,1995-11-21,26.88,32.12,26.88,28.0
SAM,1995-11-22,28.5,29.88,28.38,29.38
SAM,1995-11-24,29.5,32.75,29.5,32.5
SAM,1995-11-27,33.0,33.0,29.75,30.25
SAM,1995-11-28,30.0,30.0,29.0,29.25
SAM,1995-11-29,29.12,29.25,28.0,28.38
SAM,1995-11-30,28.12,28.25,25.62,25.62
SAM,1995-12-01,26.0,28.25,26.0,27.75
SAM,1995-12-04,27.88,27.88,26.5,27.0
SAM,1995-12-05,26.75,27.12,25.88,26.12
SAM,1995-12-06,26.0,26.5,25.0,25.25
SAM,1995-12-07,25.12,25.12,24.12,24.75
SAM,1995-12-08,25.0,25.88,25.0,25.62
SAM,1995-12-11,25.75,26.5,25.25,26.38
SAM,1995-12-12,26.12,26.38,25.75,26.12
SAM,1995-12-13,26.12,26.62,26.12,26.5
SAM,1995-12-14,26.88,27.12,25.5,25.62
SAM,1995-12-15,25.62,25.62,24.75,24.75
SAM,1995-12-18,25.0,25.0,22.75,23.88
SAM,1995-12-19,24.0,24.25,23.88,23.88
SAM,1995-12-20,24.12,24.12,22.75,23.5
SAM,1995-12-21,23.62,23.75,23.5,23.75
SAM,1995-12-22,23.75,24.0,22.25,22.62
SAM,1995-12-26,22.25,22.88,21.5,22.62
SAM,1995-12-27,22.75,23.75,22.75,23.38
SAM,1995-12-28,23.5,23.88,23.0,23.25
SAM,1995-12-29,23.0,23.75,22.0,23.75
SAM,1996-01-02,23.75,24.38,23.25,24.0
SAM,1996-01-03,24.0,25.5,24.0,24.75
SAM,1996-01-04,24.5,24.88,23.75,24.0
SAM,1996-01-05,23.88,24.25,23.88,24.0
SAM,1996-01-08,24.12,24.25,24.0,24.12
SAM,1996-01-09,24.25,24.75,24.0,24.12
SAM,1996-01-10,24.25,24.25,23.5,23.5
SAM,1996-01-11,23.25,24.0,23.25,23.75
SAM,1996-01-12,24.0,24.0,23.12,23.25
SAM,1996-01-15,23.12,23.38,22.0,22.12
SAM,1996-01-16,22.12,22.25,21.88,22.12
SAM,1996-01-17,22.0,22.5,21.88,21.88
SAM,1996-01-18,21.75,22.12,21.75,22.0
SAM,1996-01-19,22.25,23.0,21.88,22.25
SAM,1996-01-22,22.5,22.75,22.25,22.5
SAM,1996-01-23,22.25,22.38,21.5,21.62
SAM,1996-01-24,21.5,21.62,20.88,21.5
SAM,1996-01-25,21.5,21.88,21.25,21.25
SAM,1996-01-26,21.25,21.62,21.12,21.5
SAM,1996-01-29,21.5,21.62,21.0,21.12
