ticker,date,open,high,low,close
SBH,2006-11-13,7.0,7.5,7.0,7.5
SBH,2006-11-14,7.4,7.4,7.1,7.18
SBH,2006-11-15,7.28,7.3,6.96,7.23
SBH,2006-11-16,7.24,7.8,7.1,7.3
SBH,2006-11-17,7.35,8.3,7.35,7.86
SBH,2006-11-20,8.26,8.66,8.11,8.51
SBH,2006-11-21,8.75,9.06,8.55,8.75
SBH,2006-11-22,8.8,8.83,8.45,8.74
SBH,2006-11-24,8.75,8.98,8.65,8.65
SBH,2006-11-27,8.74,8.74,8.42,8.48
SBH,2006-11-28,8.38,8.59,8.31,8.51
SBH,2006-11-29,8.56,8.74,8.46,8.74
SBH,2006-11-30,8.72,9.4,8.71,9.26
SBH,2006-12-01,9.26,10.2,9.17,9.56
SBH,2006-12-04,9.65,9.75,9.51,9.57
SBH,2006-12-05,9.57,9.68,9.15,9.45
SBH,2006-12-06,9.3,9.99,9.1,9.97
SBH,2006-12-07,10.04,10.35,9.51,9.95
SBH,2006-12-08,10.0,10.3,9.71,9.97
SBH,2006-12-11,10.22,10.22,9.7,9.7
SBH,2006-12-12,9.7,10.13,9.5,10.02
SBH,2006-12-13,10.09,10.19,9.85,9.95
SBH,2006-12-14,10.05,10.05,9.88,9.89
SBH,2006-12-15,9.92,10.05,9.7,9.7
SBH,2006-12-18,9.65,9.77,9.14,9.26
SBH,2006-12-19,9.26,9.49,9.06,9.26
SBH,2006-12-20,7.99,8.4,7.47,8.05
SBH,2006-12-21,7.95,8.01,7.7,7.76
SBH,2006-12-22,7.76,7.91,7.7,7.75
SBH,2006-12-26,7.8,7.84,7.7,7.8
SBH,2006-12-27,7.8,7.81,7.6,7.79
SBH,2006-12-28,7.89,8.0,7.72,7.99
SBH,2006-12-29,8.0,8.0,7.8,7.8
SBH,2007-01-03,8.4,8.45,7.71,7.76
SBH,2007-01-04,7.79,7.82,7.67,7.75
SBH,2007-01-05,7.72,7.72,7.5,7.59
SBH,2007-01-08,7.52,7.78,7.52,7.76
SBH,2007-01-09,7.78,7.78,7.51,7.57
SBH,2007-01-10,7.55,7.71,7.48,7.66
SBH,2007-01-11,7.64,7.8,7.56,7.75
SBH,2007-01-12,7.7,8.04,7.62,7.7
SBH,2007-01-16,7.72,8.0,7.72,7.9
SBH,2007-01-17,7.8,7.9,7.71,7.71
SBH,2007-01-18,7.72,7.78,7.62,7.68
SBH,2007-01-19,7.58,8.04,7.57,8.03
SBH,2007-01-22,8.0,8.0,7.76,7.88
SBH,2007-01-23,7.87,8.18,7.86,8.12
SBH,2007-01-24,8.09,8.61,7.95,8.4
SBH,2007-01-25,8.3,8.48,8.3,8.38
SBH,2007-01-26,8.35,8.52,8.33,8.38
SBH,2007-01-29,8.54,8.86,8.47,8.77
SBH,2007-01-30,8.85,8.85,8.53,8.61
SBH,2007-01-31,8.6,8.89,8.57,8.8
SBH,2007-02-01,8.81,8.94,8.66,8.84
SBH,2007-02-02,8.94,8.94,8.66,8.81
SBH,2007-02-05,8.83,8.94,8.74,8.89
SBH,2007-02-06,8.85,9.04,8.82,9.0
SBH,2007-02-07,9.0,9.43,8.9,9.4
SBH,2007-02-08,9.4,9.68,9.22,9.52
SBH,2007-02-09,9.5,9.62,9.37,9.45
SBH,2007-02-12,9.4,9.42,9.24,9.29
SBH,2007-02-13,9.2,9.3,9.15,9.27
SBH,2007-02-14,9.35,9.52,9.26,9.5
SBH,2007-02-15,9.55,9.55,9.36,9.44
SBH,2007-02-16,9.44,9.65,9.25,9.47
SBH,2007-02-20,9.37,9.45,9.2,9.25
SBH,2007-02-21,9.15,9.25,8.85,9.05
SBH,2007-02-22,9.25,9.37,9.11,9.12
SBH,2007-02-23,9.12,9.24,9.0,9.15
SBH,2007-02-26,9.19,9.33,9.02,9.14
SBH,2007-02-27,9.07,9.11,8.94,9.05
SBH,2007-02-28,9.01,9.43,8.96,9.05
SBH,2007-03-01,9.01,9.06,8.79,8.85
SBH,2007-03-02,8.83,8.93,8.7,8.78
SBH,2007-03-05,8.72,8.74,8.45,8.52
SBH,2007-03-06,8.8,9.24,8.61,9.21
SBH,2007-03-07,9.25,9.37,9.17,9.3
SBH,2007-03-08,9.3,9.52,9.29,9.52
SBH,2007-03-09,9.6,9.63,9.35,9.4
SBH,2007-03-12,9.32,9.8,9.31,9.59
SBH,2007-03-13,9.37,9.79,9.37,9.5
SBH,2007-03-14,9.54,9.72,9.34,9.59
SBH,2007-03-15,9.49,9.77,9.32,9.68
SBH,2007-03-16,9.62,9.66,9.32,9.41
SBH,2007-03-19,9.35,9.44,9.21,9.35
SBH,2007-03-20,9.3,9.3,9.0,9.11
SBH,2007-03-21,9.01,9.51,9.0,9.29
SBH,2007-03-22,9.19,9.42,9.11,9.28
SBH,2007-03-23,9.18,9.29,9.06,9.24
SBH,2007-03-26,9.14,9.25,9.01,9.03
SBH,2007-03-27,9.03,9.19,9.01,9.12
SBH,2007-03-28,9.0,9.15,8.91,9.0
SBH,2007-03-29,9.06,9.24,8.89,9.17
SBH,2007-03-30,9.07,9.25,9.07,9.19
SBH,2007-04-02,9.24,9.24,9.02,9.18
SBH,2007-04-03,9.08,9.3,8.96,9.09
SBH,2007-04-04,9.02,9.1,8.72,8.78
SBH,2007-04-05,8.78,9.12,8.73,9.05
SBH,2007-04-09,8.95,9.22,8.95,9.08
SBH,2007-04-10,9.1,9.23,9.02,9.14
SBH,2007-04-11,9.04,9.19,8.99,9.07
SBH,2007-04-12,9.05,9.14,8.98,9.06
SBH,2007-04-13,9.14,9.14,8.88,9.04
SBH,2007-04-16,9.02,9.08,8.87,8.93
SBH,2007-04-17,8.89,9.02,8.81,8.87
SBH,2007-04-18,8.86,8.94,8.8,8.92
SBH,2007-04-19,8.88,9.0,8.65,8.93
SBH,2007-04-20,9.02,9.35,8.95,9.3
SBH,2007-04-23,9.19,9.35,9.19,9.25
SBH,2007-04-24,9.22,9.47,9.21,9.38
SBH,2007-04-25,9.3,9.72,9.26,9.6
SBH,2007-04-26,9.6,9.72,9.48,9.66
SBH,2007-04-27,9.75,9.79,9.53,9.74
SBH,2007-04-30,9.7,9.88,9.69,9.82
SBH,2007-05-01,9.8,9.85,9.69,9.76
SBH,2007-05-02,9.76,9.91,9.67,9.9
SBH,2007-05-03,9.92,9.96,9.78,9.82
SBH,2007-05-04,9.88,9.89,9.72,9.82
SBH,2007-05-07,9.88,9.89,9.39,9.44
SBH,2007-05-08,9.49,9.55,9.26,9.48
SBH,2007-05-09,9.5,9.75,9.31,9.75
SBH,2007-05-10,9.32,9.65,9.32,9.48
SBH,2007-05-11,9.54,9.57,9.35,9.46
SBH,2007-05-14,9.56,9.59,9.15,9.29
SBH,2007-05-15,9.25,9.34,9.02,9.07
SBH,2007-05-16,9.02,9.13,9.0,9.06
SBH,2007-05-17,9.08,9.3,8.92,8.97
SBH,2007-05-18,8.95,8.95,8.72,8.86
SBH,2007-05-21,8.93,8.99,8.8,8.99
SBH,2007-05-22,8.98,9.04,8.85,8.99
SBH,2007-05-23,9.0,9.19,9.0,9.09
SBH,2007-05-24,9.15,9.23,9.09,9.15
SBH,2007-05-25,9.23,9.3,9.14,9.22
SBH,2007-05-29,9.22,9.25,9.17,9.23
SBH,2007-05-30,9.22,9.31,9.16,9.25
SBH,2007-05-31,9.31,9.31,9.11,9.17
SBH,2007-06-01,9.23,9.34,9.08,9.15
SBH,2007-06-04,9.1,9.24,9.09,9.15
SBH,2007-06-05,9.1,9.15,9.0,9.01
SBH,2007-06-06,9.02,9.02,8.71,8.81
SBH,2007-06-07,8.81,9.08,8.8,9.0
SBH,2007-06-08,9.0,9.22,8.95,9.19
SBH,2007-06-11,9.19,9.31,9.15,9.3
SBH,2007-06-12,9.23,9.25,9.1,9.18
SBH,2007-06-13,9.17,9.3,9.13,9.27
SBH,2007-06-14,9.36,9.6,9.25,9.54
SBH,2007-06-15,9.66,9.66,9.44,9.53
SBH,2007-06-18,9.48,9.65,9.43,9.53
SBH,2007-06-19,9.62,9.8,9.46,9.76
SBH,2007-06-20,9.8,9.95,9.72,9.72
SBH,2007-06-21,9.79,9.79,9.21,9.28
SBH,2007-06-22,9.18,9.48,8.92,8.92
SBH,2007-06-25,8.86,9.15,8.81,8.99
SBH,2007-06-26,9.06,9.15,8.9,9.05
SBH,2007-06-27,8.97,9.32,8.9,9.19
SBH,2007-06-28,9.22,9.32,8.97,9.1
SBH,2007-06-29,9.11,9.27,8.93,9.0
SBH,2007-07-02,9.07,9.15,9.01,9.05
SBH,2007-07-03,9.08,9.12,8.96,9.03
SBH,2007-07-05,9.01,9.28,8.99,9.19
SBH,2007-07-06,9.16,9.29,9.07,9.22
SBH,2007-07-09,9.24,9.25,8.97,8.97
SBH,2007-07-10,8.93,8.98,8.61,8.66
SBH,2007-07-11,8.66,8.9,8.6,8.86
SBH,2007-07-12,8.94,9.12,8.9,9.12
SBH,2007-07-13,9.07,9.35,9.06,9.34
SBH,2007-07-16,9.28,9.28,9.11,9.16
SBH,2007-07-17,9.17,9.23,9.0,9.07
SBH,2007-07-18,9.03,9.16,8.9,9.13
SBH,2007-07-19,9.21,9.27,9.04,9.23
SBH,2007-07-20,9.21,9.23,8.9,8.95
SBH,2007-07-23,8.9,8.97,8.83,8.83
SBH,2007-07-24,8.81,8.85,8.74,8.8
SBH,2007-07-25,8.98,8.99,8.65,8.81
SBH,2007-07-26,8.85,8.85,8.2,8.55
SBH,2007-07-27,8.52,8.52,8.06,8.22
SBH,2007-07-30,8.21,8.23,7.95,8.12
SBH,2007-07-31,8.13,8.31,7.97,8.03
SBH,2007-08-01,8.07,8.13,7.87,7.95
SBH,2007-08-02,7.98,8.06,7.88,8.0
SBH,2007-08-03,8.0,8.0,7.5,7.52
SBH,2007-08-06,7.59,8.2,7.43,8.18
SBH,2007-08-07,8.13,8.21,7.8,7.95
SBH,2007-08-08,8.05,8.45,8.0,8.44
SBH,2007-08-09,8.15,8.22,7.65,7.85
SBH,2007-08-10,7.79,8.22,7.12,8.0
SBH,2007-08-13,8.4,8.54,7.86,7.94
SBH,2007-08-14,7.99,8.0,7.7,7.76
SBH,2007-08-15,7.78,8.52,7.76,8.46
SBH,2007-08-16,8.46,9.02,8.05,8.99
SBH,2007-08-17,9.1,9.12,8.85,8.92
SBH,2007-08-20,8.93,9.02,8.48,8.53
SBH,2007-08-21,8.5,8.65,8.22,8.27
SBH,2007-08-22,8.37,8.54,8.27,8.48
SBH,2007-08-23,8.5,8.52,8.31,8.36
SBH,2007-08-24,8.33,8.54,8.32,8.49
SBH,2007-08-27,8.46,8.54,8.44,8.46
SBH,2007-08-28,8.5,8.54,8.12,8.19
SBH,2007-08-29,8.26,8.42,8.2,8.33
SBH,2007-08-30,8.28,8.64,8.24,8.49
SBH,2007-08-31,8.6,8.64,8.41,8.52
SBH,2007-09-04,8.6,8.63,8.53,8.57
SBH,2007-09-05,8.55,8.65,8.41,8.57
SBH,2007-09-06,8.56,8.6,8.37,8.51
SBH,2007-09-07,8.35,8.39,8.21,8.3
SBH,2007-09-10,8.32,8.35,8.0,8.06
SBH,2007-09-11,8.11,8.28,8.09,8.23
SBH,2007-09-12,8.21,8.4,8.18,8.33
SBH,2007-09-13,8.35,8.4,8.2,8.31
SBH,2007-09-14,8.28,8.38,8.15,8.33
SBH,2007-09-17,8.31,8.37,8.02,8.13
SBH,2007-09-18,8.16,8.82,8.16,8.79
SBH,2007-09-19,8.79,8.99,8.68,8.98
SBH,2007-09-20,8.98,8.99,8.55,8.58
SBH,2007-09-21,8.66,8.8,8.55,8.75
SBH,2007-09-24,8.73,8.88,8.52,8.58
SBH,2007-09-25,8.52,8.7,8.5,8.65
SBH,2007-09-26,8.66,8.86,8.62,8.68
SBH,2007-09-27,8.73,8.74,8.48,8.61
SBH,2007-09-28,8.59,8.67,8.4,8.45
SBH,2007-10-01,8.44,8.94,8.44,8.88
SBH,2007-10-02,8.87,9.03,8.84,9.0
SBH,2007-10-03,8.91,9.07,8.82,9.02
SBH,2007-10-04,8.96,9.1,8.92,9.08
SBH,2007-10-05,9.16,9.75,9.1,9.63
SBH,2007-10-08,9.56,9.76,9.4,9.75
SBH,2007-10-09,9.75,9.75,9.59,9.69
SBH,2007-10-10,9.66,9.69,9.46,9.53
SBH,2007-10-11,9.56,9.66,9.15,9.21
SBH,2007-10-12,9.11,9.52,9.09,9.44
SBH,2007-10-15,9.42,9.44,8.86,8.95
SBH,2007-10-16,8.94,9.1,8.89,8.98
SBH,2007-10-17,9.09,9.14,8.65,8.74
SBH,2007-10-18,8.7,8.85,8.63,8.71
SBH,2007-10-19,8.7,8.71,8.5,8.52
SBH,2007-10-22,8.44,8.68,8.4,8.57
SBH,2007-10-23,8.63,8.79,8.46,8.77
SBH,2007-10-24,8.69,8.82,8.42,8.8
SBH,2007-10-25,8.79,8.99,8.71,8.83
SBH,2007-10-26,8.88,9.38,8.84,9.38
SBH,2007-10-29,9.38,9.5,9.08,9.25
SBH,2007-10-30,9.23,9.28,9.0,9.08
SBH,2007-10-31,9.13,9.35,8.96,9.25
SBH,2007-11-01,9.02,9.19,8.73,8.9
SBH,2007-11-02,8.99,8.99,8.5,8.59
SBH,2007-11-05,8.43,8.77,8.41,8.65
SBH,2007-11-06,8.65,8.94,8.47,8.9
SBH,2007-11-07,8.77,8.77,8.38,8.51
SBH,2007-11-08,8.57,8.72,8.44,8.63
SBH,2007-11-09,8.5,8.63,8.48,8.54
SBH,2007-11-12,8.5,8.81,8.5,8.57
SBH,2007-11-13,8.63,8.97,8.63,8.93
SBH,2007-11-14,9.02,9.1,8.78,9.06
SBH,2007-11-15,9.0,9.21,8.91,9.17
SBH,2007-11-16,9.19,9.25,8.87,9.1
SBH,2007-11-19,8.98,8.98,8.2,8.34
SBH,2007-11-20,8.29,8.43,8.05,8.3
SBH,2007-11-21,8.21,8.41,8.1,8.29
SBH,2007-11-23,8.39,8.41,8.28,8.37
SBH,2007-11-26,8.4,8.4,7.8,7.84
SBH,2007-11-27,7.85,8.17,7.81,8.03
SBH,2007-11-28,8.15,8.18,7.86,8.05
SBH,2007-11-29,8.1,8.88,7.27,8.71
SBH,2007-11-30,8.8,9.51,8.8,9.11
SBH,2007-12-03,9.25,9.52,8.99,9.5
SBH,2007-12-04,9.43,9.79,9.33,9.68
SBH,2007-12-05,9.83,9.9,9.63,9.73
SBH,2007-12-06,9.69,9.9,9.69,9.81
SBH,2007-12-07,9.82,10.82,9.82,10.7
SBH,2007-12-10,10.83,10.83,10.17,10.24
SBH,2007-12-11,10.35,10.8,9.98,9.98
SBH,2007-12-12,10.42,10.49,10.15,10.44
SBH,2007-12-13,10.29,10.55,10.22,10.43
SBH,2007-12-14,10.24,10.34,9.98,9.98
SBH,2007-12-17,9.9,10.57,9.87,10.21
