ticker,date,open,high,low,close
SGH,2017-05-24,6.0,7.0,5.75,6.72
SGH,2017-05-25,6.93,7.16,6.68,6.75
SGH,2017-05-26,6.68,6.81,6.23,6.61
SGH,2017-05-30,6.6,6.63,6.14,6.49
SGH,2017-05-31,6.51,6.75,6.47,6.55
SGH,2017-06-01,6.54,7.0,6.54,6.72
SGH,2017-06-02,6.76,7.05,6.62,7.05
SGH,2017-06-05,7.03,8.62,7.03,8.0
SGH,2017-06-06,7.97,8.6,7.56,7.85
SGH,2017-06-07,7.9,8.27,7.9,7.97
SGH,2017-06-08,8.18,8.18,7.76,7.99
SGH,2017-06-09,7.91,8.1,7.57,7.87
SGH,2017-06-12,7.9,7.9,6.95,7.03
SGH,2017-06-13,7.1,7.3,6.82,7.26
SGH,2017-06-14,7.3,7.86,7.16,7.52
SGH,2017-06-15,7.61,7.99,7.29,7.57
SGH,2017-06-16,7.51,7.72,7.43,7.65
SGH,2017-06-19,7.97,8.15,7.57,7.65
SGH,2017-06-20,7.7,7.9,7.53,7.64
SGH,2017-06-21,7.7,7.98,7.6,7.88
SGH,2017-06-22,7.91,8.53,7.73,8.1
SGH,2017-06-23,8.65,8.85,8.1,8.6
SGH,2017-06-26,8.68,8.82,8.25,8.41
SGH,2017-06-27,8.34,8.5,7.91,8.22
SGH,2017-06-28,8.23,8.49,8.01,8.23
SGH,2017-06-29,8.2,8.25,7.84,8.15
SGH,2017-06-30,8.15,8.26,7.68,8.1
SGH,2017-07-03,8.09,8.39,7.8,7.86
SGH,2017-07-05,7.99,8.25,7.88,8.05
SGH,2017-07-06,7.99,8.09,7.7,8.01
SGH,2017-07-07,7.99,8.14,7.74,7.99
SGH,2017-07-10,7.93,7.95,7.82,7.88
SGH,2017-07-11,7.82,7.88,7.57,7.68
SGH,2017-07-12,7.66,7.99,7.62,7.7
SGH,2017-07-13,7.61,7.85,7.52,7.75
SGH,2017-07-14,7.64,7.88,7.59,7.82
SGH,2017-07-17,7.81,8.56,7.72,8.4
SGH,2017-07-18,8.43,8.6,8.06,8.56
SGH,2017-07-19,8.49,8.6,8.28,8.41
SGH,2017-07-20,8.38,8.48,8.07,8.13
SGH,2017-07-21,8.07,8.28,7.93,8.06
SGH,2017-07-24,8.06,8.17,7.93,7.93
SGH,2017-07-25,7.86,8.21,7.41,8.11
SGH,2017-07-26,8.23,9.64,8.21,9.5
SGH,2017-07-27,9.38,9.55,8.89,9.0
SGH,2017-07-28,8.9,9.5,8.9,9.2
SGH,2017-07-31,9.2,9.44,8.9,9.05
SGH,2017-08-01,9.06,9.28,9.01,9.2
SGH,2017-08-02,9.29,9.29,8.89,9.14
SGH,2017-08-03,9.14,9.75,8.89,9.4
SGH,2017-08-04,9.4,9.74,8.93,9.38
SGH,2017-08-07,9.28,9.68,9.07,9.12
SGH,2017-08-08,9.22,9.29,8.96,9.05
SGH,2017-08-09,9.06,9.34,8.95,9.21
SGH,2017-08-10,8.98,9.25,8.05,9.05
SGH,2017-08-11,9.05,9.2,8.88,9.16
