ticker,date,open,high,low,close
SGII,2021-12-02,11.0,11.0,9.67,9.91
SGII,2021-12-03,9.91,9.91,9.91,9.91
SGII,2021-12-06,9.83,9.83,9.83,9.83
SGII,2021-12-07,9.85,9.85,9.82,9.83
SGII,2021-12-08,9.92,9.95,9.81,9.85
SGII,2021-12-09,9.85,9.86,9.8,9.86
SGII,2021-12-10,10.04,10.04,9.8,9.8
SGII,2021-12-13,9.82,9.82,9.8,9.8
SGII,2021-12-14,9.8,9.84,9.8,9.8
SGII,2021-12-15,9.83,9.95,9.8,9.89
SGII,2021-12-16,9.78,9.87,9.78,9.87
SGII,2021-12-17,9.85,9.85,9.85,9.85
SGII,2021-12-20,9.85,9.85,9.85,9.85
SGII,2021-12-21,9.85,9.85,9.85,9.85
SGII,2021-12-22,9.83,9.86,9.83,9.83
SGII,2021-12-23,9.83,9.83,9.83,9.83
SGII,2021-12-27,9.83,9.83,9.83,9.83
SGII,2021-12-28,9.85,9.85,9.85,9.85
SGII,2021-12-29,9.85,9.85,9.85,9.85
SGII,2021-12-30,9.85,9.87,9.83,9.87
SGII,2021-12-31,9.84,9.88,9.84,9.88
SGII,2022-01-03,9.88,9.88,9.88,9.88
SGII,2022-01-04,9.84,9.85,9.84,9.85
SGII,2022-01-05,9.86,9.89,9.86,9.89
SGII,2022-01-06,9.85,9.89,9.84,9.89
SGII,2022-01-07,9.89,9.89,9.89,9.89
SGII,2022-01-10,9.85,9.89,9.85,9.86
SGII,2022-01-11,9.85,9.88,9.84,9.87
SGII,2022-01-12,9.82,9.88,9.82,9.88
SGII,2022-01-13,9.87,9.87,9.85,9.85
SGII,2022-01-14,9.85,9.85,9.85,9.85
SGII,2022-01-18,9.84,9.84,9.84,9.84
SGII,2022-01-19,9.85,9.85,9.85,9.85
SGII,2022-01-20,9.87,9.87,9.87,9.87
SGII,2022-01-21,9.89,9.89,9.89,9.89
SGII,2022-01-24,9.81,9.83,9.81,9.83
SGII,2022-01-25,9.83,9.83,9.83,9.83
SGII,2022-01-26,9.82,9.82,9.82,9.82
SGII,2022-01-27,9.84,9.84,9.84,9.84
SGII,2022-01-28,9.8,9.82,9.8,9.82
SGII,2022-01-31,9.82,9.82,9.81,9.81
SGII,2022-02-01,9.87,9.88,9.84,9.87
SGII,2022-02-02,9.86,9.86,9.84,9.84
SGII,2022-02-03,9.84,9.84,9.84,9.84
SGII,2022-02-04,9.83,9.83,9.83,9.83
SGII,2022-02-07,9.83,9.83,9.83,9.83
SGII,2022-02-08,9.83,9.83,9.83,9.83
SGII,2022-02-09,9.84,9.84,9.84,9.84
SGII,2022-02-10,9.84,9.84,9.84,9.84
SGII,2022-02-11,9.86,9.86,9.86,9.86
SGII,2022-02-14,9.86,9.86,9.85,9.85
SGII,2022-02-15,9.85,9.85,9.85,9.85
SGII,2022-02-16,9.86,9.86,9.85,9.85
SGII,2022-02-17,9.85,9.86,9.85,9.86
SGII,2022-02-18,9.86,9.86,9.86,9.86
SGII,2022-02-22,9.9,9.91,9.9,9.91
