ticker,date,open,high,low,close
SHLT,2023-04-06,15.0,51.81,15.0,21.3
SHLT,2023-04-10,20.0,20.0,12.82,13.3681
SHLT,2023-04-11,11.92,12.55,10.42,10.915
SHLT,2023-04-12,11.48,11.48,10.8001,10.9283
SHLT,2023-04-13,11.1,11.5,10.7,10.7
SHLT,2023-04-14,10.64,11.04,10.62,10.8307
SHLT,2023-04-17,9.84,10.8917,9.84,10.2
SHLT,2023-04-18,10.13,10.233,9.6824,9.75
SHLT,2023-04-19,10.18,10.37,10.18,10.18
SHLT,2023-04-20,10.0601,10.16,10.0601,10.16
SHLT,2023-04-21,10.13,10.54,9.5781,9.8942
SHLT,2023-04-24,10.13,10.13,9.8,9.8
SHLT,2023-04-26,10.78,10.78,9.55,10.32
SHLT,2023-04-27,9.41,9.5,9.3155,9.5
SHLT,2023-04-28,9.5,10.41,9.2071,10.41
SHLT,2023-05-01,9.5681,9.5681,9.5681,9.5681
SHLT,2023-05-02,9.61,9.7,9.6,9.654
SHLT,2023-05-03,9.85,9.8898,8.31,9.8898
SHLT,2023-05-05,8.55,9.609,8.55,9.489
SHLT,2023-05-08,9.76,10.04,9.76,9.975
SHLT,2023-05-09,9.5,9.5,9.0022,9.25
SHLT,2023-05-10,8.85,9.3,8.85,9.101
SHLT,2023-05-11,9.6,9.6,9.6,9.6
SHLT,2023-05-12,9.54,9.54,9.54,9.54
SHLT,2023-05-15,9.75,10.08,9.75,10.0
SHLT,2023-05-16,10.39,10.52,10.39,10.49
SHLT,2023-05-17,10.6,11.2985,10.2,11.0
SHLT,2023-05-18,10.61,11.3621,10.61,11.0
SHLT,2023-05-19,11.2,11.2,10.9856,10.9856
SHLT,2023-05-22,11.15,11.15,11.15,11.15
SHLT,2023-05-23,11.09,11.15,11.01,11.01
SHLT,2023-05-25,11.755,11.95,11.755,11.95
SHLT,2023-05-30,12.71,12.71,12.4076,12.4076
SHLT,2023-05-31,11.99,12.59,11.99,12.59
SHLT,2023-06-01,11.61,12.75,11.4533,12.75
SHLT,2023-06-02,12.5,12.71,12.5,12.7099
SHLT,2023-06-05,11.96,12.44,10.39,11.41
SHLT,2023-06-06,11.13,11.97,11.13,11.97
SHLT,2023-06-09,11.1016,11.92,11.1016,11.92
SHLT,2023-06-14,11.41,11.605,11.41,11.605
SHLT,2023-06-15,11.1,11.58,11.1,11.48
SHLT,2023-06-16,11.31,11.5,11.31,11.5
SHLT,2023-06-20,11.42,12.0,11.32,12.0
SHLT,2023-06-21,11.66,12.4,11.66,11.91
SHLT,2023-06-22,11.91,12.2,11.0,11.7
SHLT,2023-06-23,11.44,12.02,11.0,11.74
SHLT,2023-06-27,11.2,11.35,11.12,11.12
SHLT,2023-06-28,11.05,11.35,11.035,11.35
SHLT,2023-06-30,11.44,11.45,11.14,11.14
SHLT,2023-07-05,11.1,12.0,10.6,11.61
SHLT,2023-07-06,11.0,11.49,10.54,11.14
SHLT,2023-07-07,10.96,10.96,10.92,10.92
SHLT,2023-07-11,10.2,10.7,10.18,10.7
SHLT,2023-07-12,10.7,10.7,10.66,10.66
SHLT,2023-07-14,10.13,10.5,10.0,10.0001
SHLT,2023-07-18,10.22,10.27,10.0,10.0001
SHLT,2023-07-19,9.0,9.8158,9.0,9.145
SHLT,2023-07-20,9.23,9.37,9.0,9.0
SHLT,2023-07-27,9.4,9.69,9.32,9.44
SHLT,2023-07-31,9.5,9.5,9.0,9.0
SHLT,2023-08-01,9.21,9.21,8.9,9.1852
SHLT,2023-08-02,9.11,9.11,9.11,9.11
SHLT,2023-08-03,9.14,9.14,9.14,9.14
SHLT,2023-08-04,9.11,9.11,8.28,8.28
SHLT,2023-08-07,9.0,9.25,8.01,8.91
SHLT,2023-08-08,8.5,8.5,8.5,8.5
SHLT,2023-08-09,8.35,9.01,8.35,8.8
SHLT,2023-08-10,8.65,9.4,8.65,9.0
SHLT,2023-08-11,8.435,8.71,8.31,8.71
SHLT,2023-08-14,8.99,9.0,8.81,8.81
SHLT,2023-08-15,8.9,8.9,8.8,8.8
SHLT,2023-08-17,9.01,9.34,8.55,8.8
SHLT,2023-08-18,8.7,9.08,8.56,8.56
SHLT,2023-08-21,7.59,7.8613,7.04,7.83
SHLT,2023-08-22,8.0,8.4183,8.0,8.18
SHLT,2023-08-23,8.19,8.19,8.16,8.18
SHLT,2023-08-24,8.8,9.31,8.8,8.82
SHLT,2023-08-25,8.85,9.7344,8.83,8.85
SHLT,2023-08-28,8.9,9.0,8.755,9.0
SHLT,2023-08-29,9.1498,9.1498,9.1498,9.1498
SHLT,2023-08-30,8.91,9.9,8.91,9.4
SHLT,2023-08-31,9.4,9.89,9.4,9.89
SHLT,2023-09-05,9.4001,9.4711,9.4,9.4711
SHLT,2023-09-06,9.5382,9.5382,9.5,9.5
SHLT,2023-09-07,9.65,9.65,9.65,9.65
SHLT,2023-09-08,9.8,9.8,9.8,9.8
SHLT,2023-09-11,10.031,10.1,10.0,10.1
SHLT,2023-09-12,10.0,10.1,10.0,10.1
SHLT,2023-09-13,10.1,10.2,10.0,10.19
SHLT,2023-09-14,10.25,10.3,10.25,10.3
SHLT,2023-09-15,10.5,10.5,10.49,10.49
SHLT,2023-09-18,10.25,10.27,10.25,10.25
SHLT,2023-09-19,10.26,10.4499,10.25,10.3298
SHLT,2023-09-21,10.25,10.8,10.25,10.75
SHLT,2023-09-26,10.75,10.7501,10.5,10.5
SHLT,2023-09-27,10.7,10.7,10.7,10.7
SHLT,2023-09-28,10.8,10.8,10.5661,10.8
SHLT,2023-09-29,11.4,11.4,10.79,11.0027
SHLT,2023-10-03,11.47,11.47,11.47,11.47
SHLT,2023-10-04,10.75,11.52,10.75,11.46
SHLT,2023-10-05,11.19,11.19,10.07,11.0
