ticker,date,open,high,low,close
SLGL,2018-02-01,15.3,16.48,13.0,13.64
SLGL,2018-02-02,13.14,13.99,12.15,12.41
SLGL,2018-02-05,12.89,12.89,10.26,10.8
SLGL,2018-02-06,10.41,10.994,9.41,10.49
SLGL,2018-02-07,10.77,11.0,10.39,10.77
SLGL,2018-02-08,10.98,11.019,9.8,10.77
SLGL,2018-02-09,10.75,10.94,10.3,10.6
SLGL,2018-02-12,10.93,12.775,10.9,12.08
SLGL,2018-02-13,12.0,12.0,11.2,11.79
SLGL,2018-02-14,11.68,11.88,11.5,11.79
SLGL,2018-02-15,11.94,12.308,11.35,11.4
SLGL,2018-02-16,11.35,11.52,11.04,11.28
SLGL,2018-02-20,11.03,11.32,10.12,10.71
SLGL,2018-02-21,10.52,11.98,10.51,11.3
SLGL,2018-02-22,11.06,11.06,10.563,10.74
SLGL,2018-02-23,10.62,11.2,10.2,11.13
SLGL,2018-02-26,11.38,11.75,10.76,10.86
SLGL,2018-02-27,10.93,11.65,10.808,11.14
SLGL,2018-02-28,11.22,11.4,10.21,10.79
SLGL,2018-03-01,10.71,11.29,9.83,10.99
SLGL,2018-03-02,11.38,11.38,10.53,10.96
SLGL,2018-03-05,11.25,11.35,10.6,11.3
SLGL,2018-03-06,11.3,11.6,10.365,11.4
SLGL,2018-03-07,10.97,11.695,10.65,11.15
SLGL,2018-03-08,11.0,11.59,10.84,11.36
SLGL,2018-03-09,11.36,11.649,11.11,11.12
SLGL,2018-03-12,11.2,11.86,10.9,11.44
SLGL,2018-03-13,11.2,12.18,10.9,12.18
SLGL,2018-03-14,11.61,12.2,11.03,11.46
SLGL,2018-03-15,11.56,11.8,10.78,11.23
SLGL,2018-03-16,11.32,11.53,10.82,10.88
SLGL,2018-03-19,10.78,11.5,10.66,11.22
SLGL,2018-03-20,11.001,11.5,10.91,11.25
SLGL,2018-03-21,11.28,11.49,10.568,11.45
SLGL,2018-03-22,11.932,11.932,10.56,10.77
SLGL,2018-03-23,11.932,11.932,10.25,10.4
SLGL,2018-03-26,11.11,11.2,10.66,10.945
SLGL,2018-03-27,11.16,11.22,10.5,10.78
SLGL,2018-03-28,10.73,10.99,10.25,10.75
SLGL,2018-03-29,10.84,11.2,10.04,10.3
SLGL,2018-04-02,10.1,10.71,9.7,10.71
SLGL,2018-04-03,10.8,10.8,10.057,10.07
SLGL,2018-04-04,9.97,10.43,9.714,10.35
SLGL,2018-04-05,10.03,10.62,10.011,10.06
SLGL,2018-04-06,9.519,10.4,8.995,10.39
SLGL,2018-04-09,10.45,11.0,9.06,10.01
SLGL,2018-04-10,10.86,10.86,9.06,10.29
SLGL,2018-04-11,10.24,10.5,9.41,9.74
